,Ma CK,Chu ky,Gia tri qua khu,Gia tri hien tai,Ty suat sinh loi / nam
0,NTC,5,13.533,245.0,78.46555237068371
1,VEF,6,10.1,90.0,43.98597424204076
2,L14,10,1.36,51.2,43.738498956537896
3,PTB,10,2.185,53.4,37.66038555312474
4,DP3,6,11.912,79.0,37.06936508304442
5,MWG,7,13.373,105.7,34.35806317028898
6,IBC,5,5.191,22.35,33.90762262628535
7,THG,10,4.213,55.5,29.410689877498374
8,TV2,12,2.097,45.9,29.32560574170866
9,HLD,8,3.897,29.3,28.681807300846174
10,VNM,15,2.793,108.8,27.654814044319174
11,VCP,5,14.162,47.7,27.49077401594078
12,WCS,11,15.515,202.5,26.30624984138943
13,PNJ,12,5.023,74.0,25.12834827164614
14,DHT,13,2.983,54.4,25.024699374958924
15,SLS,9,7.97,58.7,24.839870323232294
16,NKD,7,8.899,41.2,24.474224695645464
17,DHC,12,3.84,49.15,23.670473850788866
18,CVT,12,2.072,26.5,23.662496626692576
19,VIC,14,5.498,106.1,23.54415097809961
20,CAV,7,15.935,69.0,23.29008333493361
21,NDN,10,2.485,18.6,22.297802950624778
22,VCF,10,31.269,219.3,21.504528341676398
23,LGC,15,3.951,69.0,21.006714871888676
24,S4A,5,10.225,26.5,20.980816559925497
25,S99,15,0.991,16.9,20.81500327602994
26,CAP,13,2.928,34.1,20.785305058390648
27,VCS,14,6.069,75.0,19.672953375107703
28,KSB,11,3.589,25.8,19.640145245787764
29,DSN,11,6.448,44.9,19.2944170562515
30,VGC,6,8.111,23.2,19.14310952129423
31,NNC,11,7.016,47.75,19.046521144286732
32,NCS,6,6.578,17.5,17.71289206320592
33,SMB,11,6.096,35.8,17.46118282658804
34,TIP,5,12.223,27.3,17.434841796285273
35,SGN,6,26.869,69.4,17.134454992342807
36,TLG,11,6.294,35.8,17.12035762423463
37,S55,15,2.341,25.0,17.103328553334094
38,NET,11,10.441,57.1,16.702799422624025
39,BMP,15,5.604,54.5,16.375052982115257
40,LIX,12,9.623,57.6,16.080516849996187
41,D2D,12,11.159,66.7,16.06689854472403
42,DGC,7,16.077,45.35,15.968194866723252
43,GIL,19,2.233,36.6,15.857969745822276
44,TRA,13,9.546,64.2,15.789792797035807
45,HCM,12,3.833,22.25,15.784191217890143
46,DBC,13,6.336,42.5,15.766418349200585
47,TMS,21,1.458,31.3,15.722663174592078
48,BID,7,14.269,39.25,15.552146561814006
49,CSV,6,11.635,27.6,15.484522345570785
50,TCT,15,3.171,27.4,15.461436047817422
51,REE,21,2.089,42.05,15.368441723708015
52,LHC,11,9.593,46.2,15.36192725400516
53,DGW,6,28.152,65.8,15.200078041686416
54,VLC,6,11.66,27.1,15.091996387817886
