,Ma CK,Chu ky,Gia tri qua khu,Gia tri hien tai,Ty suat sinh loi / nam
0,NTC,5,13.533,245.0,78.46555237068371,1
1,VEF,6,10.1,90.0,43.98597424204076,0
2,L14,10,1.36,51.2,43.738498956537896,0
3,PTB,10,2.185,53.4,37.66038555312474,1
4,DP3,6,11.912,79.0,37.06936508304442,0
5,MWG,7,13.373,105.7,34.35806317028898,1
6,IBC,5,5.191,22.35,33.90762262628535,0
7,THG,10,4.213,55.5,29.410689877498374,0
8,TV2,12,2.097,45.9,29.32560574170866,1
9,HLD,8,3.897,29.3,28.681807300846174,1
10,VNM,15,2.793,108.8,27.654814044319174,1
11,VCP,5,14.162,47.7,27.49077401594078,0
12,WCS,11,15.515,202.5,26.30624984138943,0
13,PNJ,12,5.023,74.0,25.12834827164614,1
14,DHT,13,2.983,54.4,25.024699374958924,0
15,SLS,9,7.97,58.7,24.839870323232294,0
16,NKD,7,8.899,41.2,24.474224695645464,0
17,DHC,12,3.84,49.15,23.670473850788866,1
18,CVT,12,2.072,26.5,23.662496626692576,1
19,VIC,14,5.498,106.1,23.54415097809961,1
20,CAV,7,15.935,69.0,23.29008333493361,0
21,NDN,10,2.485,18.6,22.297802950624778,0
22,VCF,10,31.269,219.3,21.504528341676398,0
23,LGC,15,3.951,69.0,21.006714871888676,0
24,S4A,5,10.225,26.5,20.980816559925497,0
25,S99,15,0.991,16.9,20.81500327602994,0
26,CAP,13,2.928,34.1,20.785305058390648,1
