transDate,close,high,low,open,volume,event
23/07/2020,17.5,17.5,17.5,17.5,88000,
24/07/2020,20.1,20.1,20.1,20.1,145600,
27/07/2020,23.1,23.1,23.1,23.1,456200,
28/07/2020,26.5,26.5,23.3,23.6,357600,
29/07/2020,25.5,29.2,21.7,29.2,197100,
30/07/2020,22.0,25.1,21.6,25.1,89000,
31/07/2020,22.0,23.4,22.0,22.9,42000,
03/08/2020,23.2,23.4,22.0,22.6,53800,
04/08/2020,24.9,25.0,23.0,23.0,77700,
05/08/2020,27.8,27.8,24.4,24.4,226091,
06/08/2020,31.0,31.0,27.6,30.0,145300,
07/08/2020,34.2,35.4,26.3,34.0,437300,
10/08/2020,27.2,31.7,27.2,31.7,75200,
11/08/2020,24.3,28.6,24.3,24.7,81600,
12/08/2020,22.1,23.3,21.0,21.5,667800,
13/08/2020,24.4,24.4,22.0,22.0,329100,
14/08/2020,27.2,27.2,24.2,24.2,357500,
17/08/2020,22.5,30.3,22.5,27.0,1878291,
18/08/2020,24.6,24.7,21.9,23.0,293011,
19/08/2020,22.5,25.0,19.3,22.7,631500,
20/08/2020,19.3,22.8,18.7,22.3,308680,
21/08/2020,17.6,20.6,17.6,18.0,385110,
24/08/2020,18.9,21.3,15.9,18.6,967366,
25/08/2020,17.1,20.6,15.9,18.9,614056,
26/08/2020,16.7,19.6,15.3,17.0,359010,
27/08/2020,14.5,16.5,14.5,16.5,132850,
28/08/2020,12.7,14.0,12.7,14.0,325603,
31/08/2020,10.8,11.7,10.8,11.2,192133,
01/09/2020,10.3,12.5,9.3,10.5,1666610,
03/09/2020,9.5,11.5,9.2,10.8,257730,
04/09/2020,9.0,9.5,8.0,9.5,77055,
07/09/2020,9.0,9.4,8.5,8.9,275111,
08/09/2020,9.2,9.5,8.5,8.9,255900,
09/09/2020,9.2,9.5,8.8,9.2,281112,
10/09/2020,8.0,10.5,8.0,9.5,973831,
11/09/2020,8.1,9.4,7.8,8.5,433010,
14/09/2020,8.3,8.6,7.9,8.3,97701,
15/09/2020,7.8,8.2,7.8,8.2,146028,
16/09/2020,7.4,7.9,7.4,7.9,92810,
17/09/2020,6.8,7.4,6.8,7.3,191910,
18/09/2020,6.7,7.0,6.5,7.0,85299,
21/09/2020,7.7,7.7,6.6,6.6,849835,
22/09/2020,8.3,8.7,7.7,7.8,536400,
23/09/2020,7.8,8.5,7.8,8.3,103509,
24/09/2020,7.7,8.0,7.0,7.8,88953,
25/09/2020,7.5,8.0,7.5,7.5,95366,
28/09/2020,8.0,8.6,7.5,7.7,625094,
29/09/2020,7.3,8.5,7.0,8.1,1337551,
30/09/2020,7.2,7.5,6.9,7.5,40746,
01/10/2020,7.2,7.3,6.9,7.1,177030,
02/10/2020,7.0,7.1,6.8,6.8,239950,
05/10/2020,7.1,7.2,6.9,7.0,239720,
06/10/2020,6.9,7.1,6.8,6.9,98120,
07/10/2020,7.0,7.1,6.8,7.0,102195,
08/10/2020,7.0,7.9,6.9,7.8,78545,
09/10/2020,6.8,7.1,6.6,6.9,169500,
12/10/2020,6.8,6.9,6.7,6.9,121500,
13/10/2020,7.2,7.4,6.7,6.9,339055,
14/10/2020,7.1,7.2,6.9,7.2,71217,
15/10/2020,7.0,7.0,6.8,7.0,101500,
16/10/2020,6.7,7.2,6.4,7.1,276308,
19/10/2020,6.8,7.0,6.7,6.8,56700,
20/10/2020,6.8,6.9,6.7,6.8,132085,
21/10/2020,6.8,6.8,6.7,6.8,61521,
22/10/2020,6.8,6.9,6.7,6.8,65830,
23/10/2020,6.9,7.1,6.6,6.9,1134314,
