transDate,close,high,low,open,volume,event
18/08/2016,18.499,18.591,16.915,18.591,25400,
19/08/2016,17.474,18.312,17.474,18.312,23700,
22/08/2016,16.775,17.707,16.775,17.707,13400,
23/08/2016,16.215,16.775,16.169,16.775,5000,
24/08/2016,16.309,16.309,16.215,16.215,16000,
25/08/2016,16.262,16.262,16.029,16.122,4100,
26/08/2016,16.169,16.169,15.703,15.843,11400,
29/08/2016,16.215,16.215,16.215,16.215,1100,
30/08/2016,16.075,16.075,15.376,15.843,10210,
31/08/2016,16.075,16.075,16.029,16.075,1100,
01/09/2016,16.122,16.122,16.122,16.122,100,
05/09/2016,16.075,16.075,15.843,16.075,3100,
06/09/2016,15.75,15.75,15.75,15.75,9000,
07/09/2016,15.61,15.61,15.61,15.61,500,
08/09/2016,15.61,15.61,15.423,15.423,8800,
09/09/2016,15.75,15.75,15.75,15.75,5000,
12/09/2016,15.75,15.75,15.47,15.47,5000,
13/09/2016,15.843,15.843,15.843,15.843,1000,
14/09/2016,15.61,15.61,15.61,15.61,500,
15/09/2016,15.376,15.376,15.376,15.376,100,
16/09/2016,15.843,15.843,15.843,15.843,100,
19/09/2016,15.61,15.61,15.376,15.61,4100,
20/09/2016,14.911,15.144,14.911,15.144,1800,
21/09/2016,15.144,15.144,15.144,15.144,500,
22/09/2016,14.911,14.911,14.911,14.911,500,
23/09/2016,14.911,14.911,14.911,14.911,0,
26/09/2016,14.911,14.911,14.911,14.911,600,
27/09/2016,14.678,14.678,14.678,14.678,500,
28/09/2016,15.376,15.376,15.376,15.376,100,
29/09/2016,15.376,15.376,15.376,15.376,0,
30/09/2016,15.376,15.376,15.376,15.376,0,
03/10/2016,15.376,15.376,15.376,15.376,0,
04/10/2016,14.445,14.445,14.445,14.445,2000,
05/10/2016,14.445,14.445,14.445,14.445,1200,
06/10/2016,14.678,14.678,14.211,14.211,200,
07/10/2016,14.678,14.678,14.678,14.678,100,
10/10/2016,14.399,14.399,14.399,14.399,1000,
11/10/2016,14.259,14.399,14.259,14.399,4700,
12/10/2016,14.351,14.445,14.351,14.445,5000,
13/10/2016,14.445,14.445,14.445,14.445,500,
14/10/2016,14.584,14.584,14.584,14.584,500,
17/10/2016,14.211,14.211,14.211,14.211,500,
18/10/2016,14.445,14.445,14.211,14.211,2000,
19/10/2016,14.678,14.678,14.678,14.678,2500,
20/10/2016,14.678,14.678,14.678,14.678,1000,
21/10/2016,14.771,14.771,14.678,14.678,1000,
24/10/2016,15.843,15.843,14.724,14.724,400,
25/10/2016,15.564,15.564,15.564,15.564,0,
26/10/2016,14.911,14.911,14.911,14.911,2000,
27/10/2016,15.376,15.376,15.144,15.144,2000,
28/10/2016,15.376,15.376,15.376,15.376,100,
31/10/2016,15.376,15.376,15.376,15.376,2000,
01/11/2016,15.61,15.61,15.61,15.61,1700,
02/11/2016,15.75,15.75,15.75,15.75,100,
03/11/2016,15.843,15.843,15.843,15.843,200,
04/11/2016,18.22,18.22,16.075,16.075,200,
07/11/2016,17.147,17.147,17.147,17.147,0,
08/11/2016,15.843,15.843,15.843,15.843,100,
09/11/2016,18.22,18.22,18.22,18.22,100,
10/11/2016,16.309,16.309,16.309,16.309,500,
11/11/2016,16.309,16.775,16.309,16.775,10800,
14/11/2016,15.843,16.309,15.843,16.309,18500,
15/11/2016,15.843,15.843,15.843,15.843,0,
16/11/2016,15.843,15.843,15.843,15.843,0,
17/11/2016,15.843,16.309,15.843,16.309,23200,
18/11/2016,16.309,16.309,15.843,15.843,2500,
21/11/2016,16.029,16.029,16.029,16.029,0,
22/11/2016,18.126,18.126,18.126,18.126,100,
23/11/2016,16.775,16.775,16.309,16.309,6100,
24/11/2016,16.309,16.309,16.309,16.309,0,
25/11/2016,16.309,16.309,16.309,16.309,2400,
28/11/2016,16.309,16.309,16.309,16.309,900,
29/11/2016,16.309,16.309,16.309,16.309,0,
30/11/2016,16.309,16.309,16.309,16.309,1200,
01/12/2016,16.775,16.775,16.775,16.775,4000,
02/12/2016,17.707,17.707,17.707,17.707,100,
05/12/2016,16.775,16.775,16.775,16.775,7900,
06/12/2016,16.775,16.775,16.775,16.775,0,
