transDate,close,high,low,open,volume,event
25/12/2006,11.421,11.421,11.421,11.421,9000,
26/12/2006,11.992,11.992,11.992,11.992,6000,
27/12/2006,12.563,12.563,12.563,12.563,1000,
28/12/2006,13.071,13.071,13.071,13.071,3800,
29/12/2006,17.347,17.347,16.871,16.871,51250,
02/01/2007,18.152,18.152,18.152,18.152,42030,
03/01/2007,18.634,18.955,18.634,18.634,111590,
04/01/2007,19.438,19.438,18.955,18.955,42780,
05/01/2007,18.955,19.438,18.955,18.955,25380,
08/01/2007,19.759,19.759,19.759,19.759,104230,
09/01/2007,20.727,20.727,20.406,20.406,30180,
10/01/2007,20.883,21.685,20.883,20.883,29720,
11/01/2007,20.883,20.883,20.563,20.563,17810,
12/01/2007,21.365,21.365,20.563,20.563,11170,
15/01/2007,22.331,22.331,22.007,22.007,25350,
16/01/2007,23.294,23.294,23.294,23.294,71080,
17/01/2007,22.169,24.418,22.169,22.169,56860,
18/01/2007,22.49,22.49,22.169,22.169,33560,
19/01/2007,23.613,23.613,23.13,23.13,23860,
22/01/2007,22.49,22.49,22.49,22.49,9140,
23/01/2007,21.365,21.685,21.365,21.365,22580,
24/01/2007,20.883,21.365,20.883,20.883,18640,
25/01/2007,19.921,20.398,19.921,19.921,6470,
26/01/2007,20.883,20.883,20.883,20.883,6670,
29/01/2007,21.849,21.849,20.563,20.563,12430,
30/01/2007,22.49,22.49,22.49,22.49,4230,
31/01/2007,22.169,23.294,22.169,22.169,28990,
01/02/2007,22.49,23.13,22.49,22.49,36750,
02/02/2007,22.49,22.49,22.49,22.49,21200,
05/02/2007,22.49,22.49,21.365,21.365,18120,
06/02/2007,22.49,22.81,22.007,22.007,16400,
07/02/2007,22.169,22.169,21.849,21.849,24170,
08/02/2007,21.207,22.331,21.207,21.207,17810,
09/02/2007,21.045,21.202,20.883,20.883,16100,
12/02/2007,22.007,22.007,21.685,21.685,34050,
13/02/2007,22.331,22.49,22.331,22.331,24030,
14/02/2007,22.331,22.331,21.365,21.365,27690,
15/02/2007,22.974,22.974,22.328,22.328,24660,
26/02/2007,24.098,24.098,24.098,24.098,24820,
27/02/2007,25.221,25.221,25.221,25.221,62370,
28/02/2007,24.098,25.221,24.098,24.098,51270,
01/03/2007,24.098,24.098,24.098,24.098,25310,
02/03/2007,24.098,24.098,24.098,24.098,18660,
05/03/2007,24.418,24.579,24.418,24.418,30440,
06/03/2007,23.613,24.418,23.613,23.613,34340,
07/03/2007,22.49,23.613,22.49,22.49,35570,
08/03/2007,23.613,23.613,23.613,23.613,27820,
09/03/2007,24.098,24.579,24.098,24.098,28380,
12/03/2007,23.613,24.418,23.613,23.613,19150,
13/03/2007,23.294,23.613,23.294,23.294,18310,
14/03/2007,23.294,24.259,23.294,23.294,42970,
15/03/2007,22.169,22.49,22.169,22.169,9550,
16/03/2007,23.13,23.13,22.169,22.169,18390,
19/03/2007,23.13,23.13,23.13,23.13,14640,
20/03/2007,22.49,23.13,22.49,22.49,19500,
21/03/2007,22.169,22.49,22.169,22.169,10390,
22/03/2007,21.207,22.169,21.207,21.207,45200,
23/03/2007,20.242,20.883,20.242,20.242,45920,
