transDate,close,high,low,open,volume,event
02/12/2016,7.128,8.911,7.128,8.911,2200,
05/12/2016,7.307,7.307,7.307,7.307,0,
06/12/2016,7.307,7.307,7.307,7.307,0,
07/12/2016,7.307,7.307,7.307,7.307,0,
08/12/2016,6.237,6.237,6.237,6.237,2000,
09/12/2016,5.347,5.347,5.347,5.347,5000,
12/12/2016,4.545,4.545,4.545,4.545,5000,
13/12/2016,3.921,3.921,3.921,3.921,3800,
14/12/2016,3.565,3.565,3.565,3.565,1300,
15/12/2016,3.565,3.565,3.565,3.565,0,
16/12/2016,3.119,3.565,3.119,3.565,800,
19/12/2016,3.475,3.475,3.475,3.475,0,
20/12/2016,3.475,3.475,3.475,3.475,0,
21/12/2016,3.475,3.475,3.475,3.475,0,
22/12/2016,3.03,3.03,3.03,3.03,100,
23/12/2016,3.119,3.119,3.119,3.119,1100,
26/12/2016,3.119,3.119,3.119,3.119,0,
27/12/2016,3.119,3.119,3.119,3.119,0,
28/12/2016,3.119,3.119,3.119,3.119,0,
29/12/2016,3.119,3.119,3.119,3.119,0,
30/12/2016,3.119,3.119,3.119,3.119,0,
03/01/2017,3.119,3.119,3.119,3.119,0,
04/01/2017,3.119,3.119,3.119,3.119,0,
05/01/2017,3.119,3.119,3.119,3.119,0,
06/01/2017,3.119,3.119,3.119,3.119,0,
09/01/2017,3.119,3.119,3.119,3.119,0,
10/01/2017,3.119,3.119,3.119,3.119,0,
11/01/2017,3.119,3.119,3.119,3.119,0,
12/01/2017,3.119,3.119,3.119,3.119,0,
13/01/2017,3.119,3.119,3.119,3.119,0,
16/01/2017,3.119,3.119,3.119,3.119,0,
17/01/2017,3.119,3.119,3.119,3.119,0,
18/01/2017,3.119,3.119,3.119,3.119,0,
19/01/2017,3.119,3.119,3.119,3.119,0,
20/01/2017,3.119,3.119,3.119,3.119,0,
23/01/2017,3.119,3.119,3.119,3.119,0,
24/01/2017,3.119,3.119,3.119,3.119,0,
25/01/2017,3.119,3.119,3.119,3.119,0,
02/02/2017,3.119,3.119,3.119,3.119,0,
03/02/2017,3.119,3.119,3.119,3.119,0,
06/02/2017,3.119,3.119,3.119,3.119,0,
07/02/2017,3.119,3.119,3.119,3.119,0,
08/02/2017,3.119,3.119,3.119,3.119,0,
09/02/2017,3.119,3.119,3.119,3.119,0,
10/02/2017,3.119,3.119,3.119,3.119,0,
13/02/2017,4.366,4.366,4.366,4.366,100,
14/02/2017,3.742,4.366,3.742,4.366,500,
15/02/2017,4.277,4.277,4.277,4.277,0,
16/02/2017,3.654,3.654,3.654,3.654,100,
17/02/2017,3.654,3.654,3.654,3.654,200,
20/02/2017,3.119,3.119,3.119,3.119,100,
21/02/2017,3.565,3.565,2.941,2.941,200,
22/02/2017,2.941,2.941,2.941,2.941,9600,
23/02/2017,3.297,3.297,3.297,3.297,100,
24/02/2017,3.742,3.742,3.742,3.742,100,
27/02/2017,4.277,4.277,3.742,3.742,200,
28/02/2017,3.475,4.545,3.475,4.545,400,
01/03/2017,3.565,3.742,3.565,3.742,800,
02/03/2017,4.188,4.188,4.188,4.188,100,
03/03/2017,4.366,4.366,3.832,3.832,300,
06/03/2017,4.188,4.188,4.188,4.188,0,
07/03/2017,4.188,4.188,4.188,4.188,0,
08/03/2017,4.188,4.188,4.188,4.188,0,
09/03/2017,4.188,4.188,4.188,4.188,0,
10/03/2017,3.654,3.654,3.565,3.565,1000,
13/03/2017,3.832,3.832,3.832,3.832,100,
14/03/2017,3.921,3.921,3.921,3.921,100,
15/03/2017,3.921,3.921,3.921,3.921,0,
16/03/2017,3.921,3.921,3.921,3.921,0,
17/03/2017,3.921,3.921,3.921,3.921,0,
20/03/2017,3.921,3.921,3.921,3.921,0,
21/03/2017,3.386,3.386,3.386,3.386,500,
22/03/2017,3.386,3.386,3.386,3.386,0,
23/03/2017,3.386,3.386,3.386,3.386,0,
24/03/2017,3.386,3.386,3.386,3.386,0,
27/03/2017,3.565,3.565,3.565,3.565,100,
28/03/2017,3.565,3.565,3.565,3.565,0,
29/03/2017,3.565,3.565,3.565,3.565,0,
30/03/2017,3.565,3.565,3.565,3.565,100,
31/03/2017,3.03,3.03,3.03,3.03,1900,
03/04/2017,3.03,3.03,3.03,3.03,0,
