transDate,close,high,low,open,volume,event
17/09/2010,19.793,21.863,17.905,21.863,117200,
20/09/2010,20.772,20.772,20.709,20.709,53600,
21/09/2010,21.254,22.17,20.772,22.17,39100,
22/09/2010,19.919,21.863,19.919,21.68,17000,
23/09/2010,19.122,19.975,19.122,19.122,76700,
24/09/2010,19.366,19.493,19.366,19.493,5500,
27/09/2010,18.087,20.101,18.087,20.101,75600,
28/09/2010,17.053,18.822,16.989,18.822,20800,
29/09/2010,17.36,18.213,17.36,18.213,400,
30/09/2010,16.752,17.053,16.752,17.053,29400,
01/10/2010,15.655,17.053,15.591,16.444,64600,
04/10/2010,14.864,16.689,14.864,16.689,24800,
05/10/2010,14.92,15.046,13.885,13.885,27400,
06/10/2010,15.472,15.773,15.228,15.773,2200,
07/10/2010,14.619,15.717,14.249,15.717,7200,
08/10/2010,14.312,14.374,14.312,14.312,3700,
11/10/2010,13.396,13.64,13.34,13.458,28100,
12/10/2010,13.277,14.012,12.606,14.012,4400,
13/10/2010,13.585,13.585,13.585,13.585,500,
14/10/2010,12.85,14.067,12.787,14.067,19700,
15/10/2010,13.34,13.34,12.787,13.34,2600,
18/10/2010,13.032,13.522,12.124,13.522,6900,
19/10/2010,11.879,11.879,11.879,11.879,9000,
20/10/2010,11.081,12.124,11.081,11.081,2800,
21/10/2010,11.081,11.998,10.536,10.536,2100,
22/10/2010,10.845,12.124,10.845,11.879,34100,
25/10/2010,10.291,11.389,10.291,11.389,18700,
26/10/2010,11.081,11.081,10.845,10.845,29700,
27/10/2010,10.654,11.389,10.654,11.326,15800,
28/10/2010,10.418,10.418,10.418,10.418,8600,
29/10/2010,9.746,11.081,9.746,11.081,12100,
01/11/2010,9.502,10.845,9.502,10.845,18700,
02/11/2010,9.138,9.62,8.957,9.012,31600,
03/11/2010,8.957,9.012,8.403,9.012,21100,
04/11/2010,9.138,9.138,9.012,9.075,18100,
05/11/2010,9.683,9.683,9.62,9.62,24200,
08/11/2010,9.257,10.173,9.012,10.173,10700,
09/11/2010,8.648,9.257,8.586,9.257,42100,
10/11/2010,8.83,9.075,8.83,8.957,3500,
11/11/2010,8.285,8.83,8.285,8.53,20400,
12/11/2010,7.914,8.648,7.859,8.648,10400,
15/11/2010,7.914,8.403,7.433,8.403,4300,
16/11/2010,8.158,8.158,7.614,7.732,1900,
17/11/2010,7.914,8.285,7.796,8.222,8200,
18/11/2010,8.158,8.285,8.04,8.158,12500,
19/11/2010,7.796,8.341,7.677,8.341,21000,
22/11/2010,7.369,7.914,7.306,7.796,5900,
23/11/2010,7.914,7.914,7.859,7.859,5800,
24/11/2010,7.796,7.796,7.433,7.487,9400,
25/11/2010,8.04,8.04,7.677,7.914,29200,
26/11/2010,7.977,8.341,7.614,7.977,17400,
29/11/2010,8.53,8.53,8.467,8.467,27900,
30/11/2010,9.075,9.075,8.83,8.83,23600,
01/12/2010,9.194,9.746,9.194,9.746,46000,
02/12/2010,9.683,10.046,8.957,9.683,15600,
03/12/2010,9.439,10.473,9.32,10.473,40600,
06/12/2010,10.046,10.173,9.564,9.564,40600,
07/12/2010,9.383,10.355,9.383,10.046,13900,
08/12/2010,8.893,8.893,8.893,8.893,10700,
09/12/2010,9.012,9.194,8.285,8.285,28500,
10/12/2010,9.012,9.012,9.012,9.012,16200,
13/12/2010,9.564,9.62,9.383,9.62,38500,
14/12/2010,9.075,9.746,9.075,9.138,20100,
15/12/2010,9.257,9.257,8.712,9.257,9600,
16/12/2010,8.285,8.341,8.285,8.285,25500,
17/12/2010,8.341,8.341,7.732,7.732,17100,
20/12/2010,8.467,8.467,8.158,8.467,20700,
21/12/2010,8.957,8.957,8.893,8.957,10300,
22/12/2010,9.564,9.564,9.564,9.564,36900,
23/12/2010,9.138,10.11,9.138,10.11,42300,
24/12/2010,8.893,9.62,8.83,9.62,13400,
27/12/2010,8.53,9.439,8.285,9.439,48700,
28/12/2010,9.075,9.075,8.53,8.53,4600,
29/12/2010,8.53,9.564,8.53,9.564,3600,
30/12/2010,9.194,9.194,9.194,9.194,300,
31/12/2010,8.648,9.138,8.586,9.138,7400,
04/01/2011,8.53,9.075,8.53,9.075,10300,
05/01/2011,8.586,8.712,8.341,8.586,3100,
06/01/2011,8.467,8.53,8.467,8.53,1900,
07/01/2011,8.285,8.83,8.222,8.83,7900,
10/01/2011,8.467,8.957,8.403,8.767,8500,
11/01/2011,8.53,8.712,8.53,8.586,10600,
12/01/2011,8.712,8.712,8.648,8.648,13000,
13/01/2011,9.075,9.138,8.83,8.83,2700,
14/01/2011,9.62,9.62,9.194,9.194,104400,
17/01/2011,10.291,10.291,10.291,10.291,18200,
18/01/2011,10.963,10.963,10.355,10.963,227400,
19/01/2011,11.634,11.634,10.899,10.899,58800,
20/01/2011,11.271,12.305,10.963,12.305,44500,
21/01/2011,10.781,12.243,10.781,12.243,57000,
24/01/2011,10.291,11.697,10.291,11.026,25300,
25/01/2011,9.809,9.809,9.809,9.809,43900,
26/01/2011,9.746,9.809,9.138,9.257,29200,
27/01/2011,9.865,9.928,9.62,9.62,11300,
28/01/2011,9.809,10.228,9.809,10.173,8800,
08/02/2011,9.928,10.536,9.383,10.536,16300,
09/02/2011,9.194,9.991,9.138,9.746,20300,
10/02/2011,8.893,9.383,8.893,8.957,18100,
11/02/2011,8.893,9.383,8.893,8.957,13800,
14/02/2011,9.138,9.746,9.012,9.746,25300,
15/02/2011,8.893,9.194,8.83,9.194,12100,
16/02/2011,8.767,9.502,8.648,9.502,22200,
17/02/2011,8.648,8.648,8.53,8.648,14800,
18/02/2011,8.403,8.712,8.403,8.712,14200,
21/02/2011,7.977,8.285,7.977,8.285,23100,
22/02/2011,7.551,8.04,7.433,7.487,35100,
23/02/2011,7.796,7.914,7.306,7.914,20100,
24/02/2011,7.306,7.487,7.124,7.487,15800,
25/02/2011,7.796,7.796,7.369,7.732,11500,
28/02/2011,7.732,8.104,7.677,8.104,8200,
01/03/2011,7.732,7.859,7.369,7.859,9500,
02/03/2011,7.005,7.25,7.005,7.25,22800,
03/03/2011,6.642,6.943,6.642,6.943,12700,
04/03/2011,6.943,7.069,6.698,7.069,3200,
07/03/2011,6.698,6.76,6.698,6.76,5100,
08/03/2011,6.698,7.005,6.698,7.005,4900,
09/03/2011,6.397,6.642,6.397,6.642,9300,
10/03/2011,6.879,6.879,6.642,6.642,19600,
11/03/2011,7.306,7.306,7.25,7.25,38200,
14/03/2011,6.879,7.732,6.824,7.732,25800,
15/03/2011,6.879,7.188,6.579,7.188,4000,
16/03/2011,6.642,7.069,6.579,7.005,15700,
17/03/2011,6.76,7.005,6.698,6.824,15000,
18/03/2011,7.124,7.124,6.76,6.879,23700,
21/03/2011,7.369,7.369,7.069,7.306,38900,
22/03/2011,7.732,7.796,7.551,7.796,69600,
23/03/2011,7.732,8.04,7.369,8.04,13900,
24/03/2011,8.104,8.104,7.614,7.614,96500,
25/03/2011,7.614,8.104,7.614,8.104,13300,
28/03/2011,7.551,7.732,7.25,7.551,19400,
29/03/2011,7.306,7.677,7.124,7.487,30900,
30/03/2011,7.069,7.306,6.943,7.188,44900,
31/03/2011,7.188,7.487,6.943,7.369,17300,
01/04/2011,7.487,7.614,7.25,7.614,9100,
04/04/2011,7.306,7.796,7.306,7.796,27800,
05/04/2011,7.188,7.487,7.188,7.487,4600,
06/04/2011,7.433,7.614,7.433,7.487,7700,
07/04/2011,7.25,7.487,7.188,7.487,17100,
08/04/2011,7.25,7.25,7.069,7.069,12800,
13/04/2011,7.188,7.306,7.005,7.306,13800,
14/04/2011,6.943,7.306,6.943,7.306,6100,
15/04/2011,7.005,7.188,6.879,7.188,6800,
18/04/2011,6.579,6.698,6.579,6.642,21600,
19/04/2011,6.271,6.698,6.271,6.698,29800,
20/04/2011,6.334,6.453,6.153,6.453,14300,
21/04/2011,6.516,6.516,6.271,6.397,6100,
22/04/2011,6.334,6.76,6.271,6.642,6500,
25/04/2011,6.516,6.698,6.516,6.642,10300,
26/04/2011,6.271,6.397,6.216,6.397,19400,
27/04/2011,6.271,6.516,6.027,6.397,7700,
28/04/2011,5.844,6.153,5.844,6.027,12900,
29/04/2011,5.726,6.089,5.726,5.726,14600,
04/05/2011,6.089,6.089,6.027,6.027,200,
05/05/2011,5.663,5.79,5.663,5.79,5500,
06/05/2011,5.418,5.971,5.418,5.418,5400,
09/05/2011,5.79,5.908,5.236,5.908,6400,
10/05/2011,5.663,6.027,5.418,5.971,4400,
11/05/2011,5.6,5.6,5.481,5.545,3500,
12/05/2011,5.663,5.663,5.363,5.663,2200,
13/05/2011,5.173,5.418,5.173,5.236,12400,
16/05/2011,5.055,5.236,5.055,5.236,4700,
17/05/2011,4.747,4.936,4.747,4.936,15800,
18/05/2011,4.565,4.747,4.565,4.747,1800,
19/05/2011,4.447,4.81,4.447,4.81,2400,
20/05/2011,4.384,4.629,4.202,4.202,4400,
23/05/2011,4.384,4.692,4.384,4.692,1700,
24/05/2011,4.384,4.692,4.384,4.692,300,
25/05/2011,4.202,4.51,4.202,4.51,4400,
26/05/2011,4.139,4.447,3.957,3.957,21500,
27/05/2011,4.384,4.447,4.202,4.384,19000,
30/05/2011,4.139,4.692,4.139,4.629,12400,
31/05/2011,3.957,4.265,3.957,4.265,11800,
01/06/2011,4.202,4.202,4.075,4.075,10800,
02/06/2011,4.384,4.384,4.265,4.384,39700,
03/06/2011,4.692,4.692,4.629,4.629,32400,
06/06/2011,4.81,4.936,4.754,4.873,13000,
07/06/2011,5.11,5.11,4.747,4.873,28500,
08/06/2011,5.11,5.379,5.11,5.308,3300,DIVIDEND
09/06/2011,4.968,5.244,4.968,4.968,25900,
10/06/2011,5.379,5.379,5.244,5.308,57500,
13/06/2011,5.655,5.718,5.379,5.379,26300,
14/06/2011,5.308,5.924,5.308,5.655,32900,
15/06/2011,5.379,5.379,5.379,5.379,100,
16/06/2011,5.039,5.379,5.039,5.379,5300,
17/06/2011,4.968,5.039,4.968,4.968,4300,
20/06/2011,4.629,4.699,4.629,4.699,8200,
21/06/2011,4.762,4.762,4.36,4.699,6400,
22/06/2011,4.423,4.905,4.423,4.905,2200,
23/06/2011,4.423,4.423,4.423,4.423,4300,
24/06/2011,4.36,4.565,4.288,4.565,8700,
27/06/2011,4.565,4.629,4.565,4.629,200,
28/06/2011,4.494,4.565,4.494,4.565,600,
29/06/2011,4.699,4.762,4.494,4.494,3000,
30/06/2011,4.629,4.762,4.629,4.762,300,
01/07/2011,4.423,4.423,4.423,4.423,7500,
04/07/2011,4.494,4.494,4.494,4.494,100,
05/07/2011,4.494,4.699,4.423,4.629,14600,
06/07/2011,4.218,4.565,4.218,4.565,4300,
07/07/2011,4.494,4.629,4.36,4.494,4500,
08/07/2011,4.565,4.699,4.288,4.565,8000,
11/07/2011,4.36,4.494,4.36,4.494,2100,
12/07/2011,4.494,4.494,4.288,4.494,6400,
13/07/2011,4.629,4.629,4.629,4.629,100,
14/07/2011,4.629,4.629,4.629,4.629,0,
15/07/2011,4.629,4.629,4.629,4.629,0,
18/07/2011,4.36,4.36,4.36,4.36,100,
19/07/2011,4.36,4.36,4.36,4.36,2000,
20/07/2011,4.218,4.288,4.155,4.155,7300,
21/07/2011,4.02,4.083,3.949,4.083,4300,
22/07/2011,3.744,4.155,3.744,4.155,9900,
25/07/2011,3.681,3.878,3.681,3.681,6600,
26/07/2011,3.539,3.878,3.539,3.878,13700,
27/07/2011,3.744,3.878,3.744,3.815,3300,
28/07/2011,3.744,3.815,3.744,3.815,600,
29/07/2011,3.609,3.609,3.609,3.609,100,
01/08/2011,3.681,3.815,3.404,3.815,37400,
02/08/2011,3.744,3.815,3.475,3.475,4500,
03/08/2011,3.744,3.744,3.475,3.475,6300,
04/08/2011,3.609,3.744,3.404,3.744,24900,
05/08/2011,3.539,3.681,3.475,3.681,4800,
08/08/2011,3.609,3.609,3.609,3.609,100,
09/08/2011,3.404,3.404,3.404,3.404,14400,
10/08/2011,3.404,3.475,3.27,3.27,2400,
11/08/2011,3.475,3.475,3.404,3.404,900,
12/08/2011,3.475,3.539,3.475,3.539,13700,
15/08/2011,3.475,3.475,3.475,3.475,700,
16/08/2011,3.404,3.475,3.27,3.27,5400,
17/08/2011,3.475,3.475,3.404,3.475,1300,
18/08/2011,3.475,3.681,3.404,3.681,8100,
19/08/2011,3.333,3.404,3.333,3.404,8100,
22/08/2011,3.609,3.609,3.539,3.609,10100,
23/08/2011,3.404,3.681,3.404,3.681,4300,
24/08/2011,3.609,3.609,3.404,3.404,9100,
25/08/2011,3.539,3.539,3.475,3.475,4200,
26/08/2011,3.404,3.475,3.404,3.475,6600,
29/08/2011,3.539,3.609,3.404,3.539,19000,
30/08/2011,3.681,3.744,3.681,3.744,39900,
31/08/2011,3.681,3.815,3.609,3.744,4800,
01/09/2011,3.878,3.878,3.681,3.815,24900,
05/09/2011,3.878,4.083,3.681,4.02,25200,
06/09/2011,3.878,3.949,3.815,3.878,36900,
07/09/2011,4.083,4.083,4.02,4.02,14600,
08/09/2011,4.36,4.36,4.218,4.288,20100,
09/09/2011,4.494,4.494,4.218,4.423,10300,
12/09/2011,4.699,4.699,4.36,4.423,30900,
13/09/2011,4.762,4.762,4.699,4.699,49800,
14/09/2011,4.834,5.039,4.762,5.039,47800,
15/09/2011,4.629,4.968,4.629,4.968,46000,
16/09/2011,4.36,4.565,4.36,4.36,26800,
19/09/2011,4.36,4.36,4.083,4.36,17700,
20/09/2011,4.083,4.218,4.083,4.218,5700,
21/09/2011,4.083,4.155,4.083,4.155,5100,
22/09/2011,4.288,4.288,4.288,4.288,2200,
23/09/2011,4.288,4.288,4.288,4.288,1800,
26/09/2011,4.218,4.423,4.218,4.423,5900,
27/09/2011,4.288,4.288,4.288,4.288,0,
28/09/2011,4.288,4.288,4.083,4.083,800,
29/09/2011,4.02,4.155,4.02,4.155,9100,
30/09/2011,3.878,4.02,3.815,3.815,4400,
03/10/2011,3.681,3.744,3.681,3.744,6700,
04/10/2011,3.878,3.878,3.681,3.878,4900,
05/10/2011,3.949,4.02,3.949,4.02,600,
06/10/2011,4.218,4.218,4.02,4.083,5100,
07/10/2011,4.36,4.36,4.02,4.36,5500,
10/10/2011,4.494,4.494,4.02,4.02,21900,
11/10/2011,4.083,4.155,4.083,4.155,9000,
12/10/2011,3.815,4.155,3.815,4.155,10400,
13/10/2011,3.878,3.878,3.681,3.681,2100,
14/10/2011,3.815,3.949,3.815,3.949,1200,
17/10/2011,3.681,3.744,3.681,3.744,4900,
18/10/2011,3.475,3.539,3.475,3.539,8300,
19/10/2011,3.404,3.681,3.27,3.27,5800,
20/10/2011,3.539,3.539,3.539,3.539,100,
21/10/2011,3.681,3.744,3.539,3.744,2400,
24/10/2011,3.609,3.815,3.609,3.815,900,
25/10/2011,3.404,3.681,3.404,3.681,2200,
26/10/2011,3.404,3.404,3.404,3.404,1300,
27/10/2011,3.333,3.609,3.333,3.404,5300,
28/10/2011,3.744,3.744,3.681,3.681,7300,
31/10/2011,3.609,3.681,3.609,3.681,7200,
01/11/2011,3.609,3.744,3.539,3.744,7700,
02/11/2011,3.681,3.744,3.681,3.744,1100,
03/11/2011,3.609,3.609,3.609,3.609,1100,
04/11/2011,3.539,3.609,3.475,3.539,7300,
07/11/2011,3.475,3.609,3.475,3.609,2500,
08/11/2011,3.404,3.475,3.27,3.333,4600,
09/11/2011,3.539,3.539,3.539,3.539,4400,
10/11/2011,3.333,3.539,3.333,3.539,7200,
11/11/2011,3.404,3.404,3.404,3.404,1000,
14/11/2011,3.199,3.27,3.199,3.27,9300,
15/11/2011,3.333,3.333,3.27,3.27,5600,
16/11/2011,3.404,3.404,3.27,3.27,900,
17/11/2011,3.404,3.404,3.404,3.404,1200,
18/11/2011,3.199,3.27,3.199,3.27,6000,
21/11/2011,3.199,3.199,3.135,3.135,3300,
22/11/2011,3.199,3.199,3.199,3.199,1700,
23/11/2011,3.199,3.199,3.199,3.199,2000,
24/11/2011,3.199,3.199,3.199,3.199,500,
25/11/2011,3.199,3.199,3.199,3.199,1000,
28/11/2011,3.333,3.333,3.333,3.333,200,
29/11/2011,3.27,3.404,3.135,3.404,3200,
30/11/2011,3.404,3.404,3.404,3.404,100,
01/12/2011,3.404,3.404,3.404,3.404,500,
02/12/2011,3.404,3.404,3.404,3.404,500,
05/12/2011,3.539,3.609,3.333,3.609,3100,
06/12/2011,3.609,3.681,3.27,3.681,6700,
07/12/2011,3.609,3.609,3.609,3.609,0,
08/12/2011,3.404,3.404,3.404,3.404,900,
09/12/2011,3.199,3.199,3.199,3.199,100,
12/12/2011,2.993,2.993,2.993,2.993,5400,
13/12/2011,2.788,3.135,2.788,3.135,13000,
14/12/2011,2.86,3.27,2.86,3.27,12700,
15/12/2011,3.065,3.27,3.065,3.27,900,
16/12/2011,3.199,3.199,2.993,2.993,11400,
19/12/2011,3.199,3.199,2.993,2.993,13800,
20/12/2011,3.135,3.135,3.135,3.135,13700,
21/12/2011,2.93,3.199,2.93,2.93,16800,
22/12/2011,2.93,2.93,2.93,2.93,100,
23/12/2011,2.725,3.135,2.725,3.065,10900,
26/12/2011,2.86,3.135,2.86,2.86,7900,
27/12/2011,2.93,2.93,2.93,2.93,100,
28/12/2011,2.993,3.065,2.725,3.065,12000,
29/12/2011,2.788,3.065,2.788,3.065,6400,
30/12/2011,2.788,2.93,2.788,2.788,12600,
03/01/2012,2.725,3.065,2.725,3.065,16700,
04/01/2012,2.725,3.065,2.725,2.993,21800,
05/01/2012,2.725,2.993,2.725,2.86,29400,
06/01/2012,2.788,3.065,2.725,2.993,22300,
09/01/2012,2.86,3.27,2.86,3.199,33600,
10/01/2012,2.993,3.404,2.993,2.993,44300,
11/01/2012,2.993,2.993,2.993,2.993,100,
12/01/2012,2.788,3.065,2.788,3.065,49500,
13/01/2012,2.725,2.993,2.725,2.993,23900,
16/01/2012,2.86,2.993,2.725,2.993,24800,
17/01/2012,2.725,2.993,2.725,2.993,8700,
18/01/2012,2.725,3.065,2.725,3.065,14400,
19/01/2012,2.788,2.86,2.725,2.725,24000,
20/01/2012,2.86,2.86,2.86,2.86,8600,
30/01/2012,2.93,2.993,2.86,2.86,14400,
31/01/2012,2.993,3.135,2.93,2.93,60000,
01/02/2012,2.993,2.993,2.86,2.86,13700,
02/02/2012,3.065,3.065,2.93,2.93,13500,
