transDate,close,high,low,open,volume,event
11/11/2014,12.877,12.877,12.877,12.877,218700.0,
12/11/2014,14.087,14.087,14.087,14.087,128000.0,
13/11/2014,15.469,15.469,15.469,15.469,92700.0,
14/11/2014,16.68,16.938,16.593,16.938,284400.0,
17/11/2014,18.321,18.408,16.333,16.593,313200.0,
18/11/2014,19.272,19.272,17.112,17.544,416000.0,
19/11/2014,18.667,18.667,17.717,18.149,639900.0,
20/11/2014,18.926,19.013,18.062,18.235,486800.0,
21/11/2014,17.802,19.186,17.63,18.581,613000.0,
24/11/2014,18.235,18.494,17.717,18.408,400200.0,
25/11/2014,18.321,18.581,17.802,18.149,434600.0,
26/11/2014,17.544,18.235,17.37,18.235,409100.0,
27/11/2014,17.198,17.802,16.161,17.63,423200.0,
28/11/2014,16.593,16.938,16.593,16.938,160200.0,
01/12/2014,16.506,16.938,16.506,16.852,152700.0,
02/12/2014,16.42,16.765,15.124,16.68,414800.0,
03/12/2014,15.037,16.075,15.037,15.643,247400.0,
04/12/2014,14.432,15.729,14.087,15.643,462400.0,
05/12/2014,15.469,15.815,14.692,14.692,215300.0,
08/12/2014,15.124,15.383,15.037,15.383,223100.0,
09/12/2014,13.741,15.211,13.741,15.124,309200.0,
10/12/2014,15.556,15.556,13.395,14.087,197700.0,
11/12/2014,14.087,14.432,13.309,14.087,407000.0,
12/12/2014,14.173,14.605,13.741,13.827,408800.0,
15/12/2014,15.296,15.383,13.655,14.0,390600.0,
16/12/2014,14.173,14.346,13.395,14.346,413900.0,
17/12/2014,13.395,14.0,12.704,13.741,412900.0,
18/12/2014,14.692,14.692,13.395,13.482,438800.0,
19/12/2014,13.741,14.0,13.395,13.827,416800.0,
22/12/2014,13.655,14.346,13.655,13.655,388100.0,
23/12/2014,14.0,14.173,13.741,14.087,403900.0,
24/12/2014,14.087,14.259,13.914,14.0,309500.0,
25/12/2014,13.914,14.259,13.568,14.259,263500.0,
26/12/2014,13.741,14.0,13.655,13.914,143400.0,
29/12/2014,13.741,13.914,13.568,13.741,152100.0,
30/12/2014,13.741,13.827,13.482,13.741,105600.0,
31/12/2014,13.914,13.914,13.655,13.655,106800.0,
05/01/2015,13.827,14.087,13.655,13.827,200300.0,
06/01/2015,14.0,14.087,13.568,13.827,170700.0,
