transDate,close,high,low,open,volume,event
05/10/2010,8.015,8.762,6.808,8.762,61200,
06/10/2010,8.16,8.16,8.16,8.16,17700,
07/10/2010,8.713,8.713,8.713,8.713,41400,
08/10/2010,8.388,9.163,8.264,8.936,33200,
11/10/2010,8.111,8.713,8.111,8.713,15600,
12/10/2010,7.557,8.015,7.557,7.557,31200,
13/10/2010,7.185,7.185,7.06,7.087,4000,
14/10/2010,7.611,7.611,7.611,7.611,11800,
15/10/2010,7.51,7.635,7.51,7.635,6700,
18/10/2010,7.433,8.015,7.433,8.015,17100,
19/10/2010,7.185,7.51,7.136,7.51,8700,
20/10/2010,6.685,7.136,6.685,6.884,6700,
21/10/2010,6.659,7.233,6.659,7.233,6100,
22/10/2010,6.382,6.533,6.333,6.511,7300,
25/10/2010,6.382,6.761,6.133,6.761,13200,
26/10/2010,6.783,6.783,6.783,6.783,12600,
27/10/2010,13.414,13.414,13.414,13.414,0,
28/10/2010,6.457,7.01,6.457,7.01,1100,
29/10/2010,6.761,6.961,6.285,6.961,4600,
01/11/2010,6.457,6.457,6.457,6.457,600,
02/11/2010,6.257,6.257,6.133,6.257,15500,
03/11/2010,6.008,6.133,6.008,6.133,13400,
04/11/2010,6.034,6.382,5.959,5.959,400,
05/11/2010,6.31,6.382,6.209,6.257,22000,
08/11/2010,6.157,6.257,6.157,6.257,4000,
09/11/2010,5.91,6.056,5.91,6.034,7500,
10/11/2010,6.034,6.034,6.034,6.034,500,
11/11/2010,5.634,6.008,5.634,6.008,27500,
12/11/2010,5.335,5.46,5.335,5.46,21800,
15/11/2010,5.005,5.058,5.005,5.058,13900,
16/11/2010,4.706,4.706,4.678,4.678,18300,
17/11/2010,5.031,5.031,4.755,4.755,9100,
18/11/2010,5.259,5.259,5.136,5.136,12500,
19/11/2010,5.335,5.357,4.983,5.357,12300,
22/11/2010,5.259,5.259,4.809,4.809,5100,
23/11/2010,10.941,11.038,10.893,11.038,5600,
24/11/2010,11.385,11.78,10.448,11.78,14200,
25/11/2010,5.959,5.959,5.583,5.757,45700,
26/11/2010,6.209,6.209,5.939,6.209,47600,
29/11/2010,6.659,6.659,6.257,6.285,17800,
30/11/2010,6.907,6.907,6.884,6.907,13500,
01/12/2010,6.436,7.261,6.436,7.261,10900,
02/12/2010,6.511,6.511,6.034,6.382,9100,
03/12/2010,6.61,6.685,6.285,6.61,8700,
06/12/2010,6.257,7.031,6.257,6.982,16800,
07/12/2010,6.209,6.257,6.209,6.257,8000,
08/12/2010,5.807,6.36,5.807,6.333,9700,
09/12/2010,6.133,6.133,5.757,5.757,2100,
10/12/2010,6.36,6.36,6.31,6.36,19400,
13/12/2010,6.511,7.054,6.404,7.031,22800,
14/12/2010,6.056,6.619,5.887,6.619,6500,
15/12/2010,6.333,6.333,6.083,6.083,3400,
16/12/2010,5.91,5.959,5.91,5.91,4800,
17/12/2010,6.257,6.257,5.634,5.634,5600,
20/12/2010,6.056,6.056,6.056,6.056,600,
21/12/2010,5.807,5.807,5.519,5.546,4400,
22/12/2010,6.008,6.008,6.008,6.008,1000,
23/12/2010,11.732,11.732,11.732,11.732,200,
24/12/2010,5.857,6.333,5.834,6.333,3000,
27/12/2010,5.557,5.807,5.557,5.807,7500,
28/12/2010,5.959,5.959,5.959,5.959,400,
29/12/2010,5.757,5.757,5.583,5.583,5500,
30/12/2010,5.508,5.508,5.508,5.508,600,
31/12/2010,5.634,5.634,5.508,5.508,3500,
04/01/2011,5.508,5.557,5.508,5.557,2000,
05/01/2011,5.259,5.508,5.259,5.508,9100,
06/01/2011,5.136,5.606,5.136,5.606,1100,
07/01/2011,5.46,5.46,5.154,5.205,8600,
10/01/2011,5.307,5.307,5.307,5.307,2400,
11/01/2011,5.005,5.005,5.005,5.005,1000,
12/01/2011,5.357,5.357,5.357,5.357,11900,
13/01/2011,5.71,5.71,5.682,5.71,17300,
14/01/2011,5.757,5.834,5.71,5.834,4600,
17/01/2011,5.834,6.157,5.53,6.083,6900,
18/01/2011,5.53,6.11,5.53,6.11,7100,
19/01/2011,5.557,5.931,5.557,5.857,6300,
20/01/2011,5.508,5.508,5.508,5.508,1200,
21/01/2011,5.259,5.385,5.259,5.385,2400,
24/01/2011,5.307,5.307,5.307,5.307,0,
25/01/2011,5.482,5.482,5.482,5.482,100,
26/01/2011,5.259,5.259,5.259,5.259,400,
27/01/2011,5.508,5.606,5.434,5.46,13400,
28/01/2011,5.583,5.634,5.583,5.634,2200,
08/02/2011,5.883,5.987,5.883,5.987,700,
09/02/2011,5.557,5.757,5.557,5.634,16100,
10/02/2011,5.508,5.583,5.385,5.583,14000,
11/02/2011,5.634,5.883,5.508,5.73,9100,
14/02/2011,5.786,6.008,5.634,6.008,9400,
15/02/2011,5.682,5.757,5.606,5.757,1900,
16/02/2011,5.682,5.682,5.682,5.682,0,
17/02/2011,5.357,5.357,5.307,5.357,2500,
