transDate,close,high,low,open,volume,event
29/01/2010,5.194,7.086,5.194,7.086,5300,
01/02/2010,5.1,5.622,5.1,5.622,700,
02/02/2010,5.575,5.575,5.575,5.575,700,
03/02/2010,5.668,5.668,5.668,5.668,1000,
04/02/2010,5.668,5.668,5.668,5.668,1000,
05/02/2010,5.668,5.668,5.668,5.668,0,
08/02/2010,5.288,5.288,5.288,5.288,300,
09/02/2010,5.288,5.288,5.288,5.288,0,
10/02/2010,5.288,5.288,5.288,5.288,0,
11/02/2010,5.575,5.575,5.575,5.575,300,
12/02/2010,5.575,5.575,5.575,5.575,0,
22/02/2010,5.575,5.575,5.575,5.575,0,
23/02/2010,5.575,5.575,5.575,5.575,0,
24/02/2010,5.194,5.194,5.194,5.194,100,
25/02/2010,5.194,5.194,5.194,5.194,0,
26/02/2010,5.194,5.194,5.194,5.194,0,
01/03/2010,4.96,4.96,4.96,4.96,100,
02/03/2010,4.719,4.719,4.719,4.719,200,
03/03/2010,4.391,4.391,4.391,4.391,300,
04/03/2010,4.391,4.391,4.391,4.391,0,
05/03/2010,4.391,4.391,4.391,4.391,0,
08/03/2010,4.391,4.391,4.391,4.391,100,
09/03/2010,4.204,4.673,4.204,4.391,2200,
10/03/2010,4.251,4.251,4.251,4.251,0,
11/03/2010,4.532,4.532,4.532,4.532,2000,
12/03/2010,4.532,4.532,4.532,4.532,0,
15/03/2010,4.673,4.673,4.673,4.673,1500,
16/03/2010,4.719,4.719,4.719,4.719,1600,
17/03/2010,4.767,4.767,4.767,4.767,300,
18/03/2010,4.767,4.767,4.767,4.767,400,
19/03/2010,4.767,4.767,4.767,4.767,0,
22/03/2010,4.767,4.767,4.767,4.767,0,
23/03/2010,4.767,4.767,4.767,4.767,0,
24/03/2010,4.767,4.767,4.767,4.767,100,
25/03/2010,4.767,4.767,4.767,4.767,0,
26/03/2010,4.767,4.767,4.767,4.767,0,
29/03/2010,4.438,4.438,4.438,4.438,2000,
30/03/2010,4.438,4.438,4.438,4.438,0,
31/03/2010,4.719,4.719,4.719,4.719,1500,
01/04/2010,4.719,4.719,4.719,4.719,500,
02/04/2010,4.391,4.391,4.391,4.391,200,
05/04/2010,4.673,4.673,4.673,4.673,1000,
06/04/2010,4.719,4.96,4.719,4.96,400,
07/04/2010,4.767,4.767,4.767,4.767,0,
08/04/2010,4.719,4.719,4.719,4.719,500,
09/04/2010,4.719,4.719,4.719,4.719,0,
12/04/2010,4.438,4.719,4.438,4.719,1100,
13/04/2010,4.485,4.485,4.485,4.485,400,
14/04/2010,4.391,4.438,4.297,4.438,3100,
15/04/2010,4.297,4.345,4.297,4.297,4000,
16/04/2010,4.345,4.345,4.297,4.297,6000,
19/04/2010,4.626,4.626,4.626,4.626,5300,
20/04/2010,4.913,4.913,4.719,4.913,13000,
21/04/2010,5.146,5.146,5.146,5.146,21000,
22/04/2010,5.381,5.475,4.82,5.475,6500,
26/04/2010,5.288,5.288,4.719,4.719,300,
27/04/2010,4.82,5.288,4.82,5.288,7200,
28/04/2010,4.719,4.82,4.719,4.82,2700,
29/04/2010,4.626,4.626,4.626,4.626,100,
04/05/2010,4.913,4.913,4.719,4.913,13800,
05/05/2010,4.866,4.866,4.866,4.866,2000,
06/05/2010,5.194,5.194,5.146,5.194,8200,
07/05/2010,5.528,5.528,5.528,5.528,12300,
10/05/2010,5.902,5.902,5.902,5.902,6200,
11/05/2010,6.283,6.283,6.283,6.283,5600,
12/05/2010,6.377,6.704,5.902,6.704,21900,
13/05/2010,6.09,6.137,6.09,6.137,4600,
14/05/2010,5.668,5.668,5.668,5.668,5000,
17/05/2010,5.334,5.668,5.334,5.334,2800,
18/05/2010,5.194,5.194,5.1,5.1,1900,
19/05/2010,5.429,5.429,5.429,5.429,500,
20/05/2010,5.809,5.809,5.763,5.763,4100,
21/05/2010,5.429,5.575,5.429,5.429,5500,
24/05/2010,5.668,5.668,5.668,5.668,100,
25/05/2010,5.668,5.668,5.668,5.668,0,
26/05/2010,5.668,5.668,5.668,5.668,0,
27/05/2010,5.334,5.334,5.288,5.288,3200,
28/05/2010,5.429,5.622,5.429,5.622,3800,
31/05/2010,5.809,5.809,5.668,5.668,5200,
01/06/2010,5.949,6.137,5.949,6.137,1100,
02/06/2010,5.902,6.33,5.902,6.33,700,
03/06/2010,5.575,6.33,5.575,6.33,2400,
04/06/2010,5.288,5.902,5.288,5.902,300,
07/06/2010,5.194,5.194,5.194,5.194,2400,
08/06/2010,4.866,5.007,4.866,5.007,5200,
09/06/2010,5.194,5.194,4.96,4.96,400,
10/06/2010,5.194,5.194,4.719,4.866,2700,
11/06/2010,5.007,5.007,5.007,5.007,0,
14/06/2010,5.241,5.241,5.241,5.241,100,
15/06/2010,5.334,5.475,5.334,5.475,1100,
16/06/2010,5.1,5.1,5.1,5.1,800,
17/06/2010,5.1,5.1,5.1,5.1,0,
18/06/2010,5.334,5.334,5.334,5.334,500,
21/06/2010,5.334,5.475,5.194,5.475,4800,
22/06/2010,5.381,5.475,5.334,5.475,1000,
23/06/2010,5.194,5.429,5.194,5.429,700,
24/06/2010,5.622,5.716,5.622,5.716,1300,
25/06/2010,5.334,5.668,5.334,5.668,1500,
28/06/2010,5.1,5.1,5.1,5.1,1000,
29/06/2010,5.194,5.194,5.194,5.194,1100,
30/06/2010,5.194,5.194,5.194,5.194,0,
01/07/2010,5.007,5.007,5.007,5.007,300,
02/07/2010,5.288,5.288,5.194,5.194,700,
05/07/2010,5.475,5.528,5.429,5.429,5900,
06/07/2010,5.381,5.381,5.381,5.381,500,
07/07/2010,6.319,6.319,6.319,6.319,0,
08/07/2010,6.319,6.319,6.319,6.319,0,
09/07/2010,5.528,5.528,5.194,5.194,500,
12/07/2010,5.429,5.429,5.288,5.288,1300,
13/07/2010,5.668,5.668,5.1,5.1,1000,
14/07/2010,5.668,5.668,5.668,5.668,2200,
15/07/2010,5.668,5.668,5.668,5.668,3000,
16/07/2010,5.668,5.668,5.668,5.668,2300,
19/07/2010,5.668,5.716,5.429,5.575,5400,
20/07/2010,5.763,5.995,5.716,5.716,8600,
21/07/2010,5.809,5.856,5.809,5.809,900,
22/07/2010,5.668,5.716,5.668,5.716,1000,
23/07/2010,5.763,5.763,5.622,5.622,1100,
26/07/2010,5.528,5.528,5.528,5.528,300,
27/07/2010,5.668,5.668,5.668,5.668,600,
28/07/2010,5.856,5.856,5.856,5.856,100,
29/07/2010,5.856,5.856,5.856,5.856,0,
30/07/2010,5.809,5.856,5.809,5.856,800,
02/08/2010,5.856,5.856,5.856,5.856,0,
03/08/2010,5.809,5.809,5.809,5.809,500,
04/08/2010,6.815,6.815,6.815,6.815,0,
05/08/2010,6.815,6.815,6.815,6.815,0,
06/08/2010,5.429,5.429,5.429,5.429,2200,
09/08/2010,5.194,5.194,5.194,5.194,400,
10/08/2010,4.913,4.96,4.913,4.96,1500,
11/08/2010,4.767,4.767,4.719,4.719,200,
12/08/2010,4.673,4.719,4.626,4.719,2600,
13/08/2010,4.96,4.96,4.579,4.626,2900,
16/08/2010,4.913,4.913,4.913,4.913,400,
17/08/2010,5.767,5.767,5.767,5.767,0,
18/08/2010,5.1,5.1,5.1,5.1,100,
19/08/2010,5.984,5.984,5.984,5.984,0,
20/08/2010,5.984,5.984,5.984,5.984,0,
23/08/2010,4.767,4.82,4.767,4.82,300,
24/08/2010,5.657,5.657,5.657,5.657,0,
25/08/2010,4.485,4.532,4.485,4.532,1000,
26/08/2010,4.532,4.532,4.532,4.532,0,
27/08/2010,4.345,4.345,4.345,4.345,2000,
30/08/2010,4.626,4.626,4.626,4.626,100,
31/08/2010,4.866,4.866,4.866,4.866,100,
01/09/2010,4.719,4.719,4.719,4.719,1100,
06/09/2010,4.96,4.96,4.96,4.96,400,
07/09/2010,4.673,4.719,4.673,4.719,200,
08/09/2010,4.719,4.719,4.719,4.719,100,
09/09/2010,4.719,4.719,4.719,4.719,0,
10/09/2010,4.485,4.485,4.391,4.391,2600,
13/09/2010,4.485,4.485,4.485,4.485,0,
14/09/2010,4.297,4.297,4.251,4.251,200,
15/09/2010,5.041,5.041,5.041,5.041,0,
16/09/2010,5.041,5.041,5.041,5.041,0,
17/09/2010,4.485,4.485,4.485,4.485,100,
20/09/2010,5.264,5.264,5.264,5.264,0,
21/09/2010,4.297,4.485,4.204,4.204,2200,
22/09/2010,4.297,4.297,4.063,4.063,1600,
23/09/2010,4.438,4.438,4.159,4.159,700,
24/09/2010,5.041,5.041,5.041,5.041,0,
27/09/2010,4.297,4.297,4.297,4.297,0,
28/09/2010,5.041,5.041,5.041,5.041,0,
29/09/2010,4.063,4.063,4.063,4.063,100,
30/09/2010,4.345,4.345,4.345,4.345,100,
01/10/2010,4.626,4.626,4.626,4.626,100,
04/10/2010,4.626,4.626,4.626,4.626,0,
05/10/2010,5.434,5.434,5.434,5.434,0,
06/10/2010,4.913,4.913,4.913,4.913,300,
07/10/2010,4.913,4.913,4.913,4.913,0,
08/10/2010,4.913,4.913,4.913,4.913,0,
11/10/2010,5.241,5.241,5.241,5.241,100,
12/10/2010,5.241,5.241,5.241,5.241,0,
13/10/2010,5.241,5.241,5.241,5.241,0,
14/10/2010,5.241,5.241,5.241,5.241,0,
15/10/2010,5.241,5.241,5.241,5.241,0,
18/10/2010,5.241,5.241,5.241,5.241,0,
19/10/2010,5.241,5.241,5.241,5.241,0,
20/10/2010,6.154,6.154,6.154,6.154,0,
21/10/2010,6.154,6.154,6.154,6.154,0,
22/10/2010,6.154,6.154,6.154,6.154,0,
25/10/2010,6.154,6.154,6.154,6.154,0,
