transDate,close,high,low,open,volume,event
06/04/2016,11.542,11.542,11.542,11.542,0,
07/04/2016,11.542,11.542,11.542,11.542,0,
08/04/2016,11.542,11.542,11.542,11.542,0,
11/04/2016,6.925,6.925,6.925,6.925,900,
12/04/2016,6.925,6.925,6.925,6.925,0,
13/04/2016,6.925,6.925,6.925,6.925,0,
14/04/2016,7.939,7.939,7.939,7.939,100,
15/04/2016,7.939,7.939,7.939,7.939,0,
19/04/2016,8.727,8.727,8.727,8.727,400,
20/04/2016,8.727,8.727,8.727,8.727,300,
21/04/2016,9.29,9.29,9.29,9.29,200,
22/04/2016,9.29,9.29,9.29,9.29,0,
25/04/2016,9.009,9.009,9.009,9.009,200,
26/04/2016,8.446,8.951,8.446,8.951,3300,
27/04/2016,8.501,8.501,8.446,8.446,1700,
28/04/2016,8.446,8.446,8.446,8.446,0,
29/04/2016,9.684,9.684,9.009,9.009,1600,
04/05/2016,10.811,10.811,10.811,10.811,700,
05/05/2016,10.811,10.811,10.811,10.811,0,
06/05/2016,10.811,10.811,10.811,10.811,0,
09/05/2016,12.386,12.386,12.386,12.386,100,
10/05/2016,12.386,12.386,12.386,12.386,0,
11/05/2016,12.386,12.442,12.386,12.386,3100,
12/05/2016,12.386,12.442,12.386,12.442,1700,
13/05/2016,12.95,12.95,12.668,12.668,3800,
16/05/2016,14.357,14.357,13.232,13.232,14300,
17/05/2016,14.639,14.639,14.639,14.639,6700,
18/05/2016,14.639,14.639,14.639,14.639,1300,
19/05/2016,14.639,14.639,14.639,14.639,1400,
20/05/2016,14.919,14.919,14.639,14.639,500,
23/05/2016,14.639,14.639,14.639,14.639,2200,
24/05/2016,14.639,14.639,14.639,14.639,2400,
25/05/2016,14.639,14.639,14.639,14.639,0,
26/05/2016,14.639,14.919,14.639,14.639,6700,
27/05/2016,14.919,14.919,14.919,14.919,2500,
30/05/2016,14.919,14.919,14.919,14.919,0,
31/05/2016,14.919,14.919,14.919,14.919,0,
01/06/2016,14.751,14.751,14.751,14.751,700,
02/06/2016,14.751,14.751,14.751,14.751,0,
03/06/2016,14.697,14.697,14.697,14.697,1700,
06/06/2016,14.919,14.919,14.919,14.919,2700,
07/06/2016,14.919,14.919,14.919,14.919,0,
08/06/2016,14.919,14.919,14.919,14.919,0,
09/06/2016,14.751,14.751,14.751,14.751,100,
10/06/2016,14.751,14.751,14.751,14.751,0,
13/06/2016,14.697,14.697,14.697,14.697,600,
14/06/2016,14.697,14.697,14.697,14.697,0,
15/06/2016,14.697,14.697,14.697,14.697,0,
16/06/2016,14.697,14.697,14.697,14.697,0,
17/06/2016,15.257,15.257,15.257,15.257,500,
20/06/2016,15.257,15.257,15.257,15.257,0,
21/06/2016,15.257,15.257,15.257,15.257,0,
22/06/2016,14.919,14.919,14.919,14.919,100,
