transDate,close,high,low,open,volume,event
21/10/2009,11.706,12.877,11.706,12.289,49000,
22/10/2009,11.393,12.094,11.393,12.094,18600,
23/10/2009,10.65,10.65,10.65,10.65,12500,
26/10/2009,9.911,9.911,9.911,9.911,100,
27/10/2009,9.249,9.249,9.249,9.249,100,
28/10/2009,8.621,8.621,8.621,8.621,17100,
29/10/2009,8.036,8.036,8.036,8.036,2600,
30/10/2009,7.493,8.036,7.493,7.493,57500,
02/11/2009,6.986,7.22,6.986,6.986,22600,
03/11/2009,7.45,7.45,6.514,6.514,16200,
04/11/2009,7.297,7.297,7.297,7.297,11000,
05/11/2009,7.806,7.806,7.763,7.806,9800,
06/11/2009,8.036,8.348,7.922,8.348,25100,
09/11/2009,7.685,8.348,7.685,8.348,5800,
10/11/2009,7.22,8.194,7.22,8.194,2300,
11/11/2009,7.412,7.763,6.789,7.763,800,
12/11/2009,6.946,7.685,6.946,7.685,2700,
13/11/2009,7.22,7.608,7.024,7.608,1200,
16/11/2009,7.685,7.685,7.024,7.024,1300,
17/11/2009,6.946,7.763,6.908,7.763,5000,
18/11/2009,7.139,7.335,6.635,7.335,3400,
19/11/2009,6.75,7.139,6.554,7.139,7400,
20/11/2009,6.635,6.986,6.635,6.986,1900,
23/11/2009,6.438,6.438,6.438,6.438,2000,
24/11/2009,6.126,6.243,6.087,6.243,8400,
25/11/2009,6.592,6.592,6.592,6.592,200,
26/11/2009,6.164,6.825,6.164,6.825,5300,
27/11/2009,5.853,6.362,5.777,5.777,4100,
30/11/2009,6.362,6.362,6.243,6.243,1300,
01/12/2009,6.713,6.75,6.674,6.674,7800,
02/12/2009,6.279,7.061,6.279,7.061,9800,
03/12/2009,6.049,6.554,6.049,6.554,9100,
04/12/2009,6.438,6.438,6.438,6.438,1400,
07/12/2009,6.438,6.635,6.438,6.635,1500,
08/12/2009,6.438,6.438,6.438,6.438,100,
09/12/2009,6.006,6.049,6.006,6.049,700,
10/12/2009,5.655,5.655,5.655,5.655,1100,
11/12/2009,5.655,5.655,5.655,5.655,500,
14/12/2009,5.87,5.87,5.87,5.87,0,
15/12/2009,6.006,6.006,5.967,5.967,4000,
