transDate,close,high,low,open,volume,event
28/10/2016,49.279,49.279,49.279,49.279,100,
31/10/2016,56.59,56.59,56.59,56.59,100,
01/11/2016,65.073,65.073,65.073,65.073,150,
02/11/2016,74.821,74.821,74.821,74.821,2400,
03/11/2016,86.012,86.012,86.012,86.012,2600,
04/11/2016,98.829,98.829,98.829,98.829,13700,
07/11/2016,113.631,113.631,113.631,113.631,31570,
08/11/2016,130.599,130.599,129.967,130.599,118000,
09/11/2016,123.74,150.184,111.103,150.184,83468,
10/11/2016,115.526,145.762,113.812,130.869,82870,
11/11/2016,104.154,115.526,104.154,115.526,89070,
14/11/2016,96.573,110.111,90.345,90.345,81180,
15/11/2016,99.28,104.154,96.573,99.28,65796,
16/11/2016,94.136,99.28,94.046,99.28,43723,
17/11/2016,90.255,92.782,89.984,91.518,69040,
18/11/2016,90.345,92.873,89.352,92.511,46670,
21/11/2016,96.573,97.475,90.255,90.706,60956,
22/11/2016,97.475,102.891,97.475,98.288,82797,
23/11/2016,96.843,99.28,96.573,97.475,55428,
24/11/2016,94.767,98.288,93.956,95.67,46983,
25/11/2016,95.85,98.198,93.053,93.053,40279,
28/11/2016,95.67,100.183,95.219,97.475,64102,
29/11/2016,96.573,98.739,95.129,96.573,29500,
30/11/2016,95.76,96.212,94.767,95.67,17150,
01/12/2016,98.829,100.183,95.67,95.76,85775,
02/12/2016,100.183,100.183,97.205,98.829,37231,
05/12/2016,99.1,99.28,97.475,98.919,47570,
06/12/2016,90.255,100.905,85.742,99.28,122160,
07/12/2016,105.057,107.494,79.514,90.255,273397,
08/12/2016,112.187,112.187,94.858,104.695,213727,
09/12/2016,122.476,122.476,105.327,112.187,172500,
12/12/2016,133.938,133.938,109.66,116.609,180311,
13/12/2016,145.491,145.491,129.065,129.065,143120,
14/12/2016,163.091,163.091,144.408,145.31,78644,
15/12/2016,181.774,181.774,157.946,181.774,83518,
16/12/2016,203.796,203.796,162.459,189.535,88668,
19/12/2016,162.098,189.535,162.098,180.6,31811,
20/12/2016,147.928,157.946,147.025,157.946,32893,
21/12/2016,153.433,153.433,125.093,144.408,27650,
22/12/2016,132.855,152.711,112.999,151.628,76500,
23/12/2016,117.872,126.357,100.363,117.964,106720,
26/12/2016,112.819,115.526,100.273,100.273,38952,
27/12/2016,126.357,126.357,112.819,113.721,41620,
28/12/2016,119.858,126.357,117.331,121.844,42070,
29/12/2016,118.234,119.948,111.916,116.429,24010,
30/12/2016,113.27,115.526,110.653,112.819,13202,
03/01/2017,110.111,112.819,108.306,112.819,8220,
04/01/2017,108.306,111.916,106.501,111.916,12890,
05/01/2017,113.812,124.552,105.057,110.562,78810,
06/01/2017,114.805,120.039,110.833,110.833,22478,
09/01/2017,130.869,130.869,113.36,119.047,33410,
10/01/2017,115.526,120.581,115.075,120.581,17773,
19/01/2017,121.844,135.292,120.129,132.675,59330,
20/01/2017,125.454,129.967,122.747,129.967,41550,
23/01/2017,120.49,126.809,120.22,122.747,10410,
24/01/2017,120.761,120.941,115.526,120.49,12750,
25/01/2017,121.844,124.552,118.324,124.552,5320,
02/02/2017,119.137,120.941,118.234,119.137,12840,
03/02/2017,115.075,118.234,114.624,117.422,28860,
06/02/2017,108.306,115.075,107.403,115.075,23400,
07/02/2017,105.598,108.306,103.793,107.403,20930,
08/02/2017,105.598,107.854,100.363,105.237,20700,
09/02/2017,102.891,105.508,102.801,102.801,10950,
10/02/2017,105.869,105.96,102.891,102.891,9980,
13/02/2017,104.335,106.05,103.884,106.05,2060,
14/02/2017,102.439,103.793,102.439,102.891,9270,
15/02/2017,101.988,102.439,100.725,102.439,3580,
16/02/2017,100.363,102.439,100.273,102.439,13830,
17/02/2017,99.732,100.995,99.732,100.363,5480,
20/02/2017,96.573,99.28,93.684,93.684,13760,
21/02/2017,101.808,101.898,96.573,96.573,8760,
22/02/2017,104.695,105.057,99.371,101.808,20090,
23/02/2017,101.988,103.793,101.988,103.793,12520,
24/02/2017,100.183,101.085,99.28,101.085,8520,
27/02/2017,99.19,100.905,97.475,100.183,4970,
28/02/2017,97.115,102.439,97.115,98.378,5140,
01/03/2017,97.656,98.378,97.475,97.566,5530,
02/03/2017,97.385,97.475,95.76,96.573,4840,
03/03/2017,95.219,97.385,95.219,95.76,8220,
06/03/2017,93.866,94.858,92.963,94.858,6340,
07/03/2017,90.706,95.67,90.255,95.67,18190,
08/03/2017,91.518,92.782,90.255,90.255,12540,
09/03/2017,90.255,91.428,90.255,91.428,12640,
10/03/2017,88.63,89.804,88.54,89.443,4300,
13/03/2017,87.547,88.721,86.645,88.721,10320,
14/03/2017,86.645,87.186,86.464,86.464,3290,
15/03/2017,85.742,86.194,85.291,85.742,6590,
16/03/2017,83.486,85.742,79.786,85.291,16220,
17/03/2017,84.659,85.742,84.388,85.742,8580,
20/03/2017,84.028,86.194,83.035,86.103,1320,
21/03/2017,83.035,83.937,83.035,83.937,3050,
22/03/2017,82.132,84.839,82.132,83.937,4880,
23/03/2017,78.703,82.222,78.703,82.222,7280,
24/03/2017,78.793,80.778,78.522,79.424,11610,
27/03/2017,79.876,82.132,78.793,78.793,11660,
28/03/2017,79.876,79.876,78.522,79.786,1980,
29/03/2017,76.717,79.695,76.717,79.424,11870,
30/03/2017,75.814,76.717,75.814,76.717,7330,
31/03/2017,73.197,77.619,73.107,77.619,10870,
03/04/2017,69.496,73.107,69.045,72.204,11650,
04/04/2017,70.399,70.399,65.886,66.969,14020,
