transDate,close,high,low,open,volume,event
06/09/2011,5.426,5.426,5.426,5.426,80800,
07/09/2011,5.192,5.192,5.192,5.192,47270,
08/09/2011,5.426,5.426,5.192,5.307,413500,
09/09/2011,5.307,5.426,5.249,5.426,62590,
12/09/2011,5.072,5.366,5.072,5.366,89140,
13/09/2011,5.132,5.192,4.954,5.132,109590,
14/09/2011,4.895,5.072,4.895,5.072,140150,
15/09/2011,4.837,5.012,4.66,4.837,57160,
16/09/2011,4.66,4.837,4.66,4.66,74480,
19/09/2011,4.718,4.778,4.599,4.599,21550,
20/09/2011,4.599,4.718,4.599,4.599,26460,
21/09/2011,4.423,4.599,4.423,4.599,51050,
22/09/2011,4.599,4.599,4.423,4.483,26700,
23/09/2011,4.599,4.599,4.541,4.541,8100,
26/09/2011,4.423,4.66,4.423,4.423,21060,
27/09/2011,4.483,4.483,4.423,4.483,46590,
28/09/2011,4.483,4.66,4.483,4.483,21670,
29/09/2011,4.365,4.483,4.304,4.365,39000,
30/09/2011,4.483,4.541,4.304,4.541,5540,
03/10/2011,4.365,4.365,4.304,4.304,15850,
04/10/2011,4.188,4.365,4.188,4.365,7510,
05/10/2011,4.304,4.304,4.129,4.129,12650,
06/10/2011,4.365,4.365,4.304,4.365,7550,
07/10/2011,4.304,4.423,4.246,4.423,43730,
10/10/2011,4.246,4.246,4.188,4.188,28560,
11/10/2011,4.246,4.246,4.188,4.246,10000,
12/10/2011,4.07,4.188,4.07,4.188,30620,
13/10/2011,4.129,4.129,3.952,3.952,5230,
14/10/2011,4.129,4.246,4.129,4.129,14180,
17/10/2011,4.188,4.246,4.188,4.188,24100,
18/10/2011,4.07,4.188,4.07,4.188,9620,
19/10/2011,4.01,4.07,4.01,4.01,6440,
20/10/2011,3.952,4.129,3.952,4.07,13980,
21/10/2011,4.129,4.129,3.952,3.952,15910,
24/10/2011,4.01,4.188,4.01,4.07,15760,
25/10/2011,3.892,4.01,3.892,3.892,25240,
26/10/2011,3.715,3.833,3.715,3.833,100650,
27/10/2011,3.715,3.833,3.715,3.715,2300,
28/10/2011,3.776,3.833,3.598,3.776,21500,
31/10/2011,3.658,3.833,3.658,3.833,16180,
01/11/2011,3.479,3.776,3.479,3.776,99100,
02/11/2011,3.539,3.539,3.479,3.539,11880,
03/11/2011,3.539,3.539,3.479,3.539,32640,
04/11/2011,3.539,3.598,3.479,3.598,160940,
07/11/2011,3.479,3.539,3.479,3.539,39240,
08/11/2011,3.479,3.539,3.421,3.539,13900,
09/11/2011,3.539,3.539,3.479,3.539,47990,
10/11/2011,3.539,3.539,3.479,3.539,34520,
11/11/2011,3.539,3.598,3.539,3.539,83010,
14/11/2011,3.658,3.658,3.598,3.598,152620,
15/11/2011,3.833,3.833,3.776,3.833,207370,
16/11/2011,4.01,4.01,3.952,3.952,231820,
17/11/2011,4.129,4.129,4.01,4.07,52960,
18/11/2011,4.129,4.188,4.01,4.188,80140,
21/11/2011,3.952,4.129,3.952,4.01,52710,
22/11/2011,3.892,3.952,3.776,3.833,119220,
23/11/2011,3.952,3.952,3.715,3.892,16140,
24/11/2011,3.892,3.952,3.833,3.952,30170,
25/11/2011,3.715,3.833,3.715,3.833,5660,
28/11/2011,3.776,3.776,3.715,3.715,49120,
29/11/2011,3.833,3.833,3.776,3.776,42500,
30/11/2011,3.833,3.833,3.776,3.776,29610,
01/12/2011,3.833,3.892,3.776,3.892,86140,
02/12/2011,3.833,3.892,3.776,3.833,89200,
05/12/2011,4.01,4.01,3.892,3.892,50970,
06/12/2011,4.01,4.01,3.892,4.01,98110,
07/12/2011,4.129,4.129,4.01,4.01,79940,
08/12/2011,4.188,4.188,4.129,4.188,20180,
09/12/2011,4.129,4.129,4.01,4.129,9180,
12/12/2011,4.129,4.129,4.07,4.07,13000,
13/12/2011,4.07,4.07,4.01,4.01,23500,
14/12/2011,3.952,4.07,3.892,4.07,10630,
15/12/2011,3.892,3.892,3.776,3.833,13080,
16/12/2011,3.952,3.952,3.952,3.952,6130,
19/12/2011,3.952,3.952,3.952,3.952,10110,
20/12/2011,3.833,3.952,3.833,3.833,23110,
21/12/2011,3.833,3.952,3.833,3.952,5210,
22/12/2011,3.776,3.952,3.776,3.952,400,
23/12/2011,3.776,3.776,3.715,3.715,32370,
26/12/2011,3.776,3.776,3.715,3.715,13900,
27/12/2011,3.776,3.776,3.598,3.658,5010,
28/12/2011,3.715,3.776,3.715,3.776,1630,
29/12/2011,3.715,3.715,3.539,3.658,60400,
30/12/2011,3.539,3.539,3.539,3.539,9970,
03/01/2012,3.658,3.715,3.598,3.715,21460,
04/01/2012,3.658,3.658,3.658,3.658,2000,
05/01/2012,3.715,3.715,3.658,3.658,8510,
06/01/2012,3.658,3.715,3.658,3.715,9520,
09/01/2012,3.715,3.715,3.715,3.715,400,
10/01/2012,3.776,3.776,3.715,3.715,1710,
11/01/2012,3.833,3.833,3.776,3.776,13690,
12/01/2012,3.833,3.833,3.833,3.833,930,
13/01/2012,3.892,3.892,3.892,3.892,100,
16/01/2012,3.952,3.952,3.892,3.952,9150,
17/01/2012,4.01,4.01,3.892,3.952,11280,
18/01/2012,4.07,4.07,3.833,4.07,22400,
19/01/2012,4.129,4.129,4.07,4.07,4700,
20/01/2012,4.129,4.129,4.07,4.07,9500,
30/01/2012,4.188,4.188,4.01,4.01,5700,
31/01/2012,4.188,4.188,4.129,4.188,16900,
01/02/2012,4.188,4.188,4.188,4.188,3750,
02/02/2012,4.246,4.246,4.129,4.188,31760,
03/02/2012,4.188,4.246,4.07,4.246,24270,
06/02/2012,4.188,4.188,4.188,4.188,100,
07/02/2012,4.129,4.188,4.01,4.01,2920,
08/02/2012,4.129,4.188,4.129,4.129,3320,
09/02/2012,4.246,4.246,4.129,4.129,16420,
10/02/2012,4.129,4.129,4.07,4.129,11240,
13/02/2012,4.129,4.188,4.07,4.129,43860,
14/02/2012,4.129,4.188,4.129,4.129,67810,
15/02/2012,4.07,4.129,4.07,4.129,13570,
16/02/2012,4.07,4.07,3.952,4.07,7760,
17/02/2012,4.129,4.188,4.129,4.129,4990,
20/02/2012,4.246,4.246,4.129,4.129,18490,
21/02/2012,4.129,4.129,4.129,4.129,9600,
22/02/2012,4.07,4.129,3.952,4.129,16710,
23/02/2012,4.07,4.07,4.07,4.07,32560,
24/02/2012,4.129,4.188,4.01,4.01,59540,
27/02/2012,4.304,4.304,4.129,4.188,174410,
28/02/2012,4.246,4.423,4.246,4.423,33310,
29/02/2012,4.129,4.304,4.129,4.304,7230,
01/03/2012,4.246,4.304,4.188,4.246,81170,
02/03/2012,4.246,4.246,4.188,4.246,30260,
05/03/2012,4.423,4.423,4.246,4.246,773300,
06/03/2012,4.599,4.599,4.483,4.599,600640,
07/03/2012,4.778,4.778,4.599,4.778,247170,
08/03/2012,4.718,4.895,4.599,4.599,43750,
09/03/2012,4.483,4.66,4.483,4.599,209480,
12/03/2012,4.304,4.365,4.304,4.304,81220,
13/03/2012,4.483,4.483,4.129,4.188,301820,
14/03/2012,4.304,4.483,4.304,4.304,151000,
15/03/2012,4.423,4.483,4.188,4.304,76290,
16/03/2012,4.423,4.541,4.423,4.423,238270,
19/03/2012,4.365,4.483,4.365,4.365,90700,
20/03/2012,4.423,4.423,4.304,4.365,49230,
21/03/2012,4.423,4.599,4.423,4.423,210610,
22/03/2012,4.599,4.599,4.541,4.599,449960,
23/03/2012,4.778,4.778,4.778,4.778,255120,
26/03/2012,5.012,5.012,4.954,5.012,681850,
27/03/2012,4.954,5.192,4.954,5.192,577380,
28/03/2012,4.954,4.954,4.718,4.778,282320,
29/03/2012,4.895,5.012,4.837,4.954,236930,
30/03/2012,4.778,4.895,4.778,4.895,197720,
03/04/2012,4.711,4.778,4.643,4.643,113950,DIVIDEND
04/04/2012,4.575,4.778,4.508,4.575,127320,
05/04/2012,4.643,4.643,4.508,4.643,73660,
06/04/2012,4.778,4.845,4.643,4.643,133610,
09/04/2012,4.845,4.845,4.643,4.643,39930,
10/04/2012,4.778,4.912,4.778,4.912,89000,
11/04/2012,4.845,4.912,4.711,4.845,265140,
12/04/2012,4.778,4.912,4.778,4.912,138650,
13/04/2012,4.778,4.778,4.711,4.778,100030,
16/04/2012,4.845,4.912,4.643,4.711,124250,
17/04/2012,4.778,4.845,4.711,4.778,156180,
18/04/2012,4.98,4.98,4.643,4.711,413280,
19/04/2012,5.181,5.181,5.046,5.113,694590,
20/04/2012,5.046,5.382,5.046,5.046,217760,
23/04/2012,5.046,5.181,5.046,5.181,102610,
24/04/2012,5.046,5.113,4.912,5.046,149600,
25/04/2012,5.046,5.113,4.98,5.113,178350,
26/04/2012,5.249,5.249,5.046,5.113,324040,
27/04/2012,5.451,5.451,5.451,5.451,112610,
02/05/2012,5.718,5.718,5.718,5.718,251030,
03/05/2012,5.989,5.989,5.853,5.989,1095820,
04/05/2012,6.258,6.258,6.258,6.258,119480,
07/05/2012,6.527,6.527,6.527,6.527,41150,
08/05/2012,6.796,6.796,6.728,6.796,861740,
09/05/2012,6.997,7.132,6.595,6.595,848970,
10/05/2012,6.728,7.132,6.661,6.997,567280,
11/05/2012,6.595,6.864,6.595,6.661,324050,
14/05/2012,6.325,6.595,6.325,6.595,274020,
15/05/2012,6.057,6.123,6.057,6.057,117060,
16/05/2012,5.787,5.989,5.787,5.853,529480,
17/05/2012,5.853,6.057,5.853,5.853,238770,
18/05/2012,5.652,5.92,5.584,5.853,139850,
21/05/2012,5.92,5.92,5.652,5.853,53660,
22/05/2012,5.853,6.123,5.853,5.92,227210,
23/05/2012,5.584,5.989,5.584,5.989,182030,
24/05/2012,5.315,5.518,5.315,5.451,242760,
25/05/2012,5.518,5.518,5.382,5.518,185810,
28/05/2012,5.787,5.787,5.584,5.787,169580,
29/05/2012,5.718,5.787,5.652,5.787,94620,
30/05/2012,5.518,5.853,5.518,5.652,119170,
31/05/2012,5.584,5.718,5.451,5.518,180840,
01/06/2012,5.787,5.853,5.518,5.787,120030,
04/06/2012,5.518,5.787,5.518,5.787,61910,
05/06/2012,5.652,5.652,5.451,5.584,26280,
06/06/2012,5.652,5.718,5.518,5.652,89270,
07/06/2012,5.787,5.92,5.652,5.718,295350,
08/06/2012,5.718,5.989,5.652,5.92,138750,
11/06/2012,5.718,5.853,5.652,5.718,125390,
12/06/2012,5.584,5.718,5.584,5.718,65350,
13/06/2012,5.584,5.652,5.451,5.652,128410,
14/06/2012,5.584,5.584,5.382,5.518,146050,
15/06/2012,5.787,5.787,5.652,5.652,118850,
18/06/2012,5.787,5.92,5.718,5.853,138510,
19/06/2012,5.652,5.787,5.584,5.787,64500,
20/06/2012,5.584,5.718,5.584,5.652,80680,
21/06/2012,5.584,5.652,5.518,5.584,39200,
22/06/2012,5.451,5.652,5.451,5.518,68460,
25/06/2012,5.315,5.518,5.249,5.382,91000,
26/06/2012,5.113,5.315,5.113,5.249,115300,
27/06/2012,5.046,5.249,5.046,5.249,48740,
28/06/2012,5.046,5.181,4.912,5.046,18640,
29/06/2012,5.181,5.181,5.046,5.181,26500,
02/07/2012,5.046,5.315,5.046,5.315,57670,
03/07/2012,4.912,5.046,4.845,4.912,62290,
04/07/2012,4.912,5.046,4.778,5.046,33270,
05/07/2012,4.98,4.98,4.778,4.845,39120,
06/07/2012,5.113,5.113,4.912,4.912,92310,
09/07/2012,4.912,5.113,4.912,5.113,19500,
10/07/2012,4.778,4.845,4.711,4.711,83000,
11/07/2012,4.778,4.912,4.778,4.778,64770,
12/07/2012,4.845,4.845,4.711,4.778,49010,
13/07/2012,5.046,5.046,4.912,4.912,134010,
16/07/2012,5.046,5.181,4.98,5.113,91750,
17/07/2012,5.181,5.249,4.912,4.912,103470,
18/07/2012,5.181,5.249,5.046,5.113,46960,
19/07/2012,5.249,5.315,5.046,5.181,88670,
20/07/2012,5.315,5.382,5.181,5.249,96990,
23/07/2012,5.181,5.315,5.113,5.113,71980,
24/07/2012,5.046,5.249,5.046,5.181,57010,
25/07/2012,4.98,5.113,4.98,4.98,52750,
26/07/2012,4.98,5.113,4.845,4.98,73670,
27/07/2012,4.98,5.046,4.912,5.046,14440,
30/07/2012,4.98,5.046,4.912,5.046,23460,
31/07/2012,4.912,5.113,4.912,5.046,65400,
01/08/2012,4.845,4.98,4.845,4.98,52210,
02/08/2012,4.98,5.046,4.845,4.845,25920,
03/08/2012,5.113,5.113,4.912,5.046,34300,
06/08/2012,5.181,5.249,5.113,5.113,23900,
07/08/2012,5.113,5.181,4.98,4.98,43860,
08/08/2012,5.046,5.113,4.912,5.113,80560,
09/08/2012,5.113,5.181,5.113,5.181,57180,
10/08/2012,5.315,5.315,5.113,5.181,197380,
13/08/2012,5.249,5.451,5.249,5.382,171390,
14/08/2012,5.315,5.382,5.181,5.181,67360,
15/08/2012,5.382,5.382,5.249,5.249,10320,
16/08/2012,5.315,5.382,5.181,5.382,16250,
17/08/2012,5.315,5.315,5.181,5.249,62110,
20/08/2012,5.315,5.382,5.181,5.382,29720,
21/08/2012,5.113,5.181,5.113,5.181,88080,
22/08/2012,4.912,4.98,4.912,4.912,188930,
23/08/2012,4.711,4.711,4.711,4.711,69610,
24/08/2012,4.778,4.845,4.508,4.508,128160,
27/08/2012,4.575,4.778,4.575,4.778,127200,
28/08/2012,4.575,4.575,4.373,4.575,75460,
29/08/2012,4.778,4.778,4.575,4.575,63830,
30/08/2012,4.711,4.845,4.711,4.778,70270,
31/08/2012,4.575,4.711,4.508,4.711,187560,
04/09/2012,4.508,4.643,4.508,4.643,97410,
05/09/2012,4.442,4.575,4.373,4.575,55040,
06/09/2012,4.373,4.575,4.373,4.508,54200,
07/09/2012,4.442,4.442,4.373,4.373,35170,
10/09/2012,4.238,4.508,4.238,4.508,122100,
11/09/2012,4.104,4.104,4.037,4.104,53520,
12/09/2012,4.173,4.305,4.173,4.173,27500,
13/09/2012,4.305,4.305,4.173,4.238,32720,
14/09/2012,4.508,4.508,4.373,4.373,30630,
17/09/2012,4.508,4.643,4.508,4.575,41680,
18/09/2012,4.305,4.508,4.305,4.508,39510,
19/09/2012,4.373,4.442,4.173,4.373,15560,
20/09/2012,4.305,4.305,4.173,4.173,19140,
21/09/2012,4.373,4.373,4.305,4.305,21800,
