transDate,close,high,low,open,volume,event
19/07/2011,7.32,8.259,6.916,6.916,22240,
20/07/2011,6.983,6.983,6.983,6.983,4510,
21/07/2011,6.647,6.647,6.647,6.647,350,
22/07/2011,6.378,6.378,6.378,6.378,2330,
25/07/2011,6.11,6.11,6.11,6.11,12130,
26/07/2011,5.909,5.909,5.842,5.842,65950,
27/07/2011,5.708,6.177,5.64,5.708,51700,
28/07/2011,5.506,5.909,5.439,5.909,4920,
29/07/2011,5.774,5.774,5.708,5.774,9940,
01/08/2011,5.506,5.774,5.506,5.506,5110,
02/08/2011,5.506,5.506,5.304,5.372,2740,
03/08/2011,5.506,5.64,5.506,5.64,5500,
04/08/2011,5.237,5.64,5.237,5.506,16800,
05/08/2011,5.439,5.439,5.237,5.237,19560,
08/08/2011,5.506,5.64,5.439,5.64,25550,
09/08/2011,5.237,5.372,5.237,5.237,20670,
10/08/2011,5.103,5.372,5.036,5.372,25100,
11/08/2011,5.17,5.17,4.901,4.969,39380,
12/08/2011,5.372,5.372,5.036,5.372,68050,
15/08/2011,5.573,5.573,5.506,5.506,28650,
16/08/2011,5.774,5.774,5.573,5.573,16160,
17/08/2011,5.842,5.842,5.708,5.708,44570,
18/08/2011,5.909,5.909,5.774,5.774,61130,
19/08/2011,5.708,5.909,5.64,5.909,59790,
22/08/2011,5.975,5.975,5.708,5.842,38830,
23/08/2011,5.975,6.042,5.909,6.042,35020,
24/08/2011,5.708,6.177,5.708,6.177,41120,
25/08/2011,5.708,5.708,5.506,5.506,36280,
26/08/2011,5.774,5.909,5.774,5.842,55100,
29/08/2011,6.042,6.042,5.573,5.909,53310,
30/08/2011,6.11,6.244,6.042,6.244,129630,
31/08/2011,6.042,6.042,5.842,6.042,41410,
01/09/2011,6.042,6.244,5.774,5.774,62070,
05/09/2011,5.842,6.042,5.774,6.042,48960,
06/09/2011,5.573,5.774,5.573,5.774,59180,
07/09/2011,5.439,5.506,5.372,5.372,86390,
08/09/2011,5.708,5.708,5.439,5.506,117260,
09/09/2011,5.708,5.708,5.708,5.708,99710,
12/09/2011,5.909,5.909,5.64,5.64,19520,
13/09/2011,5.708,5.975,5.64,5.975,140280,
14/09/2011,5.439,5.774,5.439,5.774,21300,
15/09/2011,5.372,5.506,5.304,5.372,101580,
16/09/2011,5.573,5.573,5.103,5.573,46310,
19/09/2011,5.372,5.573,5.372,5.573,114610,
20/09/2011,5.237,5.573,5.17,5.237,95800,
21/09/2011,5.237,5.372,5.17,5.372,100750,
22/09/2011,5.304,5.304,5.17,5.237,99390,
23/09/2011,5.103,5.372,5.103,5.372,93810,
26/09/2011,5.304,5.304,5.103,5.304,134470,
27/09/2011,5.372,5.372,5.237,5.372,90200,
28/09/2011,5.573,5.64,5.304,5.506,95270,
29/09/2011,5.439,5.708,5.304,5.439,122540,
30/09/2011,5.506,5.573,5.439,5.506,111890,
03/10/2011,5.506,5.573,5.506,5.573,76020,
04/10/2011,5.304,5.439,5.237,5.439,91220,
05/10/2011,5.439,5.439,5.304,5.372,85500,
06/10/2011,5.439,5.506,5.237,5.506,76750,
07/10/2011,5.439,5.439,5.237,5.372,80320,
10/10/2011,5.17,5.372,5.17,5.304,72110,
11/10/2011,5.237,5.237,5.103,5.17,86980,
12/10/2011,5.036,5.17,5.036,5.17,72920,
13/10/2011,5.17,5.17,4.833,5.036,113070,
14/10/2011,5.237,5.237,5.17,5.17,78250,
17/10/2011,5.372,5.372,5.17,5.17,64110,
18/10/2011,5.304,5.372,5.304,5.372,62380,
19/10/2011,5.237,5.304,5.103,5.103,68670,
20/10/2011,5.103,5.237,5.103,5.237,38230,
21/10/2011,4.901,5.036,4.901,5.036,83200,
24/10/2011,5.036,5.036,4.901,4.901,57260,
25/10/2011,5.036,5.036,4.901,5.036,64000,
26/10/2011,5.036,5.103,4.969,5.103,56900,
27/10/2011,5.036,5.103,4.969,5.036,49860,
28/10/2011,5.036,5.036,4.901,5.036,59930,
31/10/2011,4.901,5.17,4.901,5.17,72120,
01/11/2011,5.036,5.036,4.767,4.969,64350,
02/11/2011,5.036,5.036,4.901,5.036,68210,
03/11/2011,4.969,5.036,4.969,5.036,68690,
04/11/2011,4.969,4.969,4.901,4.901,77570,
07/11/2011,4.969,4.969,4.901,4.901,73060,
08/11/2011,4.969,4.969,4.901,4.901,77670,
09/11/2011,4.833,4.901,4.833,4.901,80440,
10/11/2011,4.833,4.833,4.699,4.833,115210,
11/11/2011,4.833,4.969,4.833,4.969,52900,
14/11/2011,4.833,4.833,4.699,4.833,117830,
15/11/2011,4.833,4.833,4.699,4.767,51390,
16/11/2011,4.833,4.901,4.833,4.833,108110,
17/11/2011,4.767,4.833,4.767,4.833,48780,
18/11/2011,4.767,4.767,4.767,4.767,119340,
21/11/2011,4.767,4.767,4.633,4.699,63650,
22/11/2011,4.767,4.767,4.699,4.699,89300,
23/11/2011,4.767,4.767,4.699,4.699,72880,
24/11/2011,4.833,4.833,4.767,4.767,83380,
25/11/2011,4.767,4.833,4.767,4.767,54430,
28/11/2011,4.767,4.767,4.767,4.767,86200,
29/11/2011,4.699,4.699,4.699,4.699,54120,
30/11/2011,4.699,4.699,4.633,4.699,72280,
01/12/2011,4.498,4.567,4.498,4.567,44620,
02/12/2011,4.364,4.567,4.364,4.567,81800,
05/12/2011,4.567,4.567,4.364,4.431,60760,
06/12/2011,4.699,4.699,4.633,4.633,66830,
07/12/2011,4.633,4.633,4.567,4.633,69200,
