transDate,close,high,low,open,volume,event
10/08/2016,10.113,10.113,10.113,10.113,0,
11/08/2016,10.113,10.113,10.113,10.113,0,
12/08/2016,14.133,14.133,14.133,14.133,5000,
15/08/2016,16.206,16.206,16.206,16.206,1100,
16/08/2016,16.206,16.206,16.206,16.206,0,
17/08/2016,18.276,18.276,18.276,18.276,200,
18/08/2016,18.276,18.276,18.276,18.276,0,
19/08/2016,18.276,18.276,18.276,18.276,0,
22/08/2016,18.276,18.276,18.276,18.276,0,
23/08/2016,18.276,18.276,18.276,18.276,0,
24/08/2016,15.536,15.536,15.536,15.536,400,
25/08/2016,13.218,14.012,13.218,14.012,5000,
26/08/2016,13.402,13.402,13.402,13.402,0,
29/08/2016,12.793,12.793,12.793,12.793,2600,
30/08/2016,12.793,12.793,12.793,12.793,2900,
31/08/2016,12.793,12.793,12.793,12.793,0,
01/09/2016,12.855,14.012,12.855,14.012,5900,
05/09/2016,13.097,13.218,13.097,13.218,5500,
06/09/2016,13.158,13.158,13.158,13.158,0,
07/09/2016,13.218,13.218,12.855,12.855,14200,
08/09/2016,14.012,14.012,13.218,13.218,7500,
09/09/2016,13.158,13.707,13.158,13.707,4000,
12/09/2016,13.342,13.342,13.342,13.342,2000,
13/09/2016,13.342,13.342,13.342,13.342,0,
14/09/2016,13.891,13.891,13.891,13.891,100,
15/09/2016,13.891,13.891,13.891,13.891,0,
16/09/2016,15.23,15.23,15.168,15.168,3100,
19/09/2016,15.23,17.484,15.23,17.484,600,
20/09/2016,17.909,17.909,17.667,17.909,1800,
21/09/2016,20.469,20.469,20.469,20.469,5900,
22/09/2016,23.453,23.515,23.15,23.515,3310,
23/09/2016,21.931,23.76,21.322,23.453,3200,
26/09/2016,21.322,21.931,21.322,21.931,1500,
27/09/2016,20.105,21.261,20.105,21.261,4300,
28/09/2016,21.017,21.017,17.484,17.484,600,
29/09/2016,18.093,18.093,18.093,18.093,0,
30/09/2016,18.093,18.093,18.093,18.093,0,
03/10/2016,18.093,18.276,18.093,18.276,3300,
04/10/2016,18.154,18.154,18.154,18.154,0,
05/10/2016,18.154,18.154,18.154,18.154,0,
06/10/2016,18.154,18.154,18.154,18.154,500,
07/10/2016,18.154,18.154,18.154,18.154,0,
10/10/2016,17.971,17.971,17.727,17.727,2000,
11/10/2016,17.849,17.849,17.849,17.849,0,
12/10/2016,17.362,17.362,17.362,17.362,700,
13/10/2016,17.362,17.362,17.058,17.058,10600,
14/10/2016,17.301,17.301,17.301,17.301,0,
17/10/2016,16.448,16.753,16.448,16.753,2600,
18/10/2016,15.23,15.596,15.23,15.596,2500,
19/10/2016,15.413,15.413,15.413,15.413,0,
20/10/2016,15.413,15.413,15.413,15.413,0,
21/10/2016,15.23,16.448,15.23,15.838,3100,
24/10/2016,15.23,15.23,15.23,15.23,700,
25/10/2016,17.423,17.423,17.423,17.423,500,
26/10/2016,15.901,17.423,15.901,17.423,4200,
27/10/2016,18.885,19.312,14.56,14.56,3700,
28/10/2016,20.287,20.287,18.581,19.799,7800,
31/10/2016,21.017,21.931,20.105,21.322,13100,
01/11/2016,21.322,21.382,21.322,21.322,3700,
02/11/2016,19.799,21.931,19.494,21.931,7400,
03/11/2016,18.336,20.105,18.336,20.105,5200,
04/11/2016,19.494,20.105,17.423,18.276,1200,
07/11/2016,21.749,21.749,20.287,20.287,8700,
08/11/2016,24.002,24.002,21.931,21.931,84500,
09/11/2016,26.804,27.292,23.76,27.292,41600,
10/11/2016,29.546,29.546,28.023,28.023,47710,
11/11/2016,25.099,31.678,24.977,30.46,38300,
14/11/2016,27.414,30.399,23.453,25.099,27491,
15/11/2016,28.572,29.546,28.023,28.023,14020,
16/11/2016,25.891,29.181,25.891,29.181,7700,
17/11/2016,25.586,26.743,24.368,26.743,8130,
18/11/2016,25.769,27.353,24.977,27.353,8800,
21/11/2016,25.952,27.901,22.906,27.901,17900,
22/11/2016,25.831,26.379,25.099,26.379,18500,
23/11/2016,25.526,26.134,24.672,26.134,14900,
24/11/2016,24.672,26.623,24.063,24.977,11400,
25/11/2016,23.576,25.831,23.453,25.831,5428,
28/11/2016,26.195,27.414,25.891,26.134,19730,
29/11/2016,26.255,27.292,24.796,27.292,19200,
30/11/2016,26.5,26.682,25.891,26.682,9410,
01/12/2016,26.195,26.195,25.586,25.586,8300,
02/12/2016,25.891,27.353,25.282,27.353,11190,
05/12/2016,26.5,27.109,25.891,25.891,18200,
06/12/2016,22.479,27.049,22.479,27.049,29830,
07/12/2016,22.479,23.088,19.555,21.931,15040,
08/12/2016,21.261,21.322,20.408,21.322,2610,
09/12/2016,18.215,20.713,18.215,20.713,11965,
12/12/2016,16.448,17.667,16.144,17.667,10500,
13/12/2016,18.885,18.885,18.215,18.215,23702,
14/12/2016,20.105,20.835,20.105,20.713,13400,
15/12/2016,18.885,20.043,18.276,18.336,12770,
16/12/2016,18.885,18.885,17.727,18.885,6525,
19/12/2016,17.667,18.581,17.484,18.581,4100,
20/12/2016,17.545,18.215,17.058,18.215,7000,
21/12/2016,17.849,18.215,17.241,17.241,6300,
22/12/2016,18.702,18.825,17.667,17.667,6300,
23/12/2016,17.909,18.215,17.667,17.667,2900,
26/12/2016,17.849,20.53,17.849,20.53,5300,
27/12/2016,17.423,20.043,17.423,20.043,20501,
28/12/2016,17.545,18.093,17.362,17.362,3010,
29/12/2016,17.727,19.434,17.667,19.434,3500,
30/12/2016,17.058,17.423,16.753,17.423,3900,
03/01/2017,18.763,18.763,18.763,18.763,300,
04/01/2017,16.753,16.936,16.753,16.936,2141,
05/01/2017,17.667,17.727,17.18,17.545,6709,
06/01/2017,17.667,17.727,17.667,17.727,500,
