transDate,close,high,low,open,volume,event
18/04/2002,4.43,4.43,4.43,4.43,37700,
19/04/2002,4.51,4.51,4.51,4.51,10000,
22/04/2002,4.59,4.59,4.59,4.59,25600,
23/04/2002,4.53,4.53,4.53,4.53,48200,
24/04/2002,4.6,4.6,4.6,4.6,7600,
25/04/2002,4.64,4.64,4.64,4.64,17600,
26/04/2002,4.72,4.72,4.72,4.72,20000,
02/05/2002,4.81,4.81,4.81,4.81,2300,
03/05/2002,4.91,4.91,4.91,4.91,1700,
06/05/2002,5.0,5.0,5.0,5.0,500,
07/05/2002,4.91,4.91,4.91,4.91,21900,
08/05/2002,4.81,4.81,4.81,4.81,7900,
09/05/2002,4.91,4.91,4.91,4.91,3900,
10/05/2002,5.0,5.0,5.0,5.0,29800,
13/05/2002,4.91,4.91,4.91,4.91,7000,
14/05/2002,4.81,4.81,4.81,4.81,25500,
15/05/2002,4.85,4.85,4.85,4.85,2700,
16/05/2002,4.76,4.76,4.76,4.76,7200,
17/05/2002,4.81,4.81,4.81,4.81,4800,
20/05/2002,4.81,4.81,4.81,4.81,6300,
21/05/2002,4.81,4.81,4.81,4.81,13100,
22/05/2002,4.81,4.81,4.81,4.81,21500,
23/05/2002,4.81,4.81,4.81,4.81,10300,
24/05/2002,4.81,4.81,4.81,4.81,2100,
27/05/2002,4.76,4.76,4.76,4.76,8500,
28/05/2002,4.72,4.72,4.72,4.72,12700,
29/05/2002,4.72,4.72,4.72,4.72,1500,
30/05/2002,4.72,4.72,4.72,4.72,5600,
31/05/2002,4.76,4.76,4.76,4.76,13000,
03/06/2002,4.81,4.81,4.81,4.81,10800,
04/06/2002,4.72,4.72,4.72,4.72,3600,
05/06/2002,4.62,4.62,4.62,4.62,8200,
06/06/2002,4.62,4.62,4.62,4.62,5000,
07/06/2002,4.55,4.55,4.55,4.55,10100,
10/06/2002,4.55,4.55,4.55,4.55,16300,
11/06/2002,4.62,4.62,4.62,4.62,300,
12/06/2002,4.6,4.6,4.6,4.6,9500,
13/06/2002,4.53,4.53,4.53,4.53,2600,
14/06/2002,4.45,4.45,4.45,4.45,6300,
17/06/2002,4.4,4.4,4.4,4.4,4400,
18/06/2002,4.32,4.32,4.32,4.32,1300,
19/06/2002,4.25,4.25,4.25,4.25,1400,
20/06/2002,4.17,4.17,4.17,4.17,18000,
21/06/2002,4.25,4.25,4.25,4.25,8500,
24/06/2002,4.32,4.32,4.32,4.32,2700,
25/06/2002,4.4,4.4,4.4,4.4,6100,
26/06/2002,4.34,4.34,4.34,4.34,9300,
27/06/2002,4.38,4.38,4.38,4.38,5600,
28/06/2002,4.38,4.38,4.38,4.38,8200,
01/07/2002,4.3,4.3,4.3,4.3,8600,
02/07/2002,4.23,4.23,4.23,4.23,11000,
03/07/2002,4.23,4.23,4.23,4.23,4100,
04/07/2002,4.23,4.23,4.23,4.23,12100,
05/07/2002,4.28,4.28,4.28,4.28,5200,
08/07/2002,4.34,4.34,4.34,4.34,6000,
09/07/2002,4.27,4.27,4.27,4.27,12500,
10/07/2002,4.27,4.27,4.27,4.27,3700,
11/07/2002,4.27,4.27,4.27,4.27,11300,
12/07/2002,4.27,4.27,4.27,4.27,2300,
15/07/2002,4.19,4.19,4.19,4.19,5400,
16/07/2002,4.11,4.11,4.11,4.11,14500,
17/07/2002,4.04,4.04,4.04,4.04,300,
18/07/2002,3.96,3.96,3.96,3.96,1100,
19/07/2002,5.58,5.58,5.58,5.58,2400,
22/07/2002,3.89,3.89,3.89,3.89,9200,
23/07/2002,3.96,3.96,3.96,3.96,3100,
24/07/2002,3.94,3.94,3.94,3.94,26600,
25/07/2002,3.87,3.87,3.87,3.87,4700,
26/07/2002,3.93,3.93,3.93,3.93,2700,
29/07/2002,3.96,3.96,3.96,3.96,4800,
30/07/2002,3.98,3.98,3.98,3.98,12600,
31/07/2002,4.06,4.06,4.06,4.06,2400,DIVIDEND
01/08/2002,3.96,3.96,3.96,3.96,7000,
02/08/2002,3.92,3.92,3.92,3.92,5500,
05/08/2002,3.88,3.88,3.88,3.88,5000,
06/08/2002,3.94,3.94,3.94,3.94,8600,
07/08/2002,3.92,3.92,3.92,3.92,14400,
08/08/2002,3.88,3.88,3.88,3.88,11000,
09/08/2002,3.88,3.88,3.88,3.88,2400,
12/08/2002,3.85,3.85,3.85,3.85,6000,
13/08/2002,3.75,3.75,3.75,3.75,1700,
14/08/2002,3.71,3.71,3.71,3.71,11400,
15/08/2002,3.73,3.73,3.73,3.73,7300,
16/08/2002,3.83,3.83,3.83,3.83,5700,
19/08/2002,3.92,3.92,3.92,3.92,10900,
20/08/2002,3.92,3.92,3.92,3.92,4500,
21/08/2002,3.85,3.85,3.85,3.85,6900,
22/08/2002,3.87,3.87,3.87,3.87,700,
23/08/2002,3.83,3.83,3.83,3.83,3100,
26/08/2002,3.83,3.83,3.83,3.83,2600,
27/08/2002,3.81,3.81,3.81,3.81,6900,
28/08/2002,3.81,3.81,3.81,3.81,1300,
29/08/2002,3.81,3.81,3.81,3.81,2300,
30/08/2002,3.87,3.87,3.87,3.87,1100,
03/09/2002,3.88,3.88,3.88,3.88,900,
04/09/2002,3.88,3.88,3.88,3.88,100,
05/09/2002,3.88,3.88,3.88,3.88,1200,
06/09/2002,3.88,3.88,3.88,3.88,100,
09/09/2002,3.87,3.87,3.87,3.87,1000,
10/09/2002,3.79,3.79,3.79,3.79,7600,
11/09/2002,3.77,3.77,3.77,3.77,14200,
12/09/2002,3.75,3.75,3.75,3.75,7400,
13/09/2002,3.77,3.77,3.77,3.77,3500,
16/09/2002,3.77,3.77,3.77,3.77,8400,
17/09/2002,3.75,3.75,3.75,3.75,11400,
18/09/2002,3.75,3.75,3.75,3.75,1500,
19/09/2002,3.73,3.73,3.73,3.73,5600,
20/09/2002,3.67,3.67,3.67,3.67,10600,
23/09/2002,3.57,3.57,3.57,3.57,2500,
24/09/2002,3.48,3.48,3.48,3.48,19800,
25/09/2002,3.57,3.57,3.57,3.57,10600,
26/09/2002,3.67,3.67,3.67,3.67,3600,
27/09/2002,3.59,3.59,3.59,3.59,6200,
30/09/2002,3.57,3.57,3.57,3.57,1000,
01/10/2002,3.54,3.54,3.54,3.54,1000,
02/10/2002,3.52,3.52,3.52,3.52,8900,
03/10/2002,3.5,3.5,3.5,3.5,10300,
04/10/2002,3.48,3.48,3.48,3.48,3000,
