transDate,close,high,low,open,volume,event
12/01/2017,11.0,11.0,11.0,11.0,0,
13/01/2017,15.4,15.4,15.4,15.4,100,
16/01/2017,15.4,15.4,15.4,15.4,0,
17/01/2017,17.7,17.7,17.7,17.7,4200,
18/01/2017,20.3,20.3,20.3,20.3,3500,
19/01/2017,18.0,18.0,17.3,17.3,210,
20/01/2017,16.0,16.0,15.1,15.1,600,
23/01/2017,13.9,14.0,13.2,13.2,2900,
24/01/2017,13.5,13.5,12.2,12.4,1100,
25/01/2017,12.4,12.4,12.4,12.4,0,
02/02/2017,13.3,13.3,13.2,13.2,810,
03/02/2017,13.6,14.2,13.6,13.8,700,
06/02/2017,14.4,14.4,14.4,14.4,1100,
07/02/2017,14.4,14.4,14.4,14.4,0,
08/02/2017,13.5,13.5,13.5,13.5,500,
09/02/2017,13.5,13.5,13.5,13.5,0,
10/02/2017,14.5,14.5,14.5,14.5,100,
13/02/2017,15.0,15.0,15.0,15.0,100,
14/02/2017,15.0,15.0,15.0,15.0,0,
15/02/2017,15.0,15.0,15.0,15.0,0,
16/02/2017,15.0,15.0,15.0,15.0,0,
17/02/2017,15.0,15.0,15.0,15.0,0,
20/02/2017,12.8,12.8,12.8,12.8,800,
21/02/2017,12.0,12.0,12.0,12.0,200,
22/02/2017,10.4,10.4,10.2,10.3,7700,
23/02/2017,9.0,10.4,9.0,10.4,1400,
24/02/2017,10.0,10.0,10.0,10.0,300,
27/02/2017,10.0,10.0,10.0,10.0,300,
28/02/2017,10.0,10.0,10.0,10.0,2000,
01/03/2017,10.0,10.0,10.0,10.0,3000,
02/03/2017,10.0,10.0,10.0,10.0,0,
03/03/2017,10.0,10.0,10.0,10.0,0,
06/03/2017,10.0,10.0,10.0,10.0,600,
07/03/2017,10.0,10.0,10.0,10.0,0,
08/03/2017,10.0,10.0,10.0,10.0,300,
09/03/2017,9.5,9.5,9.5,9.5,100,
10/03/2017,9.6,10.0,9.6,10.0,14800,
13/03/2017,10.0,10.0,10.0,10.0,100,
14/03/2017,10.0,10.0,10.0,10.0,200,
15/03/2017,10.0,10.0,10.0,10.0,0,
16/03/2017,10.0,10.0,10.0,10.0,100,
17/03/2017,11.5,11.5,11.5,11.5,100,
20/03/2017,11.5,11.5,11.5,11.5,0,
21/03/2017,11.5,11.5,11.5,11.5,0,
22/03/2017,11.5,11.5,11.5,11.5,0,
23/03/2017,10.0,10.0,9.8,9.8,2100,
24/03/2017,9.8,9.8,9.8,9.8,0,
27/03/2017,9.8,9.8,9.8,9.8,0,
28/03/2017,9.8,9.8,9.8,9.8,0,
29/03/2017,9.8,9.8,9.8,9.8,0,
30/03/2017,9.8,9.8,9.8,9.8,0,
31/03/2017,9.8,9.8,9.8,9.8,0,
03/04/2017,9.8,9.8,9.8,9.8,0,
04/04/2017,9.8,9.8,9.8,9.8,0,
05/04/2017,9.5,9.5,9.5,9.5,600,
07/04/2017,8.6,8.6,8.6,8.6,800,
