transDate,close,high,low,open,volume,event
02/03/2017,17.311,21.131,17.068,21.131,20000,
03/03/2017,21.945,21.945,21.945,21.945,100,
06/03/2017,25.195,25.195,25.195,25.195,700,
07/03/2017,21.457,21.457,21.457,21.457,1000,
08/03/2017,18.287,18.287,18.287,18.287,100,
09/03/2017,15.605,15.605,15.605,15.605,5100,
10/03/2017,17.88,17.88,17.88,17.88,100,
13/03/2017,18.693,18.693,18.287,18.287,900,
14/03/2017,18.449,18.449,18.449,18.449,0,
15/03/2017,15.849,15.849,15.849,15.849,1000,
16/03/2017,13.817,13.817,13.572,13.817,5500,
17/03/2017,15.605,15.605,14.792,15.605,15047,
20/03/2017,15.523,15.523,15.523,15.523,0,
21/03/2017,15.523,15.523,15.523,15.523,0,
22/03/2017,15.523,15.605,15.523,15.605,738,
23/03/2017,15.605,15.605,15.605,15.605,0,
24/03/2017,15.605,15.605,15.605,15.605,1500,
27/03/2017,15.605,15.605,15.605,15.605,0,
28/03/2017,14.629,14.629,14.629,14.629,300,
29/03/2017,14.71,14.71,14.71,14.71,200,
30/03/2017,15.036,15.036,14.792,15.036,14000,
31/03/2017,15.442,15.442,15.442,15.442,2000,
03/04/2017,15.442,15.442,15.442,15.442,0,
04/04/2017,15.198,15.198,15.198,15.198,3000,
05/04/2017,15.117,15.117,15.117,15.117,100,
07/04/2017,15.036,15.036,13.003,13.003,200,
10/04/2017,14.629,14.629,14.141,14.141,2000,
11/04/2017,15.117,15.117,15.117,15.117,1000,
12/04/2017,15.605,15.849,15.117,15.117,19734,
13/04/2017,15.361,15.849,15.361,15.605,9300,
14/04/2017,15.198,15.198,15.198,15.198,1000,
17/04/2017,15.767,15.849,15.361,15.361,19100,
18/04/2017,15.523,15.523,15.523,15.523,265,
19/04/2017,14.873,14.873,14.873,14.873,11100,
20/04/2017,14.873,14.873,14.873,14.873,0,
21/04/2017,14.873,14.873,14.71,14.71,6201,
24/04/2017,14.792,15.036,14.71,14.873,3000,
25/04/2017,14.629,14.629,14.629,14.629,1134,
26/04/2017,14.548,14.629,14.467,14.548,11116,
27/04/2017,14.386,14.386,14.304,14.304,2500,
28/04/2017,14.223,14.304,14.223,14.304,1400,
03/05/2017,14.304,14.304,14.304,14.304,0,
04/05/2017,14.467,14.467,12.272,12.272,5300,
05/05/2017,14.386,14.467,14.386,14.467,5100,
08/05/2017,14.629,14.629,14.629,14.629,100,
09/05/2017,14.629,14.629,12.598,12.598,3300,
10/05/2017,14.386,15.036,11.622,15.036,500,
11/05/2017,12.191,14.467,11.703,11.703,5400,
12/05/2017,12.435,12.435,12.435,12.435,5000,
15/05/2017,12.191,12.435,12.191,12.435,7000,
16/05/2017,12.191,12.191,11.46,11.46,2700,
17/05/2017,11.703,13.003,11.703,13.003,2400,
18/05/2017,11.784,11.784,11.784,11.784,4400,
19/05/2017,11.866,12.191,11.866,12.191,500,
22/05/2017,12.11,12.11,12.11,12.11,5300,
23/05/2017,11.866,11.948,11.703,11.866,2100,
24/05/2017,11.622,11.784,11.622,11.784,6000,
25/05/2017,11.866,11.866,11.784,11.784,8400,
26/05/2017,11.866,11.866,11.784,11.784,7000,
29/05/2017,13.491,13.491,11.784,11.784,12800,
30/05/2017,13.003,13.003,13.003,13.003,2000,
31/05/2017,13.003,13.003,13.003,13.003,100,
01/06/2017,12.272,12.272,12.191,12.272,5500,
02/06/2017,12.435,12.435,12.435,12.435,2430,
05/06/2017,13.003,13.41,13.003,13.003,4500,
06/06/2017,13.329,13.329,13.329,13.329,1000,
07/06/2017,13.003,13.41,13.003,13.41,2700,
08/06/2017,13.003,13.248,13.003,13.003,3700,
09/06/2017,13.41,13.41,13.41,13.41,200,
12/06/2017,13.41,13.817,13.41,13.817,5600,
13/06/2017,13.572,13.572,13.572,13.572,1593,
14/06/2017,13.572,13.572,13.572,13.572,24,
15/06/2017,13.167,13.167,13.167,13.167,1020,
16/06/2017,13.898,13.898,13.736,13.736,3100,
19/06/2017,12.353,13.817,12.191,12.191,9800,
20/06/2017,13.817,13.817,13.817,13.817,100,
21/06/2017,13.817,13.817,13.817,13.817,100,
22/06/2017,12.191,14.223,12.191,14.223,45015,
23/06/2017,12.435,12.435,12.435,12.435,100,
26/06/2017,12.435,12.435,12.272,12.435,7000,
27/06/2017,12.191,12.598,12.191,12.598,93000,
28/06/2017,13.248,13.248,12.191,12.191,26300,
29/06/2017,12.922,12.922,12.679,12.679,1900,
30/06/2017,13.003,14.629,13.003,13.41,400,
03/07/2017,13.003,13.248,13.003,13.248,11700,
04/07/2017,13.003,13.003,13.003,13.003,2600,
05/07/2017,13.003,13.003,13.003,13.003,2500,
06/07/2017,13.003,13.003,13.003,13.003,500,
07/07/2017,13.003,13.003,13.003,13.003,17000,
10/07/2017,12.272,12.598,12.272,12.598,8600,
11/07/2017,12.841,12.841,12.841,12.841,100,
12/07/2017,12.76,12.76,12.11,12.11,15100,
13/07/2017,13.003,13.003,13.003,13.003,100,
14/07/2017,12.598,12.679,12.598,12.598,1200,
17/07/2017,12.679,12.679,12.598,12.598,4200,
18/07/2017,12.272,12.272,12.191,12.191,19800,
19/07/2017,12.191,12.191,12.191,12.191,400,
20/07/2017,12.353,12.353,12.272,12.272,300,
21/07/2017,12.191,12.598,12.191,12.191,2600,
24/07/2017,12.272,12.272,12.272,12.272,0,
25/07/2017,12.598,12.598,12.517,12.517,4100,
26/07/2017,12.598,12.598,12.598,12.598,100,
27/07/2017,12.598,12.598,12.598,12.598,0,
28/07/2017,12.11,12.272,12.029,12.029,9600,
31/07/2017,12.191,12.191,12.029,12.029,10400,
01/08/2017,12.191,12.191,12.191,12.191,0,
02/08/2017,12.191,12.272,11.948,12.191,14800,
03/08/2017,12.922,12.922,12.11,12.11,31300,
04/08/2017,12.191,13.979,12.191,13.979,200,
07/08/2017,12.922,12.922,12.922,12.922,200,
08/08/2017,12.517,12.76,12.517,12.76,600,
09/08/2017,11.948,12.272,11.948,12.272,9400,
10/08/2017,12.517,12.517,12.517,12.517,4330,
11/08/2017,13.41,13.41,12.191,12.353,74900,
14/08/2017,13.41,14.386,12.841,12.922,69000,
15/08/2017,13.41,14.467,13.086,14.467,18700,
16/08/2017,13.572,15.198,13.41,14.223,38700,
17/08/2017,13.086,14.06,13.086,14.06,30200,
18/08/2017,13.888,14.222,13.051,14.222,2350,DIVIDEND
21/08/2017,13.386,14.139,13.386,14.139,200,
22/08/2017,13.804,14.222,13.386,14.222,10500,
23/08/2017,13.134,13.134,11.378,11.378,19200,
24/08/2017,12.967,13.804,12.549,13.804,25100,
25/08/2017,12.884,13.386,12.884,12.967,1000,
28/08/2017,12.967,13.303,12.466,12.633,2200,
29/08/2017,11.712,12.8,11.712,12.8,4500,
30/08/2017,12.967,13.386,12.967,13.386,6700,
31/08/2017,12.967,12.967,12.967,12.967,0,
01/09/2017,13.219,13.303,12.967,13.303,4830,
05/09/2017,12.967,13.721,12.967,13.721,4900,
06/09/2017,13.051,13.386,12.884,13.051,4500,
07/09/2017,12.967,12.967,12.967,12.967,0,
08/09/2017,13.134,13.386,12.967,12.967,2500,
11/09/2017,12.967,13.386,12.884,13.386,9822,
12/09/2017,12.967,13.051,12.716,13.051,44330,
13/09/2017,12.549,13.303,12.549,13.303,21100,
14/09/2017,12.967,12.967,12.967,12.967,100,
15/09/2017,12.967,12.967,12.967,12.967,0,
18/09/2017,12.549,13.219,12.549,12.967,20600,
19/09/2017,12.549,12.8,12.549,12.549,9800,
20/09/2017,12.549,12.967,12.549,12.967,200,
21/09/2017,12.716,12.716,12.716,12.716,5000,
22/09/2017,12.8,12.8,12.8,12.8,5000,
25/09/2017,12.549,12.8,12.549,12.8,13800,
26/09/2017,12.967,13.386,12.967,12.967,16400,
27/09/2017,12.967,13.386,12.8,13.386,10900,
28/09/2017,12.967,13.219,12.967,12.967,10600,
29/09/2017,12.967,13.303,12.967,13.051,22850,
02/10/2017,13.971,14.222,13.051,13.386,77748,
03/10/2017,14.473,14.808,13.804,13.971,55880,
04/10/2017,14.892,16.398,14.306,14.641,23500,
05/10/2017,15.31,15.895,14.389,14.892,39103,
06/10/2017,15.477,16.231,14.892,15.31,53437,
09/10/2017,16.147,17.569,15.477,16.314,78427,
10/10/2017,16.816,17.987,16.063,16.565,62303,
11/10/2017,16.398,18.405,16.063,17.904,30100,
12/10/2017,15.143,16.565,15.143,16.565,36217,
13/10/2017,15.728,15.728,15.31,15.31,25100,
16/10/2017,15.226,15.644,15.143,15.644,16400,
17/10/2017,15.059,15.477,14.976,15.477,13200,
18/10/2017,14.892,14.976,14.641,14.725,26500,
19/10/2017,15.477,15.812,14.641,14.641,7400,
20/10/2017,15.394,17.486,15.394,15.728,12310,
23/10/2017,15.143,15.477,15.143,15.477,11500,
24/10/2017,15.561,15.644,15.226,15.644,4100,
25/10/2017,15.31,15.728,15.31,15.477,3610,
26/10/2017,15.812,15.812,15.812,15.812,100,
27/10/2017,15.226,15.226,15.226,15.226,503,
30/10/2017,14.641,15.477,14.641,15.477,16400,
31/10/2017,14.222,14.892,13.804,13.804,10200,
01/11/2017,15.477,15.477,14.473,14.473,71000,
02/11/2017,15.143,16.899,14.976,16.899,9800,
03/11/2017,15.561,15.895,15.561,15.895,200,
06/11/2017,15.812,16.231,15.812,16.231,300,
07/11/2017,15.059,15.143,15.059,15.143,4600,
08/11/2017,15.059,16.649,15.059,15.895,1700,
09/11/2017,15.143,16.314,15.143,15.895,3600,
10/11/2017,14.725,16.147,13.134,16.147,1100,
13/11/2017,14.641,15.895,13.386,15.895,800,
14/11/2017,14.641,15.059,14.139,15.059,2300,
15/11/2017,14.222,14.306,14.222,14.222,7400,
16/11/2017,14.641,14.641,14.641,14.641,100,
17/11/2017,14.558,14.558,13.888,13.888,300,
20/11/2017,13.971,15.059,13.971,14.976,2500,
21/11/2017,13.888,15.394,13.804,15.059,17200,
22/11/2017,14.641,14.892,13.553,14.892,300,
23/11/2017,14.389,15.059,13.637,15.059,14100,
24/11/2017,13.553,14.976,13.553,14.976,8100,
27/11/2017,13.219,14.725,13.051,14.725,30900,
28/11/2017,13.303,13.303,13.219,13.219,3600,
29/11/2017,14.558,14.558,14.558,14.558,150,
30/11/2017,13.637,14.892,13.637,14.892,9300,
01/12/2017,14.055,14.222,13.637,14.222,12025,
04/12/2017,14.139,14.222,13.804,14.222,2600,
05/12/2017,13.971,14.389,13.971,14.389,29600,
06/12/2017,14.222,15.059,13.804,14.222,15400,
07/12/2017,14.222,14.473,14.222,14.473,4000,
08/12/2017,14.725,14.725,14.222,14.222,12300,
11/12/2017,14.389,14.473,14.389,14.473,1900,
12/12/2017,13.553,13.637,13.553,13.637,2400,
13/12/2017,13.553,14.222,13.553,14.222,15200,
14/12/2017,13.553,13.553,13.386,13.386,7600,
15/12/2017,14.222,15.394,14.222,15.394,14400,
18/12/2017,13.804,14.725,13.637,14.725,3100,
19/12/2017,13.804,15.226,13.804,15.226,600,
20/12/2017,14.222,14.222,13.553,13.553,800,
21/12/2017,13.804,13.804,13.804,13.804,2800,
22/12/2017,13.804,14.139,13.804,13.804,1200,
25/12/2017,14.139,14.139,14.139,14.139,100,
26/12/2017,14.222,14.222,13.553,13.553,2800,
27/12/2017,13.804,14.222,13.804,14.222,7700,
28/12/2017,14.055,14.055,14.055,14.055,100,
29/12/2017,13.971,13.971,13.721,13.721,4220,
02/01/2018,13.888,13.888,13.637,13.804,8100,
03/01/2018,13.721,13.971,13.721,13.971,3300,
04/01/2018,13.721,13.804,13.637,13.804,11900,
05/01/2018,13.804,14.139,13.386,14.139,19600,
08/01/2018,13.47,14.055,13.47,14.055,3800,
09/01/2018,13.553,13.637,13.47,13.47,18200,
10/01/2018,13.553,13.721,13.553,13.637,7000,
11/01/2018,13.804,13.804,13.804,13.804,100,
12/01/2018,13.804,13.804,13.553,13.553,9700,
15/01/2018,13.804,14.139,13.47,14.139,4900,
16/01/2018,13.553,13.971,13.553,13.971,400,
17/01/2018,13.637,13.637,13.637,13.637,900,
18/01/2018,13.721,13.721,13.637,13.637,4600,
19/01/2018,13.804,14.055,13.721,14.055,4200,
22/01/2018,14.222,14.222,13.804,13.804,20717,
23/01/2018,16.063,16.147,14.222,14.222,97600,
24/01/2018,15.477,17.987,15.394,17.987,24820,
25/01/2018,15.895,16.314,15.812,15.895,18630,
26/01/2018,14.055,15.394,14.055,15.226,18600,
29/01/2018,14.222,14.892,14.055,14.892,25700,
30/01/2018,14.306,14.389,14.139,14.222,16600,
31/01/2018,14.306,14.389,14.306,14.306,8500,
01/02/2018,14.055,14.222,14.055,14.222,8500,
02/02/2018,14.222,14.389,14.139,14.389,11910,
05/02/2018,14.139,14.222,14.139,14.222,6613,
06/02/2018,13.804,13.804,13.386,13.386,19400,
07/02/2018,13.721,14.976,13.721,14.222,600,
08/02/2018,13.637,13.971,13.637,13.971,1100,
09/02/2018,13.721,14.641,12.967,14.641,7700,
12/02/2018,13.804,13.971,13.804,13.971,8400,
13/02/2018,14.222,14.641,13.888,14.641,2300,
21/02/2018,13.804,14.641,13.804,14.641,3201,
22/02/2018,13.971,13.971,13.888,13.888,5400,
23/02/2018,13.888,13.888,13.888,13.888,300,
26/02/2018,13.804,13.804,13.804,13.804,1707,
27/02/2018,13.804,13.804,13.804,13.804,2920,
28/02/2018,14.055,14.055,13.804,13.804,9100,
01/03/2018,13.888,13.971,13.804,13.971,8901,
02/03/2018,13.804,13.971,13.804,13.971,2701,
05/03/2018,13.804,13.888,13.804,13.804,11900,
06/03/2018,13.888,13.888,13.888,13.888,800,
07/03/2018,13.888,13.888,13.637,13.804,14400,
