transDate,close,high,low,open,volume,event
03/03/2017,24.369,24.369,24.369,24.369,400,
06/03/2017,28.025,28.025,28.025,28.025,21000,
07/03/2017,32.148,32.148,32.148,32.148,2100,
08/03/2017,35.617,36.929,35.617,36.929,7910,
09/03/2017,31.399,36.273,31.399,36.273,3800,
10/03/2017,27.369,27.369,27.369,27.369,3400,
13/03/2017,23.432,23.432,23.432,23.432,4900,
14/03/2017,24.369,24.369,24.369,24.369,100,
15/03/2017,25.307,25.307,25.307,25.307,400,
16/03/2017,22.12,22.213,22.12,22.12,600,
17/03/2017,22.495,22.495,22.495,22.495,500,
20/03/2017,21.089,22.495,20.714,22.495,1600,
21/03/2017,24.838,24.838,22.495,23.244,7000,
22/03/2017,24.369,24.369,24.369,24.369,100,
23/03/2017,24.369,24.369,24.369,24.369,0,
24/03/2017,24.369,24.369,24.369,24.369,300,
27/03/2017,24.369,24.369,24.369,24.369,0,
28/03/2017,24.369,24.369,24.369,24.369,0,
29/03/2017,24.369,24.369,24.369,24.369,0,
30/03/2017,20.714,20.714,20.714,20.714,200,
31/03/2017,20.714,20.714,20.714,20.714,0,
03/04/2017,20.714,20.714,20.714,20.714,0,
04/04/2017,20.714,20.714,20.714,20.714,0,
05/04/2017,20.714,20.714,20.714,20.714,0,
07/04/2017,20.714,20.714,20.714,20.714,0,
10/04/2017,20.714,20.714,20.714,20.714,0,
11/04/2017,23.432,23.432,23.432,23.432,1500,
12/04/2017,21.839,21.839,21.839,21.839,1000,
13/04/2017,21.839,21.839,21.839,21.839,0,
14/04/2017,21.839,21.839,21.839,21.839,0,
17/04/2017,21.839,21.839,21.839,21.839,0,
18/04/2017,21.839,21.839,21.839,21.839,0,
19/04/2017,21.839,21.839,21.839,21.839,0,
20/04/2017,21.839,21.839,21.839,21.839,0,
21/04/2017,21.839,21.839,21.839,21.839,0,
24/04/2017,21.839,21.839,21.839,21.839,0,
25/04/2017,22.026,22.026,22.026,22.026,400,
26/04/2017,22.026,22.026,22.026,22.026,500,
27/04/2017,22.026,22.026,22.026,22.026,0,
28/04/2017,23.432,23.432,23.432,23.432,200,
03/05/2017,23.432,23.432,23.432,23.432,0,
04/05/2017,23.432,23.432,23.432,23.432,0,
05/05/2017,20.62,20.62,20.62,20.62,200,
08/05/2017,20.62,20.62,20.62,20.62,1000,
09/05/2017,20.62,20.62,20.62,20.62,800,
10/05/2017,20.62,20.62,20.62,20.62,0,
11/05/2017,20.62,20.62,20.62,20.62,0,
12/05/2017,18.746,18.746,18.746,18.746,1800,
15/05/2017,18.746,18.746,18.746,18.746,300,
16/05/2017,17.808,17.808,17.808,17.808,1600,
17/05/2017,17.808,17.808,17.808,17.808,0,
18/05/2017,16.871,16.871,16.871,16.871,3000,
19/05/2017,15.934,15.934,15.934,15.934,800,
22/05/2017,15.934,15.934,15.934,15.934,0,
23/05/2017,15.934,15.934,15.934,15.934,0,
24/05/2017,17.808,17.808,15.934,15.934,1500,
25/05/2017,18.37,18.37,18.37,18.37,100,
26/05/2017,20.62,20.62,20.62,20.62,400,
29/05/2017,20.62,20.62,20.62,20.62,0,
30/05/2017,20.62,20.62,20.62,20.62,0,
31/05/2017,20.62,20.62,20.62,20.62,0,
01/06/2017,20.62,20.62,20.62,20.62,0,
02/06/2017,20.62,20.62,20.62,20.62,0,
05/06/2017,20.62,20.62,20.62,20.62,0,
06/06/2017,20.62,20.62,20.62,20.62,0,
07/06/2017,20.62,20.62,20.62,20.62,0,
08/06/2017,20.62,20.62,20.62,20.62,0,
09/06/2017,20.62,20.62,20.62,20.62,0,
12/06/2017,20.62,20.62,20.62,20.62,0,
13/06/2017,20.62,20.62,20.62,20.62,0,
14/06/2017,20.62,20.62,20.62,20.62,0,
15/06/2017,20.62,20.62,20.62,20.62,0,
16/06/2017,20.62,20.62,20.62,20.62,0,
19/06/2017,20.62,20.62,20.62,20.62,0,
20/06/2017,20.62,20.62,20.62,20.62,200,
21/06/2017,20.62,20.62,20.62,20.62,0,
22/06/2017,20.62,20.62,20.62,20.62,0,
23/06/2017,20.62,20.62,20.62,20.62,0,
26/06/2017,20.62,20.62,20.62,20.62,0,
27/06/2017,20.62,20.62,20.62,20.62,200,
28/06/2017,20.62,20.62,20.62,20.62,0,
29/06/2017,20.152,20.152,20.152,20.152,100,
30/06/2017,18.746,19.214,18.746,19.214,300,
03/07/2017,18.933,18.933,18.933,18.933,0,
04/07/2017,18.933,18.933,18.933,18.933,0,
05/07/2017,20.62,20.62,20.62,20.62,500,
06/07/2017,20.62,20.62,20.62,20.62,0,
07/07/2017,20.62,20.62,20.62,20.62,0,
10/07/2017,20.62,20.62,20.62,20.62,0,
11/07/2017,19.214,19.214,19.214,19.214,200,
12/07/2017,19.214,19.214,19.214,19.214,0,
13/07/2017,18.933,18.933,18.933,18.933,200,
14/07/2017,18.933,18.933,18.933,18.933,0,
17/07/2017,18.933,18.933,18.933,18.933,0,
18/07/2017,18.933,18.933,18.933,18.933,0,
19/07/2017,18.933,18.933,18.933,18.933,0,
20/07/2017,18.933,18.933,18.933,18.933,0,
21/07/2017,16.121,16.121,16.121,16.121,100,
24/07/2017,14.996,14.996,13.778,14.996,1900,
25/07/2017,14.903,14.903,14.903,14.903,0,
26/07/2017,14.903,14.903,14.903,14.903,500,
27/07/2017,14.903,14.903,14.903,14.903,0,
28/07/2017,14.903,14.903,14.903,14.903,600,
31/07/2017,14.903,14.903,14.903,14.903,0,
01/08/2017,14.903,14.903,14.903,14.903,0,
02/08/2017,14.903,14.903,14.903,14.903,0,
03/08/2017,14.903,14.903,14.903,14.903,0,
04/08/2017,14.903,14.903,14.903,14.903,0,
07/08/2017,14.153,14.153,14.153,14.153,100,
08/08/2017,14.153,14.153,14.153,14.153,0,
09/08/2017,14.153,14.153,14.153,14.153,0,
10/08/2017,16.215,16.215,16.215,16.215,100,
11/08/2017,16.215,16.215,16.215,16.215,0,
14/08/2017,16.215,16.215,16.215,16.215,0,
15/08/2017,17.808,17.808,17.808,17.808,600,
16/08/2017,20.433,20.433,20.433,20.433,100,
17/08/2017,20.433,20.433,20.433,20.433,0,
18/08/2017,20.433,20.433,20.433,20.433,0,
21/08/2017,20.433,20.433,20.433,20.433,0,
22/08/2017,23.432,23.432,22.495,23.432,1300,
23/08/2017,23.338,23.338,23.338,23.338,0,
24/08/2017,23.338,23.338,23.338,23.338,0,
25/08/2017,19.87,19.87,19.87,19.87,400,
28/08/2017,19.87,19.87,19.87,19.87,0,
29/08/2017,19.87,19.87,19.87,19.87,0,
30/08/2017,19.87,19.87,19.87,19.87,0,
31/08/2017,19.87,19.87,19.87,19.87,0,
01/09/2017,19.87,19.87,19.87,19.87,0,
05/09/2017,19.87,19.87,19.87,19.87,0,
06/09/2017,19.87,19.87,19.87,19.87,0,
07/09/2017,19.87,19.87,19.87,19.87,0,
08/09/2017,19.87,19.87,19.87,19.87,0,
11/09/2017,19.87,19.87,19.87,19.87,0,
12/09/2017,19.87,19.87,19.87,19.87,0,
13/09/2017,19.87,19.87,19.87,19.87,0,
14/09/2017,19.87,19.87,19.87,19.87,0,
15/09/2017,19.87,19.87,19.87,19.87,0,
18/09/2017,19.87,19.87,19.87,19.87,0,
19/09/2017,19.87,19.87,19.87,19.87,0,
20/09/2017,19.87,19.87,19.87,19.87,0,
21/09/2017,19.87,19.87,19.87,19.87,0,
22/09/2017,19.87,19.87,19.87,19.87,0,
25/09/2017,19.87,19.87,19.87,19.87,0,
26/09/2017,19.87,19.87,19.87,19.87,0,
27/09/2017,19.87,19.87,19.87,19.87,0,
28/09/2017,19.87,19.87,19.87,19.87,0,
29/09/2017,19.87,19.87,19.87,19.87,0,
02/10/2017,19.87,19.87,19.87,19.87,0,
03/10/2017,19.87,19.87,19.87,19.87,0,
04/10/2017,19.87,19.87,19.87,19.87,0,
05/10/2017,19.87,19.87,19.87,19.87,0,
06/10/2017,19.87,19.87,19.87,19.87,0,
09/10/2017,19.87,19.87,19.87,19.87,0,
