transDate,close,high,low,open,volume,event
25/06/2009,35.512,35.512,34.587,35.512,1542160,
26/06/2009,37.279,37.279,36.896,37.279,841370,
29/06/2009,38.821,38.821,38.821,38.821,257150,
30/06/2009,40.739,40.739,40.739,40.739,274410,
01/07/2009,38.821,39.588,38.821,38.821,1754070,
02/07/2009,36.896,38.047,36.896,37.279,1917580,
03/07/2009,36.896,36.896,35.049,35.049,914150,
06/07/2009,38.43,38.43,36.514,36.896,315150,
07/07/2009,36.514,37.663,36.514,36.74,456250,
08/07/2009,35.668,36.514,35.049,35.363,212950,
09/07/2009,35.668,37.436,34.973,37.436,341400,
10/07/2009,33.899,35.363,33.899,35.129,313630,
13/07/2009,32.209,32.672,32.209,32.514,178050,
14/07/2009,30.667,30.746,30.667,30.746,294920,
15/07/2009,30.361,31.512,29.979,30.667,389850,
16/07/2009,30.823,31.748,30.361,31.748,481640,
17/07/2009,30.519,31.129,29.823,31.129,183290,
20/07/2009,29.054,29.212,29.054,29.212,222380,
21/07/2009,28.435,29.054,28.132,28.435,359190,
22/07/2009,28.288,28.829,28.209,28.435,241660,
23/07/2009,29.675,29.675,27.444,27.522,313860,
24/07/2009,31.129,31.129,31.129,31.129,417250,
27/07/2009,32.514,32.672,29.595,32.288,555230,
28/07/2009,31.129,32.209,30.98,31.129,359000,
29/07/2009,30.746,31.364,30.746,31.129,254170,
30/07/2009,30.361,30.746,29.744,29.901,235080,
31/07/2009,31.826,31.826,31.285,31.748,417340,
03/08/2009,31.826,32.672,31.512,32.288,182570,
04/08/2009,33.054,33.054,32.358,32.977,323950,
05/08/2009,33.665,33.665,32.288,32.435,305330,
06/08/2009,32.288,33.82,32.288,33.054,446560,
07/08/2009,31.512,32.288,30.746,32.288,347350,
10/08/2009,31.974,32.288,31.512,31.896,113330,
11/08/2009,31.591,31.974,30.746,31.896,409350,
12/08/2009,31.67,31.974,31.049,31.974,380250,
13/08/2009,32.131,32.977,31.129,32.977,597270,
14/08/2009,31.67,32.288,31.364,31.974,147140,
17/08/2009,31.129,31.512,31.129,31.285,152850,
18/08/2009,30.903,30.903,30.361,30.361,130530,
19/08/2009,30.903,31.049,29.979,30.903,559420,
20/08/2009,30.361,30.903,30.361,30.903,108680,
21/08/2009,29.823,31.442,29.744,30.361,675640,
24/08/2009,31.285,31.285,30.056,30.361,222890,
25/08/2009,32.819,32.819,32.672,32.819,930330,
26/08/2009,31.748,33.054,31.512,32.899,344830,
27/08/2009,30.746,31.512,30.746,30.903,637930,
28/08/2009,31.207,31.364,30.903,31.129,354410,
31/08/2009,31.442,31.896,30.903,31.512,322850,
