transDate,close,high,low,open,volume,event
05/01/2009,18.182,18.182,18.182,18.182,110,
06/01/2009,18.182,18.182,18.182,18.182,10,
07/01/2009,17.273,17.273,17.273,17.273,370,
08/01/2009,16.455,16.455,16.455,16.455,10,
09/01/2009,15.637,15.637,15.637,15.637,10,
12/01/2009,14.909,14.909,14.909,14.909,10,
13/01/2009,14.182,14.182,14.182,14.182,10,
14/01/2009,13.546,13.546,13.546,13.546,11320,
15/01/2009,12.909,12.909,12.909,12.909,130,
16/01/2009,12.273,12.273,12.273,12.273,3200,
19/01/2009,11.727,11.727,11.727,11.727,100,
20/01/2009,11.182,11.182,11.182,11.182,100,
21/01/2009,10.636,10.636,10.636,10.636,1560,
22/01/2009,10.182,10.182,10.182,10.182,3970,
23/01/2009,9.727,9.727,9.727,9.727,30,
02/02/2009,9.273,9.273,9.273,9.273,570,
03/02/2009,8.818,8.818,8.818,8.818,1510,
04/02/2009,8.455,8.455,8.455,8.455,510,
05/02/2009,8.091,8.091,8.091,8.091,110,
06/02/2009,7.727,7.727,7.727,7.727,2860,
09/02/2009,7.364,7.364,7.364,7.364,1140,
10/02/2009,7.0,7.0,7.0,7.0,1820,
11/02/2009,6.727,6.727,6.727,6.727,8320,
12/02/2009,6.455,6.455,6.455,6.455,1700,
13/02/2009,6.727,6.727,6.182,6.182,17330,
16/02/2009,6.727,6.909,6.727,6.818,11990,
17/02/2009,6.455,6.909,6.455,6.909,13140,
18/02/2009,6.455,6.546,6.273,6.455,1820,
19/02/2009,6.182,6.636,6.182,6.182,3840,
20/02/2009,6.455,6.455,6.182,6.364,7090,
23/02/2009,6.273,6.455,6.182,6.455,20420,
24/02/2009,6.0,6.364,6.0,6.364,24720,
25/02/2009,6.273,6.273,6.182,6.182,2000,
26/02/2009,6.273,6.273,6.091,6.273,5310,
27/02/2009,6.273,6.364,6.0,6.0,9300,
02/03/2009,6.182,6.182,6.182,6.182,1000,
03/03/2009,6.455,6.455,6.0,6.0,31800,
04/03/2009,6.727,6.727,6.455,6.455,41360,
05/03/2009,7.0,7.0,6.818,6.818,56460,
06/03/2009,6.727,7.273,6.727,6.727,9440,
09/03/2009,7.0,7.0,6.727,6.727,20890,
10/03/2009,7.091,7.182,7.091,7.182,3650,
11/03/2009,7.182,7.273,7.091,7.091,9890,
12/03/2009,7.182,7.273,7.0,7.273,10420,
13/03/2009,7.0,7.182,7.0,7.182,10590,
16/03/2009,7.273,7.273,7.182,7.273,22200,
17/03/2009,7.636,7.636,7.455,7.455,15120,
18/03/2009,8.0,8.0,8.0,8.0,7670,
19/03/2009,8.091,8.364,7.909,8.273,24710,
20/03/2009,7.727,7.818,7.727,7.818,14230,
23/03/2009,7.455,7.727,7.455,7.455,6110,
24/03/2009,7.636,7.818,7.546,7.818,11110,
25/03/2009,7.727,7.909,7.273,7.636,11020,
26/03/2009,7.455,7.636,7.455,7.546,15750,
27/03/2009,7.273,7.546,7.091,7.546,23830,
30/03/2009,7.273,7.546,7.273,7.364,9820,
31/03/2009,7.455,7.455,7.273,7.273,11500,
01/04/2009,7.636,7.727,7.636,7.636,8000,
02/04/2009,7.818,8.0,7.636,7.818,23540,
03/04/2009,8.182,8.182,8.182,8.182,77360,
07/04/2009,8.546,8.546,8.182,8.546,16580,
08/04/2009,8.182,8.546,8.182,8.182,31980,
09/04/2009,7.909,8.091,7.818,8.091,18610,
