transDate,close,high,low,open,volume,event
09/01/2008,2.928,4.162,2.083,2.083,11800,
10/01/2008,2.768,2.914,2.742,2.914,1200,
11/01/2008,2.775,2.775,2.775,2.775,1300,
14/01/2008,2.768,2.768,2.768,2.768,200,
15/01/2008,2.775,2.775,2.775,2.775,100,
16/01/2008,2.914,2.914,2.499,2.499,9500,
17/01/2008,2.428,2.499,2.428,2.428,3100,
18/01/2008,2.428,2.428,2.428,2.428,3000,
21/01/2008,2.22,2.428,2.185,2.428,1700,
22/01/2008,2.394,2.428,2.185,2.289,2900,
23/01/2008,2.499,2.499,2.22,2.227,3200,
24/01/2008,2.428,2.428,2.359,2.359,600,
25/01/2008,2.368,2.428,2.368,2.379,2300,
28/01/2008,2.185,2.22,2.159,2.22,900,
29/01/2008,2.22,2.227,2.22,2.227,1200,
30/01/2008,2.428,2.444,2.359,2.444,2200,
31/01/2008,2.428,2.428,2.428,2.428,100,
01/02/2008,2.533,2.533,2.533,2.533,100,
12/02/2008,2.324,2.324,2.324,2.324,1000,
13/02/2008,2.153,2.159,2.119,2.119,2600,
14/02/2008,2.344,2.344,2.344,2.344,1800,
15/02/2008,2.289,2.567,2.289,2.567,1000,
18/02/2008,2.387,2.387,2.153,2.289,1200,
19/02/2008,2.289,2.289,2.289,2.289,100,
20/02/2008,2.22,2.428,2.22,2.428,600,
21/02/2008,2.153,2.153,2.153,2.153,100,
22/02/2008,2.153,2.153,2.153,2.153,100,
25/02/2008,2.22,2.359,2.22,2.359,200,
26/02/2008,2.289,2.289,2.289,2.289,0,
27/02/2008,2.289,2.289,2.289,2.289,0,
28/02/2008,2.289,2.289,2.289,2.289,0,
29/02/2008,2.083,2.083,2.083,2.083,100,
03/03/2008,2.083,2.083,2.083,2.083,1000,
04/03/2008,2.014,2.014,2.014,2.014,100,
05/03/2008,1.958,1.958,1.958,1.958,0,DIVIDEND
06/03/2008,2.153,2.153,2.119,2.119,6800,
07/03/2008,2.368,2.368,2.359,2.368,9300,
10/03/2008,2.567,2.602,2.567,2.602,2800,
11/03/2008,2.583,2.583,2.583,2.583,0,
12/03/2008,2.324,2.359,2.324,2.359,1400,
13/03/2008,2.104,2.289,2.104,2.289,200,
14/03/2008,1.984,2.414,1.984,2.414,2600,
17/03/2008,1.819,1.819,1.819,1.819,1200,
18/03/2008,1.639,1.639,1.639,1.639,2500,
19/03/2008,1.479,1.665,1.479,1.665,1600,
20/03/2008,1.56,1.595,1.458,1.595,1400,
21/03/2008,1.395,1.595,1.395,1.595,2000,
24/03/2008,1.299,1.299,1.299,1.299,1200,
25/03/2008,1.173,1.179,1.173,1.179,2200,
26/03/2008,1.105,1.105,1.105,1.105,200,
27/03/2008,1.124,1.124,1.124,1.124,200,
28/03/2008,1.144,1.144,1.144,1.144,400,
31/03/2008,1.166,1.166,1.166,1.166,100,
01/04/2008,1.185,1.185,1.185,1.185,300,
02/04/2008,1.209,1.209,1.209,1.209,200,
03/04/2008,1.228,1.228,1.228,1.228,100,
04/04/2008,1.249,1.249,1.249,1.249,200,
07/04/2008,1.283,1.283,1.283,1.283,100,
08/04/2008,1.319,1.319,1.319,1.319,5700,
09/04/2008,1.353,1.353,1.283,1.283,1500,
10/04/2008,1.38,1.38,1.38,1.38,200,
11/04/2008,1.344,1.344,1.344,1.344,100,
16/04/2008,1.31,1.34,1.31,1.34,3800,
17/04/2008,1.353,1.353,1.353,1.353,2200,
18/04/2008,1.38,1.389,1.38,1.389,200,
21/04/2008,1.423,1.423,1.423,1.423,100,
22/04/2008,1.458,1.458,1.458,1.458,1500,
23/04/2008,1.414,1.414,1.414,1.414,100,
24/04/2008,1.414,1.414,1.414,1.414,0,
25/04/2008,1.414,1.414,1.414,1.414,0,
28/04/2008,1.389,1.389,1.374,1.374,1600,
29/04/2008,1.359,1.359,1.359,1.359,1000,
05/05/2008,1.324,1.324,1.324,1.324,2000,
06/05/2008,1.324,1.324,1.324,1.324,0,
07/05/2008,1.29,1.29,1.29,1.29,400,
08/05/2008,1.255,1.255,1.255,1.255,100,
09/05/2008,1.22,1.22,1.22,1.22,200,
12/05/2008,1.185,1.185,1.185,1.185,800,
13/05/2008,1.153,1.185,1.153,1.185,900,
14/05/2008,1.195,1.195,1.195,1.195,500,
15/05/2008,1.22,1.22,1.214,1.214,1500,
16/05/2008,1.255,1.255,1.255,1.255,1200,
19/05/2008,1.255,1.255,1.228,1.228,700,
20/05/2008,1.249,1.249,1.249,1.249,0,
21/05/2008,1.249,1.249,1.249,1.249,0,
22/05/2008,1.249,1.249,1.249,1.249,0,
23/05/2008,1.214,1.214,1.214,1.214,800,
26/05/2008,1.214,1.214,1.214,1.214,0,
27/05/2008,0.998,0.998,0.998,0.998,0,
28/05/2008,0.998,0.998,0.998,0.998,0,
29/05/2008,1.179,1.179,1.179,1.179,1400,
30/05/2008,1.144,1.144,1.144,1.144,100,
02/06/2008,1.144,1.144,1.144,1.144,0,
03/06/2008,1.144,1.144,1.144,1.144,0,
04/06/2008,1.144,1.144,1.144,1.144,0,
05/06/2008,1.144,1.144,1.144,1.144,0,
06/06/2008,1.119,1.119,1.119,1.119,300,
09/06/2008,1.089,1.089,1.089,1.089,100,
10/06/2008,1.061,1.061,1.061,1.061,2800,
11/06/2008,1.089,1.089,1.089,1.089,1400,
12/06/2008,1.11,1.119,1.095,1.095,3600,
13/06/2008,1.119,1.119,1.119,1.119,3300,
16/06/2008,1.11,1.124,1.105,1.105,9600,
17/06/2008,1.144,1.144,1.144,1.144,1800,
18/06/2008,1.144,1.173,1.144,1.166,3300,
19/06/2008,1.13,1.13,1.13,1.13,100,
20/06/2008,1.089,1.089,1.089,1.089,200,
23/06/2008,1.069,1.069,1.049,1.049,1000,
24/06/2008,1.028,1.028,1.028,1.028,2100,
25/06/2008,0.999,1.005,0.992,1.005,1700,
26/06/2008,0.999,1.033,0.964,0.964,3400,
27/06/2008,1.014,1.014,0.999,0.999,600,
30/06/2008,1.033,1.033,0.964,0.97,6000,
01/07/2008,1.049,1.049,0.985,0.985,600,
02/07/2008,1.083,1.083,1.083,1.083,900,
03/07/2008,1.124,1.124,1.124,1.124,100,
04/07/2008,1.166,1.166,1.166,1.166,2100,
07/07/2008,1.159,1.209,1.159,1.209,4000,
08/07/2008,1.185,1.185,1.153,1.153,5600,
09/07/2008,1.185,1.214,1.179,1.214,6700,
10/07/2008,1.249,1.249,1.209,1.244,7500,
11/07/2008,1.283,1.283,1.279,1.283,3300,
14/07/2008,1.333,1.333,1.333,1.333,3000,
15/07/2008,1.38,1.38,1.38,1.38,3600,
16/07/2008,1.429,1.429,1.414,1.429,7400,
17/07/2008,1.485,1.485,1.485,1.485,8500,
18/07/2008,1.429,1.539,1.429,1.539,3500,
21/07/2008,1.498,1.498,1.498,1.498,0,
22/07/2008,1.444,1.444,1.444,1.444,4300,
23/07/2008,1.389,1.389,1.389,1.389,500,
24/07/2008,1.333,1.333,1.333,1.333,1200,
25/07/2008,1.283,1.333,1.283,1.283,12200,
28/07/2008,1.235,1.235,1.235,1.235,6200,
29/07/2008,1.283,1.283,1.235,1.235,1800,
30/07/2008,1.31,1.31,1.264,1.31,8000,
31/07/2008,1.344,1.344,1.344,1.344,500,
01/08/2008,1.299,1.389,1.299,1.389,3200,
04/08/2008,1.359,1.359,1.359,1.359,600,
05/08/2008,1.31,1.409,1.31,1.409,7800,
06/08/2008,1.409,1.414,1.319,1.319,6800,
07/08/2008,1.389,1.409,1.389,1.409,1200,
08/08/2008,1.353,1.409,1.353,1.395,2200,
11/08/2008,1.444,1.444,1.333,1.436,10200,
12/08/2008,1.449,1.449,1.449,1.449,6500,
13/08/2008,1.429,1.449,1.395,1.449,3500,
14/08/2008,1.479,1.479,1.479,1.479,13700,
15/08/2008,1.534,1.534,1.534,1.534,10800,
18/08/2008,1.631,1.639,1.589,1.595,10600,
19/08/2008,1.639,1.735,1.528,1.735,1700,
20/08/2008,1.444,1.449,1.444,1.444,3600,
21/08/2008,1.528,1.528,1.359,1.436,2600,
22/08/2008,1.359,1.528,1.353,1.528,2300,
