transDate,close,high,low,open,volume,event
30/03/2016,14.115,14.115,14.115,14.115,3000,
31/03/2016,16.197,16.197,16.197,16.197,50000,
01/04/2016,16.197,16.197,16.197,16.197,0,
04/04/2016,18.591,18.591,18.591,18.591,10000,
05/04/2016,17.962,21.364,17.962,21.364,3800,
06/04/2016,15.82,16.384,15.82,15.82,5100,
07/04/2016,15.757,15.757,15.757,15.757,500,
08/04/2016,15.757,15.757,15.126,15.126,1700,
11/04/2016,15.126,15.126,15.126,15.126,100,
12/04/2016,13.235,13.359,12.857,12.857,5600,
13/04/2016,13.865,14.432,13.865,13.865,4500,
14/04/2016,15.882,15.944,14.495,14.495,33100,
15/04/2016,15.126,16.008,15.126,16.008,800,
19/04/2016,15.567,15.757,15.567,15.757,7100,
20/04/2016,14.81,14.999,14.81,14.999,8700,
21/04/2016,15.126,15.126,15.063,15.063,600,
22/04/2016,14.307,14.495,14.182,14.244,22600,
25/04/2016,16.071,16.071,15.126,15.757,19700,
26/04/2016,16.7,16.7,16.384,16.384,9800,
27/04/2016,16.384,17.016,16.384,16.7,8800,
28/04/2016,16.7,16.7,15.757,15.757,3500,
29/04/2016,16.384,16.384,14.495,14.495,3300,
04/05/2016,16.638,16.638,14.37,15.757,1200,
05/05/2016,15.44,16.323,15.44,16.323,500,
06/05/2016,14.244,15.628,13.991,13.991,1700,
09/05/2016,15.126,15.757,15.126,15.757,5900,
10/05/2016,15.44,15.757,15.379,15.379,3400,
11/05/2016,15.126,15.757,14.115,14.115,4900,
12/05/2016,16.071,16.071,15.44,15.757,5800,
13/05/2016,15.628,16.008,15.252,15.82,20600,
16/05/2016,15.694,15.757,15.694,15.757,400,
17/05/2016,15.694,15.694,14.999,14.999,600,
18/05/2016,14.81,14.872,14.81,14.872,1200,
19/05/2016,15.628,15.628,15.628,15.628,400,
20/05/2016,15.628,15.628,15.628,15.628,0,
23/05/2016,15.628,15.628,15.628,15.628,0,
24/05/2016,15.44,15.44,15.44,15.44,300,
25/05/2016,14.872,15.126,14.872,14.872,1000,
26/05/2016,15.126,15.126,14.495,14.81,7000,
27/05/2016,14.81,14.81,14.81,14.81,100,
30/05/2016,14.182,14.81,14.182,14.81,2500,
31/05/2016,14.495,14.81,14.495,14.81,200,
01/06/2016,14.782,14.782,14.782,14.782,1500,DIVIDEND
02/06/2016,14.525,14.717,14.46,14.46,5900,
03/06/2016,14.974,15.103,14.203,15.103,1400,
06/06/2016,12.917,14.46,12.917,14.203,5700,
07/06/2016,14.782,14.974,14.782,14.974,2000,
08/06/2016,14.139,14.139,14.139,14.139,200,
09/06/2016,14.654,14.654,13.496,13.56,5800,
10/06/2016,14.073,14.139,13.626,14.139,7600,
13/06/2016,13.881,14.073,13.626,13.819,13200,
14/06/2016,14.525,14.525,14.395,14.395,600,
15/06/2016,14.717,15.103,14.525,14.525,12700,
16/06/2016,14.782,14.909,14.782,14.782,3600,
17/06/2016,14.782,15.103,13.819,13.819,3700,
20/06/2016,14.139,14.717,13.945,14.139,5100,
21/06/2016,14.846,14.846,14.266,14.266,1000,
22/06/2016,14.717,15.424,14.717,15.424,1200,
23/06/2016,14.717,14.782,14.266,14.782,3900,
24/06/2016,14.46,14.46,14.46,14.46,1800,
27/06/2016,14.266,14.331,14.266,14.331,3700,
28/06/2016,14.266,14.782,14.139,14.331,12400,
29/06/2016,14.909,14.909,14.717,14.717,2500,
30/06/2016,14.717,14.717,14.46,14.46,1800,
01/07/2016,14.717,14.717,13.881,14.717,2900,
04/07/2016,14.782,14.782,14.139,14.46,3700,
05/07/2016,14.46,14.46,14.331,14.46,800,
06/07/2016,14.46,14.587,14.46,14.587,2000,
07/07/2016,14.846,14.846,14.717,14.782,17300,
08/07/2016,16.067,16.195,14.782,14.846,36100,
11/07/2016,16.386,17.352,16.386,17.352,6000,
12/07/2016,17.03,17.03,15.81,16.709,6800,
13/07/2016,16.645,16.645,15.553,15.553,8800,
14/07/2016,16.645,16.709,15.231,16.709,400,
15/07/2016,14.587,16.067,14.46,16.002,55500,
18/07/2016,16.067,16.386,14.525,14.525,7800,
19/07/2016,15.81,15.81,15.745,15.745,7500,
20/07/2016,16.067,16.067,15.938,16.002,12700,
21/07/2016,15.745,15.81,15.745,15.81,5500,
22/07/2016,15.167,16.002,15.167,16.002,47300,
25/07/2016,15.167,15.424,15.103,15.103,5200,
26/07/2016,15.167,15.167,15.167,15.167,3200,
27/07/2016,15.745,16.002,15.745,16.002,1300,
28/07/2016,15.553,15.938,15.103,15.103,2500,
29/07/2016,15.874,15.874,15.745,15.745,9300,
01/08/2016,16.195,16.774,15.874,15.874,43100,
02/08/2016,16.386,16.386,15.874,16.324,9300,
03/08/2016,16.195,16.195,16.195,16.195,0,
04/08/2016,16.709,16.709,16.645,16.645,9800,
05/08/2016,16.709,16.709,16.709,16.709,100,
08/08/2016,16.709,16.709,16.709,16.709,0,
09/08/2016,16.067,16.067,15.874,15.874,6200,
10/08/2016,16.067,16.067,16.067,16.067,0,
11/08/2016,15.874,15.874,15.745,15.874,5900,
12/08/2016,16.067,16.067,16.067,16.067,600,
15/08/2016,16.067,16.067,16.067,16.067,0,
16/08/2016,16.067,16.067,16.067,16.067,17800,
17/08/2016,16.709,16.709,16.709,16.709,200,
18/08/2016,16.709,16.709,16.709,16.709,0,
19/08/2016,16.709,16.709,16.195,16.709,9800,
