transDate,close,high,low,open,volume,event
28/07/2017,14.818,14.818,14.818,14.818,68000,
31/07/2017,16.273,16.273,16.273,16.273,124400,
01/08/2017,16.909,17.818,16.545,17.818,93200,
02/08/2017,16.182,16.909,16.091,16.909,113200,
03/08/2017,14.636,15.727,14.636,15.727,169600,
04/08/2017,13.182,14.091,13.182,14.091,26900,
07/08/2017,11.909,13.182,11.909,13.182,48300,
08/08/2017,10.727,11.636,10.727,11.091,143700,
09/08/2017,9.727,10.727,9.727,10.727,139300,
10/08/2017,8.818,9.636,8.818,9.545,58800,
11/08/2017,9.636,9.636,8.818,8.818,332800,
14/08/2017,8.727,10.545,8.727,10.545,139800,
15/08/2017,8.545,8.909,8.455,8.727,52000,
16/08/2017,8.0,8.182,7.727,8.182,51000,
17/08/2017,7.273,7.818,7.273,7.818,84400,
18/08/2017,6.727,6.909,6.545,6.727,193490,
21/08/2017,6.727,6.909,6.455,6.636,105600,
22/08/2017,6.727,6.818,6.545,6.818,67300,
23/08/2017,6.909,7.0,6.636,6.636,88300,
24/08/2017,6.909,7.0,6.727,6.909,75300,
25/08/2017,6.636,6.818,6.545,6.818,90000,
28/08/2017,6.636,6.818,6.455,6.455,64300,
29/08/2017,6.636,6.818,6.636,6.636,337000,
30/08/2017,6.636,6.727,6.545,6.727,235500,
31/08/2017,6.182,6.727,6.182,6.727,256400,
01/09/2017,6.273,6.364,6.091,6.182,146200,
05/09/2017,6.818,6.818,6.091,6.091,109600,
06/09/2017,7.091,7.091,6.727,6.818,55000,
07/09/2017,7.455,7.455,6.818,7.0,106500,
08/09/2017,7.909,7.909,7.364,7.455,430800,
11/09/2017,7.545,7.909,7.182,7.909,230500,
12/09/2017,7.273,7.545,7.273,7.545,136800,
13/09/2017,7.636,7.727,7.182,7.273,191700,
14/09/2017,7.727,7.818,7.273,7.545,238000,
15/09/2017,7.0,7.364,7.0,7.364,180712,
18/09/2017,6.727,7.0,6.364,6.818,409989,
19/09/2017,7.0,7.0,6.364,6.364,78600,
20/09/2017,6.818,7.091,6.364,6.636,196820,
21/09/2017,6.455,6.727,6.364,6.727,104600,
