transDate,close,high,low,open,volume,event
16/11/2006,8.245,8.245,8.245,8.245,4470,
17/11/2006,8.523,8.523,8.249,8.249,28570,
20/11/2006,8.384,8.523,8.18,8.384,13710,
21/11/2006,8.318,8.384,8.318,8.384,2370,
22/11/2006,7.972,8.041,7.972,8.041,600,
23/11/2006,7.631,7.768,7.631,7.768,4320,
24/11/2006,7.287,7.627,7.287,7.627,8090,
27/11/2006,6.941,6.941,6.941,6.941,4110,
28/11/2006,6.598,6.598,6.598,6.598,5100,
29/11/2006,6.598,6.598,6.268,6.598,25030,
30/11/2006,6.874,6.874,6.874,6.874,6610,
01/12/2006,7.218,7.218,7.218,7.218,6100,
04/12/2006,7.559,7.559,7.559,7.559,12020,
05/12/2006,7.559,7.695,7.559,7.559,8810,
06/12/2006,7.287,7.559,7.287,7.559,9050,
07/12/2006,7.559,7.559,6.941,7.287,2110,
08/12/2006,8.045,8.045,8.045,8.045,0,
11/12/2006,7.287,7.559,7.287,7.287,950,
12/12/2006,6.941,7.147,6.941,7.147,4840,
13/12/2006,6.941,6.941,6.874,6.941,4240,
14/12/2006,6.941,6.941,6.941,6.941,6750,
15/12/2006,7.287,7.287,6.805,6.941,2690,
18/12/2006,7.559,7.559,7.287,7.287,6620,
19/12/2006,7.424,7.424,7.424,7.424,5500,
20/12/2006,7.078,7.078,7.078,7.078,1800,
21/12/2006,7.078,7.424,7.078,7.078,3410,
22/12/2006,6.874,6.874,6.736,6.874,2290,
25/12/2006,6.598,6.874,6.598,6.874,6050,
26/12/2006,6.598,6.598,6.598,6.598,5160,
27/12/2006,6.91,6.91,6.91,6.91,250,DIVIDEND
28/12/2006,6.977,6.977,6.91,6.91,3460,
29/12/2006,6.642,6.98,6.642,6.98,6080,
02/01/2007,6.964,6.964,6.964,6.964,1460,
03/01/2007,7.261,7.261,7.261,7.261,3980,
04/01/2007,7.329,7.399,7.329,7.329,10670,
05/01/2007,7.049,7.049,7.049,7.049,650,
08/01/2007,7.049,7.049,7.049,7.049,1200,
09/01/2007,6.766,7.049,6.766,7.049,1970,
10/01/2007,7.049,7.049,6.91,6.91,2620,
11/01/2007,6.91,7.049,6.91,7.049,1400,
12/01/2007,6.91,6.91,6.91,6.91,1180,
15/01/2007,7.036,7.036,6.923,6.923,2200,
16/01/2007,6.699,6.699,6.699,6.699,3800,
17/01/2007,6.836,6.977,6.836,6.836,3140,
18/01/2007,6.836,6.836,6.836,6.836,3900,
19/01/2007,7.049,7.049,6.836,6.836,8130,
22/01/2007,7.118,7.118,7.049,7.049,4000,
23/01/2007,5.453,5.453,5.399,5.399,4000,
24/01/2007,7.576,7.576,7.576,7.576,0,
25/01/2007,6.766,6.766,6.766,6.766,550,
26/01/2007,6.626,6.766,6.428,6.766,2430,
29/01/2007,6.949,6.949,6.949,6.949,13490,
30/01/2007,7.118,7.118,7.118,7.118,10300,
31/01/2007,7.192,7.192,7.192,7.192,4460,
01/02/2007,7.192,7.192,7.192,7.192,2750,
02/02/2007,7.192,7.192,7.192,7.192,2730,
05/02/2007,7.192,7.192,7.192,7.192,7200,
06/02/2007,7.192,7.192,6.836,7.192,8370,
07/02/2007,7.192,7.192,7.192,7.192,2310,
08/02/2007,6.977,6.977,6.977,6.977,1290,
09/02/2007,6.977,6.977,6.91,6.977,2620,
12/02/2007,7.118,7.118,6.977,6.977,1890,
13/02/2007,7.192,7.403,7.192,7.192,21750,
14/02/2007,7.544,7.544,7.472,7.472,28620,
15/02/2007,7.894,7.894,7.894,7.894,30810,
26/02/2007,8.245,8.245,8.245,8.245,6450,
27/02/2007,8.6,8.6,8.6,8.6,21260,
28/02/2007,9.023,9.023,9.023,9.023,24970,
01/03/2007,9.445,9.445,9.445,9.445,46720,
02/03/2007,9.585,9.868,9.585,9.585,85510,
05/03/2007,9.585,9.585,9.585,9.585,26870,
06/03/2007,9.167,9.167,9.167,9.167,24860,
07/03/2007,8.881,9.023,8.739,9.023,28010,
08/03/2007,9.234,9.234,8.739,8.881,34500,
09/03/2007,9.656,9.656,9.656,9.656,31250,
12/03/2007,9.656,9.939,9.656,9.656,36920,
13/03/2007,9.585,9.656,9.234,9.656,32930,
14/03/2007,9.167,9.167,9.167,9.167,13080,
15/03/2007,8.744,8.744,8.744,8.744,6570,
16/03/2007,8.744,8.744,8.388,8.744,16220,
19/03/2007,9.167,9.167,9.167,9.167,29500,
20/03/2007,9.306,9.585,9.306,9.306,49110,
21/03/2007,9.167,9.306,9.167,9.306,15780,
22/03/2007,9.023,9.378,9.023,9.167,8390,
23/03/2007,9.167,9.167,9.023,9.023,15380,
26/03/2007,9.306,9.585,9.306,9.306,41670,
27/03/2007,8.881,9.729,8.881,9.306,47020,
28/03/2007,8.744,8.744,8.744,8.744,12920,
29/03/2007,9.167,9.167,9.167,9.167,20420,
30/03/2007,9.023,9.167,8.881,9.167,28750,
02/04/2007,8.744,8.744,8.744,8.744,25180,
03/04/2007,8.744,8.744,8.744,8.744,26460,
04/04/2007,8.811,8.811,8.739,8.739,24120,
05/04/2007,9.221,9.221,8.46,9.221,23540,DIVIDEND
06/04/2007,8.969,9.391,8.969,8.969,22370,
09/04/2007,8.545,8.545,8.545,8.545,4800,
10/04/2007,8.545,8.545,8.123,8.545,14010,
11/04/2007,8.545,8.545,8.545,8.545,7390,
12/04/2007,8.457,8.542,8.288,8.457,5450,
13/04/2007,8.123,8.29,8.123,8.123,11310,
16/04/2007,7.715,7.715,7.715,7.715,14360,
17/04/2007,7.446,7.446,7.345,7.446,35750,
18/04/2007,7.784,7.784,7.784,7.784,4770,
19/04/2007,8.172,8.172,7.784,7.784,10600,
20/04/2007,8.172,8.172,8.172,8.172,14700,
23/04/2007,8.172,8.172,8.172,8.172,25640,
24/04/2007,8.172,8.172,7.8,8.172,14900,
25/04/2007,8.545,8.545,8.123,8.172,14670,
02/05/2007,8.629,8.714,8.629,8.629,5390,
03/05/2007,8.629,8.629,8.46,8.629,29520,
04/05/2007,8.206,8.206,8.206,8.206,3200,
07/05/2007,8.206,8.29,7.884,8.206,3040,
08/05/2007,8.545,8.545,8.29,8.29,16190,
09/05/2007,8.457,8.964,8.457,8.457,28140,
10/05/2007,8.288,8.881,8.288,8.288,21010,
11/05/2007,8.457,8.626,8.457,8.457,32150,
14/05/2007,8.457,8.879,8.457,8.457,36190,
15/05/2007,8.545,8.545,8.46,8.46,13020,
