transDate,close,high,low,open,volume,event
07/06/2016,7.415,7.79,7.415,7.79,5100,
08/06/2016,6.985,7.039,6.771,6.771,1400,
09/06/2016,6.717,6.717,6.34,6.34,600,
10/06/2016,7.093,7.361,6.125,6.125,6700,
13/06/2016,7.523,7.523,6.502,7.093,14100,
14/06/2016,7.523,7.523,7.523,7.523,2000,
15/06/2016,7.309,7.309,6.824,6.824,2100,
16/06/2016,7.523,7.523,7.523,7.523,12000,
17/06/2016,7.309,8.06,6.824,6.824,5400,
20/06/2016,7.631,7.953,7.577,7.953,10200,
21/06/2016,7.684,8.167,6.932,6.932,13400,
22/06/2016,7.79,7.79,7.79,7.79,4000,
23/06/2016,7.79,7.79,7.79,7.79,0,
24/06/2016,7.093,7.093,7.093,7.093,100,
27/06/2016,7.79,7.79,6.448,6.448,1100,
28/06/2016,8.543,8.543,7.093,7.093,5300,
29/06/2016,8.543,8.543,8.543,8.543,0,
30/06/2016,7.845,7.845,7.79,7.79,40000,
01/07/2016,8.007,8.007,7.953,7.953,11800,
04/07/2016,8.007,8.007,8.007,8.007,0,
05/07/2016,8.007,8.007,7.309,7.309,22000,
06/07/2016,7.953,7.953,7.309,7.953,1200,
07/07/2016,8.06,8.06,7.898,7.898,18100,
08/07/2016,8.275,8.597,7.309,7.309,3800,
11/07/2016,8.06,8.06,7.523,7.523,2600,
12/07/2016,7.79,7.79,7.415,7.415,5700,
13/07/2016,8.06,8.329,7.093,7.093,3200,
14/07/2016,8.06,8.06,8.06,8.06,10500,
15/07/2016,8.06,8.06,8.06,8.06,0,
18/07/2016,8.06,8.06,8.06,8.06,400,
19/07/2016,8.06,8.06,7.898,7.898,9100,
20/07/2016,8.06,8.06,8.06,8.06,0,
21/07/2016,8.329,8.329,8.329,8.329,3800,
22/07/2016,8.06,8.06,8.06,8.06,2500,
25/07/2016,8.06,8.06,8.06,8.06,0,
26/07/2016,8.597,8.597,7.309,7.309,2800,
27/07/2016,8.597,8.597,7.79,7.79,600,
28/07/2016,8.329,8.597,7.79,7.79,400,
29/07/2016,8.329,8.329,8.329,8.329,0,
01/08/2016,8.06,8.06,8.06,8.06,100,
02/08/2016,7.79,7.79,7.577,7.577,5100,
03/08/2016,7.523,7.577,7.469,7.469,4100,
04/08/2016,7.523,7.523,7.523,7.523,0,
05/08/2016,7.523,7.523,7.523,7.523,0,
08/08/2016,7.523,7.523,7.523,7.523,0,
09/08/2016,7.523,8.275,7.309,7.309,1600,
10/08/2016,7.523,7.523,7.523,7.523,0,
11/08/2016,7.577,8.275,7.039,7.039,600,
12/08/2016,7.577,7.577,7.577,7.577,0,
15/08/2016,7.577,7.577,7.577,7.577,400,
16/08/2016,8.06,8.06,8.06,8.06,200,
17/08/2016,8.06,8.06,7.79,7.79,4000,
18/08/2016,8.06,8.06,7.309,7.309,28100,
19/08/2016,8.06,8.06,7.415,7.415,3000,
22/08/2016,8.06,8.06,8.06,8.06,0,
23/08/2016,8.06,8.06,7.469,7.469,1500,
24/08/2016,7.898,7.898,7.898,7.898,3800,
25/08/2016,7.898,7.898,7.898,7.898,100,
26/08/2016,8.06,8.06,7.898,7.898,8900,
