transDate,close,high,low,open,volume,event
11/03/2010,39.196,47.037,36.058,47.037,82450,
12/03/2010,37.235,38.018,37.235,38.018,54030,
15/03/2010,39.043,39.043,37.235,37.235,165570,
16/03/2010,40.76,40.76,40.76,40.76,20000,
17/03/2010,42.721,42.721,40.76,42.721,100940,
18/03/2010,44.681,44.681,44.681,44.681,297180,
19/03/2010,46.641,46.641,46.641,46.641,86310,
22/03/2010,44.681,47.037,44.681,47.037,39140,
23/03/2010,46.641,46.641,43.503,45.463,86590,
24/03/2010,47.037,47.037,45.463,46.641,52390,
25/03/2010,44.681,47.037,44.681,47.037,55270,
26/03/2010,45.076,45.076,42.721,43.116,51810,
29/03/2010,43.116,45.076,43.116,45.076,35400,
30/03/2010,43.503,43.899,42.721,43.899,45040,
31/03/2010,44.294,44.294,43.116,43.503,83600,
01/04/2010,46.254,46.254,44.681,45.463,162500,
02/04/2010,48.215,48.215,46.254,46.254,98990,
05/04/2010,50.562,50.562,48.997,49.779,89960,
06/04/2010,48.215,50.957,48.215,48.997,87050,
07/04/2010,50.562,50.562,47.819,48.601,143710,
08/04/2010,51.344,52.126,50.166,51.344,167670,
09/04/2010,50.166,50.562,48.997,50.562,104130,
12/04/2010,47.819,47.819,47.819,47.819,84330,
13/04/2010,45.859,47.819,45.859,47.819,66160,
14/04/2010,46.254,47.423,45.859,45.859,129620,
15/04/2010,46.254,46.641,45.463,46.254,50600,
16/04/2010,44.681,46.254,44.294,46.254,81170,
19/04/2010,43.899,44.294,43.116,43.899,57950,
20/04/2010,43.503,45.463,43.503,45.463,59310,
21/04/2010,45.463,45.463,43.503,44.294,115820,
22/04/2010,45.463,46.641,45.463,46.254,39100,
26/04/2010,43.503,45.463,43.503,45.463,30780,
27/04/2010,43.503,43.899,43.503,43.503,32550,
28/04/2010,41.938,44.294,41.552,44.294,96390,
29/04/2010,43.899,43.899,41.552,41.552,285100,
04/05/2010,43.899,45.076,43.116,44.681,81190,
05/05/2010,42.334,43.899,42.334,42.334,35650,
06/05/2010,43.116,44.294,42.334,42.334,96810,
07/05/2010,42.334,42.721,41.552,42.334,94350,
10/05/2010,40.374,42.721,40.374,42.334,54830,
11/05/2010,39.591,40.76,39.196,40.76,48130,
12/05/2010,37.631,39.196,37.631,38.252,89900,
13/05/2010,37.631,39.043,36.058,37.631,30070,
14/05/2010,35.824,37.631,35.824,37.631,43510,
17/05/2010,34.097,36.058,34.097,36.058,116780,
18/05/2010,32.928,32.928,32.452,32.686,80000,
19/05/2010,32.218,34.412,31.903,34.412,69520,
20/05/2010,33.783,33.783,30.653,32.218,68960,
21/05/2010,32.137,32.218,32.137,32.137,28820,
24/05/2010,31.355,32.767,30.968,32.137,21760,
25/05/2010,32.928,32.928,30.572,30.572,102970,
26/05/2010,34.574,34.574,34.331,34.574,55590,
27/05/2010,34.88,35.356,34.574,34.574,33080,
28/05/2010,36.606,36.606,34.88,34.88,62360,
31/05/2010,36.453,36.84,35.275,35.275,21610,
01/06/2010,35.275,37.155,35.275,37.155,35260,
02/06/2010,35.275,35.671,34.493,35.275,50560,
03/06/2010,34.961,36.058,34.961,35.275,26220,
04/06/2010,34.574,35.275,34.574,34.961,12130,
07/06/2010,32.847,33.711,32.847,32.928,51080,
08/06/2010,34.412,34.412,31.75,31.75,84900,
09/06/2010,35.122,35.59,34.412,35.275,46340,
10/06/2010,35.122,35.275,33.711,35.122,37900,
11/06/2010,35.671,36.138,35.122,35.437,93740,
14/06/2010,37.388,37.388,35.671,35.671,180860,
15/06/2010,38.018,38.962,37.631,37.631,121120,
16/06/2010,38.018,38.962,38.018,38.413,66160,
17/06/2010,36.84,38.018,36.687,38.018,113730,
18/06/2010,36.84,36.84,36.84,36.84,53370,
21/06/2010,37.316,38.413,36.372,36.372,62350,
22/06/2010,36.453,37.631,36.453,36.453,31700,
23/06/2010,35.743,36.84,35.743,36.453,34850,
24/06/2010,35.275,36.058,35.275,36.058,21190,
25/06/2010,34.493,36.453,34.493,36.453,35180,
28/06/2010,34.961,35.59,34.493,35.59,13530,
29/06/2010,35.122,35.905,34.88,35.905,7200,
30/06/2010,34.961,34.961,34.097,34.097,23300,
01/07/2010,34.178,34.412,34.178,34.331,12840,
02/07/2010,35.122,35.275,34.097,34.259,4140,
05/07/2010,35.275,36.058,35.122,35.122,8110,
06/07/2010,33.944,35.275,33.944,35.275,5400,
07/07/2010,33.864,33.944,33.864,33.944,18310,
08/07/2010,32.533,34.025,32.533,34.025,43730,
09/07/2010,33.315,33.315,31.75,31.75,29470,
12/07/2010,33.711,33.711,33.315,33.315,10200,
13/07/2010,33.783,34.493,33.711,33.711,14800,
14/07/2010,33.315,34.412,33.315,34.412,7900,
15/07/2010,32.928,33.396,32.928,33.315,7860,
16/07/2010,33.081,33.315,33.0,33.081,17500,
19/07/2010,32.928,33.234,32.614,32.614,7230,
20/07/2010,32.928,33.0,32.767,32.767,13500,
21/07/2010,32.299,33.315,32.299,32.928,7460,
22/07/2010,32.218,32.928,32.137,32.928,14480,
23/07/2010,31.903,32.218,31.903,32.137,7180,
26/07/2010,32.137,33.477,32.137,33.477,5920,
27/07/2010,32.137,32.928,32.137,32.137,1030,
28/07/2010,31.355,32.137,31.202,32.137,11200,
29/07/2010,29.79,31.355,29.79,31.355,85030,
30/07/2010,29.79,30.105,29.475,29.475,42010,
02/08/2010,28.765,29.008,28.459,29.008,18580,
03/08/2010,28.217,28.298,27.83,27.83,14200,
04/08/2010,27.434,28.217,27.434,28.217,16890,
05/08/2010,26.104,28.217,26.104,27.434,39520,
06/08/2010,27.362,27.362,24.854,25.87,113590,
09/08/2010,28.064,28.298,27.048,28.298,24060,
10/08/2010,27.434,28.064,26.733,27.83,7370,
11/08/2010,27.048,28.217,27.048,27.434,12250,
12/08/2010,25.708,26.265,25.708,25.951,27910,
13/08/2010,25.87,25.87,24.539,24.539,33390,
16/08/2010,26.652,27.048,26.023,26.571,16820,
17/08/2010,26.571,26.652,25.555,25.555,17550,
18/08/2010,26.499,26.571,25.474,26.499,10020,
19/08/2010,26.104,26.104,25.24,25.474,13080,
20/08/2010,26.104,26.104,25.087,26.104,30570,
23/08/2010,25.789,26.023,25.24,25.24,13880,
24/08/2010,25.474,25.474,24.539,24.611,26990,
25/08/2010,24.224,25.474,24.224,24.224,4650,
26/08/2010,23.046,24.224,23.046,23.127,26600,
27/08/2010,23.046,23.046,21.949,22.03,26150,
30/08/2010,24.143,24.143,23.909,23.909,17580,
31/08/2010,23.514,24.611,23.514,24.143,3530,
01/09/2010,24.611,24.611,23.28,23.514,12910,
06/09/2010,25.789,25.789,24.692,24.692,20430,
07/09/2010,25.789,25.789,24.926,25.087,21850,
08/09/2010,24.539,25.087,24.539,25.087,30260,
09/09/2010,24.305,24.539,24.224,24.377,27680,
10/09/2010,23.676,24.458,23.676,24.305,20780,
13/09/2010,23.676,23.676,22.732,23.514,14250,
14/09/2010,23.208,24.305,23.208,24.305,4630,
15/09/2010,22.732,22.732,22.732,22.732,530,
16/09/2010,23.514,23.514,22.732,23.127,3100,
17/09/2010,24.143,24.143,23.514,24.143,7290,
20/09/2010,23.909,24.305,23.909,24.143,4000,
21/09/2010,23.99,24.143,23.909,24.143,4690,
22/09/2010,24.224,24.224,23.676,23.99,9600,
23/09/2010,23.514,23.514,23.208,23.514,11380,
24/09/2010,23.127,23.514,23.127,23.514,11030,
27/09/2010,22.732,23.046,22.732,22.893,9390,
28/09/2010,23.28,23.28,22.732,22.732,8920,
29/09/2010,22.732,23.361,22.732,23.28,6780,
30/09/2010,22.183,22.579,22.183,22.579,7960,
01/10/2010,21.248,22.965,21.248,22.965,9500,
