transDate,close,high,low,open,volume,event
24/04/2015,14.0,14.0,14.0,14.0,500,
27/04/2015,15.4,15.4,15.4,15.4,100,
04/05/2015,15.4,15.4,15.4,15.4,0,
05/05/2015,15.4,15.4,15.4,15.4,0,
06/05/2015,15.4,15.4,15.4,15.4,0,
07/05/2015,15.4,15.4,15.4,15.4,0,
08/05/2015,15.4,15.4,15.4,15.4,0,
11/05/2015,16.0,16.0,16.0,16.0,100,
12/05/2015,16.0,16.0,16.0,16.0,0,
13/05/2015,16.0,16.0,16.0,16.0,0,
14/05/2015,16.0,16.0,16.0,16.0,0,
15/05/2015,16.0,16.0,16.0,16.0,0,
18/05/2015,16.0,16.0,16.0,16.0,0,
19/05/2015,16.0,16.0,16.0,16.0,0,
20/05/2015,16.0,16.0,16.0,16.0,0,
21/05/2015,16.0,16.0,16.0,16.0,0,
22/05/2015,16.0,16.0,16.0,16.0,0,
25/05/2015,16.0,16.0,16.0,16.0,0,
26/05/2015,14.4,14.4,14.4,14.4,100,
27/05/2015,14.4,14.4,14.4,14.4,0,
28/05/2015,13.0,13.0,13.0,13.0,100,
29/05/2015,13.0,13.0,13.0,13.0,0,
01/06/2015,13.0,13.0,13.0,13.0,0,
02/06/2015,12.5,12.5,12.5,12.5,100,
03/06/2015,12.5,12.5,12.5,12.5,0,
04/06/2015,12.5,12.5,12.5,12.5,0,
05/06/2015,12.5,12.5,12.5,12.5,0,
08/06/2015,11.3,11.3,11.3,11.3,100,
09/06/2015,11.2,11.2,10.8,10.8,200,
10/06/2015,10.5,10.5,10.5,10.5,100,
11/06/2015,10.5,10.5,10.5,10.5,0,
12/06/2015,10.5,10.5,10.5,10.5,0,
15/06/2015,10.5,10.5,10.5,10.5,0,
16/06/2015,10.5,10.5,10.5,10.5,0,
17/06/2015,10.5,10.5,10.5,10.5,0,
18/06/2015,10.5,10.5,10.5,10.5,0,
19/06/2015,10.5,10.5,10.5,10.5,0,
22/06/2015,10.5,10.5,10.5,10.5,0,
23/06/2015,10.5,10.5,10.5,10.5,0,
24/06/2015,10.5,10.5,10.5,10.5,0,
25/06/2015,10.0,10.0,10.0,10.0,100,
26/06/2015,10.0,10.0,10.0,10.0,0,
29/06/2015,10.0,10.0,10.0,10.0,0,
30/06/2015,10.0,10.0,10.0,10.0,0,
01/07/2015,10.0,10.0,10.0,10.0,0,
02/07/2015,10.0,10.0,10.0,10.0,0,
03/07/2015,10.0,10.0,10.0,10.0,0,
06/07/2015,10.0,10.0,10.0,10.0,0,
07/07/2015,10.0,10.0,10.0,10.0,0,
08/07/2015,10.0,10.0,10.0,10.0,0,
09/07/2015,10.0,10.0,10.0,10.0,0,
10/07/2015,10.0,10.0,10.0,10.0,0,
13/07/2015,10.0,10.0,10.0,10.0,0,
14/07/2015,10.0,10.0,10.0,10.0,0,
