transDate,close,high,low,open,volume,event
28/07/2008,28.382,28.382,28.382,28.382,1420,
29/07/2008,27.594,27.594,27.594,27.594,10,
30/07/2008,26.805,26.805,26.805,26.805,50,
31/07/2008,26.017,26.017,26.017,26.017,100,
01/08/2008,25.307,25.307,25.307,25.307,100,
04/08/2008,24.598,24.598,24.598,24.598,120,
05/08/2008,24.598,24.598,24.598,24.598,0,
06/08/2008,23.888,23.888,23.888,23.888,100,
07/08/2008,23.179,23.179,23.179,23.179,100,
08/08/2008,22.548,22.548,22.548,22.548,100,
11/08/2008,21.917,21.917,21.917,21.917,400,
12/08/2008,21.287,21.287,21.287,21.287,600,
13/08/2008,20.656,20.656,20.656,20.656,100,
14/08/2008,20.104,21.208,20.104,20.104,192810,
15/08/2008,19.552,19.552,19.552,19.552,42820,
18/08/2008,18.606,18.606,18.606,18.606,12150,
19/08/2008,17.739,17.739,17.739,17.739,69690,
20/08/2008,18.606,18.606,16.872,16.872,272650,
21/08/2008,19.473,19.473,19.473,19.473,84440,
22/08/2008,20.419,20.419,19.71,20.419,156850,
25/08/2008,21.365,21.365,21.365,21.365,7920,
26/08/2008,22.39,22.39,22.39,22.39,6380,
27/08/2008,22.39,23.494,22.154,23.494,250990,
28/08/2008,21.287,21.287,21.287,21.287,12310,
29/08/2008,20.262,20.262,20.262,20.262,32200,
03/09/2008,21.05,21.208,20.577,21.208,166310,
04/09/2008,20.025,20.971,20.025,20.025,118710,
05/09/2008,20.971,20.971,19.316,19.316,92980,
08/09/2008,20.892,20.892,19.946,19.946,81590,
09/09/2008,19.867,20.892,19.867,20.183,47950,
10/09/2008,18.921,20.183,18.921,19.0,50290,
11/09/2008,17.975,18.133,17.975,17.975,92190,
12/09/2008,17.108,17.108,17.108,17.108,18770,
15/09/2008,17.502,17.896,16.556,17.108,60830,
16/09/2008,16.635,16.714,16.635,16.635,34470,
17/09/2008,17.029,17.345,15.847,15.847,55110,
18/09/2008,16.241,16.241,16.241,16.241,8870,
19/09/2008,17.029,17.029,17.029,17.029,27040,
22/09/2008,17.818,17.818,17.818,17.818,7200,
23/09/2008,16.95,17.739,16.95,16.95,28520,
24/09/2008,16.162,16.95,16.162,16.95,43490,
25/09/2008,16.635,16.635,16.162,16.477,22520,
26/09/2008,16.162,17.266,16.162,17.266,20260,
29/09/2008,15.452,15.926,15.374,15.531,22080,
30/09/2008,14.743,14.743,14.743,14.743,5250,
01/10/2008,14.349,14.743,14.191,14.664,14980,
02/10/2008,14.349,14.901,14.349,14.901,30390,
03/10/2008,15.058,15.058,14.979,15.058,84870,
06/10/2008,15.768,15.768,15.374,15.768,97390,
07/10/2008,14.979,15.768,14.979,15.768,36680,
08/10/2008,14.27,14.901,14.27,14.27,22770,
09/10/2008,13.639,14.822,13.639,14.191,29840,
10/10/2008,13.008,13.008,13.008,13.008,13140,
13/10/2008,12.378,13.008,12.378,12.535,39180,
14/10/2008,12.93,12.93,12.93,12.93,4390,
15/10/2008,12.772,12.93,12.299,12.614,34100,
16/10/2008,12.141,12.299,12.141,12.141,23950,
17/10/2008,12.141,12.457,11.905,12.457,14880,
20/10/2008,11.589,12.614,11.589,12.614,4360,
21/10/2008,11.432,11.905,11.037,11.905,42390,
22/10/2008,11.511,11.511,10.88,11.037,24860,
23/10/2008,10.959,10.959,10.959,10.959,26780,
24/10/2008,10.486,10.722,10.486,10.643,18620,
27/10/2008,10.013,10.091,10.013,10.013,17630,
28/10/2008,9.54,10.249,9.54,9.54,18850,
29/10/2008,9.145,10.013,9.067,9.934,51210,
30/10/2008,9.224,9.54,8.988,9.145,27450,
31/10/2008,9.618,9.618,8.988,9.224,27970,
03/11/2008,9.618,9.618,9.303,9.303,12280,
04/11/2008,10.013,10.013,9.54,9.618,12700,
05/11/2008,10.486,10.486,10.486,10.486,12160,
06/11/2008,10.17,10.249,10.013,10.013,31340,
07/11/2008,9.697,9.934,9.697,9.697,23210,
10/11/2008,9.855,9.855,9.697,9.776,4070,
11/11/2008,9.382,9.461,9.382,9.382,20600,
12/11/2008,9.145,9.224,9.145,9.145,10210,
13/11/2008,9.303,9.303,8.909,8.909,5020,
14/11/2008,9.224,9.54,9.224,9.54,1900,
17/11/2008,9.145,9.382,9.145,9.382,7700,
18/11/2008,9.067,9.067,9.067,9.067,11560,
19/11/2008,9.303,9.303,9.067,9.303,17160,
20/11/2008,9.303,9.303,9.145,9.224,24310,
21/11/2008,9.145,9.145,9.145,9.145,2000,
24/11/2008,9.145,9.224,9.145,9.145,6160,
25/11/2008,9.067,9.224,9.067,9.224,10100,
26/11/2008,9.224,9.303,9.067,9.303,8600,
27/11/2008,9.067,9.224,9.067,9.224,11040,
28/11/2008,9.224,9.224,8.988,8.988,12340,
01/12/2008,9.303,9.303,9.303,9.303,6100,
02/12/2008,9.224,9.224,8.988,8.988,5110,
03/12/2008,9.224,9.224,9.067,9.067,6410,
04/12/2008,9.224,9.224,9.067,9.067,4510,
05/12/2008,8.909,9.303,8.83,9.303,8380,
08/12/2008,8.515,8.751,8.515,8.751,14620,
09/12/2008,8.357,8.672,8.357,8.672,7180,
10/12/2008,8.278,8.593,8.042,8.199,6980,
11/12/2008,7.963,8.042,7.963,8.042,12590,
12/12/2008,8.199,8.199,7.963,7.963,11200,
15/12/2008,8.278,8.515,8.278,8.436,3220,
16/12/2008,8.199,8.278,7.884,7.963,6610,
17/12/2008,8.199,8.278,8.199,8.199,2840,
18/12/2008,8.12,8.199,8.12,8.12,2720,
19/12/2008,8.199,8.199,8.042,8.12,6410,
22/12/2008,8.199,8.199,7.963,8.199,4430,
23/12/2008,8.199,8.199,7.884,7.963,8630,
24/12/2008,8.12,8.199,7.884,8.199,2450,
25/12/2008,8.12,8.199,7.884,8.12,4610,
26/12/2008,8.12,8.12,8.12,8.12,1010,
29/12/2008,8.199,8.199,8.042,8.12,6940,
30/12/2008,8.357,8.357,8.199,8.278,3010,
31/12/2008,8.12,8.357,8.12,8.357,5580,
02/01/2009,8.12,8.199,8.12,8.199,3910,
05/01/2009,8.199,8.199,8.042,8.199,14650,
06/01/2009,8.593,8.593,8.278,8.278,10380,
07/01/2009,8.988,8.988,8.988,8.988,16400,
08/01/2009,9.382,9.382,8.988,8.988,84630,
09/01/2009,9.776,9.776,9.776,9.776,47540,
12/01/2009,9.697,9.934,9.303,9.934,64170,
13/01/2009,9.224,9.697,9.224,9.697,8700,
14/01/2009,8.83,9.067,8.83,8.988,20540,
15/01/2009,8.83,8.83,8.672,8.83,3800,
16/01/2009,8.593,8.83,8.593,8.83,8410,
19/01/2009,8.83,8.83,8.515,8.515,2470,
