transDate,close,high,low,open,volume,event
07/08/2006,8.588,8.588,8.588,8.588,7900,
08/08/2006,8.368,8.368,8.168,8.368,36880,
09/08/2006,8.783,8.783,8.363,8.363,3490,
10/08/2006,9.201,9.201,9.201,9.201,4010,
11/08/2006,9.639,9.639,9.445,9.445,10160,
14/08/2006,10.103,10.103,10.103,10.103,22480,
15/08/2006,10.125,10.548,10.125,10.125,23100,
16/08/2006,10.238,10.238,10.125,10.125,13940,
17/08/2006,10.346,10.346,10.238,10.238,31700,
18/08/2006,10.238,10.346,10.238,10.346,15650,
21/08/2006,10.125,10.238,10.125,10.238,6700,
22/08/2006,9.621,10.125,9.621,9.841,5800,
23/08/2006,9.907,9.907,9.464,9.621,7140,
24/08/2006,10.036,10.036,10.036,10.036,2010,
25/08/2006,10.018,10.036,10.018,10.018,310,
28/08/2006,10.018,10.018,10.018,10.018,500,
29/08/2006,9.95,9.97,9.907,9.97,17520,
30/08/2006,9.907,9.95,9.907,9.95,8410,
31/08/2006,9.907,10.018,9.464,9.907,6100,
01/09/2006,9.907,9.907,9.907,9.907,6560,
05/09/2006,10.238,10.238,9.907,9.907,30110,
06/09/2006,9.907,10.238,9.907,10.238,17800,
07/09/2006,9.681,9.907,9.681,9.907,5190,
08/09/2006,9.731,9.883,9.681,9.681,6640,
11/09/2006,9.841,9.907,9.841,9.841,3900,
12/09/2006,9.841,9.841,9.841,9.841,6610,
13/09/2006,9.792,9.792,9.792,9.792,20810,
14/09/2006,9.883,9.907,9.883,9.883,16100,
15/09/2006,9.907,9.907,9.907,9.907,18270,
18/09/2006,9.907,9.926,9.907,9.907,2350,
19/09/2006,10.125,10.125,10.018,10.018,21050,
20/09/2006,10.125,10.125,10.018,10.125,9350,
21/09/2006,9.907,10.125,9.907,10.125,8680,
22/09/2006,10.238,10.389,10.238,10.238,72780,
25/09/2006,10.238,10.565,10.238,10.238,49930,
26/09/2006,10.261,10.261,10.238,10.238,31800,
27/09/2006,10.238,10.261,10.219,10.261,22440,
28/09/2006,10.125,10.238,10.125,10.238,34180,
29/09/2006,10.06,10.125,10.06,10.125,20200,
02/10/2006,10.125,10.125,10.125,10.125,15350,
03/10/2006,10.125,10.125,10.125,10.125,34370,
04/10/2006,10.125,10.238,10.125,10.125,3780,
05/10/2006,10.036,10.125,10.036,10.125,11000,
06/10/2006,10.125,10.125,10.125,10.125,3520,
09/10/2006,10.018,10.018,9.616,10.018,13680,
10/10/2006,10.018,10.018,10.018,10.018,10260,
11/10/2006,10.018,10.018,9.95,10.018,15580,
12/10/2006,10.018,10.036,10.018,10.018,1510,
13/10/2006,9.926,10.018,9.926,9.926,2900,
16/10/2006,9.907,9.907,9.907,9.907,14830,
17/10/2006,9.907,9.907,9.731,9.907,30100,
18/10/2006,9.792,9.907,9.792,9.792,1000,
19/10/2006,9.792,9.907,9.792,9.792,6400,
20/10/2006,9.907,9.907,9.792,9.792,4150,
23/10/2006,9.907,9.907,9.907,9.907,1800,
24/10/2006,9.681,9.859,9.681,9.859,6580,
25/10/2006,9.681,9.681,9.681,9.681,100,
26/10/2006,17.301,17.301,17.301,17.301,0,
27/10/2006,9.512,9.512,9.403,9.512,3700,
30/10/2006,9.293,9.293,9.293,9.293,8690,
31/10/2006,9.464,9.464,8.916,9.289,10310,
01/11/2006,9.464,9.464,9.464,9.464,3350,
02/11/2006,9.355,9.355,9.269,9.355,2000,
03/11/2006,9.244,9.293,9.244,9.293,3100,
06/11/2006,9.244,9.244,9.158,9.244,1880,
07/11/2006,9.244,9.293,9.244,9.244,5100,
08/11/2006,9.244,9.244,9.244,9.244,1100,
09/11/2006,9.225,9.244,9.225,9.244,6820,
10/11/2006,9.225,9.225,9.225,9.225,1300,
13/11/2006,9.135,9.225,9.135,9.135,100,
14/11/2006,9.135,9.135,9.135,9.135,440,
15/11/2006,9.244,9.578,9.135,9.135,7680,
16/11/2006,9.464,9.464,9.355,9.355,11530,
17/11/2006,9.293,9.464,9.293,9.293,250,
20/11/2006,9.025,9.154,9.025,9.154,13930,
21/11/2006,9.0,9.025,9.0,9.025,4000,
22/11/2006,8.648,8.892,8.588,8.892,39810,
23/11/2006,8.806,8.806,8.696,8.696,15300,
24/11/2006,9.025,9.244,8.806,8.806,7930,
27/11/2006,8.806,9.244,8.806,9.025,12480,
28/11/2006,9.025,9.025,8.806,8.806,2000,
29/11/2006,8.806,8.806,8.806,8.806,2810,
30/11/2006,8.806,8.806,8.588,8.806,1590,
01/12/2006,8.806,8.806,8.606,8.806,3200,
04/12/2006,9.0,9.0,8.806,8.806,2200,
05/12/2006,8.588,9.0,8.588,9.0,2400,
06/12/2006,8.588,8.696,8.588,8.588,3370,
07/12/2006,8.588,8.588,8.588,8.588,6750,
08/12/2006,15.335,15.335,15.335,15.335,0,
11/12/2006,8.715,8.715,8.588,8.588,9110,
12/12/2006,8.495,8.715,8.495,8.715,7030,
13/12/2006,8.495,8.495,8.144,8.495,18950,
14/12/2006,8.368,8.478,8.144,8.478,7410,
15/12/2006,8.588,8.588,8.478,8.478,13360,
18/12/2006,8.984,9.0,8.984,8.984,43260,
19/12/2006,9.355,9.676,9.355,9.355,16510,
20/12/2006,9.135,9.135,9.051,9.051,8580,
21/12/2006,9.135,9.135,9.135,9.135,7450,
22/12/2006,8.696,8.696,8.696,8.696,5300,
25/12/2006,8.368,8.368,8.368,8.368,10100,
26/12/2006,8.588,8.588,8.363,8.363,8200,
27/12/2006,8.806,8.806,8.806,8.806,2150,
28/12/2006,8.916,8.916,8.806,8.806,8310,
29/12/2006,9.244,9.244,9.244,9.244,4310,
02/01/2007,9.244,9.244,9.244,9.244,2050,
03/01/2007,8.806,9.244,8.806,9.244,2040,
04/01/2007,9.135,9.135,8.63,8.806,2520,
05/01/2007,9.067,9.135,9.067,9.135,2640,
08/01/2007,9.244,9.244,9.244,9.244,11440,
09/01/2007,9.244,9.469,9.244,9.244,9380,
10/01/2007,9.135,9.244,9.051,9.244,6710,
11/01/2007,9.135,9.135,9.135,9.135,4560,
12/01/2007,9.135,9.135,9.135,9.135,2050,
15/01/2007,8.696,8.806,8.696,8.806,23990,
16/01/2007,9.092,9.092,8.696,8.696,5800,
17/01/2007,9.185,9.244,9.135,9.135,16470,
18/01/2007,9.244,9.244,9.244,9.244,6000,
19/01/2007,9.244,9.42,9.244,9.244,20880,
22/01/2007,9.269,9.707,9.244,9.244,16730,
23/01/2007,9.731,9.731,9.731,9.731,16650,
24/01/2007,10.219,10.219,10.219,10.219,21400,
25/01/2007,10.717,10.717,10.717,10.717,33960,
26/01/2007,10.346,10.565,10.194,10.565,6620,
29/01/2007,10.809,10.809,9.907,10.346,14150,
30/01/2007,10.785,10.785,10.785,10.785,6100,
31/01/2007,11.228,11.228,10.346,10.79,19750,
01/02/2007,11.776,11.776,11.666,11.666,22230,
02/02/2007,12.331,12.331,12.331,12.331,12570,
05/02/2007,12.878,12.878,12.768,12.768,7100,
06/02/2007,13.206,13.425,13.206,13.206,42390,
07/02/2007,13.871,13.871,13.871,13.871,24350,
08/02/2007,14.526,14.526,13.871,13.871,56450,
09/02/2007,13.871,14.526,13.871,14.526,10280,
12/02/2007,14.526,14.526,14.526,14.526,39150,
13/02/2007,14.526,15.19,14.526,14.526,12890,
14/02/2007,14.526,14.526,14.526,14.526,13600,
15/02/2007,15.19,15.19,15.19,15.19,12610,
26/02/2007,15.848,15.848,15.41,15.41,1360,
27/02/2007,16.622,16.622,16.622,16.622,2090,
28/02/2007,17.168,17.388,17.168,17.168,22530,
01/03/2007,17.168,17.168,17.168,17.168,9400,
02/03/2007,17.168,17.168,17.168,17.168,19480,
05/03/2007,17.942,17.942,17.612,17.612,19500,
06/03/2007,18.824,18.824,18.715,18.715,32100,
07/03/2007,18.824,18.824,18.824,18.824,11580,
08/03/2007,18.934,19.698,18.934,18.934,33510,
09/03/2007,18.934,18.934,18.05,18.934,22170,
12/03/2007,18.934,19.152,18.934,18.934,11720,
13/03/2007,18.489,18.927,18.489,18.927,14010,
14/03/2007,17.832,18.489,17.832,18.489,5390,
15/03/2007,16.948,16.948,16.948,16.948,5260,
16/03/2007,17.722,17.722,16.182,16.948,10400,
19/03/2007,18.05,18.27,17.722,17.722,16000,
20/03/2007,17.168,18.05,17.168,18.05,11540,
21/03/2007,16.511,17.612,16.402,17.175,25420,
22/03/2007,16.511,17.175,16.511,16.511,14180,
23/03/2007,16.729,16.729,16.511,16.511,17210,
26/03/2007,15.958,16.065,15.958,16.065,18320,
27/03/2007,15.19,15.19,15.19,15.19,16170,
28/03/2007,14.526,14.526,14.526,14.526,15930,
29/03/2007,15.19,15.19,15.19,15.19,18900,
30/03/2007,15.848,15.848,15.19,15.19,15050,
02/04/2007,15.958,16.622,15.958,15.958,12560,
03/04/2007,15.848,15.958,15.848,15.848,14350,
04/04/2007,15.958,15.958,15.081,15.848,5940,
05/04/2007,16.402,16.402,15.629,15.958,12910,
06/04/2007,16.176,16.176,15.848,16.176,13600,
09/04/2007,16.176,16.293,16.176,16.176,23930,
10/04/2007,16.176,16.293,16.065,16.176,8460,
11/04/2007,16.176,16.176,16.176,16.176,9540,
12/04/2007,15.629,15.962,15.629,15.629,2340,
13/04/2007,14.861,14.861,14.861,14.861,12480,
16/04/2007,14.199,14.199,14.199,14.199,7100,
17/04/2007,13.541,13.541,13.541,13.541,2350,
18/04/2007,14.087,14.087,12.878,13.535,9140,
19/04/2007,14.752,14.752,14.752,14.752,7460,
20/04/2007,14.087,14.747,14.087,14.087,7330,
23/04/2007,14.087,14.087,14.087,14.087,2000,
24/04/2007,13.651,13.871,13.651,13.651,3650,
25/04/2007,14.308,14.308,13.644,13.644,2350,
02/05/2007,14.526,14.526,14.308,14.308,3550,
03/05/2007,14.308,14.308,13.871,14.308,8740,
04/05/2007,14.308,14.308,14.308,14.308,5650,
07/05/2007,14.308,14.308,14.308,14.308,7800,
08/05/2007,14.971,14.971,14.526,14.526,17320,
09/05/2007,15.19,15.19,15.19,15.19,5350,
10/05/2007,15.081,15.081,14.747,15.081,650,
11/05/2007,14.752,15.081,14.752,14.752,2200,
14/05/2007,14.861,15.41,14.747,14.747,11350,
15/05/2007,14.861,15.081,14.861,14.861,14370,
16/05/2007,14.526,14.861,14.526,14.526,5550,
17/05/2007,14.417,14.417,13.871,14.417,22320,
18/05/2007,14.861,14.861,14.308,14.417,2990,
21/05/2007,15.19,15.19,15.19,15.19,10380,
22/05/2007,15.848,15.848,15.848,15.848,21830,
23/05/2007,16.285,16.285,15.848,15.848,9450,
24/05/2007,15.848,15.848,15.738,15.848,16480,
25/05/2007,15.629,15.629,15.19,15.629,13550,
28/05/2007,15.629,15.848,15.41,15.629,12040,
29/05/2007,15.848,16.182,15.848,15.848,21180,
30/05/2007,15.41,15.738,15.299,15.41,10750,
31/05/2007,15.958,16.065,15.848,15.848,15500,
01/06/2007,16.285,16.285,16.285,16.285,36500,
04/06/2007,16.065,16.293,16.065,16.293,17500,
05/06/2007,15.299,15.958,15.299,15.958,6890,
06/06/2007,15.629,15.629,15.299,15.299,5200,
07/06/2007,15.848,15.848,15.848,15.848,12730,
08/06/2007,15.41,15.854,15.41,15.854,3750,
11/06/2007,15.41,15.41,15.41,15.41,12700,
12/06/2007,15.19,15.41,15.19,15.41,2600,
13/06/2007,15.41,15.41,15.19,15.19,3220,
14/06/2007,15.41,15.41,15.19,15.41,5200,
15/06/2007,15.41,15.41,15.41,15.41,8670,
18/06/2007,15.19,15.41,15.19,15.41,16050,
19/06/2007,15.41,15.41,15.41,15.41,5400,
20/06/2007,15.41,15.41,15.299,15.41,8050,
21/06/2007,15.19,15.41,15.19,15.41,7500,
22/06/2007,15.19,15.19,15.19,15.19,3500,
25/06/2007,15.299,15.299,15.19,15.19,5240,
26/06/2007,15.19,15.19,15.081,15.19,6170,
27/06/2007,15.19,15.41,15.19,15.19,12910,
28/06/2007,15.19,15.19,14.747,15.19,1230,
29/06/2007,15.19,15.19,14.747,15.19,1800,
02/07/2007,14.971,15.19,14.971,15.19,5440,
03/07/2007,14.308,14.308,14.308,14.308,9750,
04/07/2007,14.971,14.971,14.199,14.308,480,
05/07/2007,14.637,14.971,14.637,14.971,620,
06/07/2007,14.752,14.752,14.526,14.637,5120,
09/07/2007,14.971,14.971,14.747,14.747,7880,
10/07/2007,15.19,15.519,15.19,15.19,27620,
11/07/2007,15.519,15.519,15.519,15.519,10030,
12/07/2007,15.19,15.519,15.19,15.519,14250,
13/07/2007,14.971,14.971,14.855,14.971,5210,
16/07/2007,15.19,15.41,14.965,14.965,13700,
17/07/2007,15.19,15.19,15.19,15.19,7750,
18/07/2007,15.41,15.41,15.081,15.19,8470,
19/07/2007,15.41,15.41,15.41,15.41,10050,
20/07/2007,15.519,15.519,15.41,15.41,18490,
23/07/2007,16.285,16.285,15.958,15.958,37520,
24/07/2007,15.738,16.293,15.738,16.293,19930,
25/07/2007,15.519,15.738,15.19,15.738,4100,
26/07/2007,15.19,15.41,15.19,15.41,15660,
27/07/2007,15.41,15.41,15.19,15.19,8350,
30/07/2007,15.41,15.41,15.41,15.41,4750,
31/07/2007,15.41,15.519,15.299,15.41,4900,
01/08/2007,14.971,15.41,14.971,15.41,11900,
02/08/2007,15.299,15.41,15.081,15.41,8580,
03/08/2007,15.19,15.299,15.19,15.299,720,
06/08/2007,14.752,14.971,14.752,14.752,2880,
07/08/2007,14.752,14.752,14.308,14.526,7700,
08/08/2007,14.861,14.971,14.747,14.971,4050,
09/08/2007,14.861,14.971,14.747,14.861,3550,
10/08/2007,14.971,14.971,14.855,14.855,10610,
13/08/2007,14.861,14.971,14.861,14.971,2750,
14/08/2007,14.861,14.861,14.861,14.861,8540,
15/08/2007,15.081,15.081,14.971,14.971,2750,
16/08/2007,15.081,15.41,15.081,15.41,9300,
17/08/2007,14.752,14.971,14.752,14.971,1850,
20/08/2007,14.526,14.752,14.526,14.752,3450,
21/08/2007,14.971,14.971,14.747,14.747,5550,
22/08/2007,14.526,14.752,14.526,14.752,2400,
23/08/2007,14.526,14.526,14.526,14.526,3250,
24/08/2007,14.971,14.971,14.526,14.526,1020,
27/08/2007,14.752,15.081,14.752,15.081,4300,
28/08/2007,14.861,14.861,14.308,14.747,2850,
29/08/2007,14.526,14.752,14.526,14.752,5100,
30/08/2007,14.752,14.971,14.637,14.971,1840,
31/08/2007,14.861,14.861,14.637,14.637,1660,
04/09/2007,14.971,14.971,14.747,14.747,10360,
05/09/2007,14.752,14.971,14.752,14.971,2800,
06/09/2007,14.861,14.861,14.861,14.861,300,
07/09/2007,15.081,15.081,14.855,14.855,7700,
10/09/2007,15.081,15.081,14.971,15.081,8630,
11/09/2007,15.41,15.41,15.081,15.081,26660,
12/09/2007,15.41,15.519,15.41,15.41,8160,
13/09/2007,15.738,15.738,15.41,15.41,18150,
14/09/2007,15.848,16.073,15.848,16.073,14710,
17/09/2007,15.629,15.848,15.629,15.848,6910,
18/09/2007,15.958,15.958,15.629,15.629,25540,
19/09/2007,16.511,16.511,15.962,15.962,68540,
20/09/2007,17.278,17.278,17.278,17.278,19670,
21/09/2007,17.388,17.606,17.278,17.278,109080,
24/09/2007,18.05,18.05,17.832,18.05,46520,
25/09/2007,17.722,18.05,17.612,18.05,22440,
26/09/2007,17.278,17.612,17.278,17.388,64790,
27/09/2007,16.948,17.168,16.948,16.948,27160,
28/09/2007,17.497,17.606,17.388,17.388,31890,
01/10/2007,18.16,18.16,17.832,18.05,71400,
02/10/2007,17.722,18.16,17.722,18.16,21210,
03/10/2007,17.612,17.722,17.503,17.722,16820,
04/10/2007,17.612,17.832,17.612,17.612,14170,
05/10/2007,17.612,17.832,17.612,17.832,26730,
08/10/2007,17.612,17.832,17.612,17.832,16990,
09/10/2007,17.612,17.942,17.612,17.612,23220,
10/10/2007,18.05,18.16,16.839,16.839,47410,
11/10/2007,18.934,18.934,18.934,18.934,41380,
12/10/2007,19.816,19.816,19.816,19.816,98220,
15/10/2007,20.034,20.582,19.925,20.582,136770,
16/10/2007,19.371,19.81,19.371,19.81,102260,
17/10/2007,19.816,19.816,19.591,19.591,126000,
18/10/2007,17.004,17.004,16.816,16.816,126000,
19/10/2007,21.167,21.167,21.167,21.167,72440,DIVIDEND
22/10/2007,22.104,22.104,21.947,22.104,119010,
23/10/2007,21.793,21.947,21.635,21.947,67950,
24/10/2007,21.167,21.477,21.167,21.319,47830,
25/10/2007,21.477,21.635,21.477,21.477,70030,
26/10/2007,21.793,21.793,21.635,21.635,72320,
29/10/2007,21.793,22.104,21.793,22.104,42980,
30/10/2007,21.319,21.793,21.319,21.793,20160,
31/10/2007,21.167,21.319,21.008,21.008,21200,
01/11/2007,21.319,21.477,21.008,21.167,9120,
02/11/2007,20.539,21.319,20.539,21.319,19410,
05/11/2007,20.539,20.539,19.597,19.756,33600,
06/11/2007,19.756,20.539,19.756,19.756,14590,
07/11/2007,20.382,20.539,20.065,20.065,18410,
08/11/2007,20.382,21.008,20.382,21.008,14490,
09/11/2007,20.065,20.382,19.756,20.382,6750,
12/11/2007,19.438,19.597,19.128,19.597,36020,
13/11/2007,18.5,19.128,18.5,19.128,36930,
14/11/2007,19.28,19.28,18.5,18.5,11050,
15/11/2007,18.5,18.811,18.5,18.5,37320,
16/11/2007,18.971,18.971,18.811,18.811,14090,
19/11/2007,19.28,19.438,18.971,19.28,10020,
20/11/2007,18.971,19.597,18.971,19.597,10540,
21/11/2007,18.811,18.811,18.026,18.026,13950,
22/11/2007,18.811,18.971,18.5,18.971,9400,
23/11/2007,18.811,18.811,18.654,18.654,14820,
26/11/2007,19.128,19.128,18.654,18.654,8620,
27/11/2007,18.811,19.128,18.654,19.128,13540,
28/11/2007,18.343,18.811,18.183,18.654,57050,
29/11/2007,19.128,19.128,18.654,18.811,27310,
30/11/2007,18.971,19.128,18.811,18.971,5200,
03/12/2007,18.971,19.128,18.654,18.811,4750,
04/12/2007,19.128,19.128,18.971,18.971,24850,
05/12/2007,18.811,19.128,18.811,18.971,10810,
06/12/2007,18.811,18.811,18.811,18.811,7450,
07/12/2007,18.811,18.811,18.811,18.811,2230,
10/12/2007,18.5,18.811,18.5,18.811,11590,
11/12/2007,18.343,18.5,18.183,18.5,8480,
12/12/2007,18.5,18.811,18.183,18.183,7600,
13/12/2007,18.026,18.654,18.026,18.654,16640,
14/12/2007,18.183,18.343,18.026,18.343,6550,
17/12/2007,17.716,17.874,17.557,17.716,8240,
18/12/2007,17.716,17.716,17.557,17.557,2700,
19/12/2007,18.5,18.5,18.183,18.183,6490,
20/12/2007,18.183,18.654,18.183,18.654,2860,
21/12/2007,18.183,18.183,18.026,18.026,4630,
24/12/2007,18.183,18.5,18.183,18.5,3910,
25/12/2007,18.183,18.183,18.026,18.183,8770,
26/12/2007,18.183,18.183,17.874,17.874,3690,
