transDate,close,high,low,open,volume,event
11/08/2009,7.769,7.769,7.769,7.769,1520,
12/08/2009,8.159,8.159,8.159,8.159,60,
13/08/2009,8.549,8.549,8.549,8.549,60,
14/08/2009,8.935,8.935,8.935,8.935,60,
17/08/2009,9.324,9.324,9.324,9.324,15550,
18/08/2009,9.791,9.791,9.791,9.791,25230,
19/08/2009,10.258,10.258,10.258,10.258,10020,
20/08/2009,10.721,10.721,10.721,10.721,8350,
21/08/2009,11.188,11.188,11.188,11.188,28100,
24/08/2009,11.732,11.732,11.654,11.732,521340,
25/08/2009,12.046,12.199,11.963,12.199,668620,
26/08/2009,11.809,12.122,11.809,11.809,257170,
27/08/2009,11.732,11.809,11.424,11.732,248710,
28/08/2009,12.046,12.046,11.732,11.809,206080,
31/08/2009,12.354,12.354,12.122,12.276,284580,
01/09/2009,12.43,12.43,12.122,12.276,357630,
03/09/2009,12.122,12.354,12.122,12.199,133230,
04/09/2009,12.122,12.507,11.963,12.276,280700,
07/09/2009,12.046,12.122,11.732,12.122,112100,
08/09/2009,12.276,12.354,12.122,12.122,149360,
09/09/2009,12.354,12.43,12.276,12.276,224780,
10/09/2009,12.898,12.898,12.43,12.43,293520,
11/09/2009,13.519,13.519,13.519,13.519,137330,
14/09/2009,14.14,14.14,13.831,14.14,366610,
15/09/2009,14.839,14.839,14.762,14.839,587810,
16/09/2009,14.762,15.229,14.607,14.915,263490,
17/09/2009,14.762,14.839,14.294,14.762,327140,
18/09/2009,15.46,15.46,14.685,14.839,1017600,
21/09/2009,16.163,16.163,16.003,16.163,587340,
22/09/2009,16.939,16.939,16.785,16.939,541760,
23/09/2009,17.714,17.714,17.714,17.714,454660,
24/09/2009,18.494,18.494,17.405,17.405,1042290,
25/09/2009,19.269,19.269,18.647,18.956,827610,
28/09/2009,20.203,20.203,19.736,20.045,677400,
29/09/2009,21.133,21.133,20.203,21.133,594960,
30/09/2009,20.203,21.755,20.203,20.667,613100,
01/10/2009,19.269,19.891,19.269,19.736,539050,
02/10/2009,18.335,18.335,18.335,18.335,99790,
05/10/2009,17.56,18.181,17.56,17.56,696370,
06/10/2009,18.181,18.181,16.785,18.026,736300,
07/10/2009,18.956,18.956,18.026,18.494,614930,
08/10/2009,19.269,19.736,18.647,18.956,320220,
09/10/2009,18.494,19.579,18.494,19.423,706490,
12/10/2009,18.494,18.802,18.181,18.494,561420,
13/10/2009,18.494,18.647,18.335,18.647,343580,
14/10/2009,19.269,19.269,18.494,18.494,426120,
15/10/2009,19.736,20.045,19.423,20.045,608420,
16/10/2009,18.956,19.736,18.802,19.579,465490,
19/10/2009,18.647,19.115,18.647,18.956,377070,
20/10/2009,18.956,19.115,18.494,19.115,261610,
21/10/2009,19.891,19.891,18.802,18.956,867180,
22/10/2009,20.825,20.825,20.358,20.825,1029990,
23/10/2009,19.891,20.825,19.891,20.825,262030,
26/10/2009,18.956,19.736,18.956,19.423,393790,
27/10/2009,18.026,18.181,18.026,18.026,290790,
28/10/2009,17.56,18.181,17.247,18.026,991120,
29/10/2009,16.939,17.093,16.785,16.939,506130,
30/10/2009,17.714,17.714,17.093,17.714,360840,
02/11/2009,16.939,17.093,16.939,17.093,85420,
