transDate,close,high,low,open,volume,event
18/03/2015,12.068,13.662,11.384,13.662,391350,
19/03/2015,12.238,12.524,11.498,12.524,100950,
20/03/2015,11.955,12.524,11.955,12.296,31280,
23/03/2015,11.158,11.955,11.158,11.725,178850,
24/03/2015,11.1,11.215,11.041,11.158,16140,
25/03/2015,11.271,11.271,11.041,11.041,3800,
26/03/2015,11.158,11.215,11.041,11.041,14030,
27/03/2015,11.158,11.215,11.1,11.215,6790,
30/03/2015,10.757,11.1,10.757,11.041,21650,
31/03/2015,10.928,10.928,10.757,10.757,8420,
01/04/2015,10.815,10.815,10.757,10.815,6700,
02/04/2015,11.328,11.328,10.928,10.928,3020,
03/04/2015,11.041,11.041,10.757,10.757,150,
06/04/2015,10.815,10.815,10.643,10.815,3530,
07/04/2015,10.415,11.041,10.359,11.041,6070,
08/04/2015,10.359,10.415,10.075,10.415,27220,
09/04/2015,10.702,10.702,10.245,10.359,11000,
10/04/2015,10.815,10.873,10.702,10.873,1030,
13/04/2015,10.53,10.702,10.53,10.702,3500,
14/04/2015,11.1,11.1,10.304,10.475,115140,
15/04/2015,10.815,11.1,10.815,11.1,2600,
16/04/2015,11.041,11.041,10.757,10.815,35560,
17/04/2015,11.215,11.328,10.873,11.328,170,
20/04/2015,10.815,11.215,10.815,11.215,12860,
21/04/2015,10.815,10.873,10.815,10.873,10830,
22/04/2015,11.041,11.041,10.815,10.815,110,
23/04/2015,10.815,11.498,10.815,11.041,10110,
24/04/2015,10.986,10.986,10.873,10.928,6840,
27/04/2015,11.384,11.384,11.041,11.271,3280,
04/05/2015,11.215,11.215,10.815,11.1,7970,
05/05/2015,11.1,11.1,10.53,10.643,22510,
06/05/2015,11.041,11.041,11.041,11.041,100,
07/05/2015,11.1,11.328,11.1,11.328,90,
08/05/2015,10.986,11.611,10.986,11.1,11930,
11/05/2015,11.041,11.041,11.041,11.041,100,
12/05/2015,11.215,11.271,10.928,10.928,11330,
13/05/2015,11.1,11.1,11.1,11.1,210,
14/05/2015,11.1,11.1,11.1,11.1,6050,
15/05/2015,11.041,11.1,10.643,10.928,2270,
18/05/2015,11.1,11.215,10.986,11.215,32200,
19/05/2015,11.158,11.158,10.815,11.1,7530,
20/05/2015,11.384,11.384,11.158,11.158,13140,
21/05/2015,11.384,11.384,11.1,11.384,6600,
22/05/2015,11.441,11.498,11.441,11.441,56540,
25/05/2015,11.441,11.725,11.384,11.441,30540,
26/05/2015,11.626,12.183,11.626,12.183,11610,DIVIDEND
27/05/2015,11.81,11.81,11.689,11.689,14820,
28/05/2015,11.873,11.873,11.749,11.81,16430,
29/05/2015,11.81,11.81,11.81,11.81,14240,
01/06/2015,11.749,11.81,11.626,11.626,19850,
02/06/2015,11.565,11.565,11.565,11.565,250,
03/06/2015,11.565,11.626,11.441,11.565,14240,
04/06/2015,11.749,11.749,11.689,11.749,12240,
05/06/2015,11.749,11.749,11.626,11.689,8770,
08/06/2015,11.749,11.749,11.565,11.749,13750,
09/06/2015,11.873,12.123,11.749,11.749,37100,
10/06/2015,11.81,11.935,11.81,11.873,5920,
11/06/2015,11.749,11.81,11.689,11.81,21140,
12/06/2015,11.689,11.873,11.626,11.873,10850,
15/06/2015,11.999,12.058,11.749,11.749,99870,
16/06/2015,11.999,12.058,11.749,11.81,26940,
17/06/2015,12.802,12.802,12.058,12.058,141280,
18/06/2015,13.669,13.669,13.669,13.669,135100,
19/06/2015,14.595,14.595,14.1,14.225,443180,
22/06/2015,14.039,14.781,14.039,14.781,90270,
23/06/2015,14.595,14.657,13.915,14.039,92630,
24/06/2015,14.347,14.781,14.285,14.285,72170,
25/06/2015,14.039,14.534,13.915,14.534,119340,
26/06/2015,14.285,14.347,14.039,14.039,46320,
29/06/2015,14.225,14.409,14.161,14.285,70480,
30/06/2015,14.472,14.842,13.976,13.976,95680,
01/07/2015,14.225,14.409,14.1,14.347,35000,
02/07/2015,14.225,14.285,14.225,14.225,61410,
03/07/2015,14.225,14.534,14.161,14.225,69420,
06/07/2015,13.854,14.472,13.854,14.347,66740,
07/07/2015,14.039,14.347,13.915,14.225,37050,
08/07/2015,14.039,14.347,13.792,14.347,70400,
09/07/2015,14.039,14.039,13.915,13.915,2420,
10/07/2015,14.039,14.161,13.976,13.976,12320,
13/07/2015,13.915,14.039,13.854,13.854,5770,
14/07/2015,14.039,14.039,13.915,13.915,47630,
15/07/2015,13.976,14.161,13.915,14.161,24670,
16/07/2015,13.915,13.976,13.854,13.976,54430,
17/07/2015,13.915,14.1,13.915,14.039,46110,
20/07/2015,13.915,14.039,13.915,14.039,4870,
21/07/2015,14.842,14.842,13.915,13.915,153000,
22/07/2015,15.213,15.213,14.842,14.842,147960,
23/07/2015,14.72,15.213,14.534,15.213,38290,
24/07/2015,14.039,14.72,14.039,14.657,62260,
27/07/2015,13.544,14.225,13.296,13.915,90750,
28/07/2015,13.915,14.1,13.358,13.544,61000,
29/07/2015,13.915,14.225,13.915,14.225,28330,
30/07/2015,13.669,13.976,13.669,13.915,57900,
31/07/2015,13.792,14.225,13.729,14.225,10220,
03/08/2015,13.729,13.792,13.605,13.729,34470,
04/08/2015,13.729,13.729,13.235,13.296,2670,
05/08/2015,14.1,14.1,13.42,13.792,25690,
06/08/2015,13.915,14.161,13.915,14.161,4540,
07/08/2015,14.039,14.039,13.976,13.976,20,
