transDate,close,high,low,open,volume,event
04/05/2010,12.788,13.397,10.153,11.37,84400,
05/05/2010,13.03,13.03,12.788,12.991,77700,
06/05/2010,13.923,13.923,13.923,13.923,18400,
07/05/2010,14.005,14.9,13.397,14.9,49500,
10/05/2010,13.194,14.208,13.194,14.171,19500,
11/05/2010,12.344,12.706,12.344,12.383,28300,
12/05/2010,11.573,11.61,11.573,11.61,6600,
13/05/2010,10.799,11.37,10.799,10.799,40600,
14/05/2010,11.166,11.527,11.166,11.527,7000,
17/05/2010,10.761,10.881,10.678,10.761,7800,
18/05/2010,10.026,10.153,10.026,10.153,9900,
19/05/2010,9.379,9.538,9.379,9.379,17900,
20/05/2010,9.258,9.335,8.772,8.772,20500,
21/05/2010,8.2,9.258,8.2,9.258,7200,
24/05/2010,8.238,8.365,8.118,8.2,11100,
25/05/2010,8.32,8.606,8.118,8.118,3300,
26/05/2010,9.055,9.055,8.929,9.055,13200,
27/05/2010,8.929,8.929,8.365,8.929,28300,
28/05/2010,9.258,9.258,9.132,9.132,25800,
31/05/2010,9.335,9.867,8.974,9.867,4800,
01/06/2010,9.132,9.335,9.094,9.335,7200,
02/06/2010,9.461,9.461,9.461,9.461,100,
03/06/2010,9.012,9.335,8.929,9.335,7800,
04/06/2010,9.335,9.335,8.523,8.569,16900,
07/06/2010,8.036,8.929,8.036,8.08,10100,
08/06/2010,8.689,8.689,8.118,8.523,9800,
09/06/2010,8.162,8.891,8.162,8.891,2200,
10/06/2010,8.689,8.689,8.32,8.32,5300,
11/06/2010,8.448,8.689,8.403,8.569,7000,
14/06/2010,9.055,9.055,8.726,8.726,47800,
15/06/2010,9.215,9.335,9.132,9.258,9600,
16/06/2010,9.094,9.335,8.929,9.335,6200,
17/06/2010,9.5,9.702,9.094,9.094,43200,
18/06/2010,9.747,10.153,9.298,10.108,13200,
21/06/2010,9.5,9.747,9.335,9.335,8000,
22/06/2010,9.258,9.461,9.132,9.379,15400,
23/06/2010,8.772,9.132,8.772,9.132,2000,
