transDate,close,high,low,open,volume,event
10/10/2006,6.586,6.777,6.351,6.586,1900,
11/10/2006,6.482,6.586,6.482,6.482,1500,
12/10/2006,6.482,6.482,6.482,6.482,100,
13/10/2006,6.482,6.482,6.482,6.482,100,
16/10/2006,6.173,6.173,6.173,6.173,300,
17/10/2006,6.379,6.505,6.295,6.295,1400,
18/10/2006,6.255,6.255,6.255,6.255,0,
19/10/2006,6.255,6.255,6.255,6.255,0,
20/10/2006,6.255,6.255,6.255,6.255,0,
23/10/2006,6.255,6.255,6.255,6.255,0,
24/10/2006,6.173,6.173,6.173,6.173,100,
25/10/2006,6.173,6.173,6.173,6.173,0,
26/10/2006,6.173,6.173,6.173,6.173,0,
27/10/2006,6.173,6.173,6.173,6.173,100,
30/10/2006,6.173,6.173,6.173,6.173,0,
31/10/2006,6.173,6.173,6.173,6.173,0,
01/11/2006,6.173,6.173,6.173,6.173,0,
02/11/2006,6.173,6.173,6.173,6.173,0,
03/11/2006,6.173,6.173,6.173,6.173,0,
06/11/2006,6.173,6.173,6.173,6.173,0,
07/11/2006,6.173,6.173,6.173,6.173,0,
08/11/2006,6.173,6.173,6.173,6.173,0,
09/11/2006,6.173,6.173,6.173,6.173,0,
10/11/2006,6.173,6.173,6.173,6.173,0,
13/11/2006,6.173,6.173,6.173,6.173,0,
14/11/2006,6.173,6.173,6.173,6.173,0,
15/11/2006,6.173,6.173,6.173,6.173,0,
16/11/2006,6.173,6.173,6.173,6.173,0,
17/11/2006,5.556,5.556,5.556,5.556,1000,
20/11/2006,5.556,6.067,5.513,6.067,1100,
21/11/2006,5.556,5.556,5.556,5.556,100,
22/11/2006,5.556,5.556,5.556,5.556,100,
23/11/2006,5.556,5.556,5.556,5.556,100,
24/11/2006,5.352,5.352,5.352,5.352,100,
27/11/2006,5.556,5.556,5.556,5.556,1000,
28/11/2006,5.352,5.352,5.352,5.352,300,
29/11/2006,5.352,5.352,5.352,5.352,0,
30/11/2006,5.146,5.146,5.146,5.146,5000,
01/12/2006,5.146,5.146,5.146,5.146,0,
04/12/2006,5.146,5.146,5.146,5.146,0,
05/12/2006,4.938,4.938,4.938,4.938,1400,
06/12/2006,4.836,4.836,4.836,4.836,1000,
07/12/2006,4.733,4.733,4.527,4.527,500,
08/12/2006,4.567,4.567,4.567,4.567,0,
11/12/2006,4.527,4.527,4.527,4.527,1500,
12/12/2006,4.527,4.527,4.527,4.527,0,
13/12/2006,4.527,4.527,4.527,4.527,0,
14/12/2006,4.32,4.32,4.32,4.32,900,
15/12/2006,4.32,4.32,4.32,4.32,0,
18/12/2006,4.32,4.32,4.32,4.32,0,
19/12/2006,4.32,4.32,4.32,4.32,0,
20/12/2006,4.114,4.114,4.114,4.114,100,
21/12/2006,4.114,4.114,4.114,4.114,1500,
22/12/2006,4.114,4.114,4.114,4.114,700,
25/12/2006,4.32,4.32,4.32,4.32,100,
26/12/2006,4.32,4.32,4.32,4.32,0,
27/12/2006,4.32,4.32,4.32,4.32,0,
28/12/2006,4.32,4.32,4.32,4.32,0,
29/12/2006,4.32,4.32,4.32,4.32,0,
02/01/2007,4.32,4.32,4.32,4.32,0,
03/01/2007,4.32,4.32,4.32,4.32,0,
04/01/2007,4.755,4.755,4.755,4.755,100,
05/01/2007,4.755,4.755,4.755,4.755,0,
08/01/2007,4.755,4.755,4.755,4.755,0,
09/01/2007,4.755,4.755,4.755,4.755,0,
10/01/2007,5.146,5.146,5.146,5.146,100,
11/01/2007,5.146,5.146,5.146,5.146,0,
12/01/2007,5.146,5.146,5.146,5.146,1000,
15/01/2007,5.146,5.146,5.146,5.146,1600,
16/01/2007,5.146,5.267,5.146,5.146,1800,
17/01/2007,5.168,5.168,5.168,5.168,0,
18/01/2007,5.352,5.352,5.146,5.166,2500,
19/01/2007,5.456,5.456,5.352,5.352,1500,
22/01/2007,5.556,5.556,5.352,5.392,3000,
23/01/2007,5.352,5.76,5.352,5.433,9100,
24/01/2007,5.352,5.352,5.352,5.352,1500,
25/01/2007,5.556,5.556,5.456,5.456,1400,
26/01/2007,5.556,5.556,5.556,5.556,1000,
29/01/2007,5.456,5.456,5.352,5.392,1500,
30/01/2007,5.392,5.392,5.392,5.392,0,
31/01/2007,5.392,5.392,5.392,5.392,0,
01/02/2007,5.392,5.658,5.392,5.392,300,
02/02/2007,5.473,5.473,5.473,5.473,0,
05/02/2007,5.473,5.473,5.473,5.473,0,
06/02/2007,5.352,5.473,5.352,5.369,1100,
07/02/2007,5.374,5.374,5.374,5.374,0,
08/02/2007,5.352,5.352,5.352,5.352,1000,
09/02/2007,5.352,5.352,5.352,5.352,800,
12/02/2007,5.352,5.352,5.352,5.352,1000,
13/02/2007,5.352,5.352,5.352,5.352,2500,
14/02/2007,5.352,5.352,5.352,5.352,1600,
15/02/2007,5.352,5.352,5.352,5.352,0,
26/02/2007,5.556,5.556,5.369,5.369,1500,
27/02/2007,6.072,6.072,6.072,6.072,1400,
28/02/2007,6.666,6.666,6.666,6.666,5600,
01/03/2007,7.326,7.326,7.326,7.326,9900,
02/03/2007,8.048,8.048,8.026,8.026,25000,
05/03/2007,8.848,8.848,8.848,8.848,9800,
06/03/2007,9.735,9.735,9.735,9.735,22800,
07/03/2007,10.701,10.701,10.701,10.701,5500,
08/03/2007,11.771,11.771,11.687,11.687,25600,
09/03/2007,12.76,12.944,12.14,12.14,20600,
12/03/2007,12.14,13.378,12.14,12.679,3900,
