transDate,close,high,low,open,volume,event
18/07/2008,8.749,10.172,8.749,10.172,1300,
21/07/2008,9.518,9.518,9.518,9.518,200,
22/07/2008,9.154,9.154,9.154,9.154,200,
23/07/2008,8.789,9.518,8.789,9.518,1500,
24/07/2008,9.278,9.278,8.905,8.905,600,
25/07/2008,8.864,8.864,8.864,8.864,100,
28/07/2008,7.076,7.076,7.076,7.076,0,
29/07/2008,9.195,9.195,9.195,9.195,700,
30/07/2008,7.722,7.722,7.722,7.722,0,
31/07/2008,8.036,8.036,8.036,8.036,0,
01/08/2008,7.913,7.913,7.913,7.913,0,
04/08/2008,8.036,8.036,8.036,8.036,0,
05/08/2008,7.656,7.656,7.656,7.656,0,
06/08/2008,7.78,7.78,7.78,7.78,0,
07/08/2008,8.831,8.831,8.831,8.831,200,
08/08/2008,13.955,13.955,13.955,13.955,0,
11/08/2008,8.501,8.501,8.501,8.501,100,
12/08/2008,8.103,8.103,8.103,8.103,0,
13/08/2008,8.426,8.426,8.426,8.426,0,
14/08/2008,8.177,8.177,8.177,8.177,6600,
15/08/2008,7.855,8.501,7.855,8.501,33400,
18/08/2008,7.366,7.366,7.366,7.366,6100,
19/08/2008,6.877,6.877,6.877,6.877,1100,
20/08/2008,6.432,6.432,6.432,6.432,500,
21/08/2008,6.877,6.877,5.984,5.984,18600,
22/08/2008,6.547,6.547,6.506,6.547,6400,
25/08/2008,6.994,6.994,6.994,6.994,2300,
26/08/2008,7.44,7.482,6.919,7.482,11500,
27/08/2008,6.919,7.855,6.919,7.855,12900,
28/08/2008,6.63,7.482,6.63,7.482,3000,
29/08/2008,6.919,6.919,6.506,6.919,1700,
03/09/2008,7.201,7.201,7.118,7.201,16200,
04/09/2008,7.201,7.688,7.201,7.688,8600,
05/09/2008,7.242,7.731,7.242,7.523,2800,
08/09/2008,7.325,7.731,7.076,7.731,5800,
09/09/2008,7.325,7.648,7.076,7.325,12600,
10/09/2008,6.952,7.523,6.952,7.366,5000,
11/09/2008,6.919,7.325,6.919,7.118,2200,
12/09/2008,7.284,7.284,7.284,7.284,200,
15/09/2008,6.794,7.407,6.794,6.794,11500,
16/09/2008,6.39,6.919,6.39,6.919,1800,
17/09/2008,6.223,6.223,6.223,6.223,3200,
18/09/2008,5.819,5.819,5.819,5.819,600,
19/09/2008,6.223,6.223,5.413,5.413,500,
22/09/2008,6.472,6.472,6.058,6.472,11100,
23/09/2008,6.306,6.547,6.306,6.547,600,
24/09/2008,6.349,6.39,6.223,6.39,1300,
25/09/2008,6.349,6.349,6.265,6.349,3800,
26/09/2008,6.349,6.671,6.349,6.588,1000,
29/09/2008,6.432,6.588,6.1,6.506,4300,
30/09/2008,6.017,6.017,6.017,6.017,200,
01/10/2008,6.306,6.306,6.017,6.017,2600,
02/10/2008,6.306,6.306,6.223,6.306,2600,
03/10/2008,6.1,6.1,5.86,5.901,2600,
06/10/2008,5.901,5.901,5.901,5.901,1000,
07/10/2008,5.901,6.306,5.901,5.901,700,
08/10/2008,5.777,5.901,5.612,5.612,1800,
09/10/2008,6.1,6.1,5.694,6.1,500,
10/10/2008,5.777,5.901,5.612,5.901,2000,
13/10/2008,5.694,5.694,5.413,5.694,2000,
14/10/2008,5.984,5.984,5.984,5.984,14300,
15/10/2008,6.1,6.265,6.1,6.265,1500,
16/10/2008,5.736,6.017,5.736,6.017,2100,
17/10/2008,6.058,6.058,6.058,6.058,1000,
20/10/2008,5.653,6.349,5.653,6.349,7900,
21/10/2008,5.901,6.017,5.736,5.736,4900,
22/10/2008,5.736,6.017,5.736,6.017,900,
23/10/2008,5.529,5.529,5.454,5.454,800,
24/10/2008,5.289,5.653,5.206,5.206,4400,
27/10/2008,4.924,5.248,4.924,5.248,7400,
28/10/2008,4.396,4.396,4.27,4.396,2400,DIVIDEND
29/10/2008,4.477,4.594,4.312,4.594,3500,
30/10/2008,4.677,4.677,4.677,4.677,100,
31/10/2008,4.477,4.677,4.477,4.677,3100,
03/11/2008,4.594,4.594,4.477,4.594,1900,
04/11/2008,4.677,4.677,4.477,4.477,3100,
05/11/2008,4.841,4.841,4.841,4.841,6300,
06/11/2008,5.123,5.123,5.123,5.123,100,
07/11/2008,5.454,5.454,5.454,5.454,500,
10/11/2008,5.082,5.819,5.082,5.819,800,
11/11/2008,5.289,5.289,5.289,5.289,100,
12/11/2008,8.359,8.359,8.359,8.359,0,
13/11/2008,6.364,6.364,6.364,6.364,0,
14/11/2008,5.248,5.289,5.248,5.289,400,
17/11/2008,5.413,5.413,5.413,5.413,500,
18/11/2008,5.918,5.918,5.918,5.918,0,
19/11/2008,5.918,5.918,5.918,5.918,0,
20/11/2008,6.432,6.432,6.432,6.432,0,
21/11/2008,8.558,8.558,8.558,8.558,0,
24/11/2008,5.04,5.04,5.04,5.04,1100,
25/11/2008,7.978,7.978,7.978,7.978,0,
