transDate,close,high,low,open,volume,event
28/07/2016,10.566,10.973,8.941,10.404,201700,
29/07/2016,11.054,11.054,10.404,10.404,102400,
01/08/2016,11.46,11.46,10.973,10.973,108900,
02/08/2016,11.298,11.542,11.054,11.379,55100,
03/08/2016,11.135,11.46,10.973,11.217,84000,
04/08/2016,10.973,11.217,10.891,11.135,82900,
05/08/2016,11.298,11.298,10.891,10.891,107700,
08/08/2016,10.729,11.542,10.729,11.217,114500,
09/08/2016,9.672,10.891,9.672,10.81,201000,
10/08/2016,9.265,9.835,9.184,9.591,213400,
11/08/2016,8.534,9.428,8.453,9.265,334100,
12/08/2016,8.127,8.534,7.966,8.453,338400,
15/08/2016,8.371,8.453,8.046,8.046,113700,
16/08/2016,8.615,8.779,8.29,8.29,123700,
17/08/2016,9.103,9.103,8.534,8.534,125400,
18/08/2016,9.022,9.347,8.941,9.022,100000,
19/08/2016,9.184,9.265,8.86,8.86,94000,
22/08/2016,9.265,9.347,8.941,8.941,105700,
23/08/2016,9.103,9.347,8.86,9.184,88600,
24/08/2016,8.941,9.184,8.779,9.184,81400,
25/08/2016,9.265,9.428,8.779,8.779,135700,
26/08/2016,9.265,9.428,8.941,9.103,89100,
29/08/2016,8.941,9.428,8.941,9.103,81900,
30/08/2016,8.779,9.103,8.615,9.022,107000,
31/08/2016,8.86,8.941,8.615,8.697,88900,
01/09/2016,8.941,9.022,8.697,8.779,79100,
05/09/2016,8.697,9.022,8.615,8.86,82700,
06/09/2016,8.697,8.779,8.615,8.697,76200,
07/09/2016,8.534,8.697,8.453,8.615,92800,
08/09/2016,8.371,8.615,8.371,8.534,103800,
09/09/2016,8.453,8.453,8.209,8.371,95100,
12/09/2016,8.534,8.779,8.453,8.453,110900,
13/09/2016,8.615,8.615,8.453,8.453,80400,
14/09/2016,8.615,8.615,8.453,8.615,55200,
15/09/2016,8.534,8.615,8.453,8.453,58300,
16/09/2016,8.453,8.615,8.371,8.534,51800,
19/09/2016,8.29,8.453,8.29,8.453,97400,
20/09/2016,8.371,8.453,8.29,8.29,96600,
21/09/2016,8.534,8.534,8.29,8.29,101400,
22/09/2016,8.697,8.697,8.371,8.371,133600,
23/09/2016,8.779,8.86,8.453,8.534,98100,
26/09/2016,8.697,8.779,8.534,8.615,73800,
27/09/2016,8.697,8.779,8.534,8.779,39400,
28/09/2016,8.779,8.779,8.615,8.615,62300,
29/09/2016,8.941,9.103,8.615,8.697,68800,
30/09/2016,8.779,9.184,8.779,8.941,90600,
03/10/2016,8.779,8.941,8.697,8.86,43300,
04/10/2016,8.941,9.103,8.779,8.779,88800,
05/10/2016,9.103,9.103,8.779,8.779,78900,
06/10/2016,9.347,9.347,8.941,8.941,61400,
07/10/2016,9.184,9.347,9.103,9.265,56200,
10/10/2016,9.103,9.347,9.022,9.103,105600,
11/10/2016,9.103,9.103,8.941,9.103,82100,
12/10/2016,8.779,9.022,8.697,9.022,66800,
13/10/2016,9.591,9.591,8.697,8.697,124600,
14/10/2016,9.753,9.916,9.509,9.835,86300,
17/10/2016,9.753,9.835,9.672,9.753,70700,
18/10/2016,9.509,9.916,9.509,9.835,84500,
19/10/2016,9.428,9.672,8.941,8.941,82400,
20/10/2016,10.078,10.078,9.428,9.428,45400,
21/10/2016,10.566,10.566,9.916,10.078,71800,
24/10/2016,10.322,10.647,10.16,10.566,83700,
25/10/2016,10.322,10.973,10.16,10.973,71000,
26/10/2016,10.078,10.404,9.916,10.404,75800,
27/10/2016,10.485,10.485,9.997,10.078,92700,
28/10/2016,10.647,10.647,10.16,10.322,48900,
31/10/2016,10.241,10.729,10.16,10.729,133800,
01/11/2016,10.322,10.322,10.16,10.16,74700,
02/11/2016,10.241,10.404,10.16,10.322,47000,
03/11/2016,10.078,10.404,10.078,10.241,48400,
04/11/2016,9.753,10.078,9.672,10.078,118000,
07/11/2016,9.835,9.916,9.753,9.753,72200,
08/11/2016,9.672,9.835,9.591,9.835,39400,
09/11/2016,9.428,9.753,9.347,9.591,103600,
