transDate,close,high,low,open,volume,event
31/10/2017,17.132,21.781,17.132,21.781,174200,
01/11/2017,16.091,17.437,16.03,17.437,45175,
02/11/2017,14.378,16.214,14.378,16.03,9391,
03/11/2017,13.216,13.582,12.909,13.522,59994,
06/11/2017,15.173,15.173,13.154,13.216,36843,
07/11/2017,16.642,16.642,14.99,14.99,53412,
08/11/2017,16.825,18.783,16.519,18.355,68856,
09/11/2017,16.397,17.743,16.152,16.825,21640,
10/11/2017,16.519,16.519,16.214,16.214,12410,
13/11/2017,15.296,15.724,15.051,15.602,15901,
14/11/2017,15.418,15.908,15.296,15.908,10819,
15/11/2017,15.479,15.479,15.357,15.479,27000,
16/11/2017,15.541,15.908,15.479,15.541,22200,
17/11/2017,15.724,15.908,15.724,15.724,22210,
20/11/2017,15.296,15.479,15.296,15.418,13900,
21/11/2017,15.173,15.602,14.745,15.602,40610,
22/11/2017,14.562,15.173,14.562,15.173,46510,
23/11/2017,14.684,14.684,14.378,14.562,16586,
24/11/2017,14.684,14.99,14.562,14.684,47916,
27/11/2017,14.745,14.745,14.562,14.684,22606,
28/11/2017,14.684,14.929,14.623,14.684,40850,
29/11/2017,14.806,15.602,14.623,14.684,80331,
30/11/2017,14.99,15.418,14.868,14.99,42700,
01/12/2017,15.296,15.846,14.745,15.846,26320,
04/12/2017,15.602,15.602,14.929,15.296,68529,
05/12/2017,16.519,16.519,15.357,15.602,38913,
06/12/2017,17.008,17.621,16.458,16.458,134624,
07/12/2017,16.887,17.254,16.581,17.132,94611,
08/12/2017,16.03,17.437,16.03,17.132,26070,
11/12/2017,16.152,16.519,15.296,16.519,10236,
12/12/2017,16.458,17.008,15.296,16.519,22924,
13/12/2017,15.602,17.07,15.602,17.07,28068,
14/12/2017,16.152,16.152,15.541,15.602,21900,
15/12/2017,16.214,16.214,15.541,15.908,27966,
18/12/2017,16.519,17.008,15.785,15.785,25100,
19/12/2017,16.519,17.254,16.336,16.519,77143,
20/12/2017,15.908,17.315,15.908,16.948,44400,
21/12/2017,16.519,16.825,15.969,15.969,4450,
22/12/2017,16.458,16.703,16.458,16.458,13823,
25/12/2017,16.091,16.764,16.091,16.703,2556,
26/12/2017,15.846,15.846,15.541,15.602,11255,
27/12/2017,15.479,15.602,15.296,15.296,11222,
28/12/2017,15.785,15.908,15.357,15.908,23800,
29/12/2017,16.091,16.091,15.296,15.296,9000,
02/01/2018,15.785,16.519,15.724,16.03,16660,
03/01/2018,15.908,16.214,15.785,16.03,20836,
04/01/2018,16.152,16.214,15.908,15.908,6600,
05/01/2018,16.03,16.519,15.602,16.214,4235,
08/01/2018,15.908,15.908,15.418,15.663,7600,
09/01/2018,15.663,15.785,15.296,15.785,10143,
10/01/2018,15.479,17.132,15.357,16.152,44600,
11/01/2018,16.519,16.703,15.418,16.519,8300,
12/01/2018,15.418,16.03,15.357,15.479,13400,
15/01/2018,15.724,15.724,15.051,15.296,10700,
16/01/2018,15.663,16.03,15.663,16.03,350,
17/01/2018,15.663,15.846,15.112,15.846,5733,
18/01/2018,15.296,15.602,14.684,15.602,22510,
19/01/2018,15.418,15.418,14.929,15.235,26300,
22/01/2018,15.785,16.03,15.112,15.846,38150,
23/01/2018,15.602,15.908,15.418,15.418,13600,
24/01/2018,15.602,15.724,15.296,15.724,16600,
25/01/2018,15.479,15.602,15.112,15.479,53700,
26/01/2018,15.846,15.846,15.479,15.602,68410,
29/01/2018,15.785,15.846,15.296,15.846,10281,
30/01/2018,15.602,15.724,15.051,15.173,13436,
31/01/2018,15.541,15.541,15.173,15.173,54100,
01/02/2018,15.296,15.296,14.99,15.173,19100,
02/02/2018,15.235,15.235,14.317,14.99,25100,
05/02/2018,15.296,15.296,14.378,14.378,1800,
06/02/2018,15.235,15.235,15.235,15.235,105,
07/02/2018,15.235,15.235,15.235,15.235,120,
08/02/2018,15.112,15.112,13.522,13.522,2788,
09/02/2018,15.112,15.173,13.889,15.173,4266,
12/02/2018,14.806,14.806,14.806,14.806,5200,
13/02/2018,15.846,15.846,14.99,14.99,8608,
21/02/2018,15.541,15.541,15.296,15.296,14050,
22/02/2018,15.296,15.418,14.378,14.378,4255,
23/02/2018,15.418,15.418,14.378,14.378,6600,
26/02/2018,15.479,15.479,15.112,15.112,36600,
27/02/2018,15.479,15.479,14.99,15.418,22300,
28/02/2018,15.785,15.785,15.418,15.418,2243,
01/03/2018,15.785,15.785,15.541,15.602,8455,
02/03/2018,15.602,15.602,15.173,15.602,47100,
05/03/2018,15.173,15.296,15.173,15.296,6905,
06/03/2018,15.296,15.296,15.296,15.296,300,
07/03/2018,15.296,15.296,14.99,15.173,2040,
08/03/2018,15.235,15.418,14.684,15.418,6610,
09/03/2018,15.235,15.235,14.684,14.99,4800,
12/03/2018,15.235,15.235,15.112,15.112,905,
13/03/2018,15.112,15.173,14.684,15.173,8700,
14/03/2018,15.173,15.296,15.173,15.296,339,
15/03/2018,15.235,15.235,15.235,15.235,5,
16/03/2018,15.112,15.296,14.378,15.235,7286,
19/03/2018,14.99,14.99,14.99,14.99,100,
20/03/2018,14.99,14.99,14.684,14.684,2100,
21/03/2018,15.051,15.051,14.868,14.99,10300,
22/03/2018,14.99,15.051,14.684,14.684,4200,
23/03/2018,14.99,14.99,14.99,14.99,100,
26/03/2018,14.806,15.051,14.806,15.051,1700,
27/03/2018,14.806,14.806,14.806,14.806,2304,
28/03/2018,14.806,14.806,14.684,14.806,1000,
29/03/2018,15.051,15.051,14.684,14.684,50421,
30/03/2018,14.745,15.602,14.745,15.051,759,
02/04/2018,15.479,15.479,15.479,15.479,4050,
03/04/2018,14.684,14.99,14.684,14.99,3620,
04/04/2018,14.684,14.868,14.684,14.684,875,
05/04/2018,14.684,14.806,14.684,14.684,4900,
06/04/2018,14.623,14.684,14.378,14.439,2254,
