transDate,close,high,low,open,volume,event
04/05/2010,0.0,0.0,0.0,0.0,0,
05/05/2010,0.0,0.0,0.0,0.0,0,
06/05/2010,0.0,0.0,0.0,0.0,0,
07/05/2010,0.0,0.0,0.0,0.0,0,
10/05/2010,0.0,0.0,0.0,0.0,0,
11/05/2010,0.0,0.0,0.0,0.0,0,
12/05/2010,0.0,0.0,0.0,0.0,0,
13/05/2010,0.0,0.0,0.0,0.0,0,
14/05/2010,0.0,0.0,0.0,0.0,0,
17/05/2010,0.0,0.0,0.0,0.0,0,
18/05/2010,0.0,0.0,0.0,0.0,0,
19/05/2010,0.0,0.0,0.0,0.0,0,
20/05/2010,0.0,0.0,0.0,0.0,0,
21/05/2010,0.0,0.0,0.0,0.0,0,
24/05/2010,0.0,0.0,0.0,0.0,0,
25/05/2010,0.0,0.0,0.0,0.0,0,
26/05/2010,0.0,0.0,0.0,0.0,0,
27/05/2010,0.0,0.0,0.0,0.0,0,
28/05/2010,0.0,0.0,0.0,0.0,0,
31/05/2010,0.0,0.0,0.0,0.0,0,
01/06/2010,0.0,0.0,0.0,0.0,0,
02/06/2010,0.0,0.0,0.0,0.0,0,
03/06/2010,0.0,0.0,0.0,0.0,0,
04/06/2010,0.0,0.0,0.0,0.0,0,
07/06/2010,0.0,0.0,0.0,0.0,0,
08/06/2010,0.0,0.0,0.0,0.0,0,
09/06/2010,0.0,0.0,0.0,0.0,0,
10/06/2010,0.0,0.0,0.0,0.0,0,
11/06/2010,0.0,0.0,0.0,0.0,0,
14/06/2010,0.0,0.0,0.0,0.0,0,
15/06/2010,0.0,0.0,0.0,0.0,0,
16/06/2010,0.0,0.0,0.0,0.0,0,
17/06/2010,0.0,0.0,0.0,0.0,0,
18/06/2010,0.0,0.0,0.0,0.0,0,
21/06/2010,0.0,0.0,0.0,0.0,0,
22/06/2010,0.0,0.0,0.0,0.0,0,
23/06/2010,0.0,0.0,0.0,0.0,0,
24/06/2010,0.0,0.0,0.0,0.0,0,
25/06/2010,0.0,0.0,0.0,0.0,0,
28/06/2010,0.0,0.0,0.0,0.0,0,
29/06/2010,6.696,6.696,6.696,6.696,1800,
30/06/2010,6.696,6.696,6.696,6.696,0,
01/07/2010,6.696,6.696,6.696,6.696,0,
02/07/2010,9.072,9.072,9.072,9.072,0,
05/07/2010,6.026,6.026,6.026,6.026,1510,
06/07/2010,6.626,6.626,6.626,6.626,20,
07/07/2010,7.26,7.26,7.26,7.26,10,
08/07/2010,7.962,7.962,7.962,7.962,10,
09/07/2010,8.737,8.737,8.737,8.737,1520,
12/07/2010,11.839,11.839,11.839,11.839,0,
13/07/2010,9.605,9.605,9.605,9.605,10,
14/07/2010,10.543,10.611,9.817,10.543,10,
15/07/2010,11.579,11.579,11.579,11.579,1010,
16/07/2010,12.713,12.713,12.713,12.713,10,
19/07/2010,12.713,12.713,12.713,12.713,0,
20/07/2010,12.713,12.713,12.713,12.713,0,
21/07/2010,12.713,12.713,12.713,12.713,0,
22/07/2010,12.713,12.713,12.713,12.713,0,
23/07/2010,12.713,12.713,12.713,12.713,0,
26/07/2010,12.713,12.713,12.713,12.713,0,
27/07/2010,11.442,11.548,11.442,11.548,1000,
28/07/2010,10.375,10.407,10.375,10.407,3100,
29/07/2010,10.375,10.375,10.375,10.375,1000,
30/07/2010,10.375,10.375,10.375,10.375,0,
02/08/2010,10.375,10.375,10.375,10.375,0,
03/08/2010,10.375,10.375,10.375,10.375,0,
