transDate,close,high,low,open,volume,event
30/10/2009,6.764,7.247,6.441,6.924,173500,
02/11/2009,6.232,6.41,6.232,6.41,2200,
03/11/2009,5.894,5.894,5.894,5.894,1000,
04/11/2009,5.491,5.878,5.491,5.491,80800,
05/11/2009,5.299,5.539,5.152,5.524,53800,
06/11/2009,5.024,5.571,5.024,5.571,11000,
09/11/2009,4.831,4.961,4.751,4.961,5300,
10/11/2009,4.976,5.105,4.526,5.105,7700,
11/11/2009,4.831,5.152,4.767,5.152,18800,
12/11/2009,5.105,5.105,4.589,4.717,2500,
13/11/2009,4.992,4.992,4.831,4.831,17200,
16/11/2009,4.67,5.152,4.67,5.152,2000,
17/11/2009,4.67,4.911,4.67,4.751,3800,
18/11/2009,4.751,4.751,4.735,4.735,1500,
19/11/2009,4.751,4.751,4.67,4.751,2100,
20/11/2009,4.51,4.717,4.51,4.717,4900,
23/11/2009,4.429,4.51,4.429,4.51,2100,
24/11/2009,4.51,4.815,4.51,4.815,1500,
25/11/2009,4.251,4.413,4.251,4.413,3000,
26/11/2009,3.994,4.573,3.994,4.573,7600,
27/11/2009,4.38,4.38,3.832,4.266,2600,
30/11/2009,4.317,4.347,4.317,4.347,6100,
01/12/2009,4.429,4.493,4.347,4.493,3400,
02/12/2009,4.445,4.445,4.445,4.445,0,
03/12/2009,4.317,4.347,4.266,4.347,1600,
04/12/2009,4.025,4.251,4.025,4.251,3900,
07/12/2009,4.057,4.123,3.866,4.025,31600,
08/12/2009,4.025,4.025,3.928,4.025,6100,
09/12/2009,3.944,4.025,3.944,4.025,149700,
10/12/2009,4.221,4.221,4.221,4.221,1300,
11/12/2009,3.928,4.221,3.928,4.221,1600,
14/12/2009,4.251,4.251,4.17,4.251,34800,
15/12/2009,4.188,4.188,4.188,4.188,115400,
16/12/2009,4.3,4.3,4.281,4.281,1500,
17/12/2009,4.347,4.347,4.041,4.041,3500,
18/12/2009,4.493,4.493,4.266,4.429,1500,
21/12/2009,4.623,4.623,4.429,4.51,138200,
22/12/2009,4.717,4.735,4.701,4.735,4000,
23/12/2009,4.623,4.961,4.623,4.717,4300,
24/12/2009,4.685,4.799,4.67,4.781,39700,
25/12/2009,4.751,4.781,4.685,4.781,134500,
28/12/2009,4.942,5.056,4.911,4.992,14400,
29/12/2009,5.266,5.266,5.266,5.266,1000,
30/12/2009,5.04,5.266,4.911,5.152,13000,
31/12/2009,5.074,5.299,4.992,5.266,126100,
04/01/2010,5.152,5.152,5.137,5.137,2100,DIVIDEND
05/01/2010,4.799,5.056,4.799,5.056,21500,
06/01/2010,4.573,4.815,4.573,4.815,46200,
07/01/2010,4.445,4.67,4.445,4.605,101900,
08/01/2010,4.331,4.51,4.331,4.51,41800,
11/01/2010,4.221,4.281,4.17,4.17,2300,
12/01/2010,4.281,4.558,4.266,4.558,7200,
13/01/2010,4.106,4.266,4.106,4.266,6400,
14/01/2010,4.188,4.266,4.057,4.057,7700,
15/01/2010,4.025,4.331,4.025,4.331,4000,
18/01/2010,3.866,3.911,3.815,3.897,4600,
19/01/2010,4.137,4.137,3.703,3.703,103500,
20/01/2010,4.266,4.317,4.188,4.281,8300,
21/01/2010,4.235,4.317,4.204,4.317,4700,
22/01/2010,4.188,4.266,4.188,4.266,2000,
25/01/2010,4.106,4.493,4.106,4.477,169900,
26/01/2010,4.493,4.493,4.493,4.493,0,
27/01/2010,4.493,4.493,4.493,4.493,0,
