transDate,close,high,low,open,volume,event
03/11/2008,4.164,5.861,3.78,4.164,117200,
04/11/2008,4.33,4.33,4.164,4.33,31500,
05/11/2008,4.569,4.569,4.569,4.569,28000,
06/11/2008,4.88,4.88,4.785,4.88,64300,
07/11/2008,5.19,5.19,4.52,4.858,81100,
10/11/2008,5.407,5.407,5.407,5.407,5500,
11/11/2008,5.762,5.762,5.622,5.762,160500,
12/11/2008,6.148,6.148,5.622,6.148,101200,
13/11/2008,6.529,6.529,6.148,6.529,104700,
14/11/2008,6.529,6.984,6.074,6.984,113300,
17/11/2008,6.195,6.219,6.195,6.195,29300,
18/11/2008,5.762,5.762,5.762,5.762,400,
19/11/2008,5.43,5.719,5.381,5.381,92200,
20/11/2008,5.047,5.168,5.047,5.069,32900,
21/11/2008,5.141,5.141,4.735,4.735,47600,
24/11/2008,4.785,5.069,4.685,5.069,17800,
25/11/2008,4.903,5.024,4.785,5.024,5400,
26/11/2008,4.546,4.569,4.546,4.569,8400,
27/11/2008,4.235,4.52,4.235,4.52,6500,
28/11/2008,4.546,4.546,4.353,4.52,52200,
01/12/2008,4.498,4.592,4.186,4.546,9400,
02/12/2008,4.235,4.425,4.209,4.209,22300,
03/12/2008,4.308,4.402,4.281,4.402,9600,
04/12/2008,4.308,4.308,4.281,4.308,13700,
05/12/2008,4.065,4.209,4.02,4.209,24600,
08/12/2008,3.78,4.041,3.78,4.041,31400,
09/12/2008,3.587,3.659,3.541,3.659,18000,
10/12/2008,3.325,3.563,3.325,3.375,21000,
11/12/2008,3.541,3.541,3.469,3.492,30000,
12/12/2008,3.78,3.78,3.709,3.754,40900,
15/12/2008,3.78,3.996,3.754,3.947,16100,
16/12/2008,3.587,3.853,3.587,3.637,4700,
17/12/2008,3.514,3.659,3.514,3.514,69600,
18/12/2008,3.232,3.253,3.232,3.253,21400,DIVIDEND
19/12/2008,3.397,3.397,3.016,3.232,54200,
22/12/2008,3.325,3.325,3.325,3.325,59700,
23/12/2008,3.541,3.541,3.375,3.541,34100,
24/12/2008,3.469,3.469,3.348,3.469,20200,
25/12/2008,3.253,3.348,3.232,3.348,15600,
26/12/2008,3.232,3.253,3.108,3.253,8800,
29/12/2008,3.182,3.203,3.158,3.203,8900,
30/12/2008,3.203,3.232,3.158,3.158,12700,
31/12/2008,3.108,3.182,3.063,3.182,17000,
02/01/2009,3.304,3.304,3.087,3.108,20800,
05/01/2009,3.397,3.397,3.232,3.232,46500,
06/01/2009,3.492,3.514,3.397,3.514,24700,
07/01/2009,3.469,3.614,3.442,3.587,20000,
08/01/2009,3.348,3.492,3.348,3.469,15100,
09/01/2009,3.375,3.469,3.253,3.375,29800,
12/01/2009,3.397,3.469,3.253,3.469,11800,
13/01/2009,3.348,3.375,3.325,3.375,9400,
14/01/2009,3.375,3.397,3.304,3.348,16100,
15/01/2009,3.277,3.304,3.277,3.304,9600,
16/01/2009,3.304,3.348,3.277,3.277,7000,
19/01/2009,3.348,3.348,3.304,3.348,10200,
20/01/2009,3.277,3.325,3.277,3.325,2000,
21/01/2009,3.348,3.375,3.325,3.325,6200,
22/01/2009,3.325,3.375,3.325,3.348,10800,
23/01/2009,3.541,3.563,3.348,3.348,56100,
02/02/2009,3.442,3.587,3.442,3.587,7500,
03/02/2009,3.397,3.709,3.304,3.709,17600,
04/02/2009,3.325,3.42,3.325,3.397,6300,
05/02/2009,3.232,3.42,3.158,3.42,20100,
06/02/2009,3.348,3.348,3.232,3.253,14200,
09/02/2009,3.442,3.442,3.304,3.325,10200,
10/02/2009,3.304,3.348,3.304,3.304,19400,
11/02/2009,3.304,3.325,3.253,3.253,17900,
12/02/2009,3.348,3.348,3.304,3.325,12100,
13/02/2009,3.375,3.375,3.348,3.348,15400,
16/02/2009,3.325,3.348,3.325,3.348,13000,
17/02/2009,3.325,3.348,3.277,3.348,18200,
18/02/2009,3.277,3.304,3.253,3.277,11300,
19/02/2009,3.379,3.43,3.325,3.43,20700,DIVIDEND
20/02/2009,3.304,3.379,3.304,3.379,5500,
23/02/2009,3.325,3.43,3.199,3.199,14300,
24/02/2009,3.277,3.277,3.277,3.277,18400,
25/02/2009,3.379,3.379,3.304,3.379,19800,
26/02/2009,3.325,3.352,3.277,3.277,9300,
27/02/2009,3.352,3.379,3.277,3.277,11200,
02/03/2009,3.352,3.403,3.352,3.352,2600,
03/03/2009,3.379,3.379,3.352,3.379,10700,
04/03/2009,3.43,3.43,3.379,3.403,6800,
05/03/2009,3.455,3.455,3.403,3.455,16000,
06/03/2009,3.482,3.482,3.43,3.43,10200,
09/03/2009,3.686,3.686,3.582,3.637,22000,
10/03/2009,3.839,3.839,3.686,3.812,30100,
11/03/2009,3.789,4.041,3.789,4.041,8600,
12/03/2009,3.582,3.713,3.582,3.713,10700,
13/03/2009,3.637,3.686,3.582,3.582,13500,
16/03/2009,3.735,3.735,3.659,3.659,36700,
17/03/2009,3.789,3.789,3.713,3.762,24300,
18/03/2009,4.02,4.02,3.812,3.812,50200,
19/03/2009,3.993,4.221,3.993,4.123,64200,
20/03/2009,3.889,4.041,3.889,3.966,18900,
23/03/2009,3.839,4.041,3.839,3.966,18200,
24/03/2009,4.095,4.172,4.02,4.095,29700,
25/03/2009,4.068,4.123,4.041,4.041,16400,
26/03/2009,4.095,4.095,4.041,4.095,13800,
27/03/2009,3.966,4.095,3.966,4.095,8700,
30/03/2009,4.277,4.277,3.942,4.02,41200,
31/03/2009,4.402,4.402,4.249,4.326,20300,
01/04/2009,4.479,4.659,4.479,4.606,40500,
02/04/2009,4.606,4.659,4.556,4.583,29400,
03/04/2009,4.861,4.861,4.683,4.683,49100,
07/04/2009,4.965,5.041,4.89,5.041,12700,
08/04/2009,4.709,4.992,4.659,4.992,45600,
09/04/2009,4.606,4.861,4.606,4.861,14300,
10/04/2009,4.709,4.916,4.606,4.763,24900,
13/04/2009,4.992,5.091,4.84,4.992,92700,
14/04/2009,4.659,5.069,4.606,5.069,37300,
15/04/2009,4.428,4.606,4.428,4.606,25500,
16/04/2009,4.479,4.528,4.428,4.507,61100,
17/04/2009,4.326,4.479,4.2,4.479,41900,
20/04/2009,4.041,4.041,4.041,4.041,48600,
21/04/2009,4.02,4.02,3.762,3.762,15900,
22/04/2009,4.146,4.146,4.146,4.146,10900,
23/04/2009,4.428,4.428,4.146,4.402,14400,
24/04/2009,4.507,4.507,4.376,4.376,1400,
27/04/2009,4.146,4.479,4.146,4.479,700,
28/04/2009,4.326,4.353,4.326,4.326,1600,
29/04/2009,4.353,4.353,4.249,4.326,7700,
04/05/2009,4.583,4.583,4.299,4.353,71500,
05/05/2009,4.763,4.84,4.763,4.84,91600,
06/05/2009,4.507,4.709,4.507,4.556,30800,
07/05/2009,4.606,4.683,4.528,4.606,52800,
08/05/2009,4.452,4.606,4.353,4.606,21300,
11/05/2009,4.402,4.479,4.376,4.479,11100,
12/05/2009,4.376,4.583,4.376,4.583,5600,
13/05/2009,4.402,4.479,4.376,4.479,22600,
14/05/2009,4.428,4.479,4.376,4.376,24200,
15/05/2009,4.507,4.606,4.452,4.479,29700,
18/05/2009,4.528,4.683,4.428,4.683,13800,
19/05/2009,4.583,4.633,4.479,4.606,29800,
20/05/2009,4.556,4.606,4.507,4.583,18900,
21/05/2009,4.659,4.659,4.556,4.556,36000,
22/05/2009,4.916,4.916,4.659,4.709,256800,
25/05/2009,5.223,5.223,5.223,5.223,45700,
26/05/2009,5.579,5.579,5.579,5.579,13900,
27/05/2009,5.479,5.961,5.197,5.961,240000,
28/05/2009,5.375,5.633,5.272,5.272,84500,
29/05/2009,5.375,5.633,5.091,5.579,38500,
01/06/2009,5.708,5.708,5.347,5.403,25400,
02/06/2009,6.015,6.015,5.681,6.015,112800,
03/06/2009,6.399,6.399,6.399,6.399,35900,
04/06/2009,6.836,6.836,6.836,6.836,7800,
05/06/2009,7.295,7.295,7.295,7.295,12300,
08/06/2009,7.782,7.782,7.728,7.782,158700,
09/06/2009,7.245,8.318,7.245,8.318,108100,
10/06/2009,7.886,7.886,7.371,7.371,87300,
