transDate,close,high,low,open,volume,event
30/09/2015,8.894,8.894,8.894,8.894,0,
01/10/2015,8.894,8.894,8.894,8.894,0,
02/10/2015,8.894,8.894,8.894,8.894,0,
05/10/2015,8.894,8.894,8.894,8.894,0,
06/10/2015,8.894,8.894,8.894,8.894,0,
07/10/2015,8.894,8.894,8.894,8.894,0,
08/10/2015,8.894,8.894,8.894,8.894,0,
09/10/2015,8.894,8.894,8.894,8.894,0,
12/10/2015,5.37,5.37,5.37,5.37,30000,
13/10/2015,5.37,5.37,5.37,5.37,0,
14/10/2015,5.37,5.37,5.37,5.37,0,
15/10/2015,5.37,5.37,5.37,5.37,0,
16/10/2015,5.37,5.37,5.37,5.37,0,
19/10/2015,5.37,5.37,5.37,5.37,0,
20/10/2015,5.37,5.37,5.37,5.37,0,
21/10/2015,5.37,5.37,5.37,5.37,0,
22/10/2015,5.37,5.37,5.37,5.37,0,
23/10/2015,6.125,6.125,6.125,6.125,1000,
26/10/2015,6.125,6.125,6.125,6.125,0,
27/10/2015,6.125,6.125,6.125,6.125,0,
28/10/2015,6.125,6.125,6.125,6.125,0,
29/10/2015,6.125,6.125,6.125,6.125,0,
30/10/2015,6.125,6.125,6.125,6.125,0,
02/11/2015,6.125,6.125,6.125,6.125,0,
03/11/2015,6.125,6.125,6.125,6.125,0,
04/11/2015,6.125,6.125,6.125,6.125,0,
05/11/2015,6.125,6.125,6.125,6.125,0,
06/11/2015,6.125,6.125,6.125,6.125,0,
09/11/2015,6.125,6.125,6.125,6.125,0,
10/11/2015,6.964,6.964,6.964,6.964,1000,
11/11/2015,6.964,6.964,6.964,6.964,0,
12/11/2015,6.964,6.964,6.964,6.964,0,
13/11/2015,6.964,6.964,6.964,6.964,0,
16/11/2015,6.964,6.964,6.964,6.964,0,
17/11/2015,6.964,6.964,6.964,6.964,0,
18/11/2015,6.964,6.964,6.964,6.964,0,
19/11/2015,6.964,6.964,6.964,6.964,0,
20/11/2015,6.964,6.964,6.964,6.964,0,
23/11/2015,6.964,6.964,6.964,6.964,0,
24/11/2015,6.964,6.964,6.964,6.964,0,
25/11/2015,6.964,6.964,6.964,6.964,0,
26/11/2015,6.041,6.041,6.041,6.041,32000,
27/11/2015,6.041,6.041,6.041,6.041,0,
30/11/2015,6.041,6.041,6.041,6.041,0,
01/12/2015,6.041,6.041,6.041,6.041,0,
02/12/2015,6.041,6.041,6.041,6.041,0,
03/12/2015,6.041,6.041,6.041,6.041,0,
04/12/2015,6.041,6.041,6.041,6.041,0,
07/12/2015,6.041,6.041,6.041,6.041,0,
08/12/2015,6.041,6.041,6.041,6.041,0,
09/12/2015,6.041,6.041,6.041,6.041,2000,
10/12/2015,6.041,6.041,6.041,6.041,0,
11/12/2015,6.041,6.041,6.041,6.041,0,
14/12/2015,6.041,6.041,6.041,6.041,0,
15/12/2015,6.041,6.041,6.041,6.041,0,
16/12/2015,6.041,6.041,6.041,6.041,0,
17/12/2015,6.041,6.041,6.041,6.041,0,
18/12/2015,6.041,6.041,6.041,6.041,0,
21/12/2015,6.041,6.041,6.041,6.041,0,
22/12/2015,6.041,6.041,6.041,6.041,0,
23/12/2015,6.041,6.041,6.041,6.041,0,
24/12/2015,6.041,6.041,6.041,6.041,0,
25/12/2015,6.041,6.041,6.041,6.041,0,
28/12/2015,6.041,6.041,6.041,6.041,0,
29/12/2015,6.041,6.041,6.041,6.041,0,
30/12/2015,6.041,6.041,6.041,6.041,0,
