transDate,close,high,low,open,volume,event
17/12/2007,22.17,26.32,22.17,22.17,74300,
18/12/2007,21.06,22.72,20.84,20.84,38200,
19/12/2007,23.33,23.33,23.28,23.28,26100,
20/12/2007,25.66,25.66,25.49,25.49,76300,
21/12/2007,28.21,28.21,26.66,26.66,115800,
24/12/2007,27.88,30.65,27.88,27.88,69200,
25/12/2007,26.27,28.76,26.27,26.27,45500,
26/12/2007,26.05,26.88,23.94,23.94,49000,
27/12/2007,25.77,26.82,24.88,24.88,29200,
28/12/2007,26.05,27.15,24.94,24.94,40300,
02/01/2008,24.99,26.6,24.94,24.94,11300,
03/01/2008,23.83,25.22,23.83,23.83,15900,
04/01/2008,23.56,24.61,22.89,22.89,9600,
07/01/2008,21.67,23.44,21.06,21.07,20200,
08/01/2008,21.61,23.28,19.95,19.95,30300,
09/01/2008,21.11,22.72,21.06,21.06,17200,
10/01/2008,22.17,22.17,21.61,21.61,8100,
11/01/2008,21.89,23.5,21.67,21.67,22900,
14/01/2008,21.06,23.0,20.73,20.73,30800,
15/01/2008,19.89,20.5,19.06,19.06,15500,
16/01/2008,21.17,21.17,19.12,19.12,15300,
17/01/2008,21.06,22.17,20.23,20.23,18300,
18/01/2008,21.61,22.17,20.39,20.39,32500,
21/01/2008,21.61,21.67,20.95,20.95,17600,
22/01/2008,20.28,21.0,19.84,19.84,7100,
23/01/2008,20.45,20.78,18.95,20.78,9700,
24/01/2008,20.23,21.61,19.45,20.73,30900,
25/01/2008,21.06,21.17,20.28,20.28,8000,
28/01/2008,21.06,21.06,19.84,19.84,9700,
29/01/2008,21.61,21.61,21.06,21.06,12900,
30/01/2008,23.56,23.56,22.17,22.28,51900,
31/01/2008,22.17,25.22,21.61,25.22,21100,
01/02/2008,22.17,22.28,21.34,22.28,24800,
12/02/2008,21.61,21.61,21.61,21.61,500,
13/02/2008,21.06,23.28,21.06,23.28,6200,
14/02/2008,20.5,21.61,20.23,21.61,13600,
15/02/2008,20.12,21.28,20.0,20.5,4500,
18/02/2008,18.84,18.95,18.4,18.56,24700,
19/02/2008,18.84,19.67,18.84,18.84,9000,
20/02/2008,17.18,18.29,17.18,18.29,12800,
21/02/2008,15.96,16.07,15.96,16.07,8700,
22/02/2008,15.96,15.96,14.41,14.41,10500,
25/02/2008,15.57,16.18,13.85,14.41,35300,
26/02/2008,13.96,16.07,13.96,16.07,10300,
27/02/2008,12.8,14.97,12.8,14.97,13900,
28/02/2008,13.08,13.8,12.25,13.8,3200,
29/02/2008,12.19,12.47,11.36,11.92,2400,
03/03/2008,10.92,12.08,10.92,12.08,24300,
04/03/2008,9.97,10.53,9.97,10.53,4900,
05/03/2008,9.97,9.97,9.03,9.03,19100,
06/03/2008,10.03,10.03,10.03,10.03,200,
07/03/2008,11.03,11.03,11.03,11.03,3900,
10/03/2008,11.64,12.08,9.98,12.08,42300,
