transDate,close,high,low,open,volume,event
20/05/2010,26.781,28.936,26.525,28.936,25300,
21/05/2010,26.938,26.938,25.453,25.699,16100,
24/05/2010,23.957,24.036,23.957,24.036,4100,
25/05/2010,22.304,22.383,22.304,22.383,6100,
26/05/2010,21.635,23.879,20.888,20.888,27800,
27/05/2010,23.455,23.544,22.383,22.383,12900,
28/05/2010,24.459,24.459,24.036,24.459,41300,
31/05/2010,24.37,26.033,24.37,24.37,4100,
01/06/2010,23.21,25.699,23.042,25.699,10900,
02/06/2010,23.298,23.879,23.21,23.21,8400,
03/06/2010,23.623,24.37,23.623,24.37,1600,
04/06/2010,22.718,23.21,22.718,23.042,7000,
07/06/2010,22.964,23.21,21.724,21.724,7700,
08/06/2010,22.55,22.55,22.383,22.462,13800,
09/06/2010,23.131,23.21,23.131,23.21,700,
10/06/2010,23.21,23.21,21.724,21.803,2000,
11/06/2010,23.377,23.377,20.396,20.396,77700,
14/06/2010,24.705,24.705,24.705,24.705,3200,
15/06/2010,26.358,26.358,26.358,26.358,2900,
16/06/2010,28.188,28.188,28.188,28.188,31200,
17/06/2010,30.097,30.097,30.097,30.097,49400,
18/06/2010,32.163,32.163,30.097,32.163,294300,
21/06/2010,32.163,34.317,30.756,34.317,66900,
22/06/2010,30.835,32.33,30.835,32.33,66000,
23/06/2010,30.835,31.09,29.014,30.343,99500,
24/06/2010,31.504,31.504,30.677,30.677,219500,
25/06/2010,33.658,33.658,30.756,33.078,264900,
28/06/2010,35.813,35.813,33.658,34.317,160900,
29/06/2010,38.214,38.214,34.819,35.724,223100,
30/06/2010,35.98,39.788,35.311,39.788,114200,
01/07/2010,37.387,38.715,33.737,34.819,437000,
02/07/2010,36.639,38.627,36.472,38.135,269000,
05/07/2010,36.393,37.554,35.646,37.554,171500,
06/07/2010,36.305,37.722,35.892,36.472,99600,
07/07/2010,34.819,36.728,34.819,36.728,108400,
08/07/2010,35.232,36.472,33.658,33.658,105100,
09/07/2010,38.046,38.046,35.311,35.311,295800,
12/07/2010,40.368,40.368,35.646,40.368,276600,
13/07/2010,41.45,42.444,40.201,40.624,156700,
14/07/2010,41.283,43.94,39.788,43.103,215000,
15/07/2010,39.375,40.201,39.375,40.201,154600,
16/07/2010,37.308,37.554,36.807,37.308,205800,
19/07/2010,38.715,39.542,38.135,38.135,166400,
20/07/2010,37.308,40.535,36.807,40.535,66600,
21/07/2010,36.472,37.308,35.232,36.472,92200,
22/07/2010,34.573,36.885,33.57,36.059,111000,
23/07/2010,35.567,36.472,31.995,34.071,206400,
26/07/2010,35.646,37.053,35.232,36.807,52500,
27/07/2010,36.393,36.472,35.567,36.059,83100,
28/07/2010,34.898,36.728,34.652,36.728,61000,
29/07/2010,34.819,35.646,34.317,34.485,77000,
30/07/2010,34.573,35.567,34.317,35.567,54600,
02/08/2010,33.737,34.652,33.491,33.993,30400,
03/08/2010,33.412,33.57,33.245,33.57,18600,
04/08/2010,32.251,32.33,31.169,32.33,30400,
05/08/2010,30.589,32.33,29.841,31.828,128800,
06/08/2010,30.008,30.421,29.014,29.182,32200,
09/08/2010,28.267,31.336,28.267,31.336,65600,
10/08/2010,28.188,29.762,27.273,29.762,73600,
11/08/2010,29.929,29.929,28.021,28.021,34400,
12/08/2010,27.607,29.182,27.607,27.686,87800,
13/08/2010,29.014,29.841,27.352,27.352,23100,
16/08/2010,29.674,30.254,29.428,29.428,84800,
17/08/2010,28.434,29.929,28.267,28.434,44900,
18/08/2010,27.775,29.349,27.44,29.349,40200,
19/08/2010,28.434,29.014,28.188,28.188,36100,
20/08/2010,28.355,28.847,27.44,28.601,59500,
23/08/2010,27.607,28.099,26.614,26.614,47900,
24/08/2010,25.364,27.273,25.364,27.273,70900,
25/08/2010,23.79,24.872,23.79,24.872,30700,
26/08/2010,23.879,24.872,22.216,24.036,41900,
27/08/2010,22.304,23.623,22.049,23.623,36900,
30/08/2010,23.711,23.711,23.623,23.623,15500,
31/08/2010,25.364,25.364,24.616,24.784,48300,
01/09/2010,26.938,26.938,24.951,26.692,63600,
06/09/2010,28.768,28.768,28.188,28.768,53800,
07/09/2010,27.932,30.589,27.775,30.589,55900,
08/09/2010,27.106,27.352,27.106,27.352,44800,
09/09/2010,27.686,27.775,25.364,26.525,214600,
10/09/2010,27.932,28.601,26.2,28.188,199100,
13/09/2010,26.525,28.513,26.525,28.355,39000,
14/09/2010,27.352,27.352,26.938,27.352,12600,
15/09/2010,25.453,27.686,25.364,27.686,93400,
16/09/2010,24.203,25.531,23.79,24.036,74500,
17/09/2010,25.777,25.777,24.036,24.036,90600,
20/09/2010,25.62,27.352,25.62,27.352,53800,
21/09/2010,24.37,26.938,24.292,26.033,37800,
22/09/2010,23.623,24.616,23.623,24.538,18100,
23/09/2010,23.21,24.37,22.796,24.036,63900,
24/09/2010,23.623,23.711,21.97,22.216,57700,
27/09/2010,23.623,24.616,23.21,24.459,24200,
28/09/2010,23.623,24.37,23.623,23.879,22500,
29/09/2010,22.383,23.298,22.304,23.298,37200,
30/09/2010,22.462,22.462,21.97,22.049,26400,
01/10/2010,21.97,22.383,21.881,22.216,52300,
04/10/2010,20.976,21.557,20.642,21.389,60900,
05/10/2010,20.976,21.143,19.982,19.982,35200,
06/10/2010,21.222,21.557,20.72,21.557,31400,
07/10/2010,20.307,21.301,20.307,21.143,29100,
08/10/2010,20.061,20.642,20.061,20.307,23600,
11/10/2010,19.067,20.14,19.067,20.14,19100,
12/10/2010,18.733,19.481,18.733,19.235,20300,
13/10/2010,18.9,19.067,18.654,18.821,25000,
14/10/2010,18.9,19.894,18.821,19.894,12100,
15/10/2010,18.241,19.727,17.739,19.727,19600,
