transDate,close,high,low,open,volume,event
16/02/2011,8.77,8.77,7.756,8.77,2500,
17/02/2011,8.363,8.432,8.33,8.432,3000,
18/02/2011,8.092,8.6,8.092,8.6,2300,
21/02/2011,7.69,8.363,7.69,8.363,600,
22/02/2011,8.127,8.127,8.127,8.127,100,
23/02/2011,7.859,7.859,7.859,7.859,100,
24/02/2011,8.398,8.398,8.398,8.398,100,
25/02/2011,7.927,7.927,7.927,7.927,500,
28/02/2011,8.092,8.092,8.092,8.092,100,
01/03/2011,7.824,7.859,7.824,7.859,200,
02/03/2011,8.092,8.092,7.589,7.589,500,
03/03/2011,7.69,7.69,7.69,7.69,0,
04/03/2011,7.183,7.318,7.183,7.318,900,
07/03/2011,6.779,6.779,6.779,6.779,200,
08/03/2011,6.746,6.746,6.746,6.746,500,
09/03/2011,6.746,6.746,6.746,6.746,0,
10/03/2011,7.082,7.082,6.408,6.408,700,
11/03/2011,6.746,6.746,6.206,6.206,800,
14/03/2011,6.746,6.746,6.746,6.746,100,
15/03/2011,6.275,6.275,6.275,6.275,200,
16/03/2011,6.711,6.711,6.711,6.711,200,
17/03/2011,6.307,7.149,6.307,6.746,900,
18/03/2011,6.173,6.173,6.173,6.173,1000,
21/03/2011,6.543,6.543,6.543,6.543,100,
22/03/2011,6.24,6.914,6.24,6.914,300,
23/03/2011,6.474,6.474,6.474,6.474,0,
24/03/2011,6.24,6.24,6.24,6.24,500,
25/03/2011,6.577,6.577,5.868,5.868,300,
28/03/2011,6.24,6.24,6.24,6.24,100,
29/03/2011,6.24,6.24,6.24,6.24,0,
30/03/2011,6.375,6.375,6.375,6.375,100,
31/03/2011,6.543,6.543,6.543,6.543,100,
01/04/2011,6.24,6.914,6.104,6.914,700,
04/04/2011,6.307,6.307,6.307,6.307,100,
05/04/2011,6.711,6.711,6.711,6.711,100,
06/04/2011,6.645,6.645,6.645,6.645,100,
07/04/2011,6.645,6.645,6.645,6.645,0,
08/04/2011,6.645,6.645,6.206,6.206,200,
13/04/2011,6.002,6.07,6.002,6.07,2400,
14/04/2011,5.631,5.631,5.631,5.631,500,
15/04/2011,5.666,5.666,5.26,5.666,1600,
18/04/2011,5.059,5.195,5.059,5.195,900,
19/04/2011,5.396,5.396,5.33,5.33,200,
