transDate,close,high,low,open,volume,event
20/12/2006,4.201,4.201,4.201,4.201,69230,
21/12/2006,4.006,4.399,4.006,4.203,137260,
22/12/2006,3.809,3.809,3.809,3.809,35690,
25/12/2006,3.968,3.968,3.62,3.81,55220,
26/12/2006,3.912,3.968,3.77,3.968,94420,
27/12/2006,3.817,3.927,3.817,3.912,28550,
28/12/2006,3.659,3.817,3.659,3.817,31670,
29/12/2006,3.613,3.66,3.613,3.66,60540,
02/01/2007,3.534,3.644,3.534,3.613,62950,
03/01/2007,3.448,3.527,3.448,3.527,24700,
04/01/2007,3.613,3.613,3.535,3.535,37880,
05/01/2007,3.731,3.793,3.731,3.731,31370,
08/01/2007,3.613,3.731,3.605,3.731,21690,
09/01/2007,3.613,3.613,3.613,3.613,16190,
10/01/2007,3.543,3.613,3.543,3.613,20790,
11/01/2007,3.534,3.574,3.534,3.541,33950,
12/01/2007,3.534,3.534,3.534,3.534,25100,
15/01/2007,3.707,3.707,3.707,3.707,33360,
16/01/2007,3.888,3.888,3.888,3.888,16920,
17/01/2007,3.699,3.927,3.699,3.887,50510,
18/01/2007,3.69,3.73,3.613,3.699,38250,
19/01/2007,3.69,3.73,3.69,3.69,20250,
22/01/2007,3.652,3.754,3.613,3.69,24150,
23/01/2007,3.613,3.613,3.471,3.613,22540,
24/01/2007,3.534,3.69,3.494,3.613,27500,
25/01/2007,3.494,3.535,3.385,3.535,24580,
26/01/2007,3.534,3.534,3.494,3.494,15560,
29/01/2007,3.652,3.707,3.652,3.652,14450,
30/01/2007,3.832,3.832,3.832,3.832,6230,
31/01/2007,4.006,4.006,4.006,4.006,10700,
01/02/2007,4.201,4.201,4.201,4.201,11980,
02/02/2007,4.399,4.399,4.399,4.399,18280,
05/02/2007,4.594,4.594,4.594,4.594,25480,
06/02/2007,4.399,4.713,4.399,4.594,106130,
07/02/2007,4.598,4.598,4.598,4.598,64210,DIVIDEND
08/02/2007,4.797,4.797,4.797,4.797,78110,
09/02/2007,4.718,4.797,4.598,4.797,58910,
12/02/2007,4.918,4.918,4.918,4.918,54670,
13/02/2007,5.158,5.158,5.158,5.158,32600,
14/02/2007,5.397,5.397,5.397,5.397,45660,
15/02/2007,5.638,5.638,5.638,5.638,16780,
26/02/2007,5.918,5.918,5.918,5.918,100,
27/02/2007,6.197,6.197,6.197,6.197,3670,
28/02/2007,6.477,6.477,6.399,6.399,125030,
01/03/2007,6.797,6.797,6.797,6.797,23080,
02/03/2007,7.118,7.118,7.118,7.118,29330,
05/03/2007,7.438,7.438,7.116,7.116,1100,
06/03/2007,7.797,7.797,7.797,7.797,3710,
07/03/2007,8.157,8.157,8.157,8.157,114520,
08/03/2007,8.557,8.557,8.157,8.157,131120,
09/03/2007,8.557,8.636,8.557,8.557,90130,
12/03/2007,8.157,8.557,8.157,8.557,38060,
13/03/2007,7.916,8.157,7.916,8.157,61740,
14/03/2007,7.557,7.557,7.557,7.557,33510,
15/03/2007,7.197,7.558,7.197,7.558,6260,
16/03/2007,7.557,7.557,6.838,7.197,88090,
19/03/2007,7.916,7.916,7.916,7.916,61980,
20/03/2007,7.557,7.916,7.557,7.916,101110,
21/03/2007,7.197,7.197,7.197,7.197,62310,
22/03/2007,6.918,7.197,6.878,7.197,36970,
23/03/2007,6.797,6.797,6.797,6.797,32720,
26/03/2007,6.477,6.797,6.477,6.797,20450,
27/03/2007,6.157,6.157,6.157,6.157,6990,
28/03/2007,5.878,5.878,5.878,5.878,41420,
29/03/2007,6.157,6.157,5.878,5.878,7740,
30/03/2007,6.437,6.437,6.437,6.437,20500,
02/04/2007,6.118,6.317,6.118,6.118,40630,
03/04/2007,5.878,6.078,5.878,5.878,34740,
04/04/2007,6.078,6.078,5.997,5.997,39020,
05/04/2007,6.078,6.078,6.078,6.078,30390,
06/04/2007,5.997,5.997,5.878,5.997,17120,
09/04/2007,6.157,6.157,5.997,5.997,20950,
10/04/2007,6.038,6.157,6.038,6.038,22860,
11/04/2007,6.038,6.038,5.956,6.038,9530,
12/04/2007,5.878,6.038,5.878,5.878,15320,
13/04/2007,5.638,5.638,5.598,5.638,26870,
16/04/2007,5.357,5.357,5.357,5.357,31180,
17/04/2007,5.118,5.118,5.118,5.118,12360,
18/04/2007,5.357,5.357,4.956,5.118,33210,
19/04/2007,5.357,5.598,5.357,5.357,62970,
20/04/2007,5.118,5.359,5.118,5.118,9520,
23/04/2007,4.999,5.118,4.999,4.999,19460,
24/04/2007,4.958,4.958,4.798,4.958,13810,
25/04/2007,5.118,5.118,4.958,4.958,31170,
02/05/2007,5.118,5.198,5.118,5.118,16150,
03/05/2007,5.118,5.118,5.039,5.118,15080,
04/05/2007,5.038,5.038,4.999,5.038,16780,
07/05/2007,5.279,5.279,5.118,5.118,16200,
08/05/2007,5.518,5.518,5.518,5.518,43930,
09/05/2007,5.518,5.757,5.518,5.518,66740,
10/05/2007,5.279,5.359,5.279,5.279,12440,
11/05/2007,5.518,5.518,5.278,5.278,25070,
14/05/2007,5.758,5.758,5.758,5.758,52750,
15/05/2007,6.038,6.038,6.038,6.038,30550,
16/05/2007,5.758,5.998,5.758,5.758,43350,
17/05/2007,5.918,5.918,5.678,5.758,36190,
18/05/2007,6.078,6.157,6.078,6.078,56350,
21/05/2007,6.358,6.358,6.358,6.358,45530,
22/05/2007,6.637,6.637,6.557,6.557,9760,
23/05/2007,6.957,6.957,6.957,6.957,82510,
24/05/2007,6.637,6.637,6.637,6.637,40960,
25/05/2007,6.957,6.957,6.318,6.637,109550,
28/05/2007,6.716,6.797,6.716,6.716,57100,
29/05/2007,6.477,6.718,6.477,6.477,29000,
30/05/2007,6.477,6.477,6.399,6.477,59320,
31/05/2007,6.716,6.716,6.477,6.477,36780,
01/06/2007,6.716,6.876,6.716,6.716,33290,
04/06/2007,6.637,6.716,6.637,6.716,32030,
05/06/2007,6.397,6.477,6.397,6.477,39310,
06/06/2007,6.477,6.477,6.399,6.399,20140,
07/06/2007,6.477,6.477,6.477,6.477,47360,
08/06/2007,6.477,6.558,6.477,6.477,48850,
11/06/2007,6.477,6.477,6.437,6.477,12680,
12/06/2007,6.477,6.477,6.399,6.477,19830,
13/06/2007,6.397,6.477,6.397,6.477,22550,
14/06/2007,6.318,6.397,6.318,6.397,10900,
15/06/2007,6.318,6.318,6.318,6.318,21740,
