transDate,close,high,low,open,volume,event
20/01/2017,15.931,15.931,15.931,15.931,0,
23/01/2017,15.931,15.931,15.931,15.931,0,
24/01/2017,15.931,15.931,15.931,15.931,0,DIVIDEND
25/01/2017,15.931,15.931,15.931,15.931,0,
02/02/2017,15.931,15.931,15.931,15.931,0,
03/02/2017,15.931,15.931,15.931,15.931,0,
06/02/2017,15.931,15.931,15.931,15.931,0,
07/02/2017,15.931,15.931,15.931,15.931,0,
08/02/2017,15.931,15.931,15.931,15.931,0,
09/02/2017,15.931,15.931,15.931,15.931,0,
10/02/2017,15.931,15.931,15.931,15.931,0,
13/02/2017,15.931,15.931,15.931,15.931,0,
14/02/2017,15.931,15.931,15.931,15.931,0,
15/02/2017,15.931,15.931,15.931,15.931,0,
16/02/2017,15.931,15.931,15.931,15.931,0,
17/02/2017,15.931,15.931,15.931,15.931,0,
20/02/2017,15.931,15.931,15.931,15.931,0,
21/02/2017,15.931,15.931,15.931,15.931,0,
22/02/2017,15.931,15.931,15.931,15.931,0,
23/02/2017,15.931,15.931,15.931,15.931,0,
24/02/2017,15.931,15.931,15.931,15.931,0,
27/02/2017,15.931,15.931,15.931,15.931,0,
28/02/2017,15.931,15.931,15.931,15.931,0,
01/03/2017,15.931,15.931,15.931,15.931,0,
02/03/2017,15.931,15.931,15.931,15.931,0,
03/03/2017,15.931,15.931,15.931,15.931,0,
06/03/2017,15.931,15.931,15.931,15.931,0,
07/03/2017,15.931,15.931,15.931,15.931,0,
08/03/2017,15.931,15.931,15.931,15.931,0,
09/03/2017,15.931,15.931,15.931,15.931,0,
10/03/2017,15.931,15.931,15.931,15.931,0,
13/03/2017,15.931,15.931,15.931,15.931,0,
14/03/2017,15.931,15.931,15.931,15.931,0,
15/03/2017,15.931,15.931,15.931,15.931,0,
16/03/2017,15.931,15.931,15.931,15.931,0,
17/03/2017,15.931,15.931,15.931,15.931,0,
20/03/2017,15.931,15.931,15.931,15.931,0,
21/03/2017,15.931,15.931,15.931,15.931,0,
22/03/2017,15.931,15.931,15.931,15.931,0,
23/03/2017,15.931,15.931,15.931,15.931,0,
24/03/2017,15.931,15.931,15.931,15.931,0,
27/03/2017,15.931,15.931,15.931,15.931,0,
28/03/2017,15.931,15.931,15.931,15.931,0,
29/03/2017,15.931,15.931,15.931,15.931,0,
30/03/2017,15.931,15.931,15.931,15.931,0,
31/03/2017,10.9,10.9,10.9,10.9,300,
03/04/2017,10.9,10.9,10.9,10.9,0,
04/04/2017,10.9,10.9,10.9,10.9,0,
05/04/2017,10.9,10.9,10.9,10.9,0,
07/04/2017,10.9,10.9,10.9,10.9,0,
10/04/2017,10.9,10.9,10.9,10.9,0,
11/04/2017,10.9,10.9,10.9,10.9,0,
12/04/2017,10.9,10.9,10.9,10.9,0,
13/04/2017,10.9,10.9,10.9,10.9,0,
14/04/2017,10.9,10.9,10.9,10.9,0,
17/04/2017,10.9,10.9,10.9,10.9,0,
18/04/2017,10.9,10.9,10.9,10.9,0,
19/04/2017,12.493,12.493,12.493,12.493,726,
20/04/2017,12.493,12.493,12.493,12.493,0,
21/04/2017,14.337,14.337,14.337,14.337,1600,
24/04/2017,14.337,14.337,14.337,14.337,0,
25/04/2017,16.434,16.434,16.434,16.434,100,
26/04/2017,18.866,18.866,18.53,18.53,1400,
27/04/2017,18.782,18.782,18.782,18.782,0,
28/04/2017,21.549,21.549,21.549,21.549,100,
03/05/2017,21.549,21.549,21.549,21.549,0,
04/05/2017,21.549,21.549,21.549,21.549,0,
05/05/2017,21.549,21.549,21.549,21.549,0,
08/05/2017,21.549,21.549,21.549,21.549,0,
09/05/2017,21.549,21.549,21.549,21.549,0,
10/05/2017,21.8,21.8,21.8,21.8,500,
11/05/2017,21.8,21.8,21.8,21.8,39,
12/05/2017,21.8,21.8,21.8,21.8,500,
15/05/2017,21.8,21.8,21.8,21.8,600,
16/05/2017,21.8,21.8,21.8,21.8,0,
17/05/2017,21.8,21.8,21.8,21.8,0,
18/05/2017,21.8,21.8,21.8,21.8,0,
19/05/2017,23.477,23.477,22.639,23.058,1200,
22/05/2017,19.872,19.872,19.788,19.788,200,
23/05/2017,19.872,19.872,19.872,19.872,0,
24/05/2017,22.639,22.639,22.639,22.639,500,
25/05/2017,22.639,22.639,22.639,22.639,0,
26/05/2017,22.639,22.639,22.639,22.639,0,
29/05/2017,22.639,22.639,22.639,22.639,200,
30/05/2017,22.639,22.639,22.639,22.639,0,
31/05/2017,22.639,22.639,22.639,22.639,300,
01/06/2017,22.639,22.639,22.639,22.639,300,
02/06/2017,22.639,22.639,22.639,22.639,0,
05/06/2017,22.639,22.639,22.639,22.639,100,
06/06/2017,22.639,22.639,22.639,22.639,0,
07/06/2017,19.285,19.285,19.285,19.285,300,
08/06/2017,20.962,20.962,20.962,20.962,100,
09/06/2017,20.962,20.962,20.962,20.962,200,
12/06/2017,20.123,21.38,18.698,20.962,3100,
13/06/2017,20.962,20.962,20.962,20.962,200,
14/06/2017,20.962,20.962,20.962,20.962,0,
15/06/2017,21.38,21.38,21.38,21.38,510,
16/06/2017,21.38,21.38,21.38,21.38,800,
19/06/2017,21.38,21.38,21.38,21.38,0,
20/06/2017,20.962,20.962,20.962,20.962,700,
21/06/2017,20.962,20.962,20.962,20.962,0,
22/06/2017,20.962,20.962,20.962,20.962,0,
23/06/2017,20.962,20.962,20.962,20.962,90,
26/06/2017,20.962,20.962,20.962,20.962,2800,
27/06/2017,18.445,18.53,18.445,18.53,1500,
28/06/2017,18.53,18.53,18.53,18.53,200,
29/06/2017,18.53,18.53,18.53,18.53,0,
30/06/2017,20.962,20.962,20.962,20.962,200,
03/07/2017,20.962,20.962,20.962,20.962,2600,
04/07/2017,20.962,20.962,20.962,20.962,6200,
05/07/2017,20.962,21.129,20.962,21.129,5000,
06/07/2017,20.962,20.962,20.962,20.962,0,
07/07/2017,20.962,20.962,20.962,20.962,8400,
10/07/2017,20.962,21.045,20.962,21.045,4703,
11/07/2017,20.962,20.962,20.962,20.962,0,
12/07/2017,20.962,20.962,20.962,20.962,17,
13/07/2017,21.8,21.8,21.8,21.8,300,
14/07/2017,22.639,22.639,21.38,21.38,400,
17/07/2017,23.058,25.153,22.219,23.477,3000,
18/07/2017,23.477,23.477,23.477,23.477,100,
19/07/2017,25.153,25.153,23.477,23.477,683,
20/07/2017,24.315,27.669,24.315,27.669,300,
21/07/2017,25.153,25.153,25.153,25.153,100,
24/07/2017,23.477,23.477,23.058,23.058,1600,
25/07/2017,23.477,23.897,23.477,23.477,1200,
26/07/2017,23.645,23.645,23.645,23.645,0,
27/07/2017,22.639,23.897,22.639,23.897,1921,
28/07/2017,23.477,23.477,23.393,23.393,1500,
31/07/2017,23.477,23.477,23.477,23.477,100,
01/08/2017,23.477,23.477,23.477,23.477,500,
02/08/2017,23.477,23.477,23.477,23.477,0,
03/08/2017,23.477,23.477,23.477,23.477,0,
04/08/2017,23.058,23.058,23.058,23.058,400,
07/08/2017,23.058,23.058,23.058,23.058,0,
08/08/2017,23.058,23.058,23.058,23.058,200,
09/08/2017,23.058,23.058,23.058,23.058,0,
10/08/2017,23.058,23.058,23.058,23.058,0,
11/08/2017,23.897,23.897,23.477,23.477,300,
14/08/2017,21.045,21.045,21.045,21.045,100,
15/08/2017,21.045,21.045,21.045,21.045,0,
16/08/2017,21.045,21.045,21.045,21.045,0,
