transDate,close,high,low,open,volume,event
05/11/2007,38.721,39.947,38.721,39.947,3379950.0,
06/11/2007,36.888,36.888,36.888,36.888,572750.0,
07/11/2007,36.073,37.5,35.056,35.056,2758160.0,
08/11/2007,35.255,36.274,35.056,35.869,1424890.0,
09/11/2007,34.242,34.44,33.834,33.834,2272600.0,
12/11/2007,34.647,34.849,33.83,34.242,1667190.0,
13/11/2007,34.44,34.849,33.834,34.647,2910860.0,
14/11/2007,36.073,36.073,34.44,34.644,2139660.0,
15/11/2007,34.647,35.667,34.647,35.462,1016050.0,
16/11/2007,34.031,34.44,33.83,34.031,855700.0,
19/11/2007,33.623,34.236,33.623,34.031,887740.0,
20/11/2007,32.81,33.017,32.81,32.81,1203340.0,
21/11/2007,32.611,32.611,32.198,32.198,1338580.0,
22/11/2007,32.611,33.217,32.611,32.81,900600.0,
23/11/2007,32.203,32.81,32.203,32.611,588830.0,
26/11/2007,32.203,32.611,32.203,32.203,528680.0,
27/11/2007,32.203,32.611,32.203,32.611,615750.0,
28/11/2007,31.792,32.403,31.792,32.203,667720.0,
29/11/2007,31.384,31.795,31.384,31.795,834760.0,
30/11/2007,31.589,31.589,30.978,30.978,848210.0,
03/12/2007,32.203,32.203,31.996,32.203,630220.0,
04/12/2007,32.403,32.611,32.198,32.403,796420.0,
05/12/2007,31.996,32.403,31.792,32.403,973250.0,
06/12/2007,31.996,31.996,31.792,31.792,456540.0,
07/12/2007,31.792,31.996,31.589,31.792,377460.0,
10/12/2007,30.566,31.384,30.566,30.978,852870.0,
11/12/2007,29.752,30.571,29.139,29.552,1485050.0,
12/12/2007,30.365,30.772,29.752,29.752,581180.0,
13/12/2007,29.958,30.571,29.958,30.365,427130.0,
14/12/2007,29.752,29.958,29.752,29.958,492400.0,
17/12/2007,28.738,29.552,28.738,29.552,384540.0,
18/12/2007,29.752,29.752,28.732,28.939,1043170.0,
19/12/2007,30.978,31.183,30.163,30.372,948480.0,
20/12/2007,29.958,30.978,29.958,30.978,524070.0,
21/12/2007,30.16,30.16,29.958,29.958,425260.0,
24/12/2007,29.958,30.16,29.552,29.752,532460.0,
25/12/2007,29.552,29.752,29.346,29.552,552150.0,
26/12/2007,29.552,29.552,29.346,29.552,537030.0,
27/12/2007,29.552,29.752,29.552,29.552,389360.0,
28/12/2007,30.16,30.16,29.346,29.552,539370.0,
02/01/2008,30.16,30.16,29.958,30.16,700320.0,
03/01/2008,29.552,29.958,29.552,29.752,336450.0,
04/01/2008,29.346,29.752,29.346,29.346,277810.0,
07/01/2008,28.532,29.346,28.532,29.346,650020.0,
08/01/2008,28.939,29.346,28.939,28.939,630360.0,
09/01/2008,28.532,29.144,28.532,28.738,678580.0,
10/01/2008,27.719,28.333,27.513,28.125,789140.0,
11/01/2008,27.92,28.333,27.92,28.125,706860.0,
14/01/2008,27.107,28.125,27.107,28.125,567450.0,
15/01/2008,25.881,26.492,25.881,26.288,1022110.0,
16/01/2008,27.107,27.107,26.7,27.107,1056830.0,
17/01/2008,26.492,27.107,26.086,27.107,830310.0,
18/01/2008,26.9,27.101,26.288,26.492,337570.0,
21/01/2008,26.288,26.694,26.288,26.492,248090.0,
22/01/2008,25.68,25.881,25.474,25.68,482620.0,
23/01/2008,24.66,25.274,24.455,25.274,911760.0,
24/01/2008,24.66,25.274,24.66,25.067,1071270.0,
25/01/2008,24.861,25.274,24.455,24.66,742600.0,
28/01/2008,25.274,25.274,24.66,24.66,678990.0,
29/01/2008,26.492,26.492,25.267,25.474,1132100.0,
30/01/2008,27.719,27.719,27.31,27.719,1473030.0,
31/01/2008,27.513,27.513,26.492,27.31,1554860.0,
01/02/2008,27.92,27.92,27.513,27.719,1169310.0,
12/02/2008,27.31,27.925,27.31,27.925,735250.0,
13/02/2008,26.9,27.307,26.492,27.307,676590.0,
