transDate,close,high,low,open,volume,event
02/12/2016,6.852,6.852,6.852,6.852,0,
05/12/2016,6.852,6.852,6.852,6.852,0,
06/12/2016,6.852,6.852,6.852,6.852,0,
07/12/2016,6.852,6.852,6.852,6.852,0,
08/12/2016,6.852,6.852,6.852,6.852,0,
09/12/2016,6.852,6.852,6.852,6.852,0,
12/12/2016,6.852,6.852,6.852,6.852,0,
13/12/2016,6.852,6.852,6.852,6.852,0,
14/12/2016,6.852,6.852,6.852,6.852,0,
15/12/2016,6.852,6.852,6.852,6.852,0,
16/12/2016,6.852,6.852,6.852,6.852,0,
19/12/2016,6.852,6.852,6.852,6.852,0,
20/12/2016,6.852,6.852,6.852,6.852,0,
21/12/2016,6.852,6.852,6.852,6.852,0,
22/12/2016,6.852,6.852,6.852,6.852,0,
23/12/2016,6.852,6.852,6.852,6.852,0,
26/12/2016,6.852,6.852,6.852,6.852,0,
27/12/2016,6.852,6.852,6.852,6.852,0,
28/12/2016,6.852,6.852,6.852,6.852,0,
29/12/2016,6.852,6.852,6.852,6.852,0,
30/12/2016,6.852,6.852,6.852,6.852,0,
03/01/2017,6.852,6.852,6.852,6.852,0,
04/01/2017,6.852,6.852,6.852,6.852,0,
05/01/2017,6.852,6.852,6.852,6.852,0,
06/01/2017,6.852,6.852,6.852,6.852,0,
09/01/2017,6.852,6.852,6.852,6.852,0,
10/01/2017,6.852,6.852,6.852,6.852,0,
11/01/2017,6.852,6.852,6.852,6.852,0,
12/01/2017,6.852,6.852,6.852,6.852,0,
13/01/2017,6.852,6.852,6.852,6.852,0,
16/01/2017,6.852,6.852,6.852,6.852,0,
17/01/2017,6.852,6.852,6.852,6.852,0,
18/01/2017,6.852,6.852,6.852,6.852,0,
19/01/2017,6.852,6.852,6.852,6.852,0,
20/01/2017,6.852,6.852,6.852,6.852,0,
23/01/2017,6.852,6.852,6.852,6.852,0,
24/01/2017,6.852,6.852,6.852,6.852,0,
25/01/2017,6.852,6.852,6.852,6.852,0,
02/02/2017,6.852,6.852,6.852,6.852,0,
03/02/2017,6.852,6.852,6.852,6.852,0,
06/02/2017,6.852,6.852,6.852,6.852,0,
07/02/2017,6.852,6.852,6.852,6.852,0,
08/02/2017,6.852,6.852,6.852,6.852,0,
09/02/2017,6.852,6.852,6.852,6.852,0,
10/02/2017,6.852,6.852,6.852,6.852,0,
13/02/2017,6.852,6.852,6.852,6.852,0,
14/02/2017,6.852,6.852,6.852,6.852,0,
15/02/2017,6.852,6.852,6.852,6.852,0,
16/02/2017,6.852,6.852,6.852,6.852,0,
17/02/2017,6.852,6.852,6.852,6.852,0,
20/02/2017,6.852,6.852,6.852,6.852,0,
21/02/2017,6.852,6.852,6.852,6.852,0,
22/02/2017,6.852,6.852,6.852,6.852,0,
23/02/2017,6.852,6.852,6.852,6.852,0,
24/02/2017,6.852,6.852,6.852,6.852,0,
27/02/2017,6.852,6.852,6.852,6.852,0,
28/02/2017,6.852,6.852,6.852,6.852,0,
01/03/2017,6.852,6.852,6.852,6.852,0,
02/03/2017,6.852,6.852,6.852,6.852,0,
03/03/2017,6.852,6.852,6.852,6.852,0,
06/03/2017,6.852,6.852,6.852,6.852,0,
07/03/2017,6.852,6.852,6.852,6.852,0,
08/03/2017,6.852,6.852,6.852,6.852,0,
09/03/2017,6.852,6.852,6.852,6.852,0,
10/03/2017,6.852,6.852,6.852,6.852,0,
