transDate,close,high,low,open,volume,event
23/06/2014,6.17,6.17,6.17,6.17,0,
24/06/2014,6.17,6.17,6.17,6.17,0,
25/06/2014,6.17,6.17,6.17,6.17,0,
26/06/2014,6.17,6.17,6.17,6.17,0,
27/06/2014,6.17,6.17,6.17,6.17,0,
30/06/2014,6.17,6.17,6.17,6.17,0,
01/07/2014,6.17,6.17,6.17,6.17,0,
02/07/2014,6.17,6.17,6.17,6.17,0,
03/07/2014,6.17,6.17,6.17,6.17,0,
04/07/2014,6.17,6.17,6.17,6.17,0,
07/07/2014,3.702,3.702,3.702,3.702,1800,
08/07/2014,3.702,3.702,3.702,3.702,0,
09/07/2014,3.702,3.702,3.702,3.702,0,
10/07/2014,3.702,3.702,3.702,3.702,0,
11/07/2014,3.702,3.702,3.702,3.702,0,
14/07/2014,3.702,3.702,3.702,3.702,0,
15/07/2014,3.702,3.702,3.702,3.702,0,
16/07/2014,3.702,3.702,3.702,3.702,0,
17/07/2014,3.702,3.702,3.702,3.702,0,
18/07/2014,3.702,3.702,3.702,3.702,0,
21/07/2014,3.702,3.702,3.702,3.702,0,
22/07/2014,3.702,3.702,3.702,3.702,0,
23/07/2014,3.702,3.702,3.702,3.702,0,
24/07/2014,3.702,3.702,3.702,3.702,0,
25/07/2014,3.702,3.702,3.702,3.702,0,
28/07/2014,3.702,3.702,3.702,3.702,0,
29/07/2014,3.702,3.702,3.702,3.702,0,
30/07/2014,3.702,3.702,3.702,3.702,0,
31/07/2014,3.702,3.702,3.702,3.702,0,
01/08/2014,3.702,3.702,3.702,3.702,0,
04/08/2014,3.702,3.702,3.702,3.702,0,
05/08/2014,3.702,3.702,3.702,3.702,0,
06/08/2014,3.702,3.702,3.702,3.702,0,
07/08/2014,3.702,3.702,3.702,3.702,0,
08/08/2014,3.702,3.702,3.702,3.702,0,
11/08/2014,3.702,3.702,3.702,3.702,0,
12/08/2014,3.702,3.702,3.702,3.702,0,
13/08/2014,3.702,3.702,3.702,3.702,0,
14/08/2014,3.702,3.702,3.702,3.702,0,
15/08/2014,3.702,3.702,3.702,3.702,0,
18/08/2014,3.702,3.702,3.702,3.702,0,
19/08/2014,3.702,3.702,3.702,3.702,0,
20/08/2014,3.702,3.702,3.702,3.702,0,
21/08/2014,3.702,3.702,3.702,3.702,0,
22/08/2014,3.702,3.702,3.702,3.702,0,
25/08/2014,4.114,4.114,4.114,4.114,2800,
26/08/2014,4.114,4.114,4.114,4.114,67,
27/08/2014,4.114,4.114,4.114,4.114,0,
28/08/2014,4.114,4.114,4.114,4.114,0,
29/08/2014,4.114,4.114,4.114,4.114,0,
03/09/2014,4.114,4.114,4.114,4.114,0,
04/09/2014,4.114,4.114,4.114,4.114,0,
05/09/2014,4.114,4.114,4.114,4.114,0,
08/09/2014,4.114,4.114,4.114,4.114,0,
09/09/2014,4.114,4.114,4.114,4.114,0,
10/09/2014,3.857,3.857,3.857,3.857,1911,
11/09/2014,3.857,3.857,3.857,3.857,0,
12/09/2014,3.857,3.857,3.857,3.857,0,
15/09/2014,3.857,3.857,3.857,3.857,0,
16/09/2014,3.652,3.652,3.652,3.652,2000,
17/09/2014,3.652,3.652,3.652,3.652,0,
