transDate,close,high,low,open,volume,event
22/12/2009,53.0,55.15,48.7,48.7,120650,
23/12/2009,51.5,53.68,51.14,53.68,126090,
24/12/2009,53.5,53.5,48.47,49.19,530570,
25/12/2009,55.0,55.36,54.64,55.36,206240,
28/12/2009,57.5,57.5,52.5,52.86,526900,
29/12/2009,57.5,58.21,56.79,58.21,142870,
30/12/2009,58.0,58.71,58.0,58.71,129990,
31/12/2009,57.5,58.56,57.5,58.21,226540,
04/01/2010,58.5,59.57,57.79,59.21,183180,
05/01/2010,61.0,61.0,58.16,58.52,297110,
06/01/2010,63.5,63.5,60.68,62.09,138880,
07/01/2010,66.0,66.71,65.65,66.35,168470,
08/01/2010,65.0,67.46,63.95,67.46,351040,
11/01/2010,67.5,67.86,66.42,67.5,368300,DIVIDEND
12/01/2010,65.0,70.08,65.0,70.08,94270,
13/01/2010,67.5,67.5,63.53,63.53,256110,
14/01/2010,68.5,68.86,67.42,68.86,53800,
15/01/2010,66.0,69.26,66.0,69.26,32320,
18/01/2010,66.0,66.73,65.27,66.0,129280,
19/01/2010,67.0,67.0,64.12,65.56,53270,
20/01/2010,66.5,66.5,64.69,65.78,112420,
21/01/2010,65.0,65.0,63.56,63.56,24610,
22/01/2010,66.0,66.0,64.55,64.91,120600,
25/01/2010,66.5,66.5,65.78,65.78,105090,
26/01/2010,67.0,67.0,66.28,66.28,85200,
27/01/2010,67.0,67.0,64.84,65.56,55920,
28/01/2010,64.5,67.4,64.5,67.4,11500,
29/01/2010,66.0,66.0,64.2,64.2,37030,
01/02/2010,66.5,67.22,65.78,67.22,24760,
02/02/2010,66.5,66.5,65.05,65.42,22900,
03/02/2010,66.0,66.36,65.64,66.36,16470,
04/02/2010,63.0,65.55,63.0,65.55,38520,
05/02/2010,62.5,64.32,61.77,64.32,42210,
08/02/2010,61.5,64.41,61.5,62.59,5240,
09/02/2010,63.0,64.09,62.64,63.36,50960,
10/02/2010,65.5,65.5,65.14,65.14,34650,
11/02/2010,68.0,68.0,68.0,68.0,74830,
12/02/2010,68.5,68.5,65.98,65.98,41340,
22/02/2010,68.5,68.5,67.78,68.5,11300,
23/02/2010,65.5,68.4,65.5,65.86,37280,
24/02/2010,67.5,67.5,66.06,66.42,61230,
25/02/2010,68.5,68.86,67.78,68.5,124230,
26/02/2010,69.0,69.0,67.56,68.28,188060,
01/03/2010,69.5,69.5,68.78,68.78,164980,
02/03/2010,72.5,72.5,71.42,71.42,170530,
03/03/2010,75.5,75.5,74.79,74.79,112190,
04/03/2010,77.0,79.14,76.29,79.14,244300,
05/03/2010,77.0,79.14,76.29,79.14,71800,
08/03/2010,79.5,80.21,78.08,78.08,17910,
09/03/2010,80.5,80.5,79.09,79.79,140720,
10/03/2010,82.5,82.5,78.27,81.09,78500,
11/03/2010,82.5,83.21,81.79,83.21,47500,
12/03/2010,82.5,83.21,82.5,83.21,13760,
15/03/2010,81.5,82.21,81.5,82.21,39240,
16/03/2010,84.0,84.71,78.35,78.35,293490,
17/03/2010,84.5,85.91,83.09,85.91,180520,
18/03/2010,85.0,85.7,84.3,85.7,31250,
19/03/2010,84.5,85.2,84.5,85.2,9050,
22/03/2010,87.5,87.5,84.7,86.1,63050,
23/03/2010,87.5,88.2,86.8,88.2,20400,
24/03/2010,89.5,90.9,87.4,90.9,52740,
25/03/2010,89.5,92.3,87.4,92.3,51270,
26/03/2010,89.5,89.5,86.7,88.8,18300,
29/03/2010,93.5,93.5,89.31,89.31,63570,
30/03/2010,93.5,97.69,91.41,97.69,41000,
31/03/2010,97.5,97.5,92.63,95.41,49840,
01/04/2010,96.0,96.0,92.52,93.91,60730,
02/04/2010,97.0,97.7,96.3,96.3,29300,
05/04/2010,97.5,97.5,96.11,96.8,40250,
06/04/2010,97.5,97.5,92.63,94.02,30110,
07/04/2010,97.5,97.5,93.32,97.5,101050,
08/04/2010,97.0,98.4,97.0,97.7,13810,
09/04/2010,97.0,97.0,94.91,94.91,17330,
12/04/2010,97.0,97.0,97.0,97.0,17280,
13/04/2010,97.5,100.98,96.11,96.8,318850,
