transDate,close,high,low,open,volume,event
02/11/2010,7.677,7.677,7.677,7.677,100,
03/11/2010,7.677,7.677,7.677,7.677,0,
04/11/2010,7.677,7.677,7.677,7.677,0,
05/11/2010,7.677,7.677,7.677,7.677,0,
08/11/2010,7.677,7.677,7.677,7.677,0,
09/11/2010,7.677,7.677,7.677,7.677,0,
10/11/2010,7.677,7.677,7.677,7.677,0,
11/11/2010,7.677,7.677,7.677,7.677,0,
12/11/2010,7.677,7.677,7.677,7.677,0,
15/11/2010,7.677,7.677,7.677,7.677,0,
16/11/2010,7.677,7.677,7.677,7.677,0,
17/11/2010,7.677,7.677,7.677,7.677,0,
18/11/2010,7.677,7.677,7.677,7.677,0,
19/11/2010,10.392,10.392,10.392,10.392,2000,
22/11/2010,7.677,7.677,7.677,7.677,0,
23/11/2010,10.392,10.392,10.392,10.392,0,
24/11/2010,10.392,10.392,10.392,10.392,0,
25/11/2010,10.392,10.392,10.392,10.392,0,
26/11/2010,7.677,7.677,7.677,7.677,0,
29/11/2010,7.677,7.677,7.677,7.677,0,
30/11/2010,7.677,7.677,7.677,7.677,0,
01/12/2010,7.677,7.677,7.677,7.677,0,
02/12/2010,7.677,7.677,7.677,7.677,100,
03/12/2010,6.93,6.93,6.93,6.93,0,
06/12/2010,6.93,6.93,6.93,6.93,0,
07/12/2010,6.93,6.93,6.93,6.93,0,
08/12/2010,6.93,6.93,6.93,6.93,0,
09/12/2010,6.93,6.93,6.93,6.93,0,
10/12/2010,6.93,6.93,6.93,6.93,0,
13/12/2010,6.93,6.93,6.93,6.93,0,
14/12/2010,6.93,6.93,6.93,6.93,0,
15/12/2010,9.378,9.378,9.378,9.378,0,
16/12/2010,6.93,6.93,6.93,6.93,0,
17/12/2010,9.378,9.378,9.378,9.378,0,
20/12/2010,6.93,6.93,6.93,6.93,0,
21/12/2010,9.378,9.378,9.378,9.378,0,
22/12/2010,9.378,9.378,9.378,9.378,0,
23/12/2010,9.378,9.378,9.378,9.378,0,
24/12/2010,9.378,9.378,9.378,9.378,0,
27/12/2010,9.378,9.378,9.378,9.378,0,
28/12/2010,9.378,9.378,9.378,9.378,0,
29/12/2010,6.93,6.93,6.93,6.93,0,
30/12/2010,6.296,6.296,6.296,6.296,100,
31/12/2010,5.693,5.693,5.693,5.693,100,
04/01/2011,5.693,5.693,5.693,5.693,0,
05/01/2011,5.693,5.693,5.693,5.693,0,
06/01/2011,5.693,5.693,5.693,5.693,0,
07/01/2011,5.693,5.693,5.693,5.693,0,
10/01/2011,5.693,5.693,5.693,5.693,0,
11/01/2011,5.693,5.693,5.693,5.693,0,
12/01/2011,5.693,5.693,5.693,5.693,0,
13/01/2011,5.693,5.693,5.693,5.693,0,
14/01/2011,5.693,5.693,5.693,5.693,0,
17/01/2011,5.693,5.693,5.693,5.693,0,
18/01/2011,5.693,5.693,5.693,5.693,0,
19/01/2011,5.693,5.693,5.693,5.693,0,
20/01/2011,5.693,5.693,5.693,5.693,0,
21/01/2011,5.693,5.693,5.693,5.693,0,
24/01/2011,5.693,5.693,5.693,5.693,0,
25/01/2011,5.693,5.693,5.693,5.693,0,
26/01/2011,5.693,5.693,5.693,5.693,0,
