transDate,close,high,low,open,volume,event
26/12/2005,2.388,2.388,2.388,2.388,1000,
28/12/2005,2.388,2.388,2.388,2.388,0,
30/12/2005,2.388,2.388,2.388,2.388,0,
04/01/2006,2.388,2.388,2.388,2.388,0,
06/01/2006,2.388,2.388,2.388,2.388,0,
09/01/2006,2.388,2.388,2.388,2.388,0,
11/01/2006,2.388,2.388,2.388,2.388,400,
13/01/2006,2.388,2.388,2.388,2.388,0,
16/01/2006,2.388,2.388,2.388,2.388,0,
18/01/2006,2.388,2.388,2.388,2.388,0,
20/01/2006,2.388,2.388,2.388,2.388,0,
23/01/2006,2.388,2.388,2.388,2.388,0,
25/01/2006,2.388,2.388,2.388,2.388,0,
27/01/2006,2.388,2.388,2.388,2.388,0,
06/02/2006,2.194,2.194,2.194,2.194,1000,
08/02/2006,2.194,2.194,2.194,2.194,0,
10/02/2006,2.26,2.26,2.26,2.26,2000,
13/02/2006,2.194,2.194,2.194,2.194,1000,
15/02/2006,2.194,2.194,2.194,2.194,0,
17/02/2006,2.194,2.194,2.194,2.194,0,
20/02/2006,2.194,2.194,2.194,2.194,0,
22/02/2006,2.194,2.194,2.194,2.194,0,
24/02/2006,2.194,2.194,2.194,2.194,1000,
27/02/2006,2.26,2.26,2.26,2.26,200,
01/03/2006,2.26,2.26,2.26,2.26,300,
03/03/2006,2.285,2.285,2.285,2.285,3700,
06/03/2006,1.297,1.297,1.297,1.297,0,
08/03/2006,1.394,1.394,1.394,1.394,100,
10/03/2006,1.32,1.32,1.32,1.32,100,
13/03/2006,1.32,1.32,1.32,1.32,0,
15/03/2006,1.34,1.348,1.327,1.327,2500,DIVIDEND
17/03/2006,1.439,1.439,1.439,1.439,0,
20/03/2006,1.582,1.582,1.582,1.582,1800,
22/03/2006,1.661,1.684,1.605,1.605,1800,
24/03/2006,1.646,1.661,1.582,1.582,11400,
27/03/2006,1.679,1.687,1.668,1.668,2500,
29/03/2006,1.781,1.804,1.764,1.764,15600,
31/03/2006,1.899,1.98,1.834,1.834,5700,
01/04/2006,2.388,2.388,2.388,2.388,0,
03/04/2006,2.034,2.034,2.034,2.034,1100,
05/04/2006,2.232,2.232,2.216,2.216,6000,
07/04/2006,2.374,2.406,2.326,2.326,2800,
10/04/2006,2.295,2.339,2.188,2.188,2700,
12/04/2006,2.263,2.278,2.239,2.239,3100,
14/04/2006,2.216,2.216,2.184,2.184,3400,
17/04/2006,2.334,2.466,2.219,2.219,15500,
19/04/2006,3.743,3.873,3.692,3.743,9000,
21/04/2006,2.413,2.454,2.374,2.374,6100,
24/04/2006,2.492,2.548,2.469,2.469,7800,
26/04/2006,2.721,2.821,2.543,2.543,16400,
28/04/2006,2.573,2.693,2.541,2.541,6500,
03/05/2006,2.604,2.62,2.579,2.579,4000,
05/05/2006,2.612,2.635,2.579,2.579,8800,
08/05/2006,2.627,2.828,2.573,2.573,8400,
10/05/2006,2.42,2.438,2.406,2.406,4500,
12/05/2006,2.533,2.563,2.479,2.479,2500,
15/05/2006,2.627,2.658,2.604,2.604,13600,
17/05/2006,2.533,2.579,2.486,2.486,7000,
19/05/2006,2.374,2.398,2.319,2.319,2400,
22/05/2006,2.311,2.334,2.288,2.288,400,
24/05/2006,2.35,2.561,2.237,2.237,6300,
26/05/2006,2.176,2.255,2.138,2.138,7600,
29/05/2006,2.059,2.132,1.975,1.975,13800,
31/05/2006,2.097,2.13,2.082,2.082,3200,
01/06/2006,2.112,2.145,2.041,2.041,300,
02/06/2006,2.153,2.186,2.112,2.112,2800,
05/06/2006,2.216,2.257,2.168,2.168,2100,
06/06/2006,2.374,2.398,2.341,2.341,10000,
07/06/2006,2.39,2.398,2.367,2.367,14600,
08/06/2006,2.39,2.39,2.39,2.39,4600,
09/06/2006,2.406,2.446,2.382,2.382,4400,
12/06/2006,2.398,2.438,2.382,2.382,2200,
13/06/2006,2.413,2.413,2.413,2.413,5000,
14/06/2006,2.413,2.413,2.413,2.413,2200,
15/06/2006,2.413,2.413,2.413,2.413,0,
16/06/2006,2.413,2.413,2.413,2.413,8200,
19/06/2006,2.413,2.42,2.406,2.406,6000,
20/06/2006,2.374,2.382,2.341,2.341,700,
21/06/2006,2.216,2.216,2.216,2.216,100,
22/06/2006,2.295,2.295,2.295,2.295,2900,
23/06/2006,2.311,2.311,2.311,2.311,1800,
26/06/2006,2.311,2.311,2.311,2.311,0,
27/06/2006,2.303,2.303,2.303,2.303,100,
28/06/2006,2.303,2.303,2.303,2.303,1000,
29/06/2006,2.303,2.303,2.303,2.303,0,
30/06/2006,2.303,2.303,2.303,2.303,400,
03/07/2006,2.303,2.395,2.211,2.211,2000,
04/07/2006,2.303,2.303,2.303,2.303,1000,
05/07/2006,2.295,2.295,2.295,2.295,3000,
06/07/2006,2.295,2.295,2.295,2.295,0,
07/07/2006,2.295,2.295,2.295,2.295,500,
10/07/2006,2.295,2.295,2.295,2.295,300,
11/07/2006,2.295,2.295,2.295,2.295,0,
12/07/2006,2.295,2.295,2.295,2.295,1000,
13/07/2006,2.28,2.288,2.273,2.273,1400,
14/07/2006,3.717,3.73,3.705,3.73,1600,
17/07/2006,2.199,2.229,2.168,2.168,2100,
18/07/2006,2.216,2.216,2.216,2.216,5100,
19/07/2006,1.995,2.038,1.847,1.847,900,
20/07/2006,2.191,2.191,2.184,2.184,2100,
21/07/2006,2.184,2.191,2.184,2.184,3000,
24/07/2006,2.059,2.072,1.952,1.952,5400,
25/07/2006,2.16,2.176,2.138,2.138,2600,
26/07/2006,2.16,2.16,2.16,2.16,0,
27/07/2006,2.16,2.16,2.16,2.16,0,
28/07/2006,2.143,2.143,2.143,2.143,1000,
31/07/2006,2.143,2.143,2.143,2.143,0,
01/08/2006,2.041,2.104,2.01,2.01,600,
02/08/2006,2.074,2.074,2.074,2.074,200,
03/08/2006,2.097,2.112,2.09,2.09,900,
04/08/2006,2.082,2.082,2.082,2.082,0,
07/08/2006,2.059,2.059,2.059,2.059,400,
08/08/2006,2.059,2.059,2.059,2.059,0,
09/08/2006,2.059,2.059,2.059,2.059,0,
10/08/2006,2.059,2.059,2.059,2.059,0,
11/08/2006,2.059,2.059,2.059,2.059,0,
14/08/2006,2.263,2.303,2.207,2.207,900,
15/08/2006,2.176,2.176,2.176,2.176,700,
16/08/2006,2.12,2.145,2.09,2.09,3100,
17/08/2006,2.176,2.209,2.168,2.168,4800,
18/08/2006,2.143,2.143,2.143,2.143,0,
21/08/2006,2.128,2.128,2.12,2.12,5100,
22/08/2006,2.12,2.12,2.12,2.12,1000,
23/08/2006,2.135,2.135,2.097,2.097,11600,
24/08/2006,2.135,2.135,2.135,2.135,0,
25/08/2006,2.135,2.135,2.135,2.135,200,
28/08/2006,2.135,2.135,2.135,2.135,0,
29/08/2006,2.135,2.153,2.12,2.12,2600,
30/08/2006,2.135,2.135,2.135,2.135,1400,
31/08/2006,2.135,2.135,2.135,2.135,0,
01/09/2006,2.135,2.135,2.135,2.135,1500,
05/09/2006,2.224,2.239,2.191,2.191,4000,
06/09/2006,2.143,2.199,2.12,2.12,6000,
07/09/2006,2.135,2.168,2.128,2.128,600,
08/09/2006,2.135,2.135,2.135,2.135,500,
11/09/2006,2.135,2.143,2.128,2.128,3200,
12/09/2006,2.143,2.143,2.143,2.143,0,
13/09/2006,2.16,2.168,2.153,2.153,800,
14/09/2006,2.135,2.145,2.135,2.135,4500,
15/09/2006,2.135,2.145,2.135,2.135,400,
18/09/2006,2.135,2.135,2.135,2.135,100,
19/09/2006,2.135,2.135,2.135,2.135,200,
20/09/2006,2.135,2.135,2.135,2.135,1400,
21/09/2006,2.135,2.135,2.135,2.135,700,
22/09/2006,2.153,2.153,2.13,2.13,2200,
25/09/2006,2.153,2.16,2.153,2.153,7000,
26/09/2006,2.135,2.135,2.135,2.135,3600,
27/09/2006,2.135,2.135,2.135,2.135,5500,
28/09/2006,2.135,2.135,2.135,2.135,3500,
29/09/2006,2.16,2.16,2.138,2.138,3000,
02/10/2006,2.153,2.16,2.153,2.153,2500,
03/10/2006,2.153,2.153,2.153,2.153,2100,
04/10/2006,2.153,2.153,2.153,2.153,1100,
05/10/2006,2.143,2.16,2.128,2.128,2700,
06/10/2006,2.191,2.199,2.184,2.184,9700,
09/10/2006,2.334,2.382,2.285,2.285,5500,
10/10/2006,2.454,2.51,2.382,2.382,19600,
11/10/2006,2.454,2.454,2.413,2.413,14800,
12/10/2006,2.372,2.41,2.293,2.293,3000,DIVIDEND
13/10/2006,2.372,2.436,2.313,2.313,5300,
16/10/2006,2.176,2.176,2.176,2.176,100,
17/10/2006,2.207,2.232,2.15,2.15,300,
18/10/2006,2.247,2.513,2.066,2.066,900,
19/10/2006,2.413,2.413,2.406,2.406,1400,
20/10/2006,2.413,2.413,2.413,2.413,500,
23/10/2006,2.372,2.372,2.372,2.372,100,
24/10/2006,2.372,2.372,2.372,2.372,2000,
25/10/2006,2.372,2.372,2.372,2.372,2000,
26/10/2006,2.42,2.428,2.38,2.38,3800,
27/10/2006,2.428,2.438,2.406,2.406,2200,
30/10/2006,2.436,2.436,2.428,2.428,1100,
