transDate,close,high,low,open,volume,event
21/12/2006,5.079,5.919,4.875,5.919,16200,
22/12/2006,4.314,4.628,4.036,4.628,4500,
25/12/2006,4.314,4.314,4.157,4.157,8400,
26/12/2006,4.127,4.192,4.005,4.192,1200,
27/12/2006,4.218,4.44,4.218,4.44,4800,
28/12/2006,4.131,4.147,4.086,4.086,6000,
29/12/2006,4.44,4.583,4.218,4.583,8700,
02/01/2007,4.188,4.44,4.061,4.304,12200,
03/01/2007,4.248,4.289,4.163,4.213,13700,
04/01/2007,4.314,4.314,4.232,4.265,1500,
05/01/2007,4.44,4.492,4.335,4.335,7900,
08/01/2007,4.497,4.541,4.435,4.497,7300,
09/01/2007,4.44,4.506,4.03,4.39,18800,
10/01/2007,4.431,4.44,4.345,4.39,20600,
11/01/2007,4.471,4.516,4.314,4.395,16400,
12/01/2007,4.44,4.76,4.374,4.421,11200,
15/01/2007,4.374,4.44,4.365,4.385,22600,
16/01/2007,4.567,4.567,4.44,4.44,27600,
17/01/2007,4.755,4.921,4.628,4.628,25200,
18/01/2007,5.337,5.337,5.337,5.337,17200,
19/01/2007,5.868,5.868,5.868,5.868,5200,
22/01/2007,6.375,6.45,5.839,5.868,23600,
23/01/2007,6.482,6.978,6.395,6.395,21800,
24/01/2007,6.278,6.598,6.152,6.254,11300,
25/01/2007,5.706,6.056,5.631,5.904,7400,
26/01/2007,5.899,6.026,5.392,5.676,11600,
29/01/2007,6.243,6.243,5.899,5.899,10900,
30/01/2007,6.723,6.785,6.345,6.345,10300,
31/01/2007,7.423,7.423,6.978,6.978,16800,
01/02/2007,7.423,7.782,7.423,7.423,11200,
02/02/2007,7.423,7.742,7.296,7.448,11300,
05/02/2007,7.073,7.423,6.978,7.311,4000,
06/02/2007,6.978,7.296,6.978,7.023,4200,
07/02/2007,7.023,7.722,6.963,6.989,9600,
08/02/2007,6.293,7.044,6.289,6.4,20000,
09/02/2007,6.345,6.4,5.768,6.177,9800,
12/02/2007,6.795,6.795,6.345,6.345,11300,
13/02/2007,6.978,6.978,6.785,6.785,27600,
14/02/2007,7.108,7.488,6.917,6.917,16600,
15/02/2007,7.296,7.296,7.023,7.023,10900,
26/02/2007,7.789,7.863,7.361,7.361,21600,
27/02/2007,8.345,8.345,7.929,7.929,34000,
28/02/2007,8.563,9.14,8.436,8.436,37600,
01/03/2007,8.563,9.007,8.249,8.648,17000,
02/03/2007,8.471,8.754,8.258,8.431,18100,
05/03/2007,8.501,8.566,8.249,8.354,15600,
06/03/2007,8.627,8.821,8.375,8.375,14700,
