transDate,close,high,low,open,volume,event
24/07/2012,5.909,6.154,5.909,5.909,239650,
25/07/2012,5.631,5.631,5.631,5.631,10970,
26/07/2012,5.385,5.631,5.355,5.631,159640,
27/07/2012,5.17,5.478,5.17,5.478,120970,
30/07/2012,5.416,5.416,5.14,5.17,172060,
31/07/2012,5.448,5.662,5.385,5.662,339380,
01/08/2012,5.478,5.57,5.355,5.448,39910,
02/08/2012,5.416,5.54,5.416,5.54,26710,
03/08/2012,5.54,5.54,5.416,5.478,24420,
06/08/2012,5.54,5.662,5.478,5.601,124650,
07/08/2012,5.385,5.57,5.385,5.54,125880,
08/08/2012,5.416,5.509,5.355,5.509,27100,
09/08/2012,5.478,5.478,5.325,5.325,68540,
10/08/2012,5.416,5.478,5.385,5.478,101720,
13/08/2012,5.662,5.662,5.478,5.478,435250,
14/08/2012,5.939,5.939,5.694,5.694,311940,
15/08/2012,5.847,6.124,5.787,6.124,82540,
16/08/2012,5.847,6.002,5.816,5.847,64250,
17/08/2012,6.124,6.124,5.847,5.847,310560,
20/08/2012,6.402,6.402,6.187,6.187,358040,
21/08/2012,6.093,6.402,6.093,6.093,444030,
22/08/2012,5.816,6.063,5.816,5.816,453090,
23/08/2012,5.54,5.57,5.54,5.57,99190,
24/08/2012,5.478,5.787,5.263,5.263,503710,
27/08/2012,5.231,5.385,5.231,5.385,138630,
28/08/2012,5.355,5.355,5.016,5.17,116180,
29/08/2012,5.601,5.601,5.509,5.509,139960,
30/08/2012,5.57,5.816,5.57,5.601,221560,
31/08/2012,5.54,5.662,5.478,5.662,89890,
04/09/2012,5.631,5.725,5.601,5.631,27370,
05/09/2012,5.448,5.694,5.448,5.662,91220,
06/09/2012,5.385,5.478,5.293,5.293,55650,
07/09/2012,5.385,5.416,5.293,5.385,90780,
10/09/2012,5.14,5.385,5.14,5.385,251110,
11/09/2012,5.293,5.293,5.14,5.17,35290,
12/09/2012,5.293,5.385,5.293,5.293,27320,
13/09/2012,5.355,5.385,5.263,5.325,26650,
14/09/2012,5.601,5.601,5.385,5.448,191670,
17/09/2012,5.478,5.662,5.478,5.662,42850,
18/09/2012,5.54,5.54,5.293,5.478,78310,
19/09/2012,5.325,5.509,5.325,5.509,34090,
20/09/2012,5.231,5.325,5.078,5.325,314440,
21/09/2012,5.263,5.355,5.2,5.355,19660,
24/09/2012,5.17,5.231,5.14,5.231,19960,
25/09/2012,5.14,5.2,5.078,5.109,28310,
26/09/2012,5.078,5.2,5.078,5.17,29670,
27/09/2012,5.17,5.17,5.048,5.078,80410,
28/09/2012,5.2,5.231,5.14,5.2,20390,
01/10/2012,5.14,5.231,5.016,5.231,43920,
02/10/2012,5.109,5.109,5.048,5.048,20030,
03/10/2012,5.109,5.17,5.078,5.078,17490,
04/10/2012,5.109,5.263,5.016,5.016,9920,
05/10/2012,5.048,5.17,5.048,5.078,28910,
08/10/2012,5.109,5.17,5.078,5.109,18280,
09/10/2012,5.109,5.17,5.078,5.17,63960,
10/10/2012,5.109,5.231,5.109,5.109,62540,
11/10/2012,5.231,5.355,5.17,5.231,57260,
12/10/2012,5.293,5.293,5.2,5.293,17070,
15/10/2012,5.231,5.263,5.109,5.231,41930,
16/10/2012,5.263,5.448,5.263,5.263,23040,
17/10/2012,5.17,5.325,5.17,5.325,31900,
18/10/2012,5.2,5.293,5.17,5.293,82820,
19/10/2012,5.231,5.231,5.078,5.17,43530,
22/10/2012,5.17,5.17,5.078,5.078,4670,
23/10/2012,5.231,5.231,5.109,5.17,9560,
24/10/2012,5.231,5.231,5.109,5.231,13980,
25/10/2012,5.109,5.14,5.078,5.14,25020,
26/10/2012,5.109,5.17,5.016,5.016,40160,
29/10/2012,5.078,5.17,5.078,5.17,22730,
30/10/2012,5.325,5.325,5.078,5.078,49980,
31/10/2012,5.448,5.57,5.385,5.478,153410,
01/11/2012,5.293,5.448,5.263,5.325,80670,
02/11/2012,5.048,5.109,5.048,5.048,303440,
