transDate,close,high,low,open,volume,event
26/07/2013,4.251,4.321,3.772,3.805,1223000.0,
29/07/2013,4.423,4.527,3.805,4.286,846600.0,
30/07/2013,4.595,4.766,4.389,4.423,1243300.0,
31/07/2013,4.492,4.834,4.183,4.595,1590100.0,
01/08/2013,4.321,4.561,4.217,4.492,665900.0,
02/08/2013,4.492,4.527,3.943,4.286,555000.0,
05/08/2013,4.354,4.492,4.08,4.458,666200.0,
06/08/2013,4.354,4.423,4.286,4.389,697900.0,
07/08/2013,4.766,4.766,4.389,4.423,906200.0,
08/08/2013,4.834,4.972,4.664,4.766,1285500.0,
09/08/2013,4.869,5.177,4.8,4.938,1208700.0,
12/08/2013,4.938,4.938,4.732,4.869,1225800.0,
13/08/2013,5.143,5.246,4.972,4.972,1451900.0,
14/08/2013,5.349,5.349,5.006,5.143,1474200.0,
15/08/2013,5.452,5.659,5.315,5.487,1436700.0,
16/08/2013,5.521,5.625,5.315,5.417,1018500.0,
19/08/2013,5.863,5.932,5.521,5.589,1743300.0,
20/08/2013,5.521,6.0,5.452,5.932,1277000.0,
21/08/2013,5.555,5.555,5.315,5.452,837700.0,
22/08/2013,5.452,5.555,5.383,5.555,731600.0,
23/08/2013,5.315,5.521,5.246,5.417,641300.0,
26/08/2013,5.487,5.487,5.246,5.28,647200.0,
27/08/2013,5.383,5.487,5.383,5.487,464600.0,
28/08/2013,5.28,5.383,5.143,5.383,624600.0,
29/08/2013,5.28,5.349,5.143,5.28,690000.0,
30/08/2013,5.28,5.28,5.177,5.28,418100.0,
03/09/2013,5.28,5.315,5.213,5.28,449300.0,
04/09/2013,5.383,5.383,5.246,5.28,604700.0,
05/09/2013,5.487,5.555,5.417,5.417,817200.0,
06/09/2013,5.383,5.521,5.383,5.487,779300.0,
09/09/2013,5.28,5.383,5.246,5.349,511000.0,
10/09/2013,5.349,5.349,5.28,5.28,416900.0,
11/09/2013,5.28,5.383,5.28,5.315,518600.0,
12/09/2013,5.315,5.349,5.246,5.246,401800.0,
13/09/2013,5.28,5.417,5.246,5.315,403400.0,
16/09/2013,5.28,5.383,5.246,5.28,555800.0,
17/09/2013,5.452,5.487,5.246,5.28,707200.0,
18/09/2013,5.417,5.487,5.383,5.452,649200.0,
19/09/2013,5.562,5.562,5.454,5.454,758300.0,DIVIDEND
20/09/2013,5.671,5.671,5.454,5.526,850100.0,
23/09/2013,5.779,5.888,5.671,5.671,1299100.0,
24/09/2013,6.356,6.356,5.815,5.851,1865400.0,
25/09/2013,6.031,6.465,5.996,6.465,1322900.0,
