transDate,close,high,low,open,volume,event
07/12/2006,8.728,8.728,8.728,8.728,108700,
08/12/2006,9.127,9.127,9.127,9.127,10000,
11/12/2006,9.523,9.523,9.127,9.127,22500,
12/12/2006,9.986,9.986,9.986,9.986,19900,
13/12/2006,10.449,10.449,9.986,9.986,5100,
14/12/2006,10.911,10.911,10.911,10.911,43900,
15/12/2006,11.44,11.44,11.44,11.44,70000,
18/12/2006,11.506,11.506,11.44,11.44,144260,
19/12/2006,11.637,11.77,11.637,11.637,144320,
20/12/2006,11.637,11.77,11.506,11.506,208330,
21/12/2006,11.637,11.77,11.637,11.637,273590,
22/12/2006,11.109,11.175,11.109,11.175,27650,
25/12/2006,11.309,11.309,10.581,11.112,148840,
26/12/2006,11.836,11.836,11.77,11.77,65520,
27/12/2006,12.365,12.365,12.365,12.365,44800,
28/12/2006,12.3,12.365,12.3,12.365,28560,
29/12/2006,11.706,11.77,11.706,11.77,25010,
02/01/2007,11.175,11.175,11.175,11.175,25050,
03/01/2007,11.373,11.373,11.175,11.175,11440,
04/01/2007,11.903,11.903,11.903,11.903,19950,
05/01/2007,12.499,12.499,12.499,12.499,56000,
08/01/2007,12.695,13.092,12.695,12.695,111830,
09/01/2007,13.225,13.225,12.565,12.698,142010,
10/01/2007,12.695,13.225,12.695,13.225,29740,
11/01/2007,12.959,13.092,12.959,12.959,61250,
12/01/2007,12.959,12.959,12.695,12.959,110120,
15/01/2007,12.959,13.225,12.695,12.959,44400,
16/01/2007,12.43,12.959,12.43,12.959,64210,
17/01/2007,11.836,12.433,11.836,12.433,30030,
18/01/2007,11.836,11.836,11.373,11.836,48220,
19/01/2007,11.971,11.971,11.903,11.903,51020,
22/01/2007,11.637,11.968,11.637,11.968,27080,
23/01/2007,11.572,11.637,11.373,11.637,38890,
24/01/2007,11.506,11.572,11.373,11.572,41000,
25/01/2007,10.98,10.98,10.98,10.98,21410,
26/01/2007,11.506,11.506,11.506,11.506,1700,
29/01/2007,11.572,11.77,11.506,11.506,23240,
30/01/2007,11.77,11.77,11.64,11.64,15720,
31/01/2007,12.3,12.3,12.3,12.3,40970,
01/02/2007,11.903,12.43,11.77,12.3,19700,
02/02/2007,11.836,11.836,11.836,11.836,6890,
05/02/2007,11.506,11.838,11.506,11.838,7150,
06/02/2007,11.506,11.506,11.373,11.506,26310,
07/02/2007,11.77,12.035,11.77,11.77,27160,
08/02/2007,11.637,11.77,11.506,11.77,18400,
09/02/2007,11.506,11.506,11.506,11.506,12210,
12/02/2007,11.77,12.035,11.77,11.77,21260,
13/02/2007,11.971,12.035,11.903,11.903,17320,
14/02/2007,11.903,11.903,11.903,11.903,11880,
15/02/2007,12.035,12.035,11.903,11.903,17080,
26/02/2007,12.631,12.631,12.561,12.561,29190,
27/02/2007,13.225,13.225,13.225,13.225,49800,
28/02/2007,12.695,12.896,12.695,12.896,11170,
01/03/2007,12.101,12.168,12.101,12.168,16470,
02/03/2007,12.695,12.695,12.561,12.561,50410,
05/03/2007,13.092,13.225,13.092,13.092,53680,
06/03/2007,13.225,13.622,13.225,13.225,73120,
07/03/2007,13.887,13.887,13.489,13.489,71000,
08/03/2007,14.547,14.547,14.547,14.547,59360,
09/03/2007,15.21,15.21,15.21,15.21,105270,
12/03/2007,14.547,15.872,14.547,15.21,76490,
13/03/2007,13.622,13.887,13.622,13.887,15070,
14/03/2007,12.959,12.959,12.959,12.959,24420,
15/03/2007,12.365,12.433,12.365,12.433,27430,
16/03/2007,12.896,12.896,11.77,12.365,24270,
19/03/2007,12.828,12.959,12.763,12.896,30430,
20/03/2007,12.43,12.828,12.234,12.828,10900,
21/03/2007,12.168,12.298,12.035,12.298,20760,
22/03/2007,12.035,12.035,11.77,12.035,19990,
23/03/2007,12.035,12.035,11.903,12.035,23490,
26/03/2007,11.572,11.572,11.506,11.572,19320,
27/03/2007,11.043,11.043,11.043,11.043,16410,
28/03/2007,10.513,10.513,10.513,10.513,19580,
29/03/2007,10.98,10.98,10.515,10.515,1650,
30/03/2007,11.506,11.506,11.506,11.506,66020,
02/04/2007,10.98,11.506,10.98,10.98,21610,
03/04/2007,10.581,10.847,10.581,10.581,13190,
04/04/2007,11.109,11.109,10.581,10.581,8590,
05/04/2007,11.109,11.373,11.109,11.109,16080,
06/04/2007,10.713,10.98,10.713,10.713,11430,
09/04/2007,10.847,10.847,10.777,10.777,11050,
10/04/2007,10.847,10.847,10.713,10.847,6840,
11/04/2007,10.581,10.581,10.581,10.581,2750,
12/04/2007,10.316,10.449,10.316,10.316,6960,
13/04/2007,9.852,10.051,9.852,9.852,9760,
16/04/2007,9.39,9.523,9.39,9.39,21620,
17/04/2007,9.39,9.39,8.994,9.39,17600,
18/04/2007,9.852,9.852,9.388,9.388,5990,
19/04/2007,10.051,10.25,10.051,10.051,25810,
20/04/2007,9.921,9.986,9.921,9.921,12590,
23/04/2007,9.655,9.655,9.456,9.655,19480,
24/04/2007,9.523,9.523,9.456,9.523,11090,
25/04/2007,9.785,9.785,9.653,9.653,6360,
02/05/2007,9.785,9.918,9.785,9.785,5210,
03/05/2007,9.785,9.785,9.653,9.785,1860,
04/05/2007,9.785,9.785,9.523,9.785,920,
07/05/2007,9.921,9.921,9.788,9.788,11250,
08/05/2007,10.051,10.184,9.918,9.918,5660,
09/05/2007,9.588,10.051,9.588,9.588,6540,
10/05/2007,9.719,9.719,9.588,9.588,8650,
11/05/2007,9.852,9.852,9.653,9.719,7450,
14/05/2007,9.921,9.921,9.588,9.852,15620,
15/05/2007,9.921,10.051,9.788,9.921,13150,
16/05/2007,9.785,9.918,9.785,9.785,12320,
17/05/2007,9.921,9.921,9.788,9.788,11650,
18/05/2007,9.921,9.986,9.921,9.921,21610,
21/05/2007,10.051,10.051,9.918,9.918,9930,
22/05/2007,10.513,10.513,10.513,10.513,40070,
23/05/2007,10.98,10.98,10.98,10.98,12820,
24/05/2007,11.506,11.506,11.506,11.506,97400,
25/05/2007,11.506,11.506,11.506,11.506,73640,
28/05/2007,11.175,11.44,11.175,11.175,32020,
29/05/2007,10.777,10.847,10.713,10.777,27460,
30/05/2007,10.847,10.911,10.847,10.847,21400,
31/05/2007,10.847,10.847,10.847,10.847,18940,
01/06/2007,10.713,10.713,10.713,10.713,11340,
04/06/2007,10.581,10.581,10.248,10.581,23740,
05/06/2007,10.316,10.316,10.316,10.316,21190,
06/06/2007,10.316,10.316,10.117,10.316,21100,
07/06/2007,10.799,10.799,10.418,10.799,1950,
08/06/2007,10.645,10.953,10.645,10.796,35510,
11/06/2007,10.494,10.494,10.418,10.494,6160,
12/06/2007,10.571,10.571,10.343,10.494,7930,
13/06/2007,10.418,10.418,10.418,10.418,4250,
14/06/2007,10.494,10.645,10.494,10.494,3760,
15/06/2007,10.418,10.418,10.343,10.418,7130,
18/06/2007,10.494,10.571,10.494,10.494,6150,
19/06/2007,10.418,10.494,10.418,10.494,5100,
20/06/2007,10.343,10.494,10.343,10.418,7450,
21/06/2007,10.268,10.343,10.191,10.343,7000,
22/06/2007,10.037,10.268,10.037,10.268,8450,
25/06/2007,10.037,10.037,10.037,10.037,4450,
26/06/2007,9.961,10.037,9.886,10.037,3850,
27/06/2007,9.886,9.964,9.886,9.964,2140,
28/06/2007,9.58,9.58,9.58,9.58,13860,
29/06/2007,9.432,9.432,9.277,9.432,19780,
02/07/2007,8.976,9.127,8.976,9.127,5700,
03/07/2007,8.976,8.976,8.821,8.976,7780,
04/07/2007,9.352,9.352,8.896,8.973,4970,
05/07/2007,9.352,9.429,9.352,9.352,24910,
06/07/2007,9.432,9.432,9.432,9.432,18620,
09/07/2007,9.432,9.432,9.432,9.432,7550,
10/07/2007,9.432,9.432,9.432,9.432,8380,
11/07/2007,9.734,9.734,9.584,9.584,8040,
12/07/2007,9.734,9.886,9.734,9.734,11570,
13/07/2007,9.734,9.734,9.734,9.734,11460,
16/07/2007,9.432,9.432,9.277,9.432,5120,
17/07/2007,9.432,9.432,9.432,9.432,1550,
18/07/2007,9.352,9.429,9.352,9.429,1090,
19/07/2007,9.127,9.432,9.127,9.355,11910,
20/07/2007,9.201,9.201,9.127,9.127,11700,
23/07/2007,9.432,9.66,9.432,9.432,6170,
24/07/2007,9.504,9.504,9.277,9.429,11580,
25/07/2007,9.201,9.507,9.201,9.507,9650,
26/07/2007,8.976,9.201,8.976,9.201,10930,
27/07/2007,8.899,8.976,8.668,8.976,9080,
30/07/2007,8.821,8.896,8.821,8.896,1300,
31/07/2007,8.441,8.441,8.441,8.441,6880,
01/08/2007,8.441,8.518,8.211,8.441,7690,
02/08/2007,8.441,8.593,8.441,8.441,14790,
03/08/2007,8.441,8.441,8.136,8.441,9060,
06/08/2007,8.061,8.438,8.061,8.438,6750,
07/08/2007,7.984,8.061,7.833,7.833,8540,
08/08/2007,8.061,8.136,7.984,7.984,8430,
09/08/2007,8.211,8.211,7.984,7.984,8020,
10/08/2007,8.211,8.367,8.211,8.211,18760,
13/08/2007,7.984,8.211,7.984,8.211,6710,
14/08/2007,8.136,8.216,7.833,7.833,8580,
15/08/2007,8.061,8.061,7.909,7.984,9610,
16/08/2007,7.833,8.061,7.833,7.909,11860,
17/08/2007,7.756,7.909,7.756,7.833,15380,
20/08/2007,7.756,7.833,7.756,7.756,10520,
21/08/2007,7.528,7.909,7.453,7.453,13280,
22/08/2007,7.528,7.528,7.453,7.482,11800,
23/08/2007,7.3,7.453,7.3,7.377,25690,
24/08/2007,7.606,7.606,7.3,7.3,17320,
27/08/2007,7.606,7.756,7.606,7.756,11870,
28/08/2007,7.606,7.606,7.528,7.606,10960,
29/08/2007,7.606,7.606,7.528,7.606,19510,
30/08/2007,7.606,7.606,7.453,7.528,4460,
31/08/2007,7.682,7.682,7.603,7.603,4970,
04/09/2007,7.833,7.909,7.756,7.756,13790,
05/09/2007,8.211,8.211,7.833,7.909,39140,
06/09/2007,8.593,8.593,8.593,8.593,55930,
07/09/2007,8.821,8.973,8.821,8.973,59910,
10/09/2007,8.518,8.745,8.518,8.518,21210,
11/09/2007,8.441,8.518,8.211,8.518,9700,
12/09/2007,8.367,8.441,8.367,8.367,33420,
13/09/2007,8.136,8.216,8.061,8.136,14040,
14/09/2007,8.211,8.211,8.211,8.211,7120,
17/09/2007,8.211,8.29,8.211,8.211,24410,
18/09/2007,8.367,8.367,8.216,8.367,26340,
19/09/2007,8.441,8.441,8.367,8.367,26820,
20/09/2007,8.518,8.668,8.441,8.518,34660,
21/09/2007,8.518,8.593,8.518,8.518,33930,
24/09/2007,8.668,8.668,8.518,8.518,23730,
25/09/2007,8.821,8.821,8.593,8.821,48760,
26/09/2007,8.976,9.127,8.976,9.127,23420,
27/09/2007,8.821,8.973,8.821,8.973,19020,
28/09/2007,8.821,8.821,8.668,8.821,33880,
01/10/2007,8.821,8.973,8.518,8.821,98100,
02/10/2007,8.976,8.976,8.899,8.976,62020,
03/10/2007,8.976,9.05,8.976,9.05,35030,
04/10/2007,8.976,8.976,8.593,8.899,26320,
05/10/2007,8.976,8.976,8.899,8.976,23730,
08/10/2007,8.899,8.976,8.899,8.976,35490,
09/10/2007,8.821,8.973,8.821,8.973,43100,
10/10/2007,9.127,9.201,8.976,8.976,89590,
11/10/2007,9.58,9.58,9.277,9.429,77700,
12/10/2007,10.037,10.037,9.886,10.037,150760,
15/10/2007,9.66,10.04,9.66,10.04,36380,
16/10/2007,9.432,9.66,9.432,9.66,25630,
17/10/2007,9.66,9.66,9.507,9.66,39860,
18/10/2007,9.201,9.734,9.201,9.734,41040,
19/10/2007,9.127,9.201,8.976,9.127,42580,
22/10/2007,9.277,9.429,9.277,9.429,15780,
23/10/2007,9.127,9.277,9.127,9.277,30290,
24/10/2007,9.277,9.277,9.127,9.127,16460,
25/10/2007,9.734,9.734,9.584,9.734,81090,
26/10/2007,9.504,9.886,9.504,9.886,39860,
29/10/2007,9.432,9.66,9.432,9.584,24050,
30/10/2007,9.352,9.352,9.201,9.277,12650,
31/10/2007,9.277,9.352,9.277,9.352,41140,
01/11/2007,9.432,9.507,9.201,9.201,48490,
02/11/2007,9.734,9.886,9.507,9.734,78850,
05/11/2007,9.352,9.58,9.352,9.352,13890,
06/11/2007,8.976,9.127,8.976,8.976,31940,
07/11/2007,9.352,9.352,8.821,8.973,12860,
08/11/2007,8.976,9.429,8.976,9.05,31930,
09/11/2007,8.668,8.824,8.668,8.824,21810,
12/11/2007,8.441,8.668,8.441,8.668,18250,
13/11/2007,8.061,8.364,8.061,8.211,26020,
14/11/2007,8.441,8.441,8.367,8.441,34410,
15/11/2007,8.136,8.367,8.136,8.136,16250,
16/11/2007,8.211,8.211,8.061,8.136,10700,
19/11/2007,8.211,8.367,8.211,8.367,7000,
20/11/2007,8.061,8.136,8.061,8.061,8680,
21/11/2007,8.061,8.136,7.984,8.061,7920,
22/11/2007,8.061,8.288,8.061,8.061,6680,
23/11/2007,7.984,8.211,7.984,8.211,17590,
26/11/2007,8.211,8.211,8.211,8.211,2540,
27/11/2007,8.211,8.367,8.211,8.367,13020,
28/11/2007,8.288,8.288,8.211,8.211,4290,
29/11/2007,8.288,8.288,8.136,8.136,9470,
30/11/2007,8.061,8.364,8.061,8.364,15900,
03/12/2007,8.211,8.211,8.061,8.211,4970,
04/12/2007,8.367,8.518,8.367,8.441,12230,
05/12/2007,8.288,8.364,8.136,8.364,4280,
06/12/2007,8.211,8.211,8.211,8.211,5000,
07/12/2007,8.211,8.211,8.136,8.211,4200,
10/12/2007,8.211,8.211,7.984,8.136,9030,
11/12/2007,8.061,8.211,7.984,8.211,7980,
12/12/2007,8.061,8.061,7.833,7.833,6400,
13/12/2007,7.833,8.14,7.833,8.061,5840,
14/12/2007,7.756,7.984,7.756,7.833,5040,
17/12/2007,7.606,7.606,7.453,7.606,7150,
18/12/2007,7.573,7.603,7.573,7.603,6990,
19/12/2007,7.909,7.909,7.909,7.909,6900,
20/12/2007,7.756,8.061,7.756,7.909,6680,
21/12/2007,7.756,8.061,7.603,7.603,7800,
24/12/2007,7.756,7.833,7.756,7.833,9110,
25/12/2007,7.544,7.756,7.544,7.756,6140,
26/12/2007,7.606,7.606,7.468,7.468,2500,
27/12/2007,7.606,7.756,7.606,7.682,5020,
28/12/2007,7.682,7.682,7.603,7.603,7430,
02/01/2008,7.606,7.682,7.606,7.682,1950,
03/01/2008,7.528,7.679,7.528,7.679,5000,
04/01/2008,7.528,7.544,7.528,7.528,3280,
07/01/2008,7.225,7.453,7.225,7.392,3620,
08/01/2008,7.3,7.544,7.146,7.225,18330,
09/01/2008,7.3,7.377,7.011,7.011,28100,
10/01/2008,6.936,7.148,6.936,7.148,35080,
11/01/2008,7.148,7.225,7.074,7.225,6280,
14/01/2008,6.92,7.088,6.92,7.074,26600,
15/01/2008,6.585,6.844,6.585,6.844,5780,
16/01/2008,6.906,6.906,6.587,6.587,32690,
17/01/2008,6.571,6.844,6.571,6.844,9930,
18/01/2008,6.752,6.752,6.571,6.571,4870,
21/01/2008,6.537,6.752,6.537,6.752,3130,
22/01/2008,6.268,6.389,6.234,6.234,12690,
23/01/2008,6.009,6.234,5.992,6.234,10440,
24/01/2008,6.083,6.234,6.009,6.009,6000,
25/01/2008,6.34,6.374,6.083,6.374,10340,
28/01/2008,6.34,6.357,6.266,6.34,14800,
29/01/2008,6.537,6.537,6.34,6.34,3820,
30/01/2008,6.86,6.86,6.844,6.86,48880,
31/01/2008,6.995,7.193,6.827,7.193,24410,
01/02/2008,7.3,7.3,6.995,6.995,24280,
12/02/2008,7.3,7.453,7.285,7.453,9220,
13/02/2008,6.995,7.146,6.995,7.146,13510,
14/02/2008,6.949,7.07,6.92,6.92,3100,
15/02/2008,6.92,6.995,6.692,6.995,11320,
18/02/2008,6.601,6.617,6.587,6.601,11850,
19/02/2008,6.537,6.675,6.537,6.675,2790,
20/02/2008,6.234,6.555,6.234,6.234,7810,
21/02/2008,5.931,5.931,5.931,5.931,4890,
22/02/2008,5.645,5.645,5.645,5.645,51760,
25/02/2008,5.916,5.916,5.81,5.916,45190,
26/02/2008,5.626,6.16,5.626,6.115,25020,
27/02/2008,5.78,5.857,5.691,5.691,34130,
28/02/2008,5.626,5.901,5.626,5.901,22270,
29/02/2008,5.597,5.626,5.4,5.626,6330,
