transDate,close,high,low,open,volume,event
10/12/2018,100.655,100.655,93.466,100.655,27500,
11/12/2018,115.296,115.296,115.296,115.296,15251,
12/12/2018,115.036,124.185,115.036,117.649,2353,
13/12/2018,103.27,106.539,102.616,103.924,11384,
14/12/2018,92.355,103.074,90.525,103.074,7892,
17/12/2018,90.067,92.355,90.067,91.505,5749,
18/12/2018,91.505,92.813,91.505,92.616,560,
19/12/2018,94.707,94.707,90.59,92.225,2000,
20/12/2018,94.774,98.041,94.774,98.041,200,
21/12/2018,91.57,91.897,91.505,91.897,2705,
24/12/2018,91.505,92.158,91.505,91.505,1835,
25/12/2018,91.505,91.505,89.544,91.505,3600,
26/12/2018,91.505,104.838,91.178,104.838,710,
27/12/2018,93.466,93.466,93.466,93.466,100,
28/12/2018,89.74,89.74,89.74,89.74,200,
02/01/2019,90.198,90.198,90.198,90.198,710,
03/01/2019,90.198,90.198,90.198,90.198,0,
04/01/2019,90.198,90.198,90.198,90.198,110,
07/01/2019,91.505,91.505,90.525,90.851,943,
08/01/2019,90.851,90.917,90.851,90.851,2703,
09/01/2019,91.505,91.505,90.851,91.505,2000,
10/01/2019,91.505,91.505,91.244,91.505,816,
11/01/2019,96.08,97.976,96.08,97.976,2837,
14/01/2019,92.629,101.283,92.629,94.658,800,DIVIDEND
15/01/2019,97.362,97.632,97.362,97.632,800,
16/01/2019,100.675,100.675,100.675,100.675,328,
17/01/2019,97.227,97.227,86.679,86.679,958,
18/01/2019,95.266,97.7,95.266,97.7,500,
21/01/2019,94.658,94.658,94.658,94.658,140,
22/01/2019,91.209,91.277,91.209,91.277,605,
23/01/2019,88.911,95.131,87.896,95.131,628,
24/01/2019,89.316,89.925,89.316,89.925,1500,
25/01/2019,91.277,91.277,91.277,91.277,800,
28/01/2019,91.277,91.277,91.277,91.277,100,
29/01/2019,91.277,91.277,91.277,91.277,1240,
30/01/2019,91.277,91.277,91.277,91.277,100,
31/01/2019,104.597,104.597,104.597,104.597,613,
01/02/2019,104.597,104.597,104.597,104.597,110,
11/02/2019,103.447,104.597,92.629,104.055,3275,
12/02/2019,93.305,97.362,93.305,94.658,700,
13/02/2019,92.629,92.697,92.629,92.697,200,
14/02/2019,94.658,94.658,92.629,92.629,1100,
15/02/2019,92.629,92.629,92.629,92.629,800,
18/02/2019,91.277,92.629,91.277,92.629,462,
19/02/2019,92.291,94.658,92.291,94.658,1108,
20/02/2019,92.629,93.981,92.629,93.981,1300,
21/02/2019,93.981,97.362,93.981,97.362,1300,
22/02/2019,93.981,94.658,93.981,94.658,4000,
25/02/2019,93.981,93.981,93.779,93.779,1300,
26/02/2019,91.345,91.345,91.345,91.345,101,
27/02/2019,90.601,91.953,90.601,91.886,4713,
28/02/2019,88.166,89.925,87.896,89.925,750,
01/03/2019,88.302,94.658,88.302,94.658,410,
04/03/2019,94.455,94.455,94.455,94.455,300,
05/03/2019,93.643,93.779,88.775,88.775,610,
06/03/2019,93.305,93.305,88.911,92.629,1574,
07/03/2019,89.925,89.992,89.249,89.249,1390,
08/03/2019,89.519,89.587,89.249,89.249,500,
11/03/2019,88.032,88.572,87.896,88.572,500,
12/03/2019,89.181,90.533,88.572,90.533,700,
13/03/2019,89.654,90.533,89.654,90.533,500,
14/03/2019,88.234,90.06,88.234,90.06,1500,
15/03/2019,88.572,93.711,88.572,93.711,500,
18/03/2019,88.572,88.572,88.572,88.572,200,
19/03/2019,89.181,89.181,88.234,88.302,500,
20/03/2019,88.234,88.843,88.234,88.843,426,
21/03/2019,88.572,96.686,88.572,96.686,301,
22/03/2019,91.277,91.277,91.277,91.277,0,
25/03/2019,94.522,94.522,88.099,88.099,500,
26/03/2019,88.099,88.099,88.099,88.099,100,
27/03/2019,87.22,91.886,87.22,91.886,900,
28/03/2019,101.216,101.216,101.216,101.216,400,
29/03/2019,101.216,101.216,101.216,101.216,0,
01/04/2019,90.533,90.533,86.071,86.071,500,
02/04/2019,90.804,91.142,87.288,91.142,3610,
03/04/2019,88.978,88.978,86.949,87.018,2400,
04/04/2019,91.818,91.818,91.818,91.818,400,
05/04/2019,87.018,90.601,87.018,90.601,1300,
08/04/2019,89.113,89.113,83.975,86.611,1710,
09/04/2019,81.878,89.181,81.811,89.181,4470,
10/04/2019,82.487,82.487,81.878,82.487,4400,
11/04/2019,84.38,84.38,81.878,82.487,500,
12/04/2019,83.163,83.163,83.096,83.096,1300,
16/04/2019,82.352,86.477,82.352,86.477,260,
17/04/2019,85.192,86.477,85.192,86.477,3190,
18/04/2019,85.192,85.192,85.192,85.192,100,
19/04/2019,94.522,94.522,94.522,94.522,100,
22/04/2019,85.192,90.939,80.392,80.392,2900,
23/04/2019,86.544,86.544,85.801,85.801,2100,
24/04/2019,84.516,84.516,84.516,84.516,9500,
25/04/2019,91.007,91.007,84.516,86.544,4500,
26/04/2019,89.249,91.277,87.896,90.127,3700,
02/05/2019,92.629,94.522,90.601,90.601,7011,
03/05/2019,94.05,94.117,92.629,92.629,7200,
06/05/2019,94.86,95.943,94.589,95.672,3200,
07/05/2019,91.547,94.658,91.547,94.658,1943,
08/05/2019,93.981,94.793,93.643,94.793,2167,
09/05/2019,96.876,96.876,96.876,96.876,1003,DIVIDEND
10/05/2019,94.651,94.651,89.772,89.772,2830,
13/05/2019,90.13,94.364,90.13,93.288,1602,
14/05/2019,89.772,93.933,89.772,93.933,2500,
15/05/2019,89.843,92.57,89.772,91.135,3872,
16/05/2019,91.207,91.207,91.207,91.207,0,
17/05/2019,89.7,89.7,88.695,89.413,2400,
20/05/2019,91.853,91.853,89.7,89.7,2915,
21/05/2019,90.13,90.13,90.13,90.13,230,
22/05/2019,89.843,90.776,89.843,90.776,808,
23/05/2019,91.135,91.135,89.772,89.843,2500,
24/05/2019,91.637,91.637,91.637,91.637,300,
27/05/2019,91.637,104.052,91.637,104.052,1610,
28/05/2019,92.498,92.498,91.637,91.637,7000,
29/05/2019,92.427,92.427,92.427,92.427,0,
30/05/2019,93.216,93.288,92.211,92.211,2614,
31/05/2019,91.853,103.334,91.853,103.334,3100,
