transDate,close,high,low,open,volume,event
17/11/2009,8.155,8.155,8.155,8.155,213340,
18/11/2009,8.362,8.542,8.335,8.542,71640,
19/11/2009,7.953,8.133,7.953,7.953,31280,
20/11/2009,7.569,7.569,7.569,7.569,17680,
23/11/2009,7.205,7.205,7.205,7.205,3190,
24/11/2009,6.864,7.022,6.864,6.864,109190,
25/11/2009,6.526,6.548,6.526,6.526,44130,
26/11/2009,6.208,6.208,6.208,6.208,1710,
27/11/2009,5.913,6.5,5.913,6.208,105290,
30/11/2009,5.617,5.913,5.617,5.913,50890,
01/12/2009,5.889,5.889,5.686,5.778,24500,
02/12/2009,5.981,6.004,5.889,6.004,21810,
03/12/2009,5.913,5.981,5.686,5.981,18200,
04/12/2009,5.889,5.958,5.617,5.958,13990,
07/12/2009,5.596,5.869,5.596,5.664,13870,
08/12/2009,5.323,5.345,5.323,5.345,30590,
09/12/2009,5.303,5.303,5.074,5.074,2100,
10/12/2009,5.303,5.303,5.053,5.303,10850,
11/12/2009,5.053,5.098,5.053,5.053,5330,
14/12/2009,5.256,5.303,4.803,4.803,10590,
15/12/2009,5.053,5.416,5.007,5.212,101280,
16/12/2009,5.144,5.165,4.936,5.165,12090,
17/12/2009,5.007,5.098,4.894,4.936,17280,
18/12/2009,5.256,5.256,5.053,5.053,8970,
21/12/2009,5.505,5.505,5.46,5.484,21770,
22/12/2009,5.46,5.46,4.984,5.437,14550,DIVIDEND
23/12/2009,5.437,5.437,5.212,5.234,5940,
24/12/2009,5.639,5.639,5.165,5.212,11090,
25/12/2009,5.913,5.913,5.639,5.639,86680,
28/12/2009,6.208,6.208,5.934,6.208,115920,
29/12/2009,6.23,6.346,6.208,6.208,29390,
30/12/2009,6.23,6.252,6.028,6.028,18910,
31/12/2009,5.934,6.276,5.934,6.118,28700,
04/01/2010,5.934,6.073,5.889,5.934,54110,
05/01/2010,5.639,5.934,5.639,5.934,54250,
06/01/2010,5.847,5.889,5.437,5.484,18720,
07/01/2010,5.617,5.847,5.617,5.686,26900,
08/01/2010,5.889,5.889,5.617,5.617,181880,
11/01/2010,5.889,5.889,5.686,5.733,36580,
12/01/2010,5.664,6.048,5.664,5.733,15140,
13/01/2010,5.664,5.664,5.484,5.639,10570,
14/01/2010,5.664,5.847,5.577,5.664,4600,
15/01/2010,5.549,5.664,5.549,5.664,7030,
18/01/2010,5.303,5.437,5.303,5.437,11200,
19/01/2010,5.345,5.437,5.303,5.303,7980,
