transDate,close,high,low,open,volume,event
08/01/2005,10.06,10.8,8.89,10.8,0,
11/02/2005,7.41,7.73,7.41,7.73,600,
12/02/2005,7.25,7.25,7.25,7.25,400,
08/03/2005,8.84,9.0,8.84,9.0,0,
10/03/2005,7.67,7.67,7.67,7.67,0,
11/04/2005,7.78,7.78,7.78,7.78,200,
08/05/2005,9.26,9.26,8.04,8.57,0,
09/05/2005,11.11,11.11,11.11,11.11,0,
10/05/2005,7.67,7.67,7.67,7.67,0,
12/05/2005,7.3,7.3,7.3,7.3,200,
09/07/2005,11.11,11.11,11.11,11.11,0,
10/07/2005,7.67,7.67,7.67,7.67,0,
11/07/2005,7.83,7.83,7.83,7.83,100,
12/07/2005,7.3,7.3,7.3,7.3,0,
14/07/2005,8.73,10.85,7.94,8.47,0,
18/07/2005,9.63,10.16,9.63,9.63,0,
20/07/2005,9.0,10.58,9.0,9.0,0,
22/07/2005,10.16,10.16,8.47,8.47,0,
25/07/2005,9.79,9.79,8.1,8.47,0,
27/07/2005,9.68,9.68,7.99,8.47,0,
29/07/2005,10.06,10.06,8.52,8.52,0,
08/08/2005,8.47,8.47,8.36,8.47,0,
15/08/2005,8.26,8.26,8.26,8.26,0,
17/08/2005,8.26,8.26,8.26,8.26,0,
19/08/2005,8.26,8.26,8.26,8.26,0,
22/08/2005,8.26,8.26,8.26,8.26,0,
24/08/2005,9.21,9.21,9.21,9.21,0,
26/08/2005,10.11,10.11,10.11,10.11,0,
29/08/2005,10.11,10.11,10.11,10.11,0,
31/08/2005,11.11,11.11,11.11,11.11,0,
09/09/2005,12.22,12.22,12.22,12.22,0,
11/09/2005,7.78,7.78,7.78,7.78,200,
12/09/2005,7.3,7.3,7.3,7.3,0,
14/09/2005,12.22,12.22,12.22,12.22,0,
16/09/2005,12.22,12.22,12.22,12.22,0,
19/09/2005,12.22,12.22,12.22,12.22,0,
21/09/2005,11.01,11.01,11.01,11.01,0,
23/09/2005,9.95,9.95,9.95,9.95,0,
26/09/2005,9.0,9.0,9.0,9.0,0,
28/09/2005,8.1,8.1,8.1,8.1,0,
30/09/2005,7.67,8.15,7.41,8.47,0,
08/10/2005,9.31,9.31,9.31,9.31,0,
10/10/2005,7.67,7.67,7.67,7.67,0,
14/10/2005,7.41,7.41,7.41,7.41,0,
17/10/2005,7.41,7.41,7.41,7.41,0,
19/10/2005,7.41,7.41,7.41,7.41,0,
21/10/2005,7.41,7.41,7.41,7.41,0,
24/10/2005,7.41,7.41,7.41,7.41,0,
26/10/2005,7.3,7.41,7.3,7.41,0,
28/10/2005,6.67,6.67,6.67,6.67,0,
31/10/2005,7.3,7.3,7.3,7.3,0,
11/11/2005,7.78,7.78,7.78,7.78,400,
14/11/2005,7.67,7.78,7.67,7.78,300,
16/11/2005,7.67,7.67,7.67,7.67,200,
18/11/2005,7.67,7.67,7.41,7.41,300,
21/11/2005,7.41,7.41,7.41,7.41,400,
23/11/2005,7.41,7.41,7.41,7.41,0,DIVIDEND
25/11/2005,7.41,7.41,7.41,7.41,0,
28/11/2005,7.25,7.25,7.25,7.25,100,
30/11/2005,7.25,7.25,7.25,7.25,0,
08/12/2005,8.26,8.63,8.26,8.63,0,
09/12/2005,12.22,12.22,12.22,12.22,0,
10/12/2005,6.93,7.67,6.93,7.67,0,
12/12/2005,7.3,7.3,7.3,7.3,0,
14/12/2005,7.3,7.3,7.3,7.3,0,
16/12/2005,6.88,6.88,6.62,6.62,4500,
19/12/2005,7.41,7.41,6.51,6.51,6500,
21/12/2005,7.89,7.89,7.89,7.89,100,
23/12/2005,7.89,7.89,7.89,7.89,0,
26/12/2005,7.14,7.14,7.14,7.14,100,
28/12/2005,7.14,7.14,7.14,7.14,0,
30/12/2005,7.14,7.14,7.14,7.14,0,
04/01/2006,7.14,7.14,7.14,7.14,0,
06/01/2006,7.14,7.14,7.14,7.14,0,
09/01/2006,7.14,7.14,7.14,7.14,0,
11/01/2006,7.14,7.14,7.14,7.14,0,
13/01/2006,6.46,6.46,6.46,6.46,100,
16/01/2006,6.46,6.46,6.46,6.46,0,
18/01/2006,6.46,6.46,6.46,6.46,0,
20/01/2006,6.46,6.46,6.46,6.46,0,
23/01/2006,6.46,6.46,6.46,6.46,0,
25/01/2006,6.46,6.46,6.46,6.46,0,
27/01/2006,6.46,6.46,6.46,6.46,0,
06/02/2006,6.51,6.62,6.46,6.46,6000,
08/02/2006,6.51,6.51,6.51,6.51,0,
10/02/2006,6.88,6.88,6.88,6.88,100,
13/02/2006,7.14,7.14,7.14,7.14,100,
15/02/2006,7.14,7.14,7.14,7.14,0,
17/02/2006,7.14,7.14,7.14,7.14,0,
20/02/2006,7.83,7.83,7.83,7.83,100,
22/02/2006,7.83,7.83,7.83,7.83,0,
24/02/2006,7.67,7.94,7.14,7.14,300,
27/02/2006,8.2,8.2,8.2,8.2,2000,
01/03/2006,8.68,9.0,8.47,8.47,500,
03/03/2006,8.73,8.73,8.73,8.73,1500,
06/03/2006,8.54,8.73,7.96,8.73,1300,
08/03/2006,9.57,9.73,9.46,9.46,5000,
10/03/2006,9.31,9.41,9.26,9.26,5900,
13/03/2006,9.36,9.36,9.36,9.36,500,
15/03/2006,9.36,9.41,9.21,9.41,5100,
17/03/2006,9.67,9.78,9.46,9.46,9600,
20/03/2006,9.77,9.77,9.72,9.77,2000,
