transDate,close,high,low,open,volume,event
03/10/2014,11.455,11.455,11.455,11.455,168870.0,
06/10/2014,12.182,12.182,12.182,12.182,81110.0,
07/10/2014,13.0,13.0,13.0,13.0,40150.0,
08/10/2014,13.909,13.909,13.909,13.909,155050.0,
09/10/2014,14.818,14.818,14.818,14.818,1874730.0,
10/10/2014,15.818,15.818,15.818,15.818,229320.0,
13/10/2014,16.909,16.909,16.818,16.909,617750.0,
14/10/2014,18.091,18.091,17.909,18.091,897770.0,
15/10/2014,19.273,19.273,18.182,18.182,701770.0,
16/10/2014,18.455,19.091,18.182,18.182,345150.0,
17/10/2014,17.273,19.091,17.273,17.909,241620.0,
20/10/2014,16.545,18.455,16.273,16.364,432130.0,
21/10/2014,17.455,17.455,16.364,16.545,486500.0,
22/10/2014,18.091,18.182,17.273,17.636,509800.0,
23/10/2014,18.091,19.091,18.0,18.182,2064640.0,
24/10/2014,19.273,19.273,18.273,18.273,1635980.0,
27/10/2014,18.455,19.273,18.182,19.182,1115350.0,
28/10/2014,17.273,17.818,17.182,17.182,994060.0,
29/10/2014,17.727,17.818,17.182,17.273,1009870.0,
30/10/2014,18.182,18.364,17.727,18.0,1756850.0,
31/10/2014,18.909,19.455,18.273,18.364,8143710.0,
03/11/2014,19.273,19.545,18.909,19.091,1117430.0,
04/11/2014,18.545,19.091,18.182,19.091,959910.0,
05/11/2014,18.545,18.636,18.091,18.182,846830.0,
06/11/2014,18.182,18.545,18.182,18.545,806310.0,
07/11/2014,18.091,18.545,18.0,18.182,1729230.0,
10/11/2014,18.455,18.636,18.091,18.182,823310.0,
11/11/2014,18.909,19.273,18.364,18.545,1305980.0,
12/11/2014,19.091,19.091,18.636,18.636,709480.0,
13/11/2014,19.091,19.364,18.545,19.091,990990.0,
14/11/2014,18.909,19.091,18.636,19.091,457740.0,
17/11/2014,20.182,20.182,19.091,19.455,3521010.0,
18/11/2014,21.545,21.545,21.455,21.545,1896980.0,
19/11/2014,21.818,22.818,21.545,21.545,1437290.0,
20/11/2014,22.0,22.273,21.364,21.545,1441900.0,
21/11/2014,20.545,22.273,20.545,22.273,2300380.0,
24/11/2014,19.182,19.182,19.182,19.182,116960.0,
25/11/2014,17.909,18.0,17.909,17.909,1234160.0,
26/11/2014,16.727,17.182,16.727,16.727,2167660.0,
27/11/2014,16.818,16.818,15.636,15.636,2934160.0,
28/11/2014,17.909,17.909,16.091,16.091,1481810.0,
01/12/2014,17.091,18.091,17.0,17.727,942040.0,
02/12/2014,16.455,16.545,15.909,16.273,905120.0,
03/12/2014,16.636,16.727,16.182,16.182,535310.0,
04/12/2014,16.364,16.909,16.273,16.636,297740.0,
05/12/2014,16.091,16.545,16.0,16.182,653630.0,
08/12/2014,15.0,16.273,15.0,16.0,925840.0,
09/12/2014,14.0,14.818,14.0,14.273,618570.0,
10/12/2014,13.364,13.636,13.091,13.091,4639510.0,
11/12/2014,13.545,13.818,12.727,13.364,1009600.0,
12/12/2014,13.636,13.636,13.273,13.273,308670.0,
15/12/2014,12.909,13.364,12.909,13.364,706920.0,
16/12/2014,12.091,12.636,12.091,12.636,997260.0,
17/12/2014,11.273,11.455,11.273,11.273,6452950.0,
