transDate,close,high,low,open,volume,event
30/06/2010,12.8,13.44,12.8,12.8,1883090,
01/07/2010,13.3,13.3,12.83,12.9,3505960,
02/07/2010,13.9,13.9,13.9,13.9,1845150,
05/07/2010,13.9,14.53,13.9,14.29,2118730,
06/07/2010,13.4,13.64,13.32,13.64,1508480,
07/07/2010,12.9,13.62,12.9,13.62,1456880,
08/07/2010,12.4,12.96,12.32,12.88,1210000,
09/07/2010,12.9,12.9,12.26,12.42,774020,
12/07/2010,12.9,13.22,12.58,12.9,679800,
13/07/2010,12.9,13.14,12.66,12.98,871500,
14/07/2010,12.5,12.98,12.42,12.98,767400,
15/07/2010,12.5,12.9,12.5,12.58,735750,
16/07/2010,12.7,12.94,12.3,12.38,877340,
19/07/2010,12.5,12.82,12.5,12.66,356700,
20/07/2010,12.6,12.68,12.52,12.68,807380,
21/07/2010,12.5,12.74,12.5,12.74,420220,
22/07/2010,12.3,12.7,12.3,12.54,412750,
23/07/2010,12.1,12.42,12.1,12.34,394920,
26/07/2010,11.9,12.31,11.82,12.31,457790,
27/07/2010,11.7,12.11,11.54,11.78,492580,
28/07/2010,11.8,12.21,11.8,12.13,1065060,
29/07/2010,11.8,12.04,11.72,11.88,272310,
30/07/2010,11.8,12.04,11.72,11.8,366570,
02/08/2010,11.5,11.99,11.42,11.99,317430,
03/08/2010,11.4,11.73,11.32,11.65,622970,
04/08/2010,11.3,11.55,11.14,11.55,333370,
05/08/2010,11.1,11.43,11.02,11.26,512420,
06/08/2010,11.5,11.5,11.09,11.09,1073410,
09/08/2010,11.1,11.68,11.1,11.68,390660,
10/08/2010,11.0,11.17,10.67,11.17,697510,
11/08/2010,11.1,11.26,10.77,11.1,499050,
12/08/2010,10.7,11.03,10.7,10.95,573870,
13/08/2010,10.8,10.88,10.22,10.47,414860,
16/08/2010,11.2,11.2,10.71,10.87,491370,
17/08/2010,11.1,11.43,10.93,11.02,366080,
18/08/2010,10.7,11.03,10.7,10.95,383200,
19/08/2010,10.6,10.85,10.52,10.77,204740,
20/08/2010,10.5,10.58,10.08,10.58,523780,
23/08/2010,10.3,10.72,10.3,10.72,467610,
24/08/2010,9.9,10.15,9.9,10.07,396210,
25/08/2010,9.6,9.77,9.6,9.77,344570,
26/08/2010,9.5,9.76,9.24,9.76,838700,
27/08/2010,9.3,9.56,9.13,9.21,283790,
30/08/2010,9.6,9.6,9.51,9.51,137930,
31/08/2010,9.9,9.9,9.56,9.73,704730,
01/09/2010,10.3,10.3,9.96,10.13,524560,
06/09/2010,10.7,10.7,10.53,10.7,612240,
07/09/2010,10.9,11.15,10.4,10.65,978560,
08/09/2010,10.5,10.84,10.5,10.58,857620,
09/09/2010,10.7,10.87,10.37,10.7,508680,
10/09/2010,10.3,10.89,10.3,10.64,465350,
13/09/2010,9.9,10.41,9.9,10.24,564380,
14/09/2010,10.1,10.1,9.43,10.1,333910,
15/09/2010,9.9,10.24,9.9,10.07,240760,
16/09/2010,9.9,10.07,9.73,9.81,222490,
17/09/2010,10.1,10.18,9.85,10.1,585610,
20/09/2010,10.1,10.61,10.1,10.44,472870,
21/09/2010,9.9,10.07,9.82,10.07,408080,
22/09/2010,10.0,10.17,9.92,10.0,287600,
23/09/2010,9.8,10.06,9.71,9.97,233640,
24/09/2010,9.8,9.97,9.71,9.97,187490,
27/09/2010,9.6,9.94,9.6,9.86,408850,
28/09/2010,9.6,9.86,9.6,9.86,347070,
29/09/2010,9.5,9.76,9.41,9.67,519580,
30/09/2010,9.8,9.8,9.37,9.46,855850,
01/10/2010,9.6,9.94,9.6,9.94,268010,
04/10/2010,9.3,9.65,9.3,9.65,730910,
05/10/2010,9.2,9.2,8.93,8.93,126410,
06/10/2010,9.2,9.38,9.11,9.2,378210,
07/10/2010,9.1,9.37,9.1,9.1,157590,
08/10/2010,9.0,9.26,9.0,9.0,220260,
11/10/2010,9.0,9.18,9.0,9.0,82820,
12/10/2010,8.9,9.08,8.81,9.08,373130,
13/10/2010,8.8,8.89,8.71,8.89,188780,
14/10/2010,8.7,8.88,8.7,8.79,243780,
15/10/2010,8.7,8.79,8.61,8.7,101550,
18/10/2010,9.1,9.1,8.83,8.83,236040,
19/10/2010,9.4,9.58,9.13,9.58,906890,
20/10/2010,8.9,9.25,8.9,9.08,699530,
21/10/2010,8.8,9.06,8.8,8.98,134760,
22/10/2010,8.9,8.9,8.72,8.9,155070,
25/10/2010,9.0,9.0,8.74,8.91,182050,
26/10/2010,9.2,9.47,8.93,8.93,256590,
27/10/2010,8.9,9.16,8.9,8.99,143150,
28/10/2010,9.4,9.4,9.05,9.13,1339190,
29/10/2010,9.4,9.67,9.4,9.58,270490,
01/11/2010,9.2,9.38,9.2,9.38,204100,
02/11/2010,9.2,9.38,9.11,9.38,461430,
03/11/2010,9.2,9.29,9.11,9.2,471270,
04/11/2010,9.6,9.69,9.42,9.51,852580,
05/11/2010,10.1,10.1,9.83,9.83,1127360,
08/11/2010,10.1,10.28,9.83,10.1,1037260,
09/11/2010,9.6,9.87,9.6,9.87,912000,
10/11/2010,9.8,9.8,9.62,9.71,342960,
11/11/2010,9.6,9.78,9.6,9.78,418640,
12/11/2010,9.3,9.57,9.12,9.57,601130,
15/11/2010,10.6,10.8,10.4,10.6,550490,
16/11/2010,9.4,9.58,9.13,9.58,422660,
17/11/2010,9.5,9.59,9.32,9.32,450450,
18/11/2010,9.4,9.7,9.4,9.4,375570,DIVIDEND
19/11/2010,9.2,9.4,9.1,9.4,353870,
22/11/2010,8.8,9.0,8.8,9.0,558110,
23/11/2010,8.9,9.0,8.7,8.8,160640,
24/11/2010,8.7,9.0,8.6,8.8,363630,
25/11/2010,9.1,9.1,8.8,8.9,501800,
26/11/2010,9.0,9.3,8.9,9.3,215440,
29/11/2010,9.1,9.1,8.8,8.9,461920,
30/11/2010,9.5,9.5,9.2,9.3,1104290,
01/12/2010,9.2,9.6,9.1,9.4,715200,
02/12/2010,9.5,9.6,9.0,9.2,662850,
03/12/2010,9.9,9.9,9.6,9.8,2024650,
06/12/2010,10.3,10.3,10.1,10.3,1098630,
07/12/2010,10.6,10.8,10.3,10.3,2277380,
08/12/2010,10.1,10.7,10.1,10.4,1063750,
09/12/2010,10.2,10.6,9.6,9.8,1233350,
10/12/2010,10.7,10.7,10.2,10.5,874750,
13/12/2010,11.2,11.2,11.0,11.1,1179400,
14/12/2010,10.7,11.2,10.7,10.8,1057360,
15/12/2010,10.2,10.8,10.2,10.5,852860,
16/12/2010,10.0,10.1,9.7,9.9,847540,
17/12/2010,10.4,10.4,10.0,10.0,401730,
20/12/2010,10.1,10.5,10.1,10.4,319000,
21/12/2010,10.0,10.2,9.8,10.0,470140,
22/12/2010,9.6,10.1,9.6,10.1,552670,
23/12/2010,9.6,10.0,9.5,9.8,794830,
24/12/2010,9.6,9.9,9.5,9.8,397370,
27/12/2010,9.6,9.8,9.6,9.8,641200,
