transDate,close,high,low,open,volume,event
04/08/2000,1.151,1.151,1.151,1.151,1500,
07/08/2000,1.171,1.171,1.171,1.171,3000,
09/08/2000,1.193,1.193,1.193,1.193,2100,
11/08/2000,1.216,1.216,1.216,1.216,2300,
14/08/2000,1.237,1.237,1.237,1.237,1500,
16/08/2000,1.259,1.259,1.259,1.259,7600,
18/08/2000,1.28,1.28,1.28,1.28,1400,
21/08/2000,1.302,1.302,1.302,1.302,1000,
23/08/2000,1.323,1.323,1.323,1.323,2000,
25/08/2000,1.344,1.344,1.344,1.344,2100,
28/08/2000,1.367,1.367,1.367,1.367,1500,
30/08/2000,1.388,1.388,1.388,1.388,1600,
01/09/2000,1.344,1.344,1.344,1.344,1000,
06/09/2000,1.367,1.367,1.367,1.367,1500,
08/09/2000,1.388,1.388,1.388,1.388,1500,
11/09/2000,1.41,1.41,1.41,1.41,4200,
13/09/2000,1.432,1.432,1.432,1.432,6000,
15/09/2000,1.455,1.455,1.455,1.455,5300,
18/09/2000,1.482,1.482,1.482,1.482,3000,
20/09/2000,1.511,1.511,1.511,1.511,6000,
22/09/2000,1.54,1.54,1.54,1.54,9800,
25/09/2000,1.569,1.569,1.569,1.569,8000,
27/09/2000,1.596,1.596,1.596,1.596,5000,
29/09/2000,1.626,1.626,1.626,1.626,8000,
02/10/2000,1.655,1.655,1.655,1.655,5000,
04/10/2000,1.683,1.683,1.683,1.683,5000,
06/10/2000,1.712,1.712,1.712,1.712,6000,
09/10/2000,1.74,1.74,1.74,1.74,3000,
11/10/2000,1.77,1.77,1.77,1.77,6000,
13/10/2000,1.798,1.798,1.798,1.798,3000,
16/10/2000,1.835,1.835,1.835,1.835,3000,
18/10/2000,1.871,1.871,1.871,1.871,3000,
20/10/2000,1.907,1.907,1.907,1.907,2000,
23/10/2000,1.942,1.942,1.942,1.942,2000,
25/10/2000,1.977,1.977,1.977,1.977,4000,
27/10/2000,2.013,2.013,2.013,2.013,2600,
30/10/2000,2.05,2.05,2.05,2.05,4900,
01/11/2000,2.086,2.086,2.086,2.086,11700,
03/11/2000,2.122,2.122,2.122,2.122,2500,
06/11/2000,2.158,2.158,2.158,2.158,2800,
08/11/2000,2.201,2.201,2.201,2.201,5300,
10/11/2000,2.244,2.244,2.244,2.244,2800,
13/11/2000,2.287,2.287,2.287,2.287,1900,
15/11/2000,2.331,2.331,2.331,2.331,2100,
17/11/2000,2.374,2.374,2.374,2.374,500,
20/11/2000,2.418,2.418,2.418,2.418,2300,
22/11/2000,2.46,2.46,2.46,2.46,7400,
24/11/2000,2.503,2.503,2.503,2.503,13900,
27/11/2000,2.546,2.546,2.546,2.546,18200,
29/11/2000,2.598,2.598,2.598,2.598,8300,
01/12/2000,2.647,2.647,2.647,2.647,14400,
04/12/2000,2.698,2.698,2.698,2.698,10200,
06/12/2000,2.749,2.749,2.749,2.749,15800,
08/12/2000,2.799,2.799,2.799,2.799,22700,
11/12/2000,2.847,2.847,2.847,2.847,37700,
13/12/2000,2.834,2.834,2.834,2.834,14300,
15/12/2000,2.885,2.885,2.885,2.885,21900,
18/12/2000,2.942,2.942,2.942,2.942,37700,
20/12/2000,2.999,2.999,2.999,2.999,10000,
22/12/2000,3.057,3.057,3.057,3.057,2000,
25/12/2000,3.114,3.114,3.114,3.114,1200,
27/12/2000,3.172,3.172,3.172,3.172,6600,
29/12/2000,3.23,3.23,3.23,3.23,2900,
03/01/2001,3.287,3.287,3.287,3.287,8300,
05/01/2001,3.352,3.352,3.352,3.352,900,
08/01/2001,3.418,3.418,3.418,3.418,11000,
10/01/2001,3.482,3.482,3.482,3.482,27300,
12/01/2001,3.418,3.418,3.418,3.418,14700,
15/01/2001,3.482,3.482,3.482,3.482,28600,
17/01/2001,3.546,3.546,3.546,3.546,11600,
19/01/2001,3.597,3.597,3.597,3.597,27800,
29/01/2001,3.67,3.67,3.67,3.67,1700,
31/01/2001,3.74,3.74,3.74,3.74,5000,
02/02/2001,3.812,3.812,3.812,3.812,5600,
05/02/2001,3.885,3.885,3.885,3.885,200,
07/02/2001,3.956,3.956,3.956,3.956,1000,
09/02/2001,4.028,4.028,4.028,4.028,200,
12/02/2001,3.956,3.956,3.956,3.956,31200,
14/02/2001,3.885,3.885,3.885,3.885,37300,
16/02/2001,3.956,3.956,3.956,3.956,25100,
19/02/2001,4.028,4.028,4.028,4.028,15600,
21/02/2001,3.956,3.956,3.956,3.956,35500,
23/02/2001,4.028,4.028,4.028,4.028,22300,
26/02/2001,4.1,4.1,4.1,4.1,23400,
28/02/2001,4.172,4.172,4.172,4.172,54400,
02/03/2001,4.244,4.244,4.244,4.244,24400,
05/03/2001,4.316,4.316,4.316,4.316,19600,
07/03/2001,4.388,4.388,4.388,4.388,11600,
09/03/2001,4.459,4.459,4.459,4.459,5100,
12/03/2001,4.532,4.532,4.532,4.532,3200,
14/03/2001,4.605,4.605,4.605,4.605,200,
16/03/2001,4.676,4.676,4.676,4.676,2200,
19/03/2001,4.747,4.747,4.747,4.747,2500,
21/03/2001,4.819,4.819,4.819,4.819,600,
23/03/2001,4.891,4.891,4.891,4.891,200,
26/03/2001,4.964,4.964,4.964,4.964,6200,
28/03/2001,5.036,5.036,5.036,5.036,600,
30/03/2001,5.107,5.107,5.107,5.107,1300,
02/04/2001,5.179,5.179,5.179,5.179,1400,
04/04/2001,5.251,5.251,5.251,5.251,2300,
06/04/2001,5.323,5.323,5.323,5.323,2300,
09/04/2001,5.395,5.395,5.395,5.395,1400,
11/04/2001,5.504,5.504,5.504,5.504,1300,
13/04/2001,5.611,5.611,5.611,5.611,600,
16/04/2001,5.719,5.719,5.719,5.719,100,
18/04/2001,5.826,5.826,5.826,5.826,700,
20/04/2001,5.934,5.934,5.934,5.934,14400,
23/04/2001,6.042,6.042,6.042,6.042,16000,
25/04/2001,6.15,6.15,6.15,6.15,27000,
27/04/2001,6.259,6.259,6.259,6.259,1400,
02/05/2001,6.365,6.365,6.365,6.365,2400,
04/05/2001,6.474,6.474,6.474,6.474,200,
07/05/2001,6.582,6.582,6.582,6.582,400,
09/05/2001,6.69,6.69,6.69,6.69,200,
11/05/2001,6.798,6.798,6.798,6.798,100,
14/05/2001,6.906,6.906,6.906,6.906,100,
16/05/2001,7.014,7.014,7.014,7.014,2000,
18/05/2001,7.121,7.121,7.121,7.121,1100,
21/05/2001,7.193,7.193,7.193,7.193,4300,
23/05/2001,7.338,7.338,7.338,7.338,19400,
25/05/2001,7.481,7.481,7.481,7.481,8400,
28/05/2001,7.625,7.625,7.625,7.625,5800,
30/05/2001,7.768,7.768,7.768,7.768,400,
01/06/2001,7.913,7.913,7.913,7.913,1000,
04/06/2001,8.057,8.057,8.057,8.057,700,
06/06/2001,8.201,8.201,8.201,8.201,1700,
08/06/2001,8.345,8.345,8.345,8.345,15300,
11/06/2001,8.201,8.201,8.201,8.201,25300,
13/06/2001,8.705,8.705,8.705,8.705,20200,
15/06/2001,9.28,9.28,9.28,9.28,14700,
18/06/2001,9.927,9.927,9.927,9.927,9100,
20/06/2001,10.503,10.503,10.503,10.503,18900,
22/06/2001,9.783,9.783,9.783,9.783,11000,
25/06/2001,9.135,9.135,9.135,9.135,19400,
27/06/2001,8.416,8.416,8.416,8.416,500,
29/06/2001,7.841,7.841,7.841,7.841,8000,
02/07/2001,7.841,7.841,7.841,7.841,14800,
04/07/2001,8.345,8.345,8.345,8.345,5900,
06/07/2001,8.632,8.632,8.632,8.632,15900,
09/07/2001,8.632,8.632,8.632,8.632,9600,
11/07/2001,8.057,8.057,8.057,8.057,6000,
13/07/2001,7.553,7.553,7.553,7.553,2500,
16/07/2001,7.05,7.05,7.05,7.05,4600,
18/07/2001,7.481,7.481,7.481,7.481,10400,
20/07/2001,7.984,7.984,7.984,7.984,700,
23/07/2001,7.984,7.984,7.984,7.984,18900,
25/07/2001,8.488,8.488,8.488,8.488,11100,
27/07/2001,7.913,7.913,7.913,7.913,5300,
30/07/2001,7.41,7.41,7.41,7.41,6000,
01/08/2001,6.906,6.906,6.906,6.906,5000,
03/08/2001,6.438,6.438,6.438,6.438,7800,
06/08/2001,6.006,6.006,6.006,6.006,10100,
08/08/2001,6.402,6.402,6.402,6.402,3100,
10/08/2001,6.834,6.834,6.834,6.834,200,
13/08/2001,6.365,6.365,6.365,6.365,5300,
15/08/2001,5.934,5.934,5.934,5.934,4000,
17/08/2001,5.934,5.934,5.934,5.934,5100,
20/08/2001,6.259,6.259,6.259,6.259,10600,
22/08/2001,6.474,6.474,6.474,6.474,4300,
24/08/2001,6.474,6.474,6.474,6.474,4900,
27/08/2001,3.89,3.89,3.89,3.89,3100,
29/08/2001,3.638,3.638,3.638,3.638,900,
31/08/2001,3.871,3.871,3.871,3.871,6400,
05/09/2001,4.123,4.123,4.123,4.123,2800,
07/09/2001,4.401,4.401,4.401,4.401,7100,
10/09/2001,4.101,4.101,4.101,4.101,100,
12/09/2001,3.824,3.824,3.824,3.824,6400,
14/09/2001,3.824,3.824,3.824,3.824,7800,
17/09/2001,3.824,3.824,3.824,3.824,6400,
19/09/2001,4.076,4.076,4.076,4.076,6300,
21/09/2001,3.824,3.824,3.824,3.824,6000,
24/09/2001,3.824,3.824,3.824,3.824,4600,
26/09/2001,3.824,3.824,3.824,3.824,4400,
28/09/2001,3.824,3.824,3.824,3.824,5700,
01/10/2001,3.824,3.824,3.824,3.824,7000,
03/10/2001,3.824,3.824,3.824,3.824,8100,
05/10/2001,3.567,3.567,3.567,3.567,1400,
08/10/2001,3.798,3.798,3.798,3.798,14300,
10/10/2001,3.871,3.871,3.871,3.871,400,
12/10/2001,3.938,3.938,3.938,3.938,100,
15/10/2001,4.009,4.009,4.009,4.009,100,
17/10/2001,4.076,4.076,4.076,4.076,100,
19/10/2001,4.148,4.148,4.148,4.148,100,
22/10/2001,4.215,4.215,4.215,4.215,4800,
24/10/2001,4.287,4.287,4.287,4.287,1300,
26/10/2001,4.354,4.354,4.354,4.354,1400,
29/10/2001,4.426,4.426,4.426,4.426,13400,
31/10/2001,4.497,4.497,4.497,4.497,1900,
02/11/2001,4.564,4.564,4.564,4.564,5800,
05/11/2001,4.637,4.637,4.637,4.637,13000,
07/11/2001,4.729,4.729,4.729,4.729,2900,
09/11/2001,4.822,4.822,4.822,4.822,3400,
12/11/2001,4.913,4.913,4.913,4.913,3900,
14/11/2001,5.008,5.008,5.008,5.008,22700,
16/11/2001,5.1,5.1,5.1,5.1,8500,
19/11/2001,5.1,5.1,5.1,5.1,29600,
21/11/2001,5.008,5.008,5.008,5.008,700,
23/11/2001,4.913,4.913,4.913,4.913,100,
26/11/2001,4.822,4.822,4.822,4.822,100,
28/11/2001,4.729,4.729,4.729,4.729,3800,
30/11/2001,4.682,4.682,4.682,4.682,700,
03/12/2001,4.59,4.59,4.59,4.59,2400,
05/12/2001,7.671,7.671,7.671,7.671,0,
07/12/2001,4.59,4.59,4.59,4.59,100,
10/12/2001,7.671,7.671,7.671,7.671,0,
12/12/2001,7.671,7.671,7.671,7.671,0,
14/12/2001,4.518,4.518,4.518,4.518,100,
17/12/2001,7.559,7.559,7.559,7.559,0,
19/12/2001,3.369,3.369,3.369,3.369,28300,
21/12/2001,3.432,3.432,3.432,3.432,42900,
24/12/2001,3.491,3.491,3.491,3.491,6800,
26/12/2001,3.491,3.491,3.491,3.491,30600,
28/12/2001,3.432,3.432,3.432,3.432,1700,
31/12/2001,3.369,3.369,3.369,3.369,100,
02/01/2002,4.261,4.261,4.261,4.261,0,
04/01/2002,3.217,3.217,3.217,3.217,100,
07/01/2002,15.437,15.437,15.437,15.437,400,DIVIDEND
09/01/2002,3.09,3.09,3.09,3.09,2000,
11/01/2002,3.031,3.031,3.031,3.031,100,
14/01/2002,2.978,2.978,2.978,2.978,600,
16/01/2002,2.922,2.922,2.922,2.922,100,
18/01/2002,2.867,2.867,2.867,2.867,100,
21/01/2002,2.813,2.813,2.813,2.813,1600,
23/01/2002,2.759,2.759,2.759,2.759,14300,
25/01/2002,13.756,13.756,13.756,13.756,22500,
28/01/2002,2.867,2.867,2.867,2.867,7700,
30/01/2002,2.867,2.867,2.867,2.867,17600,
01/02/2002,2.867,2.867,2.867,2.867,2000,
04/02/2002,2.813,2.813,2.813,2.813,200,
06/02/2002,2.759,2.759,2.759,2.759,100,
08/02/2002,2.699,2.699,2.699,2.699,200,
18/02/2002,2.652,2.652,2.652,2.652,300,
20/02/2002,2.602,2.602,2.602,2.602,200,
22/02/2002,2.553,2.553,2.553,2.553,24400,
25/02/2002,2.553,2.553,2.553,2.553,23200,
27/02/2002,2.506,2.506,2.506,2.506,3300,
07/03/2002,2.506,2.506,2.506,2.506,200,
08/03/2002,2.459,2.459,2.459,2.459,100,
11/03/2002,2.409,2.409,2.409,2.409,300,
12/03/2002,2.367,2.367,2.367,2.367,200,
13/03/2002,2.32,2.32,2.32,2.32,2900,
14/03/2002,2.367,2.367,2.367,2.367,16900,
15/03/2002,2.409,2.409,2.409,2.409,23400,
