transDate,close,high,low,open,volume,event
23/11/2010,6.899,8.179,6.543,8.179,1070900.0,
24/11/2010,6.757,7.041,6.614,6.899,892500.0,
25/11/2010,7.112,7.112,6.757,6.827,501600.0,
26/11/2010,7.397,7.397,7.112,7.397,813400.0,
29/11/2010,7.468,7.539,7.112,7.325,753100.0,
30/11/2010,7.823,7.823,7.397,7.397,1824300.0,
01/12/2010,7.539,7.966,7.539,7.895,645600.0,
02/12/2010,7.823,7.895,7.539,7.539,885600.0,
03/12/2010,8.179,8.179,7.823,7.823,3856800.0,
06/12/2010,8.25,8.606,8.179,8.321,3502800.0,
07/12/2010,7.966,8.463,7.895,8.393,2688000.0,
08/12/2010,7.61,8.179,7.61,7.823,1658600.0,
09/12/2010,7.61,8.25,7.254,7.823,1676900.0,
10/12/2010,8.037,8.108,7.681,7.823,1487700.0,
13/12/2010,8.393,8.393,8.037,8.037,1847700.0,
14/12/2010,8.961,8.961,8.534,8.961,16071300.0,
15/12/2010,9.53,9.53,9.246,9.53,12626100.0,
16/12/2010,8.89,9.886,8.89,9.815,2870900.0,
17/12/2010,9.175,9.459,8.677,8.748,4851000.0,
20/12/2010,8.677,9.246,8.606,9.175,4897800.0,
21/12/2010,8.321,8.677,8.25,8.534,5401000.0,
22/12/2010,8.534,8.89,8.321,8.606,2779000.0,
23/12/2010,8.179,8.748,8.108,8.748,1973900.0,
24/12/2010,8.179,8.393,8.037,8.25,1413400.0,
27/12/2010,8.25,8.393,8.108,8.321,1059800.0,
28/12/2010,8.534,8.606,8.108,8.179,2593100.0,
29/12/2010,8.25,8.677,8.25,8.534,1377500.0,
30/12/2010,8.179,8.393,8.108,8.393,1554900.0,
31/12/2010,8.393,8.463,8.108,8.179,1355900.0,
04/01/2011,8.179,8.463,8.108,8.393,900200.0,
05/01/2011,7.966,8.321,7.895,8.321,2904700.0,
06/01/2011,7.966,7.966,7.823,7.895,1247400.0,
07/01/2011,7.823,8.037,7.823,7.966,2463100.0,
10/01/2011,7.752,8.037,7.681,8.037,2014600.0,
11/01/2011,7.61,7.752,7.539,7.752,2484700.0,
12/01/2011,7.681,7.823,7.539,7.61,1124800.0,
13/01/2011,7.823,7.895,7.681,7.681,1650400.0,
14/01/2011,7.966,7.966,7.823,7.823,2046300.0,
17/01/2011,8.393,8.393,7.966,8.037,4825700.0,
18/01/2011,8.179,8.534,8.179,8.534,1958100.0,
19/01/2011,8.179,8.393,8.108,8.25,1670900.0,
20/01/2011,8.179,8.25,8.108,8.25,1528700.0,
21/01/2011,8.393,8.606,8.179,8.179,2503300.0,
24/01/2011,8.25,8.463,8.25,8.463,1668700.0,
25/01/2011,8.25,8.321,8.179,8.179,1188200.0,
26/01/2011,8.475,8.55,8.25,8.55,580600.0,DIVIDEND
27/01/2011,8.475,8.55,8.4,8.4,1673200.0,
28/01/2011,8.55,8.625,8.475,8.475,1372800.0,
08/02/2011,8.475,8.7,8.475,8.7,983200.0,
09/02/2011,8.475,8.7,8.325,8.625,1637500.0,
10/02/2011,8.4,8.475,8.325,8.475,484300.0,
11/02/2011,8.325,8.4,8.25,8.325,697100.0,
14/02/2011,8.175,8.475,8.1,8.475,1096300.0,
15/02/2011,8.1,8.175,8.025,8.175,594200.0,
16/02/2011,7.95,8.175,7.95,8.175,801800.0,
17/02/2011,8.025,8.025,7.875,7.95,1058200.0,
18/02/2011,7.875,8.025,7.8,7.95,1100100.0,
21/02/2011,7.425,7.875,7.35,7.875,2228000.0,
22/02/2011,7.5,7.725,7.275,7.5,1568500.0,
23/02/2011,7.65,7.65,7.425,7.5,1279600.0,
24/02/2011,7.575,7.8,7.35,7.8,1885300.0,
25/02/2011,7.725,7.725,7.575,7.575,828800.0,
28/02/2011,7.575,7.725,7.575,7.65,1198700.0,
01/03/2011,7.575,7.65,7.5,7.575,377400.0,
02/03/2011,7.425,7.5,7.35,7.5,1462000.0,
03/03/2011,7.425,7.5,7.275,7.35,685800.0,
04/03/2011,7.425,7.5,7.425,7.425,726700.0,
07/03/2011,7.425,7.5,7.425,7.5,311600.0,
08/03/2011,7.425,7.575,7.425,7.5,566400.0,
09/03/2011,7.35,7.425,7.275,7.425,328000.0,
10/03/2011,7.65,7.8,7.35,7.35,2767900.0,
11/03/2011,7.725,7.95,7.725,7.725,2910100.0,
14/03/2011,7.5,7.8,7.425,7.8,588300.0,
15/03/2011,7.425,7.5,7.35,7.425,584800.0,
16/03/2011,7.425,7.425,7.275,7.425,1074900.0,
17/03/2011,7.35,7.5,7.275,7.35,868400.0,
18/03/2011,7.5,7.575,7.275,7.5,1581300.0,
21/03/2011,7.425,7.575,7.35,7.575,864600.0,
22/03/2011,7.425,7.425,7.35,7.425,304700.0,
23/03/2011,7.425,7.425,7.275,7.425,361200.0,
24/03/2011,7.35,7.35,7.275,7.35,305900.0,
25/03/2011,7.275,7.35,7.2,7.35,785200.0,
28/03/2011,7.275,7.35,7.2,7.35,354800.0,
29/03/2011,7.35,7.35,7.2,7.275,577400.0,
30/03/2011,7.2,7.275,7.125,7.2,583000.0,
31/03/2011,7.2,7.425,7.125,7.275,258200.0,
